participant_id,T1_Intention,SRB1,SRB2,SRB3,SRB4,SRB5,SRB_Mean,S1_Response,S1_Score,S2_Response,S2_Score,S3_Response,S3_Score,S4_Response,S4_Score,S5_Response,S5_Score,Objective_Score_Total,Objective_Score,Intention_Behavior_Gap
P00841,4,3,3,4,4,4,3.6,b,2,b,2,b,2,b,2,b,2,10,10,-0.9900354855400191
P00842,5,5,5,7,6,5,5.6,b,2,b,2,b,2,b,2,b,2,10,10,0.7488000277492706
P00843,5,7,7,6,6,6,6.4,b,2,b,2,b,2,b,2,b,2,10,10,1.5488000277492713
P00844,7,6,6,6,4,4,5.2,b,2,b,2,b,2,b,2,b,2,10,10,-0.17352894567214872
P00845,5,5,4,6,5,4,4.8,b,2,b,2,c,1,b,2,a,0,7,7,-0.05119997225072925
P00846,5,3,3,5,4,4,3.8,b,2,a,0,c,1,a,0,c,1,4,4,-1.0511999722507293
P00847,4,5,2,4,4,2,3.4,a,0,b,2,c,1,a,0,a,0,3,3,-1.1900354855400193
P00848,4,6,7,7,6,6,6.4,b,2,b,2,b,2,b,2,b,2,10,10,1.8099645144599812
P00849,7,5,5,5,5,5,5.0,b,2,b,2,b,2,c,1,b,2,9,9,-0.3735289456721489
P00850,5,5,5,3,4,6,4.6,b,2,b,2,b,2,c,1,c,1,8,8,-0.25119997225072943
P00851,5,3,4,4,4,5,4.0,b,2,b,2,b,2,b,2,b,2,10,10,-0.8511999722507291
P00852,2,4,5,6,6,5,5.2,b,2,b,2,b,2,b,2,b,2,10,10,1.1322934878814017
P00853,4,4,5,5,4,4,4.4,c,1,b,2,b,2,b,2,c,1,8,8,-0.1900354855400188
P00854,2,6,6,6,5,6,5.8,b,2,b,2,c,1,c,1,b,2,8,8,1.7322934878814014
P00855,5,3,4,5,5,4,4.2,c,1,b,2,c,1,a,0,b,2,6,6,-0.6511999722507289
P00856,4,3,4,4,5,4,4.0,a,0,b,2,b,2,a,0,a,0,4,4,-0.5900354855400192
P00857,6,7,7,7,6,7,6.8,b,2,b,2,b,2,b,2,b,2,10,10,1.6876355410385608
P00858,7,5,4,5,6,5,5.0,c,1,b,2,b,2,b,2,b,2,9,9,-0.3735289456721489
P00859,6,5,5,4,5,4,4.6,b,2,a,0,b,2,c,1,b,2,7,7,-0.5123644589614393
P00860,4,3,4,4,4,3,3.6,b,2,a,0,a,0,a,0,c,1,3,3,-0.9900354855400191
P00861,6,5,5,4,4,5,4.6,b,2,a,0,b,2,c,1,a,0,5,5,-0.5123644589614393
P00862,5,4,4,5,5,4,4.4,b,2,a,0,a,0,c,1,b,2,5,5,-0.4511999722507287
P00863,5,6,6,6,7,6,6.2,b,2,b,2,c,1,b,2,b,2,9,9,1.348800027749271
P00864,3,5,6,7,5,6,5.8,b,2,b,2,b,2,b,2,b,2,10,10,1.4711290011706915
P00865,3,5,6,5,6,6,5.6,b,2,b,2,b,2,b,2,c,1,9,9,1.2711290011706913
P00866,5,4,5,5,5,5,4.8,b,2,b,2,a,0,b,2,c,1,7,7,-0.05119997225072925
P00867,5,5,5,5,5,5,5.0,b,2,b,2,b,2,b,2,c,1,9,9,0.14880002774927092
P00868,5,4,4,4,3,3,3.6,a,0,c,1,a,0,c,1,a,0,2,2,-1.251199972250729
P00869,6,5,5,4,5,5,4.8,b,2,b,2,b,2,b,2,b,2,10,10,-0.31236445896143916
P00870,3,5,5,5,6,4,5.0,b,2,b,2,b,2,c,1,c,1,8,8,0.6711290011706916
P00871,4,5,6,5,7,5,5.6,b,2,b,2,a,0,b,2,b,2,8,8,1.0099645144599805
P00872,4,5,6,5,5,5,5.2,c,1,b,2,b,2,b,2,b,2,9,9,0.609964514459981
P00873,5,6,6,6,5,5,5.6,b,2,b,2,b,2,b,2,c,1,9,9,0.7488000277492706
P00874,4,4,4,4,5,4,4.2,b,2,a,0,a,0,b,2,a,0,4,4,-0.390035485540019
P00875,5,5,6,5,6,6,5.6,b,2,b,2,b,2,b,2,b,2,10,10,0.7488000277492706
P00876,6,7,6,6,7,6,6.4,b,2,b,2,b,2,b,2,b,2,10,10,1.2876355410385614
P00877,6,4,5,4,3,5,4.2,b,2,a,0,b,2,b,2,c,1,7,7,-0.9123644589614388
P00878,3,5,4,6,5,5,5.0,b,2,a,0,c,1,b,2,b,2,7,7,0.6711290011706916
P00879,4,5,6,5,6,4,5.2,b,2,b,2,b,2,b,2,c,1,9,9,0.609964514459981
P00880,3,5,5,5,3,4,4.4,b,2,a,0,b,2,c,1,a,0,5,5,0.07112900117069199
P00881,2,4,3,5,3,5,4.0,c,1,b,2,c,1,a,0,a,0,4,4,-0.06770651211859846
P00882,5,4,4,5,3,4,4.0,a,0,c,1,a,0,a,0,a,0,1,1,-0.8511999722507291
P00883,5,5,4,5,5,4,4.6,b,2,a,0,c,1,c,1,c,1,5,5,-0.25119997225072943
P00884,3,3,2,4,3,3,3.0,c,1,a,0,a,0,a,0,a,0,1,1,-1.3288709988293084
P00885,4,5,5,5,4,5,4.8,b,2,c,1,c,1,b,2,b,2,8,8,0.20996451445998066
P00886,4,6,6,5,6,5,5.6,b,2,b,2,b,2,b,2,b,2,10,10,1.0099645144599805
P00887,6,7,6,5,5,6,5.8,b,2,b,2,b,2,b,2,b,2,10,10,0.6876355410385608
P00888,6,4,5,4,5,5,4.6,b,2,b,2,a,0,c,1,b,2,7,7,-0.5123644589614393
P00889,6,6,4,5,7,6,5.6,c,1,b,2,c,1,b,2,b,2,8,8,0.48763554103856066
P00890,7,4,5,4,5,4,4.4,b,2,b,2,b,2,c,1,c,1,8,8,-0.9735289456721485
P00891,7,6,5,6,5,6,5.6,b,2,b,2,b,2,b,2,b,2,10,10,0.22647105432785075
P00892,6,7,6,6,6,7,6.4,b,2,b,2,b,2,b,2,b,2,10,10,1.2876355410385614
P00893,6,3,4,4,5,4,4.0,b,2,a,0,c,1,c,1,a,0,4,4,-1.112364458961439
P00894,4,4,5,5,5,4,4.6,b,2,c,1,c,1,a,0,b,2,6,6,0.009964514459980478
P00895,3,5,5,5,5,4,4.8,b,2,b,2,b,2,b,2,b,2,10,10,0.47112900117069145
P00896,6,6,6,7,6,7,6.4,b,2,b,2,b,2,b,2,b,2,10,10,1.2876355410385614
P00897,6,5,5,6,5,5,5.2,b,2,b,2,b,2,c,1,b,2,9,9,0.0876355410385612
P00898,4,4,4,3,3,4,3.6,b,2,b,2,b,2,b,2,b,2,10,10,-0.9900354855400191
P00899,5,4,4,4,5,4,4.2,a,0,b,2,b,2,b,2,c,1,7,7,-0.6511999722507289
P00900,3,5,5,3,3,5,4.2,c,1,a,0,b,2,a,0,a,0,3,3,-0.1288709988293082
P00901,3,3,5,4,4,3,3.8,a,0,a,0,b,2,a,0,a,0,2,2,-0.5288709988293085
P00902,6,5,5,5,4,5,4.8,b,2,b,2,c,1,c,1,b,2,8,8,-0.31236445896143916
P00903,7,5,6,4,5,5,5.0,b,2,b,2,b,2,c,1,b,2,9,9,-0.3735289456721489
P00904,5,3,5,5,6,4,4.6,c,1,c,1,b,2,b,2,b,2,8,8,-0.25119997225072943
P00905,5,6,5,7,6,5,5.8,b,2,b,2,b,2,b,2,b,2,10,10,0.9488000277492707
P00906,4,4,4,5,5,5,4.6,b,2,b,2,b,2,c,1,b,2,9,9,0.009964514459980478
P00907,4,4,4,4,4,4,4.0,b,2,b,2,a,0,b,2,c,1,7,7,-0.5900354855400192
P00908,5,4,4,5,5,3,4.2,a,0,b,2,b,2,b,2,b,2,8,8,-0.6511999722507289
P00909,7,6,5,7,5,7,6.0,b,2,b,2,b,2,b,2,b,2,10,10,0.6264710543278511
P00910,5,4,4,5,6,5,4.8,c,1,c,1,c,1,c,1,a,0,4,4,-0.05119997225072925
P00911,4,5,4,5,4,5,4.6,b,2,a,0,c,1,b,2,b,2,7,7,0.009964514459980478
P00912,5,4,6,5,5,4,4.8,b,2,b,2,b,2,b,2,c,1,9,9,-0.05119997225072925
P00913,4,5,4,4,5,5,4.6,b,2,b,2,b,2,b,2,b,2,10,10,0.009964514459980478
P00914,4,6,7,7,6,5,6.2,b,2,b,2,b,2,b,2,b,2,10,10,1.609964514459981
P00915,5,4,5,5,5,5,4.8,c,1,b,2,b,2,b,2,c,1,8,8,-0.05119997225072925
P00916,4,4,4,3,4,4,3.8,b,2,b,2,b,2,b,2,a,0,8,8,-0.7900354855400193
P00917,2,4,4,3,5,5,4.2,b,2,c,1,a,0,c,1,b,2,6,6,0.13229348788140172
P00918,5,5,6,5,5,4,5.0,b,2,b,2,b,2,c,1,b,2,9,9,0.14880002774927092
P00919,5,5,5,6,5,6,5.4,b,2,b,2,b,2,b,2,b,2,10,10,0.5488000277492713
P00920,4,4,5,5,6,4,4.8,a,0,b,2,b,2,a,0,b,2,6,6,0.20996451445998066
P00921,6,4,4,5,4,3,4.0,b,2,a,0,b,2,c,1,c,1,6,6,-1.112364458961439
P00922,5,6,5,6,6,6,5.8,b,2,b,2,b,2,a,0,c,1,7,7,0.9488000277492707
P00923,6,3,4,5,5,3,4.0,c,1,c,1,c,1,c,1,b,2,6,6,-1.112364458961439
P00924,5,5,4,4,4,2,3.8,a,0,a,0,a,0,c,1,b,2,3,3,-1.0511999722507293
P00925,4,5,3,4,4,4,4.0,b,2,a,0,b,2,c,1,a,0,5,5,-0.5900354855400192
P00926,4,5,6,6,7,5,5.8,c,1,b,2,b,2,b,2,b,2,9,9,1.2099645144599807
P00927,5,5,5,7,7,6,6.0,b,2,b,2,b,2,b,2,b,2,10,10,1.148800027749271
P00928,4,4,4,3,4,4,3.8,b,2,b,2,a,0,c,1,b,2,7,7,-0.7900354855400193
P00929,3,4,4,4,4,4,4.0,a,0,a,0,a,0,a,0,a,0,0,0,-0.32887099882930837
P00930,4,5,4,5,5,5,4.8,c,1,b,2,b,2,c,1,b,2,8,8,0.20996451445998066
P00931,3,5,7,5,5,4,5.2,b,2,c,1,b,2,b,2,b,2,9,9,0.8711290011706918
P00932,5,3,3,4,4,4,3.6,b,2,c,1,a,0,a,0,a,0,3,3,-1.251199972250729
P00933,4,3,3,2,3,3,2.8,c,1,a,0,a,0,a,0,a,0,1,1,-1.7900354855400193
P00934,3,4,3,4,5,6,4.4,c,1,b,2,b,2,c,1,c,1,7,7,0.07112900117069199
P00935,6,6,5,5,5,6,5.4,b,2,b,2,b,2,b,2,c,1,9,9,0.28763554103856137
P00936,7,6,6,6,6,4,5.6,c,1,b,2,b,2,b,2,b,2,9,9,0.22647105432785075
P00937,4,5,5,5,6,5,5.2,b,2,b,2,c,1,b,2,b,2,9,9,0.609964514459981
P00938,3,5,5,5,6,3,4.8,c,1,c,1,a,0,c,1,c,1,4,4,0.47112900117069145
P00939,5,6,5,5,4,5,5.0,b,2,b,2,b,2,c,1,a,0,7,7,0.14880002774927092
P00940,6,6,5,6,7,6,6.0,b,2,b,2,b,2,b,2,b,2,10,10,0.887635541038561
P00941,2,5,4,4,5,5,4.6,b,2,b,2,b,2,b,2,c,1,9,9,0.5322934878814012
P00942,7,5,6,6,5,5,5.4,b,2,b,2,b,2,b,2,b,2,10,10,0.026471054327851462
P00943,4,4,5,5,5,5,4.8,c,1,b,2,c,1,b,2,b,2,8,8,0.20996451445998066
P00944,6,5,6,5,6,6,5.6,b,2,b,2,b,2,b,2,c,1,9,9,0.48763554103856066
P00945,5,6,4,6,6,5,5.4,b,2,b,2,b,2,c,1,c,1,8,8,0.5488000277492713
P00946,4,4,4,5,3,3,3.8,a,0,b,2,b,2,c,1,b,2,7,7,-0.7900354855400193
P00947,6,5,5,5,7,4,5.2,b,2,b,2,b,2,c,1,b,2,9,9,0.0876355410385612
P00948,5,4,4,5,5,5,4.6,b,2,c,1,b,2,c,1,b,2,8,8,-0.25119997225072943
P00949,3,5,6,6,6,5,5.6,b,2,b,2,b,2,b,2,b,2,10,10,1.2711290011706913
P00950,6,5,5,5,4,3,4.4,a,0,a,0,b,2,c,1,a,0,3,3,-0.7123644589614386
P00951,4,4,3,4,4,4,3.8,b,2,a,0,b,2,c,1,a,0,5,5,-0.7900354855400193
P00952,3,4,4,5,5,4,4.4,a,0,b,2,a,0,a,0,a,0,2,2,0.07112900117069199
P00953,4,4,4,5,5,5,4.6,c,1,a,0,b,2,c,1,b,2,6,6,0.009964514459980478
P00954,7,5,4,6,6,6,5.4,b,2,b,2,b,2,c,1,b,2,9,9,0.026471054327851462
P00955,6,6,6,7,5,5,5.8,b,2,c,1,b,2,b,2,c,1,8,8,0.6876355410385608
P00956,2,4,5,5,6,5,5.0,c,1,c,1,a,0,b,2,b,2,6,6,0.9322934878814015
P00957,3,5,5,4,4,3,4.2,b,2,c,1,b,2,b,2,a,0,7,7,-0.1288709988293082
P00958,7,6,6,6,7,6,6.2,b,2,b,2,b,2,b,2,b,2,10,10,0.8264710543278513
P00959,6,5,7,5,5,5,5.4,c,1,b,2,b,2,b,2,c,1,8,8,0.28763554103856137
P00960,5,4,6,5,5,4,4.8,b,2,b,2,b,2,b,2,c,1,9,9,-0.05119997225072925
P00961,5,6,6,6,7,6,6.2,b,2,b,2,b,2,b,2,b,2,10,10,1.348800027749271
P00962,6,5,6,6,7,6,6.0,b,2,b,2,b,2,b,2,b,2,10,10,0.887635541038561
P00963,2,2,4,3,4,4,3.4,a,0,a,0,a,0,a,0,a,0,0,0,-0.6677065121185985
P00964,7,7,6,7,6,6,6.4,b,2,b,2,b,2,b,2,b,2,10,10,1.0264710543278515
P00965,2,5,5,5,6,5,5.2,b,2,c,1,b,2,b,2,b,2,9,9,1.1322934878814017
P00966,6,6,5,7,5,7,6.0,b,2,b,2,b,2,b,2,b,2,10,10,0.887635541038561
P00967,5,4,6,5,4,4,4.6,b,2,a,0,c,1,b,2,c,1,6,6,-0.25119997225072943
P00968,4,2,2,3,3,2,2.4,a,0,a,0,a,0,a,0,a,0,0,0,-2.1900354855400193
P00969,4,4,6,6,5,6,5.4,c,1,b,2,b,2,b,2,b,2,9,9,0.8099645144599812
P00970,4,5,4,5,4,4,4.4,b,2,b,2,a,0,c,1,b,2,7,7,-0.1900354855400188
P00971,6,3,4,5,4,5,4.2,c,1,a,0,c,1,b,2,a,0,4,4,-0.9123644589614388
P00972,4,4,5,4,4,5,4.4,b,2,b,2,b,2,b,2,a,0,8,8,-0.1900354855400188
P00973,4,4,4,4,4,3,3.8,b,2,b,2,b,2,a,0,b,2,8,8,-0.7900354855400193
P00974,6,5,4,6,5,4,4.8,c,1,c,1,b,2,c,1,b,2,7,7,-0.31236445896143916
P00975,4,4,4,4,3,4,3.8,a,0,a,0,a,0,a,0,a,0,0,0,-0.7900354855400193
P00976,6,6,5,6,6,6,5.8,b,2,b,2,c,1,b,2,b,2,9,9,0.6876355410385608
P00977,6,6,6,6,6,4,5.6,b,2,c,1,b,2,c,1,b,2,8,8,0.48763554103856066
P00978,4,5,5,5,6,5,5.2,c,1,b,2,b,2,b,2,b,2,9,9,0.609964514459981
P00979,4,7,7,7,7,6,6.8,b,2,b,2,b,2,b,2,b,2,10,10,2.2099645144599807
P00980,4,4,3,5,4,4,4.0,c,1,c,1,c,1,a,0,c,1,4,4,-0.5900354855400192
P00981,3,5,5,5,5,5,5.0,b,2,b,2,b,2,b,2,b,2,10,10,0.6711290011706916
P00982,3,6,5,4,4,4,4.6,b,2,c,1,a,0,c,1,c,1,5,5,0.2711290011706913
P00983,5,4,5,4,5,4,4.4,c,1,c,1,c,1,b,2,a,0,5,5,-0.4511999722507287
P00984,5,5,5,4,4,3,4.2,c,1,b,2,b,2,a,0,b,2,7,7,-0.6511999722507289
P00985,4,6,5,6,5,6,5.6,b,2,b,2,b,2,c,1,c,1,8,8,1.0099645144599805
P00986,6,4,4,2,3,3,3.2,a,0,a,0,a,0,a,0,a,0,0,0,-1.9123644589614388
P00987,3,6,3,4,5,5,4.6,b,2,b,2,c,1,c,1,b,2,8,8,0.2711290011706913
P00988,4,5,5,5,5,3,4.6,a,0,b,2,b,2,c,1,b,2,7,7,0.009964514459980478
P00989,3,4,4,3,4,5,4.0,a,0,b,2,b,2,b,2,b,2,8,8,-0.32887099882930837
P00990,5,6,5,5,7,6,5.8,b,2,b,2,b,2,b,2,b,2,10,10,0.9488000277492707
P00991,5,4,5,5,5,5,4.8,b,2,a,0,b,2,b,2,c,1,7,7,-0.05119997225072925
P00992,5,5,6,5,6,5,5.4,b,2,b,2,b,2,b,2,b,2,10,10,0.5488000277492713
P00993,4,4,4,4,5,3,4.0,a,0,b,2,b,2,b,2,b,2,8,8,-0.5900354855400192
P00994,3,4,4,5,5,5,4.6,b,2,b,2,c,1,a,0,b,2,7,7,0.2711290011706913
P00995,5,5,4,5,6,6,5.2,b,2,b,2,b,2,b,2,b,2,10,10,0.3488000277492711
P00996,4,4,4,5,5,4,4.4,c,1,b,2,b,2,c,1,c,1,7,7,-0.1900354855400188
P00997,4,5,4,4,5,4,4.4,b,2,b,2,b,2,c,1,a,0,7,7,-0.1900354855400188
P00998,3,6,5,4,5,4,4.8,b,2,b,2,c,1,c,1,b,2,8,8,0.47112900117069145
P00999,6,3,5,4,5,5,4.4,b,2,b,2,c,1,a,0,b,2,7,7,-0.7123644589614386
P01000,6,4,5,4,5,4,4.4,b,2,b,2,b,2,c,1,b,2,9,9,-0.7123644589614386
P01001,6,6,5,5,6,4,5.2,b,2,b,2,b,2,b,2,b,2,10,10,0.0876355410385612
P01002,6,4,5,5,5,6,5.0,b,2,b,2,b,2,c,1,b,2,9,9,-0.11236445896143898
P01003,6,6,6,6,7,7,6.4,b,2,b,2,b,2,b,2,b,2,10,10,1.2876355410385614
P01004,5,4,5,4,5,5,4.6,b,2,c,1,a,0,b,2,b,2,7,7,-0.25119997225072943
P01005,4,5,4,5,5,4,4.6,c,1,b,2,c,1,a,0,c,1,5,5,0.009964514459980478
P01006,7,6,5,5,6,6,5.6,b,2,b,2,b,2,b,2,b,2,10,10,0.22647105432785075
P01007,6,4,6,5,4,6,5.0,c,1,b,2,b,2,a,0,b,2,7,7,-0.11236445896143898
P01008,4,5,5,4,5,4,4.6,b,2,b,2,b,2,c,1,a,0,7,7,0.009964514459980478
P01009,6,4,5,4,5,5,4.6,b,2,a,0,c,1,a,0,b,2,5,5,-0.5123644589614393
P01010,5,4,3,4,4,4,3.8,a,0,c,1,a,0,b,2,c,1,4,4,-1.0511999722507293
P01011,5,5,4,4,6,5,4.8,b,2,b,2,b,2,b,2,b,2,10,10,-0.05119997225072925
P01012,5,3,2,3,4,3,3.0,a,0,a,0,a,0,a,0,a,0,0,0,-1.851199972250729
P01013,6,7,7,7,7,6,6.8,b,2,b,2,b,2,b,2,b,2,10,10,1.6876355410385608
P01014,2,4,4,3,4,3,3.6,b,2,a,0,b,2,a,0,c,1,5,5,-0.46770651211859837
P01015,6,5,5,5,4,5,4.8,b,2,c,1,a,0,c,1,b,2,6,6,-0.31236445896143916
P01016,4,4,5,4,6,2,4.2,a,0,a,0,a,0,a,0,a,0,0,0,-0.390035485540019
P01017,3,5,4,5,4,4,4.4,a,0,b,2,c,1,b,2,b,2,7,7,0.07112900117069199
P01018,1,6,5,5,6,4,5.2,c,1,b,2,c,1,b,2,c,1,7,7,1.3934579745921116
P01019,5,5,4,4,5,5,4.6,b,2,a,0,b,2,c,1,b,2,7,7,-0.25119997225072943
P01020,6,5,4,3,5,3,4.0,c,1,a,0,c,1,a,0,b,2,4,4,-1.112364458961439
P01021,5,5,5,5,5,5,5.0,b,2,b,2,c,1,c,1,b,2,8,8,0.14880002774927092
P01022,7,5,4,6,6,4,5.0,b,2,c,1,b,2,b,2,b,2,9,9,-0.3735289456721489
P01023,5,7,6,6,6,6,6.2,b,2,b,2,b,2,b,2,b,2,10,10,1.348800027749271
P01024,4,5,4,6,5,5,5.0,c,1,b,2,b,2,c,1,c,1,7,7,0.40996451445998083
P01025,4,6,5,5,5,5,5.2,b,2,b,2,c,1,b,2,b,2,9,9,0.609964514459981
P01026,4,4,4,4,3,4,3.8,a,0,b,2,c,1,a,0,a,0,3,3,-0.7900354855400193
P01027,6,5,5,5,5,5,5.0,b,2,b,2,b,2,b,2,b,2,10,10,-0.11236445896143898
P01028,6,6,6,5,6,5,5.6,b,2,b,2,b,2,b,2,b,2,10,10,0.48763554103856066
P01029,6,6,7,5,4,6,5.6,b,2,b,2,b,2,b,2,c,1,9,9,0.48763554103856066
P01030,5,5,4,4,4,5,4.4,a,0,b,2,b,2,c,1,a,0,5,5,-0.4511999722507287
P01031,4,4,5,3,5,3,4.0,c,1,b,2,c,1,b,2,a,0,6,6,-0.5900354855400192
P01032,3,5,5,4,5,6,5.0,c,1,c,1,b,2,b,2,c,1,7,7,0.6711290011706916
P01033,4,5,4,4,4,4,4.2,b,2,b,2,b,2,c,1,a,0,7,7,-0.390035485540019
P01034,7,6,6,6,6,6,6.0,b,2,b,2,b,2,b,2,b,2,10,10,0.6264710543278511
P01035,2,5,5,5,4,4,4.6,a,0,c,1,c,1,a,0,c,1,3,3,0.5322934878814012
P01036,4,6,5,4,6,4,5.0,c,1,c,1,b,2,b,2,b,2,8,8,0.40996451445998083
P01037,5,4,4,4,4,4,4.0,b,2,c,1,c,1,b,2,b,2,8,8,-0.8511999722507291
P01038,5,4,5,6,6,6,5.4,b,2,b,2,b,2,b,2,c,1,9,9,0.5488000277492713
P01039,3,6,5,5,4,5,5.0,b,2,b,2,c,1,c,1,c,1,7,7,0.6711290011706916
P01040,5,5,6,5,5,5,5.2,c,1,c,1,c,1,b,2,b,2,7,7,0.3488000277492711
P01041,4,5,5,4,5,5,4.8,b,2,b,2,b,2,b,2,b,2,10,10,0.20996451445998066
P01042,7,4,5,5,5,4,4.6,b,2,b,2,b,2,b,2,b,2,10,10,-0.7735289456721492
P01043,5,5,5,6,5,4,5.0,b,2,b,2,b,2,b,2,a,0,8,8,0.14880002774927092
P01044,5,7,5,4,4,5,5.0,c,1,b,2,b,2,b,2,b,2,9,9,0.14880002774927092
P01045,4,5,7,7,5,5,5.8,b,2,b,2,b,2,b,2,b,2,10,10,1.2099645144599807
P01046,5,5,5,5,5,4,4.8,c,1,a,0,b,2,c,1,a,0,4,4,-0.05119997225072925
P01047,4,4,3,4,4,3,3.6,a,0,a,0,a,0,a,0,a,0,0,0,-0.9900354855400191
P01048,3,4,4,4,4,4,4.0,a,0,b,2,b,2,a,0,c,1,5,5,-0.32887099882930837
P01049,5,4,4,4,4,5,4.2,a,0,b,2,a,0,a,0,a,0,2,2,-0.6511999722507289
P01050,5,7,6,7,7,5,6.4,b,2,b,2,b,2,b,2,b,2,10,10,1.5488000277492713
P01051,6,5,3,5,4,3,4.0,a,0,a,0,c,1,a,0,b,2,3,3,-1.112364458961439
P01052,5,7,6,6,6,6,6.2,b,2,b,2,b,2,b,2,b,2,10,10,1.348800027749271
P01053,4,6,6,7,5,7,6.2,b,2,b,2,b,2,b,2,b,2,10,10,1.609964514459981
P01054,5,5,6,5,5,6,5.4,b,2,c,1,b,2,b,2,b,2,9,9,0.5488000277492713
P01055,5,5,6,6,5,5,5.4,b,2,b,2,a,0,c,1,b,2,7,7,0.5488000277492713
P01056,5,5,5,5,5,5,5.0,b,2,c,1,c,1,b,2,b,2,8,8,0.14880002774927092
P01057,5,3,2,5,4,4,3.6,b,2,b,2,b,2,b,2,a,0,8,8,-1.251199972250729
P01058,5,3,4,4,4,4,3.8,b,2,c,1,b,2,c,1,a,0,6,6,-1.0511999722507293
P01059,5,4,4,4,5,4,4.2,c,1,b,2,b,2,a,0,b,2,7,7,-0.6511999722507289
P01060,6,6,6,7,6,7,6.4,b,2,b,2,b,2,b,2,b,2,10,10,1.2876355410385614
P01061,2,3,2,3,2,3,2.6,a,0,a,0,a,0,c,1,a,0,1,1,-1.4677065121185984
P01062,6,4,5,4,5,5,4.6,b,2,b,2,b,2,a,0,b,2,8,8,-0.5123644589614393
P01063,5,4,4,5,4,5,4.4,b,2,b,2,b,2,b,2,b,2,10,10,-0.4511999722507287
P01064,4,6,5,6,6,6,5.8,b,2,b,2,b,2,b,2,b,2,10,10,1.2099645144599807
P01065,4,3,5,5,5,5,4.6,b,2,a,0,c,1,b,2,a,0,5,5,0.009964514459980478
P01066,4,5,5,5,5,5,5.0,b,2,b,2,b,2,c,1,c,1,8,8,0.40996451445998083
P01067,4,5,4,4,6,4,4.6,a,0,c,1,b,2,b,2,b,2,7,7,0.009964514459980478
P01068,5,5,4,4,5,5,4.6,b,2,c,1,c,1,b,2,a,0,6,6,-0.25119997225072943
P01069,2,6,5,6,5,6,5.6,b,2,b,2,b,2,b,2,b,2,10,10,1.5322934878814012
P01070,7,4,5,6,4,6,5.0,b,2,b,2,b,2,b,2,b,2,10,10,-0.3735289456721489
P01071,4,4,6,4,5,4,4.6,b,2,b,2,b,2,c,1,b,2,9,9,0.009964514459980478
P01072,3,5,4,5,5,5,4.8,c,1,b,2,c,1,b,2,b,2,8,8,0.47112900117069145
P01073,3,6,6,5,7,4,5.6,b,2,c,1,b,2,c,1,b,2,8,8,1.2711290011706913
P01074,7,6,4,4,6,5,5.0,b,2,b,2,b,2,b,2,b,2,10,10,-0.3735289456721489
P01075,6,6,4,5,4,5,4.8,a,0,c,1,b,2,a,0,a,0,3,3,-0.31236445896143916
P01076,4,5,6,5,6,6,5.6,b,2,b,2,b,2,b,2,b,2,10,10,1.0099645144599805
P01077,5,4,5,5,5,4,4.6,b,2,c,1,c,1,c,1,b,2,7,7,-0.25119997225072943
P01078,6,6,6,5,6,5,5.6,b,2,b,2,b,2,c,1,b,2,9,9,0.48763554103856066
P01079,5,4,5,5,6,4,4.8,b,2,b,2,c,1,b,2,b,2,9,9,-0.05119997225072925
P01080,3,4,4,3,4,5,4.0,a,0,a,0,a,0,b,2,a,0,2,2,-0.32887099882930837
P01081,5,6,6,7,5,5,5.8,b,2,b,2,b,2,b,2,b,2,10,10,0.9488000277492707
P01082,3,4,5,4,4,3,4.0,b,2,b,2,c,1,c,1,b,2,8,8,-0.32887099882930837
P01083,4,3,3,4,4,2,3.2,a,0,b,2,c,1,a,0,a,0,3,3,-1.390035485540019
P01084,7,5,4,4,4,5,4.4,b,2,b,2,b,2,b,2,c,1,9,9,-0.9735289456721485
P01085,4,4,6,4,7,4,5.0,b,2,b,2,b,2,b,2,b,2,10,10,0.40996451445998083
P01086,5,4,4,4,5,4,4.2,b,2,c,1,a,0,a,0,b,2,5,5,-0.6511999722507289
P01087,5,5,5,6,5,5,5.2,b,2,a,0,b,2,b,2,b,2,8,8,0.3488000277492711
P01088,4,5,6,7,6,6,6.0,b,2,b,2,b,2,b,2,b,2,10,10,1.4099645144599808
P01089,5,6,6,5,6,5,5.6,b,2,b,2,b,2,b,2,b,2,10,10,0.7488000277492706
P01090,1,4,4,4,3,4,3.8,a,0,a,0,a,0,a,0,a,0,0,0,-0.00654202540788873
P01091,5,5,5,4,5,5,4.8,a,0,b,2,b,2,b,2,b,2,8,8,-0.05119997225072925
P01092,5,5,6,6,6,4,5.4,b,2,b,2,b,2,b,2,c,1,9,9,0.5488000277492713
P01093,5,7,7,7,7,6,6.8,b,2,b,2,b,2,b,2,b,2,10,10,1.9488000277492707
P01094,7,6,6,6,5,4,5.4,b,2,b,2,b,2,b,2,b,2,10,10,0.026471054327851462
P01095,5,6,5,6,4,5,5.2,b,2,b,2,b,2,b,2,b,2,10,10,0.3488000277492711
P01096,5,7,7,7,7,6,6.8,b,2,b,2,b,2,c,1,b,2,9,9,1.9488000277492707
P01097,3,2,4,3,4,3,3.2,a,0,a,0,a,0,a,0,a,0,0,0,-1.1288709988293082
P01098,7,5,4,4,5,4,4.4,c,1,a,0,c,1,b,2,a,0,4,4,-0.9735289456721485
P01099,3,3,4,4,6,5,4.4,c,1,b,2,b,2,b,2,b,2,9,9,0.07112900117069199
