year,state,species,population_headcount
2022,Yobe,poultry,5223842
2023,Yobe,poultry,5242332
2024,Yobe,poultry,5152326
2020,Yobe,pigs,149325
2021,Yobe,pigs,155912
2022,Yobe,pigs,158130
2023,Yobe,pigs,156335
2024,Yobe,pigs,165628
2020,Zamfara,cattle,518181
2021,Zamfara,cattle,503004
2022,Zamfara,cattle,527488
2023,Zamfara,cattle,530153
2024,Zamfara,cattle,558831
2020,Zamfara,goats,2653494
2021,Zamfara,goats,2790616
2022,Zamfara,goats,2867554
2023,Zamfara,goats,2846933
2024,Zamfara,goats,2845228
2020,Zamfara,sheep,1775586
2021,Zamfara,sheep,1775013
2022,Zamfara,sheep,1796031
2023,Zamfara,sheep,1746786
2024,Zamfara,sheep,1795019
2020,Zamfara,poultry,8046604
2021,Zamfara,poultry,8444562
2022,Zamfara,poultry,8681876
2023,Zamfara,poultry,9050989
2024,Zamfara,poultry,9332037
2020,Zamfara,pigs,231206
2021,Zamfara,pigs,229245
2022,Zamfara,pigs,233419
2023,Zamfara,pigs,240853
2024,Zamfara,pigs,240396
