Manufacturer,System_Size_kW,Operational_Mode,Cold_Start_Time_hours,Warm_Start_Time_hours,Hot_Start_Time_minutes,Ramp_Up_Rate_pct_per_min,Ramp_Down_Rate_pct_per_min,Minimum_Load_pct,Optimal_Load_pct,Load_Change_Response_Time_sec,Cycling_Capability,Starts_Per_Year_Recommended,Mode_Suitability_Rating,Mode_Efficiency_Factor,Continuous_Operation_Capability,Black_Start_Capable,Grid_Forming_Capable,Island_Mode_Operation
Mitsubishi Power,300,Peak Shaving,32.4,4.06,15.6,3.23,6.21,20,90,76.6,Limited,10,Good,0.98,Yes,No,Limited,Yes
Mitsubishi Power,300,Backup Power,32.4,4.06,15.6,3.23,6.21,20,80,76.6,Limited,21,Moderate,0.95,Yes,No,Limited,Yes
Mitsubishi Power,300,CHP Mode,32.4,4.06,15.6,3.23,6.21,20,85,76.6,Limited,35,Excellent,1.02,Yes,No,Limited,Yes
Mitsubishi Power,500,Base Load,49.48,6.39,15.8,4.75,6.24,20,100,100.2,Limited,28,Excellent,1.0,Yes,Yes (with battery),Yes,Yes
Mitsubishi Power,500,Load Following,49.48,6.39,15.8,4.75,6.24,20,75,100.2,Limited,25,Moderate,0.96,Yes,Yes (with battery),Yes,Yes
Mitsubishi Power,500,Peak Shaving,49.48,6.39,15.8,4.75,6.24,20,90,100.2,Limited,22,Good,0.98,Yes,Yes (with battery),Yes,Yes
Mitsubishi Power,500,Backup Power,49.48,6.39,15.8,4.75,6.24,20,80,100.2,Limited,12,Limited,0.95,Yes,Yes (with battery),Yes,Yes
Mitsubishi Power,500,CHP Mode,49.48,6.39,15.8,4.75,6.24,20,85,100.2,Limited,19,Excellent,1.02,Yes,Yes (with battery),Yes,Yes
Mitsubishi Power,1000,Base Load,34.93,4.94,41.2,3.68,3.7,20,100,116.2,Limited,47,Excellent,1.0,Yes,Yes (with battery),Yes,Yes
Mitsubishi Power,1000,Load Following,34.93,4.94,41.2,3.68,3.7,20,75,116.2,Limited,41,Moderate,0.96,Yes,Yes (with battery),Yes,Yes
Mitsubishi Power,1000,Peak Shaving,34.93,4.94,41.2,3.68,3.7,20,90,116.2,Limited,49,Good,0.98,Yes,Yes (with battery),Yes,Yes
Mitsubishi Power,1000,Backup Power,34.93,4.94,41.2,3.68,3.7,20,80,116.2,Limited,31,Moderate,0.95,Yes,Yes (with battery),Yes,Yes
Mitsubishi Power,1000,CHP Mode,34.93,4.94,41.2,3.68,3.7,20,85,116.2,Limited,48,Excellent,1.02,Yes,Yes (with battery),Yes,Yes
Mitsubishi Power,1500,Base Load,31.51,4.46,22.9,2.99,3.99,20,100,86.0,Limited,41,Excellent,1.0,Yes,Yes (with battery),Yes,Yes
Mitsubishi Power,1500,Load Following,31.51,4.46,22.9,2.99,3.99,20,75,86.0,Limited,33,Moderate,0.96,Yes,Yes (with battery),Yes,Yes
Mitsubishi Power,1500,Peak Shaving,31.51,4.46,22.9,2.99,3.99,20,90,86.0,Limited,15,Good,0.98,Yes,Yes (with battery),Yes,Yes
Mitsubishi Power,1500,Backup Power,31.51,4.46,22.9,2.99,3.99,20,80,86.0,Limited,42,Moderate,0.95,Yes,Yes (with battery),Yes,Yes
Mitsubishi Power,1500,CHP Mode,31.51,4.46,22.9,2.99,3.99,20,85,86.0,Limited,35,Excellent,1.02,Yes,Yes (with battery),Yes,Yes
Mitsubishi Power,2000,Base Load,37.76,5.7,24.1,3.36,6.71,20,100,56.1,Limited,28,Excellent,1.0,Yes,Yes (with battery),Yes,Yes
Mitsubishi Power,2000,Load Following,37.76,5.7,24.1,3.36,6.71,20,75,56.1,Limited,45,Moderate,0.96,Yes,Yes (with battery),Yes,Yes
Mitsubishi Power,2000,Peak Shaving,37.76,5.7,24.1,3.36,6.71,20,90,56.1,Limited,38,Good,0.98,Yes,Yes (with battery),Yes,Yes
Mitsubishi Power,2000,Backup Power,37.76,5.7,24.1,3.36,6.71,20,80,56.1,Limited,12,Limited,0.95,Yes,Yes (with battery),Yes,Yes
Mitsubishi Power,2000,CHP Mode,37.76,5.7,24.1,3.36,6.71,20,85,56.1,Limited,15,Excellent,1.02,Yes,Yes (with battery),Yes,Yes
Convion,100,Base Load,30.16,5.52,30.7,2.84,6.85,20,100,77.7,Limited,19,Excellent,1.0,Yes,No,Limited,Limited
Convion,100,Load Following,30.16,5.52,30.7,2.84,6.85,20,75,77.7,Limited,30,Moderate,0.96,Yes,No,Limited,Limited
Convion,100,Peak Shaving,30.16,5.52,30.7,2.84,6.85,20,90,77.7,Limited,37,Good,0.98,Yes,No,Limited,Limited
Convion,100,Backup Power,30.16,5.52,30.7,2.84,6.85,20,80,77.7,Limited,13,Limited,0.95,Yes,No,Limited,Limited
Convion,100,CHP Mode,30.16,5.52,30.7,2.84,6.85,20,85,77.7,Limited,20,Excellent,1.02,Yes,No,Limited,Limited
Convion,200,Base Load,46.14,4.84,34.1,3.58,3.65,20,100,44.9,Limited,27,Excellent,1.0,Yes,No,Limited,Limited
Convion,200,Load Following,46.14,4.84,34.1,3.58,3.65,20,75,44.9,Limited,18,Moderate,0.96,Yes,No,Limited,Limited
Convion,200,Peak Shaving,46.14,4.84,34.1,3.58,3.65,20,90,44.9,Limited,11,Good,0.98,Yes,No,Limited,Limited
Convion,200,Backup Power,46.14,4.84,34.1,3.58,3.65,20,80,44.9,Limited,43,Moderate,0.95,Yes,No,Limited,Limited
Convion,200,CHP Mode,46.14,4.84,34.1,3.58,3.65,20,85,44.9,Limited,49,Excellent,1.02,Yes,No,Limited,Limited
Convion,250,Base Load,45.86,6.42,23.5,4.9,4.19,20,100,115.6,Limited,49,Excellent,1.0,Yes,No,Limited,Limited
Convion,250,Load Following,45.86,6.42,23.5,4.9,4.19,20,75,115.6,Limited,38,Moderate,0.96,Yes,No,Limited,Limited
Convion,250,Peak Shaving,45.86,6.42,23.5,4.9,4.19,20,90,115.6,Limited,49,Good,0.98,Yes,No,Limited,Limited
Convion,250,Backup Power,45.86,6.42,23.5,4.9,4.19,20,80,115.6,Limited,32,Limited,0.95,Yes,No,Limited,Limited
Convion,250,CHP Mode,45.86,6.42,23.5,4.9,4.19,20,85,115.6,Limited,20,Excellent,1.02,Yes,No,Limited,Limited
Convion,300,Base Load,38.74,5.37,17.6,4.06,6.93,20,100,47.1,Limited,41,Excellent,1.0,Yes,No,Limited,Yes
Convion,300,Load Following,38.74,5.37,17.6,4.06,6.93,20,75,47.1,Limited,46,Moderate,0.96,Yes,No,Limited,Yes
Convion,300,Peak Shaving,38.74,5.37,17.6,4.06,6.93,20,90,47.1,Limited,47,Good,0.98,Yes,No,Limited,Yes
Convion,300,Backup Power,38.74,5.37,17.6,4.06,6.93,20,80,47.1,Limited,48,Limited,0.95,Yes,No,Limited,Yes
Convion,300,CHP Mode,38.74,5.37,17.6,4.06,6.93,20,85,47.1,Limited,30,Excellent,1.02,Yes,No,Limited,Yes
Convion,500,Base Load,49.55,6.03,20.7,3.69,6.01,20,100,52.3,Limited,35,Excellent,1.0,Yes,Yes (with battery),Yes,Yes
Convion,500,Load Following,49.55,6.03,20.7,3.69,6.01,20,75,52.3,Limited,36,Moderate,0.96,Yes,Yes (with battery),Yes,Yes
Convion,500,Peak Shaving,49.55,6.03,20.7,3.69,6.01,20,90,52.3,Limited,16,Good,0.98,Yes,Yes (with battery),Yes,Yes
Convion,500,Backup Power,49.55,6.03,20.7,3.69,6.01,20,80,52.3,Limited,32,Limited,0.95,Yes,Yes (with battery),Yes,Yes
Convion,500,CHP Mode,49.55,6.03,20.7,3.69,6.01,20,85,52.3,Limited,40,Excellent,1.02,Yes,Yes (with battery),Yes,Yes
Convion,1000,Base Load,39.98,3.05,15.3,3.39,6.74,20,100,50.6,Limited,35,Excellent,1.0,Yes,Yes (with battery),Yes,Yes
Convion,1000,Load Following,39.98,3.05,15.3,3.39,6.74,20,75,50.6,Limited,18,Moderate,0.96,Yes,Yes (with battery),Yes,Yes
Convion,1000,Peak Shaving,39.98,3.05,15.3,3.39,6.74,20,90,50.6,Limited,22,Good,0.98,Yes,Yes (with battery),Yes,Yes
Convion,1000,Backup Power,39.98,3.05,15.3,3.39,6.74,20,80,50.6,Limited,43,Moderate,0.95,Yes,Yes (with battery),Yes,Yes
Convion,1000,CHP Mode,39.98,3.05,15.3,3.39,6.74,20,85,50.6,Limited,39,Excellent,1.02,Yes,Yes (with battery),Yes,Yes
Convion,1500,Base Load,31.91,4.71,16.0,3.7,5.82,20,100,40.7,Limited,21,Excellent,1.0,Yes,Yes (with battery),Yes,Yes
Convion,1500,Load Following,31.91,4.71,16.0,3.7,5.82,20,75,40.7,Limited,25,Moderate,0.96,Yes,Yes (with battery),Yes,Yes
Convion,1500,Peak Shaving,31.91,4.71,16.0,3.7,5.82,20,90,40.7,Limited,46,Good,0.98,Yes,Yes (with battery),Yes,Yes
Convion,1500,Backup Power,31.91,4.71,16.0,3.7,5.82,20,80,40.7,Limited,49,Moderate,0.95,Yes,Yes (with battery),Yes,Yes
Convion,1500,CHP Mode,31.91,4.71,16.0,3.7,5.82,20,85,40.7,Limited,11,Excellent,1.02,Yes,Yes (with battery),Yes,Yes
Convion,2000,Base Load,45.22,4.49,28.7,4.39,6.71,20,100,115.6,Limited,33,Excellent,1.0,Yes,Yes (with battery),Yes,Yes
Convion,2000,Load Following,45.22,4.49,28.7,4.39,6.71,20,75,115.6,Limited,24,Moderate,0.96,Yes,Yes (with battery),Yes,Yes
Convion,2000,Peak Shaving,45.22,4.49,28.7,4.39,6.71,20,90,115.6,Limited,41,Good,0.98,Yes,Yes (with battery),Yes,Yes
Convion,2000,Backup Power,45.22,4.49,28.7,4.39,6.71,20,80,115.6,Limited,20,Moderate,0.95,Yes,Yes (with battery),Yes,Yes
Convion,2000,CHP Mode,45.22,4.49,28.7,4.39,6.71,20,85,115.6,Limited,32,Excellent,1.02,Yes,Yes (with battery),Yes,Yes
SOLIDpower,100,Base Load,37.17,5.63,23.4,2.98,6.71,20,100,39.2,Limited,30,Excellent,1.0,Yes,No,Limited,Limited
SOLIDpower,100,Load Following,37.17,5.63,23.4,2.98,6.71,20,75,39.2,Limited,18,Moderate,0.96,Yes,No,Limited,Limited
SOLIDpower,100,Peak Shaving,37.17,5.63,23.4,2.98,6.71,20,90,39.2,Limited,11,Good,0.98,Yes,No,Limited,Limited
SOLIDpower,100,Backup Power,37.17,5.63,23.4,2.98,6.71,20,80,39.2,Limited,11,Limited,0.95,Yes,No,Limited,Limited
SOLIDpower,100,CHP Mode,37.17,5.63,23.4,2.98,6.71,20,85,39.2,Limited,17,Excellent,1.02,Yes,No,Limited,Limited
SOLIDpower,200,Base Load,47.34,4.13,48.3,3.95,5.03,20,100,82.2,Limited,30,Excellent,1.0,Yes,No,Limited,Limited
SOLIDpower,200,Load Following,47.34,4.13,48.3,3.95,5.03,20,75,82.2,Limited,40,Moderate,0.96,Yes,No,Limited,Limited
SOLIDpower,200,Peak Shaving,47.34,4.13,48.3,3.95,5.03,20,90,82.2,Limited,21,Good,0.98,Yes,No,Limited,Limited
SOLIDpower,200,Backup Power,47.34,4.13,48.3,3.95,5.03,20,80,82.2,Limited,24,Moderate,0.95,Yes,No,Limited,Limited
SOLIDpower,200,CHP Mode,47.34,4.13,48.3,3.95,5.03,20,85,82.2,Limited,45,Excellent,1.02,Yes,No,Limited,Limited
SOLIDpower,250,Base Load,48.93,6.57,29.7,4.45,5.17,20,100,74.8,Limited,18,Excellent,1.0,Yes,No,Limited,Limited
SOLIDpower,250,Load Following,48.93,6.57,29.7,4.45,5.17,20,75,74.8,Limited,33,Moderate,0.96,Yes,No,Limited,Limited
SOLIDpower,250,Peak Shaving,48.93,6.57,29.7,4.45,5.17,20,90,74.8,Limited,17,Good,0.98,Yes,No,Limited,Limited
SOLIDpower,250,Backup Power,48.93,6.57,29.7,4.45,5.17,20,80,74.8,Limited,23,Limited,0.95,Yes,No,Limited,Limited
SOLIDpower,250,CHP Mode,48.93,6.57,29.7,4.45,5.17,20,85,74.8,Limited,44,Excellent,1.02,Yes,No,Limited,Limited
SOLIDpower,300,Base Load,34.14,3.28,17.4,4.85,5.27,20,100,66.8,Limited,42,Excellent,1.0,Yes,No,Limited,Yes
SOLIDpower,300,Load Following,34.14,3.28,17.4,4.85,5.27,20,75,66.8,Limited,43,Moderate,0.96,Yes,No,Limited,Yes
SOLIDpower,300,Peak Shaving,34.14,3.28,17.4,4.85,5.27,20,90,66.8,Limited,23,Good,0.98,Yes,No,Limited,Yes
SOLIDpower,300,Backup Power,34.14,3.28,17.4,4.85,5.27,20,80,66.8,Limited,37,Moderate,0.95,Yes,No,Limited,Yes
SOLIDpower,300,CHP Mode,34.14,3.28,17.4,4.85,5.27,20,85,66.8,Limited,40,Excellent,1.02,Yes,No,Limited,Yes
SOLIDpower,500,Base Load,43.09,3.61,45.7,3.85,4.49,20,100,68.3,Limited,11,Excellent,1.0,Yes,Yes (with battery),Yes,Yes
SOLIDpower,500,Load Following,43.09,3.61,45.7,3.85,4.49,20,75,68.3,Limited,15,Moderate,0.96,Yes,Yes (with battery),Yes,Yes
SOLIDpower,500,Peak Shaving,43.09,3.61,45.7,3.85,4.49,20,90,68.3,Limited,40,Good,0.98,Yes,Yes (with battery),Yes,Yes
SOLIDpower,500,Backup Power,43.09,3.61,45.7,3.85,4.49,20,80,68.3,Limited,10,Moderate,0.95,Yes,Yes (with battery),Yes,Yes
SOLIDpower,500,CHP Mode,43.09,3.61,45.7,3.85,4.49,20,85,68.3,Limited,26,Excellent,1.02,Yes,Yes (with battery),Yes,Yes
SOLIDpower,1000,Base Load,40.45,3.22,49.1,3.07,4.56,20,100,57.4,Limited,19,Excellent,1.0,Yes,Yes (with battery),Yes,Yes
SOLIDpower,1000,Load Following,40.45,3.22,49.1,3.07,4.56,20,75,57.4,Limited,10,Moderate,0.96,Yes,Yes (with battery),Yes,Yes
SOLIDpower,1000,Peak Shaving,40.45,3.22,49.1,3.07,4.56,20,90,57.4,Limited,39,Good,0.98,Yes,Yes (with battery),Yes,Yes
SOLIDpower,1000,Backup Power,40.45,3.22,49.1,3.07,4.56,20,80,57.4,Limited,48,Moderate,0.95,Yes,Yes (with battery),Yes,Yes
SOLIDpower,1000,CHP Mode,40.45,3.22,49.1,3.07,4.56,20,85,57.4,Limited,18,Excellent,1.02,Yes,Yes (with battery),Yes,Yes
SOLIDpower,1500,Base Load,43.26,5.97,44.7,3.56,4.56,20,100,59.3,Limited,38,Excellent,1.0,Yes,Yes (with battery),Yes,Yes
SOLIDpower,1500,Load Following,43.26,5.97,44.7,3.56,4.56,20,75,59.3,Limited,42,Moderate,0.96,Yes,Yes (with battery),Yes,Yes
SOLIDpower,1500,Peak Shaving,43.26,5.97,44.7,3.56,4.56,20,90,59.3,Limited,17,Good,0.98,Yes,Yes (with battery),Yes,Yes
SOLIDpower,1500,Backup Power,43.26,5.97,44.7,3.56,4.56,20,80,59.3,Limited,24,Limited,0.95,Yes,Yes (with battery),Yes,Yes
SOLIDpower,1500,CHP Mode,43.26,5.97,44.7,3.56,4.56,20,85,59.3,Limited,46,Excellent,1.02,Yes,Yes (with battery),Yes,Yes
SOLIDpower,2000,Base Load,46.13,6.94,41.4,3.48,5.57,20,100,89.5,Limited,13,Excellent,1.0,Yes,Yes (with battery),Yes,Yes
SOLIDpower,2000,Load Following,46.13,6.94,41.4,3.48,5.57,20,75,89.5,Limited,31,Moderate,0.96,Yes,Yes (with battery),Yes,Yes
SOLIDpower,2000,Peak Shaving,46.13,6.94,41.4,3.48,5.57,20,90,89.5,Limited,38,Good,0.98,Yes,Yes (with battery),Yes,Yes
SOLIDpower,2000,Backup Power,46.13,6.94,41.4,3.48,5.57,20,80,89.5,Limited,16,Limited,0.95,Yes,Yes (with battery),Yes,Yes
SOLIDpower,2000,CHP Mode,46.13,6.94,41.4,3.48,5.57,20,85,89.5,Limited,41,Excellent,1.02,Yes,Yes (with battery),Yes,Yes
