Manufacturer,System_Size_kW,Load_Percentage,Actual_Power_Output_kW,Electrical_Efficiency_LHV,Thermal_Efficiency,CHP_Total_Efficiency,Operating_Temperature_C,Cell_Voltage_V,Power_Density_Volumetric_kW_per_m3,Power_Density_Area_kW_per_m2,Stack_Degradation_pct_per_1000h,Expected_Stack_Lifetime_hours,System_Lifetime_years,Fuel_Utilization_Factor,Air_Utilization_Factor
SOLIDpower,1000,75,750.0,0.5331,0.2945,0.8276,616.5,0.705,340,0.68,0.207,73774,16.0,0.799,0.215
SOLIDpower,1000,100,1000.0,0.5458,0.31,0.8558,648.7,0.724,340,0.68,0.209,55035,18.9,0.796,0.279
SOLIDpower,1500,25,375.0,0.4928,0.2635,0.7563,703.2,0.694,340,0.68,0.195,73634,15.4,0.84,0.246
SOLIDpower,1500,50,750.0,0.5369,0.279,0.8159,695.6,0.716,340,0.68,0.234,65466,21.1,0.757,0.252
SOLIDpower,1500,75,1125.0,0.5378,0.2945,0.8323,676.8,0.718,340,0.68,0.183,43391,22.2,0.757,0.207
SOLIDpower,1500,100,1500.0,0.5332,0.31,0.8432,601.8,0.746,340,0.68,0.224,54130,18.0,0.785,0.277
SOLIDpower,2000,25,500.0,0.489,0.2635,0.7525,626.1,0.66,340,0.68,0.22,70574,17.7,0.752,0.208
SOLIDpower,2000,50,1000.0,0.5319,0.279,0.8109,745.2,0.68,340,0.68,0.226,64986,18.8,0.771,0.212
SOLIDpower,2000,75,1500.0,0.5465,0.2945,0.841,696.6,0.703,340,0.68,0.183,78739,23.0,0.779,0.298
SOLIDpower,2000,100,2000.0,0.5456,0.31,0.8556,690.3,0.708,340,0.68,0.225,72470,21.6,0.763,0.234
