anode_material,cathode_material,tab_thickness_um,surface_finish,welding_technique,power_w,amplitude_um,force_n,time_ms,speed_mm_s,pulse_frequency_hz,preheat_temp_c,material_compatibility,weld_strength_mpa,contact_resistance_ohm,weld_width_mm,penetration_depth_mm,porosity_percent,thermal_cycles_to_failure,resistance_degradation_rate,strength_retention_percent,primary_failure_mode
Ti,Ni,308.6164417637695,Coated,Friction_Stir,2822.845154090142,85.78239041577065,2146.591544837139,443.37495152409326,17.03186832637873,365.86675723302494,234.88621826298314,0.8245,880.9941830736477,0.00042698936708516686,2.578351544918221,0.23063498070410893,0.031281915266853866,7915.027159959726,1.9778512503302305e-05,0.9344821337985388,Delamination
Ti,Cu,237.00199749671398,Anodized,USW,1957.518929054821,17.439076424187522,2885.6983032798503,128.75353024020626,20.04249221821771,132.7990898922667,92.05035652363279,0.3295,159.72258407827064,0.00043769197402208443,0.810045699583805,0.14913705160650156,0.07365210249446288,483.25287991313235,6.468463731672756e-05,0.28764911489112055,Thermal_Fatigue
Ti,Ni,102.99379652447831,Anodized,Electron_Beam,2774.717458900655,69.09167111400224,3542.889857727339,929.6868645558504,18.63450255430132,875.6103678017244,133.8015885157909,0.8245,1436.6083960206647,0.0004135598593062858,1.5130902961297292,0.10890526221279431,0.01936103930813953,15298.69158719736,1.6267910619066872e-05,0.8879840552950486,Delamination
Al,Steel,198.6291556214496,Plated,Laser,495.75551933594335,52.90402722741486,4757.495099934994,443.06330844163796,31.72543484621504,195.2203395268098,97.15768587581235,0.393,209.28638952346193,0.00013593218275725758,0.5732155739490774,0.048314115079198645,0.050764755057845674,858.8422659022044,4.4392766057572565e-05,0.37814993136897784,Thermal_Fatigue
Cu,Ni,376.19172757133,Plated,Laser,3940.591057384284,63.786004789872514,3653.0360662072267,502.4983696390988,12.494103616805909,706.2583937998864,250.04864663675477,0.505,213.1183071551437,0.00017015215309265503,1.7365394114621269,0.3277594268234826,0.051009702686575176,854.7934198609482,3.4674559569921405e-05,0.47516750662041496,Thermal_Fatigue
Ni,Ti,325.4017537991505,Rough,USW,4927.871742402315,55.7678445950172,640.3260916838336,855.8852093591385,25.778787297151773,706.0170773353497,130.35911622610328,0.8245,481.8997938769728,0.0006866270453168008,3.344590141037398,0.21428908458951415,0.049396762351352964,3601.447119279889,2.1398389585078676e-05,0.7789779152251115,Delamination
Cu,Al,103.90027094760245,Polished,Electron_Beam,422.1279719538142,50.562374545850965,3617.448409446761,589.9218966698701,20.61171711937025,43.547430365867335,293.98909639267794,0.6234999999999999,150.7649862439969,0.00012660224130189976,0.4429493584876727,0.043604851374057944,0.02680009894416861,864.474392966891,3.065499405647078e-05,0.6216808850333897,Thermal_Fatigue
Ti,Ni,123.49508437143885,Coated,Electron_Beam,4025.094678134224,28.496151656174458,431.85900984179017,308.43575223055956,32.57954788652708,428.2137993521315,188.21055164420795,0.8245,223.99189698968047,0.0008304479652982241,1.0734760954702443,0.10469077315365675,0.020594634601703233,2072.3813068505187,1.8197384946815213e-05,0.785071893080306,Delamination
Al,Al,338.33001168835045,Rough,Friction_Stir,1284.5005224256652,52.51023211230812,2562.2854613379213,545.3726333571309,12.85510423053462,476.89902053816184,24.66506087225698,1.0,227.79257356076008,0.00025734707078265654,1.8759113940207484,0.18032157524582815,0.020840442537430354,3482.5254959447975,0.0,0.9816209628683049,Delamination
Steel,Steel,416.03693644439096,Polished,Resistance_Spot,1067.9805610572084,27.068962423759263,2681.786680522171,628.6124867874271,28.10311286625404,817.705233872712,248.2394193739361,1.0,619.4507487236763,0.00020370765303196864,1.5972612151011023,0.10356452017473619,0.05813555150844935,4032.4414367738127,0.0,0.7955955385216934,Delamination
Al,Al,207.26352318117617,Rough,Friction_Stir,3497.5149515399366,14.01503383249445,3913.4970579597543,890.9018907101048,37.27794278729556,624.8181023804551,212.99006131510131,1.0,345.0743230598032,0.00020627233767530904,4.471342430794613,0.112971934652598,0.02544590413331447,4305.266944825357,0.0,0.9533131856925474,Delamination
Ti,Ni,317.88983832955256,Plated,Laser,316.2480179272504,43.644204185321996,156.63738208564166,242.4861267693812,34.954794544667294,64.25966619706054,91.71331962349105,0.8245,82.94090176645919,0.0007875209615152068,0.3354816701070348,0.04195587064675248,0.03648508002179402,650.1930080226361,1.347397496413037e-05,0.8417120295413901,Mechanical_Fatigue
Al,Ni,126.78961493844737,Plated,Electron_Beam,2369.872801536566,12.246016487455368,4386.285128791317,563.7852403070865,41.87969722159064,449.321319956922,95.18204266917856,0.4565,208.40077063204228,0.00014420106044270715,1.0486600155628076,0.06786142705533045,0.023601043426123527,1129.7646223047782,4.011462198133926e-05,0.49590564231759265,Thermal_Fatigue
Al,Cu,190.11935160739574,Anodized,Resistance_Spot,107.0778829850745,60.629046671979964,3353.0351755693473,921.2940482029712,47.851866403344346,301.55379715492336,157.82413224584693,0.6234999999999999,175.9017069812055,0.0003411463840252939,0.6543783522818926,0.015573147382157355,0.07629747947285018,688.6931484815965,3.8925260601361275e-05,0.4564926488714941,Thermal_Fatigue
Ti,Ni,59.12159255287367,Coated,Friction_Stir,2816.530740367722,16.515320800615957,252.8351649127202,55.01806262578569,42.84447266048657,171.77697499894393,206.596761830602,0.8245,46.271742378404475,0.0011032356923722023,0.9706145804006931,0.05036703361493439,0.030028233653729298,434.2204548640048,1.8198714015710964e-05,0.9362428162354632,Mechanical_Fatigue
Al,Al,395.72417650978514,Coated,Resistance_Spot,2364.200171884954,49.37982780581916,884.1483521196202,202.62213470765275,46.97205778074944,276.7668450834564,271.9146107489145,1.0,66.53108318651613,0.0006551085566739186,1.2935312781232398,0.10204462471391114,0.06508718058322933,382.51677158657304,0.0,0.8788236617025761,Mechanical_Fatigue
Ni,Cu,230.45441889783507,Coated,Laser,4585.864772735295,98.21285536377049,293.6358968865774,352.85176523784565,1.8579474890485206,840.3818111986855,66.56581033812206,0.505,24.473914755654825,0.0008939906709473036,1.6026764851285242,0.5807427642134367,0.04459001362825504,144.13732320665986,5.551634902740736e-05,0.5108748768715156,Mechanical_Fatigue
Ni,Ni,417.2565081442792,Rough,Resistance_Spot,3629.332323643635,10.88933685570442,3853.104042211889,681.6837155731705,31.817641332859914,620.3781841184639,66.85132048710418,1.0,575.7684144576485,0.00023639280854877175,2.808919131836736,0.18801482088248345,0.050332941270455865,4829.792842551479,0.0,0.7887090202954588,Delamination
Al,Ni,368.7678482102268,Rough,Electron_Beam,717.4302422068122,43.016911089066845,937.4349528024521,843.4287994333479,14.118558273885158,435.98832978196293,215.20500583962928,0.4565,94.23952617225358,0.000563062522043819,0.660593546132956,0.15769757484655408,0.02442923449077645,467.86257869332735,7.079637513876527e-05,0.4773385185461821,Mechanical_Fatigue
Steel,Steel,422.93491957781464,Coated,Resistance_Spot,1837.2458027845419,70.59365703648103,323.43991996595923,207.17914035030483,40.640770568946294,720.7668245969508,108.99761414979444,1.0,83.274682798221,0.0011454060530655247,1.1683042157674521,0.10537198559727677,0.055756442546799435,510.5889624169686,0.0,0.7655344042384591,Mechanical_Fatigue
Ti,Cu,178.54640131229723,Anodized,Resistance_Spot,4664.740871426178,24.30252141579153,776.1398859423059,254.23743325213022,41.13286108569406,968.2542336650449,83.58477185536594,0.3295,112.23334043789929,0.0008616355463874652,2.0162857655944877,0.12212921506343506,0.08774153781941539,234.09973320384188,7.123647155614768e-05,0.24942391958758617,Thermal_Fatigue
Ni,Steel,133.29892869253035,Polished,Friction_Stir,3654.1373216430397,60.466027741310654,2841.829319212638,825.0525818628505,3.340665537410862,927.2381450938757,212.4909209197616,0.9365,641.8913389727722,0.00019788341228824292,4.251215704767916,0.31818722145659867,0.024388157945458296,6596.448250648239,5.040134557992387e-06,1.0505296571447382,Delamination
Steel,Steel,487.35755719325175,Rough,Resistance_Spot,3011.9480634328165,33.23713227540604,2527.8839738033357,156.86007150885195,30.18220708840502,97.7584774821899,36.9351585413941,1.0,316.599047284797,0.00032052119289602694,1.3049874271549808,0.20059195761012222,0.05454606150008147,2068.098830371564,0.0,0.855336076705937,Delamination
Al,Steel,372.7975041683913,Coated,Resistance_Spot,2839.4507948558185,30.049182242580315,1306.6610296555095,268.5651731525811,42.69322379359309,332.94699431213877,168.7822201158754,0.393,69.30641315931908,0.0005185832169733161,1.62814126015971,0.12659837506337876,0.10300484585549356,161.90750463260804,6.7182520414782e-05,0.2975756050839929,Mechanical_Fatigue
Steel,Ti,425.31902056700164,Plated,Laser,2050.682485378999,90.54851956713566,4720.382875597233,735.3666500520479,29.783255685213987,313.81431952849607,199.3692440567806,0.888,2104.79083030357,0.00015134327126246837,1.5228977886959105,0.13737141819266255,0.04008374095057629,16242.905894344307,7.845231460244897e-06,0.9240284223701812,Delamination
Cu,Steel,55.91001816947018,Rough,Resistance_Spot,2967.48716707799,28.295243108214418,4288.56344185803,174.4972070099478,21.851463157756825,554.2933415752129,127.7176769556081,0.4415,118.1824798920173,0.00018154294422146738,1.2504278353964047,0.07973598330628326,0.08763680593133286,368.4759114940131,6.992634488563296e-05,0.3754395628375439,Thermal_Fatigue
Ni,Al,209.50772913314896,Polished,Friction_Stir,3881.155632851193,43.889653968877234,1640.8586041472977,829.7531894380379,4.762215782094685,91.32300958115229,55.19663413446275,0.4565,149.70507612601597,0.00025421830292283245,4.0151445047484495,0.4047074178053079,0.03231769811843755,906.7500777126181,4.8541263829698006e-05,0.51729125855255,Thermal_Fatigue
Al,Ni,384.2675107597993,Rough,Friction_Stir,724.9346141462006,25.263775438710145,2425.4024666606338,495.6114316626165,36.783310000078565,921.7967601828382,115.92082707849066,0.4565,142.71579224748325,0.0003251323743782866,1.343827765722984,0.07060676580196736,0.03382647993991639,906.4273529263597,6.907061753037186e-05,0.45684847867369516,Thermal_Fatigue
Ti,Ti,85.0922748454925,Polished,Electron_Beam,4852.170134275811,35.54989657783457,2632.433642148465,453.09635483477706,4.6574241871832704,782.745379449609,140.7473963663997,1.0,1847.7123072626541,0.00019901983477933844,1.4591035547331457,0.2910313515911504,0.015584251812634805,23623.41625390874,0.0,0.9887366673432935,Delamination
Al,Steel,305.30296830602106,Polished,Laser,1272.8878585359748,36.37960121101389,3805.2612970807113,143.9026495070616,30.297804855688355,123.64529640892698,65.1087676448801,0.393,94.99875593045672,0.0001450669286140912,0.5572210384562292,0.10060140233051527,0.04852109658221779,417.0237214882636,4.773171054701344e-05,0.39256099646925574,Mechanical_Fatigue
Ti,Ni,243.08274535475144,Rough,USW,2293.9391390431374,39.409572138135985,2196.9381187198915,682.8617030372419,45.96371839625129,255.01424570862162,156.75843316327058,0.8245,1032.3074194769938,0.0003585284872339158,2.001096334117157,0.08902021954910894,0.05335089009895555,6837.105156692796,2.2059623273728635e-05,0.6937629586562684,Delamination
Al,Cu,57.92742821349828,Polished,Electron_Beam,211.30656077413173,67.69602431440526,2777.7067500907765,885.1610277991556,21.536406874146223,143.9205366804378,114.86916017328258,0.6234999999999999,157.1164430259089,0.0001393114462823082,0.44575569380012475,0.02276352024103515,0.023630178862839763,1115.834680852953,3.261567284811044e-05,0.6368484031591931,Thermal_Fatigue
Steel,Cu,156.18900970375313,Rough,Resistance_Spot,2796.6950224965785,76.8333468800381,2121.571264968323,695.1868054445937,38.73808954616288,478.1782134662908,272.0037763430032,0.4415,148.9752430889856,0.00031455695936039474,2.678456673942608,0.08175546320142905,0.09590342473327629,372.01728959921195,7.718424072539762e-05,0.34054192322563276,Thermal_Fatigue
Steel,Ni,178.15639508002138,Rough,Laser,1971.1475515819566,55.96027475781145,3837.8219750324397,323.7157568183834,40.190733948851,890.231824695405,38.00411381258311,0.9365,446.68292900748867,0.00023428860536871398,1.013798392352968,0.07493748791695047,0.03505309764501503,4890.861912903903,8.216613655205083e-06,0.9500603232998376,Delamination
Steel,Al,100.33697585584511,Anodized,Electron_Beam,1323.8037741376918,64.94283828287956,2824.0765318312187,701.8106795468605,1.5067100320580886,644.9822527181137,207.58744831327064,0.393,184.39602537849427,0.00047641650866538934,0.891145624438356,0.20219712740425388,0.03019177129885211,734.9055473415272,6.212478932321221e-05,0.3879899798569918,Thermal_Fatigue
Cu,Ni,334.1916093841972,Plated,Friction_Stir,4929.068843533543,83.1941872284989,4156.124989704807,514.8430346080823,45.832057828232756,605.9210638362889,222.1395837755252,0.505,191.52982834406438,0.00012057823862342973,3.728466164023701,0.14543867800611482,0.035882573902697744,1045.9307832584143,3.304609872938267e-05,0.5227558036746361,Thermal_Fatigue
Ti,Ni,159.07904431335004,Polished,Laser,2197.8915990941446,99.96045952063771,363.30536477561907,855.1931339648924,10.250218022845791,75.41682960702013,190.50422860940216,0.8245,358.71761906380317,0.0005539016024447427,1.6593844312027481,0.1778604828775701,0.040884082866394375,2451.744620120347,1.5228191618014025e-05,0.8293175584020462,Delamination
Steel,Ti,174.92877482872478,Rough,Laser,2130.052181610096,51.08553877093507,4531.101167714468,465.0506282703394,14.852222922054416,906.3881816504983,166.1114856576795,0.888,1499.6378317206747,0.00020424384628051122,1.3342591058137043,0.15348451126765528,0.038791462556781085,11858.020201386003,1.4149339184442787e-05,0.8598179957904816,Delamination
Cu,Cu,454.20736919006634,Polished,Resistance_Spot,2369.205995956783,94.27910460333811,4115.013180387412,244.92962537160065,43.66795846940437,281.4756908046384,52.27656956799831,1.0,143.35283610192016,0.00011358003301675309,1.4799981403410931,0.12584823206644635,0.05311091146750277,1033.0701337496105,0.0,0.846861335632707,Mechanical_Fatigue
Ti,Cu,260.20539171191274,Rough,Laser,669.1535174241905,54.13330837256559,4110.673011108551,110.2436591867761,34.642969473436104,900.2342903481058,190.29018279135585,0.3295,179.37011093598483,0.00019708213191775518,0.34063096167160895,0.059249136159274074,0.05889488218980758,595.5845598943972,8.366671343379282e-05,0.33933160535202644,Thermal_Fatigue
Al,Steel,226.45766613617255,Rough,Laser,2026.1709380932311,80.37997772423628,787.5133126928391,288.2560942095177,19.221040461731963,454.5730201301968,178.65716307650865,0.393,51.55087698938228,0.000594605554469901,0.9566369508481803,0.12927763081084118,0.05646539794901877,204.91372004713378,7.836926035912756e-05,0.39105850415175064,Mechanical_Fatigue
Cu,Ni,375.7419672416228,Rough,USW,1748.3808696172507,61.590074063347615,1391.0170867531697,567.9044869763483,5.306100649323923,529.2512320415376,275.5919572629426,0.505,110.0135089791486,0.0004053211101892707,1.6757329122761022,0.3566338274417903,0.0787781546228438,395.90262407371597,6.141640661230915e-05,0.4650825789268848,Mechanical_Fatigue
Ni,Ni,459.3262085973104,Plated,Resistance_Spot,2379.1098479365164,89.56353027134493,4903.28196585771,178.34210528628128,19.92540258100788,605.3944587397933,264.2108233417915,1.0,384.35920969616683,0.00013924043881501034,1.27912665836077,0.2160002252812938,0.062130005514170195,2108.184052627058,0.0,0.8386499644022263,Delamination
Cu,Al,61.26635130684973,Polished,Laser,4297.443717522282,50.383288145508345,4756.3477926875385,49.36352259224528,48.35027957337071,289.2210343268514,25.749343203285335,0.6234999999999999,33.56084220128961,0.0001060090752815469,0.55993072171943,0.05107874105604904,0.043480769274138915,275.4966076932533,3.191955315289346e-05,0.6534598036974909,Mechanical_Fatigue
Cu,Cu,251.70748094992842,Plated,Laser,1044.6484333396234,72.62335011674534,1210.0688986281932,454.3546216489201,6.126186268671107,835.7202375553994,295.685929117858,1.0,93.44296174851202,0.00026376106389171716,0.80816568912111,0.20111757934229146,0.037659106715070945,845.1045568416248,0.0,1.0131756688456812,Mechanical_Fatigue
Ti,Al,324.8516102350763,Plated,USW,3077.922696026151,51.96836972963692,2221.223083766436,353.95779741595106,42.46045561491955,958.3910539022689,178.32404589443607,0.281,247.77126147851925,0.000285140060215826,1.6316458135495642,0.11684021702054226,0.07655658274815307,519.3772575405874,5.00645732820224e-05,0.2312865880803501,Thermal_Fatigue
Al,Ti,193.35339415669532,Plated,USW,284.42173978444794,87.13246612030227,864.121226854195,426.18671878302695,16.93976530622418,284.2140723362855,276.4754404138074,0.281,125.29349662350408,0.0004413885624524568,0.5577749084369394,0.05260275300769156,0.08417015501334911,259.7449773425791,5.5510365629029246e-05,0.2521814614919665,Thermal_Fatigue
Ni,Steel,397.58347495545877,Plated,Friction_Stir,1652.2832602901028,99.49318112281445,1386.9270422662767,459.5920765086614,33.07360546085113,1.1403879512376327,61.785440627509644,0.9365,289.452102895893,0.00038156376948966656,1.8896153520993653,0.12004994280188956,0.021801400745076253,4561.441246458684,4.408379580173608e-06,1.0367982593944143,Delamination
Steel,Al,487.16468162162323,Anodized,Resistance_Spot,2416.0223335541928,31.89834927333207,1005.1696169039374,768.4097660246831,31.94563226211088,526.087292647674,214.983254122578,0.393,94.79138387758096,0.0008724911304104477,2.3594482651610726,0.17496934230824407,0.09050161027617402,231.16348204984408,5.7457859942430553e-05,0.293760633875453,Mechanical_Fatigue
Steel,Cu,474.54231481262747,Polished,USW,463.96783890802647,52.69050668865298,496.5914545225352,961.3175867374217,16.953873364179277,593.2564793016363,148.34675363274354,0.4415,66.65338937138824,0.0004481078852391654,1.0347053325957463,0.11265899664949301,0.07221454017763512,234.76587146363363,4.7994363224338195e-05,0.38836227676543733,Mechanical_Fatigue
Cu,Ti,169.69214272097383,Polished,Laser,2765.4428796551542,17.313101178434838,2939.4464429005297,269.66159293941,3.6603608094772024,64.42742834798534,57.55587921305046,0.3295,274.15849969617983,0.00015412483383257257,1.1337020934807744,0.29552477835108754,0.05049063138173376,1067.8871075741667,5.751618918777076e-05,0.3602511833088906,Thermal_Fatigue
Ti,Ni,151.8522252968687,Rough,USW,1620.5955432531923,22.68958999724102,1279.8498944587807,942.974890725578,8.292113290131908,673.2220790310121,26.36162414227348,0.8245,900.3052483949905,0.0005397514416861764,1.9756929831229764,0.16925603560664598,0.045118203456605006,6908.870748464995,2.3708108250193315e-05,0.7860002338886135,Delamination
Ti,Ti,480.8707389595495,Polished,Electron_Beam,4964.769066602333,93.62351640210147,4961.978219533329,236.09186403607467,28.726590242607294,292.77407993542886,80.55781116562639,1.0,1693.1862486071639,0.00014013091053277377,1.0321920601720174,0.24695046026804457,0.01615548654544948,24253.51116517652,0.0,1.0464722500108357,Delamination
Steel,Al,256.38281934415966,Plated,Friction_Stir,3191.7505607097896,58.92523988418471,2625.6547795583656,757.3956555309866,47.494041285735726,958.7081237383043,24.68187298278025,0.393,183.73481985357589,0.00020679119615480595,3.6258958295907058,0.10213184254630193,0.029745150055840133,1079.3974559347737,4.697322285784142e-05,0.4418909415423579,Thermal_Fatigue
Ni,Cu,143.73397538811128,Coated,Friction_Stir,1296.458460477015,45.560441550345566,1859.5621701489415,684.5325880194201,46.36263627287618,781.6334550740798,187.3794165691713,0.505,156.22235619939394,0.0004082632886575038,2.338039878850267,0.04378186204068231,0.03483948329025282,957.0704846684268,4.820160312892637e-05,0.5082113529752671,Thermal_Fatigue
Al,Al,368.1486336336882,Polished,Resistance_Spot,603.0989026929242,70.43342763767978,4574.494639873756,61.69999431316017,6.560166713309735,73.50888974144601,105.37927779461174,1.0,72.26904876037429,0.00011498622041578994,0.37890517173182986,0.18524230260194682,0.05342480309349724,528.8406048176672,0.0,0.8280688610477714,Mechanical_Fatigue
Ni,Ni,177.9891457567062,Coated,Friction_Stir,299.52691892054344,60.41451594881007,3141.6562675328387,727.6725850021627,43.886215830429514,954.4146460586211,287.0266195235194,1.0,597.2046075769771,0.00033861852276405985,1.2101589258490668,0.02584604377400913,0.023992424516278362,6209.960247995303,0.0,0.9470669663163894,Delamination
Al,Ni,170.26113878197356,Anodized,Resistance_Spot,544.7889954385369,35.98459506705032,722.6862139191418,902.1114647549192,12.456663730841878,228.00159014658738,197.12203786376426,0.4565,87.56993503892795,0.000986590450895653,1.32089117764033,0.08333020163817907,0.09330057952214996,217.19293721672727,5.224035604007047e-05,0.3511390101788881,Mechanical_Fatigue
Steel,Cu,445.6620693850031,Rough,Electron_Beam,3432.291682441774,30.395305563417907,2539.320236910568,930.9200737776384,45.5836857545943,798.5289082159948,233.839605119312,0.4415,222.96235664564716,0.0002862484409064536,1.7964323256813384,0.14718684404245927,0.027575426404007574,1005.8609760212345,6.427320616362136e-05,0.46842970528151207,Thermal_Fatigue
Al,Steel,123.11561901960656,Rough,Laser,4289.462152372266,63.12157750081946,2261.2878387360474,688.341470351212,38.16619270788559,643.6370149122099,141.45444104758593,0.393,155.09362360273997,0.00032570327833338373,2.13228863397118,0.09703120593345399,0.056063787510036205,615.5151756474678,7.947651130651001e-05,0.4202992802232669,Thermal_Fatigue
Ti,Ti,78.97682590980638,Rough,Electron_Beam,867.9922620842816,26.94389600902643,3849.1471352003796,788.7221561390498,48.10193002667819,536.7633497269406,94.8149096391089,1.0,3091.690035308944,0.00024546714433739325,0.771642872350498,0.0292724993546671,0.01637516493775447,34992.885641749,0.0,0.8788012400243876,Delamination
Cu,Ti,171.13389807725926,Anodized,Resistance_Spot,2070.458822408497,22.52548906949674,3499.5105913406132,80.82643151846118,22.644694557857196,932.7309186500542,234.86169432174393,0.3295,139.7225459639125,0.0003674869745646215,0.7889016667593811,0.12092084033293175,0.09904012343731812,263.7568096430354,6.786472966080907e-05,0.26683535980985995,Thermal_Fatigue
Cu,Ni,323.1254357771917,Plated,Resistance_Spot,1835.7531816598687,38.65488062203549,1916.8774652119923,169.64011967694165,36.8476813142027,606.2694784653705,150.95207645542516,0.505,68.63414240302282,0.0002647293842607798,1.0479860379353338,0.10253179804625516,0.09198117068479035,238.90199321843807,3.7394965055126234e-05,0.37233280680457254,Mechanical_Fatigue
Steel,Al,105.38953403147175,Coated,Resistance_Spot,3258.138646821556,87.52069568291215,2400.448672789729,269.8548658205916,37.028470310578584,858.8646880193447,299.87541459505695,0.393,101.83602116299087,0.0004021004366547333,1.7377541733075266,0.07488607206558877,0.10377069508047063,235.73038797893227,6.493350810060943e-05,0.27262405020162833,Mechanical_Fatigue
Ti,Al,262.21760252455715,Polished,Laser,995.1216204459805,13.313749683054596,2642.0615110210033,536.024989105334,25.31241977432027,827.8704382347455,185.9127698441945,0.281,306.86362956249485,0.00019089089635003183,0.9492177498436803,0.09267942506063857,0.059164598710790085,830.3347253750209,6.162129136034342e-05,0.26046539847264066,Thermal_Fatigue
Ni,Steel,332.30169969139394,Plated,Resistance_Spot,4771.264621192806,84.99396282604204,2170.0585635913817,392.3822980400067,48.75141579726079,672.5030959060285,256.6442516336563,0.9365,459.4797117429017,0.00027740572635277257,2.523615997566233,0.1411550171510306,0.0717022745158018,1839.7291727117763,5.030519895128117e-06,0.7654794590300604,Delamination
Ti,Al,431.93164666692826,Rough,Electron_Beam,3669.926271264216,65.8876452606964,627.8347327563816,660.5636854635937,12.939453920040352,490.8766008080834,100.61031704207129,0.281,143.4096103226143,0.000624373016564205,1.6301953173269834,0.34827038017319645,0.027378758421396764,453.4275372323551,8.878737137873477e-05,0.2842436643680006,Thermal_Fatigue
Cu,Ti,153.44131604101446,Rough,Laser,4779.8522065347615,13.633548180128729,4536.684810803769,451.2318991162196,49.32448708595038,99.05736286910121,139.52288129178623,0.3295,458.7919003614046,0.0001740698640421776,1.8972479355845213,0.09734206367243126,0.06332009097713164,1676.9307140588805,8.49406443346917e-05,0.3199351674824764,Thermal_Fatigue
Cu,Al,417.80584552225525,Plated,Electron_Beam,1459.1093002714956,64.18350247494624,3395.5439573428876,777.2720179471474,40.793812889394246,154.84084636744592,87.36933772147027,0.6234999999999999,158.41102688136812,0.0001620721832986665,1.0378701112803868,0.09563677186030503,0.022710115147827704,1232.9573592993415,2.7425864364543166e-05,0.6491735326478842,Thermal_Fatigue
Ti,Steel,155.70781750905735,Coated,Laser,2979.8066255069225,48.34174642771479,2401.629218653926,716.4522011835207,31.1887632651341,533.275472491807,237.11659850558794,0.888,1325.988162938135,0.00043779123498625066,1.8837958091939797,0.10351093412713647,0.04426222081572064,10205.800968393982,1.062715932993042e-05,0.8474017520965934,Delamination
Ti,Ti,354.5449435578382,Plated,Resistance_Spot,3688.1128918406444,85.7014847294809,2890.9760345208033,749.8085836395485,4.703741096277858,332.87406129606694,232.0290027128203,1.0,2402.7614342099214,0.00022925068840596937,3.4515864201208615,0.4638192519152939,0.0640961655162583,16438.909496035223,0.0,0.8085147181155622,Delamination
Cu,Al,243.8031071671048,Anodized,Laser,3583.685491561896,91.64788395967412,1144.501724599384,830.5603156145932,13.708778306077116,208.6396396171418,185.95047948210268,0.6234999999999999,88.9599796751525,0.0007237490744914253,2.3385383249514704,0.23756288264094386,0.04674937796285863,528.1469404058765,3.6347779189780646e-05,0.6195136796824995,Mechanical_Fatigue
Ni,Ti,101.60655907040157,Rough,USW,204.59588719898125,35.78438450778549,2699.726030615044,835.8801907323538,42.22282712515284,967.1196089527353,224.70718849483023,0.8245,1357.0904944094525,0.0003321878998768736,0.688713563005126,0.01764817347515317,0.05817273430294383,7689.685399578033,2.189997805287156e-05,0.7843336882732114,Delamination
Steel,Ni,371.4185582698319,Coated,Electron_Beam,4991.616901100437,80.5753008150508,3755.536110714398,781.7568566983908,36.6795270733428,858.7528096836493,120.96321431935439,0.9365,709.4482675308251,0.00029384459381319976,2.0140997467604644,0.172687811718931,0.01892604869880438,7070.647127520096,6.779146871980548e-06,0.9987398754428062,Delamination
Steel,Ni,147.993178347058,Polished,USW,4647.493866567047,37.882254638884554,2715.004386116207,75.2673164070887,48.17193378020997,430.8538453447568,265.8609031766673,0.9365,150.51943028533657,0.00020117679282415438,0.9343450429348195,0.08990397648401595,0.05884079413028879,916.3758323139067,5.218463566474087e-06,0.8272916475086265,Delamination
Ti,Ni,129.48054171106617,Rough,USW,686.7851982357926,36.60719116049569,2455.26032601744,626.9713179613846,20.442575952903372,871.2184206038451,278.2442316520787,0.8245,1066.8832368550595,0.0003513146837732974,1.0946431519597901,0.0618314356520265,0.0598736933545419,6002.968778611542,2.141741041451485e-05,0.7623215009960232,Delamination
Steel,Al,211.24531786522243,Plated,Resistance_Spot,2763.477194046335,27.3374506634345,2365.6897854126023,29.591537661942375,44.828243445753166,60.40233032598821,205.91545560312738,0.393,22.360820418919758,0.0002215263023393063,0.5511116522261349,0.09071077953997465,0.0892066631561249,101.9775509626416,4.729416014901017e-05,0.31852230779872054,Mechanical_Fatigue
Cu,Steel,343.98061014176756,Coated,Resistance_Spot,1641.326631065139,71.0640125454176,3831.951686761823,746.3214492384566,43.229476168896134,100.12821516625631,124.43171138523778,0.4415,237.08688934619445,0.0002474442964648032,2.226944263242835,0.09356425931082492,0.08815905645017867,695.1406074363769,6.78420574057668e-05,0.33971993160391134,Thermal_Fatigue
Cu,Ti,155.2984154557825,Rough,USW,4406.580678029004,33.55169311240924,3791.364380977894,70.44716252661871,48.34058248355237,948.0902961561061,255.69857050693327,0.3295,141.58807585311104,0.00021373063083934477,0.8865308833234272,0.09191241370850207,0.08050787115924381,276.28426139725656,8.566651390938998e-05,0.31176643562214995,Thermal_Fatigue
Ti,Cu,132.64769245184857,Polished,Laser,3517.846189881955,51.83725078206284,3775.3441169210105,983.3828451459584,14.350066284243601,689.1102866039938,294.56757745714515,0.3295,529.7791355940531,0.00013392754869569545,2.3779207193508975,0.19664380107161838,0.06168181598035,1586.7832629908016,5.562883183941386e-05,0.3502924827480097,Thermal_Fatigue
Ti,Ni,54.47913157101395,Polished,Resistance_Spot,1195.2340679887259,83.0915278728145,1306.2329897698662,617.9374272723064,25.232083889593497,764.5466636433115,182.1182050323846,0.8245,686.8702236103535,0.0003291731997615221,1.5468631079361121,0.046074053281177696,0.07155082756228348,3714.773061965246,1.4495106184702318e-05,0.6369859276596833,Delamination
Ti,Ni,262.2393936957756,Plated,Electron_Beam,265.91961229972486,81.27215575366532,3127.6853425396557,190.17811533243113,4.967206175378827,833.0575430837738,204.75716558903477,0.8245,675.2542467456325,0.0001942539398993385,0.19864233212284793,0.12128756230782907,0.020503240443641844,6478.346244157554,1.1730464835154271e-05,0.8385244688977611,Delamination
