Participant_ID,Country,Age,Gender,Education,Income_Level,Bank_Type,Years_with_Account,Frequency_of_Use,Past_Victim
P0579,2,40,1,2,1,3,2.1,2,1
P0580,2,31,2,5,5,2,1.6,3,0
P0581,2,53,1,2,2,1,4.1,5,0
P0582,2,48,1,5,4,1,1.0,1,0
P0583,2,61,2,6,5,1,3.7,2,0
P0584,2,42,1,5,5,2,0.5,1,0
P0585,2,70,1,1,2,3,8.1,1,0
P0586,2,42,1,4,4,1,10.6,2,0
P0587,2,31,1,5,5,3,3.2,1,1
P0588,2,33,1,5,4,2,0.5,2,0
P0589,2,46,1,5,3,1,12.9,2,0
P0590,2,32,2,5,5,2,1.5,1,0
P0591,2,70,1,4,4,1,13.8,1,0
P0592,2,45,2,4,4,2,1.1,3,0
P0593,2,39,2,3,3,2,0.5,1,0
P0594,2,40,1,3,2,3,15.2,4,1
P0595,2,36,2,4,4,1,1.0,2,0
P0596,2,24,1,4,3,2,2.3,2,0
P0597,2,33,2,5,5,2,0.8,1,0
P0598,2,67,1,4,4,1,3.0,1,0
P0599,2,42,1,3,2,1,1.0,1,0
P0600,2,56,2,3,2,2,3.3,1,1
P0601,2,56,2,2,2,1,1.0,2,1
P0602,2,38,2,3,2,1,6.2,3,0
P0603,2,49,1,5,4,2,4.5,1,0
P0604,2,24,2,2,3,3,4.1,1,1
P0605,2,65,1,3,3,1,8.1,2,0
P0606,2,62,1,2,3,1,15.5,3,0
P0607,2,46,1,6,5,1,8.0,5,0
P0608,2,42,2,5,5,2,0.5,2,0
P0609,2,39,1,3,4,1,1.8,2,0
P0610,2,58,1,4,4,2,1.1,2,1
P0611,2,51,2,5,5,1,1.0,4,0
P0612,2,19,1,5,4,2,1.0,3,0
P0613,2,34,1,4,2,1,3.8,2,0
P0614,2,27,1,6,5,2,0.7,1,1
P0615,2,26,2,6,3,1,2.3,2,0
P0616,2,58,1,6,5,1,7.8,2,0
P0617,2,38,1,5,5,1,2.3,3,0
P0618,2,46,2,5,5,2,0.5,2,0
P0619,2,40,2,4,3,2,0.7,1,0
P0620,2,26,1,5,5,1,1.6,3,0
P0621,2,24,2,4,3,2,0.5,3,0
P0622,2,34,2,5,6,2,0.5,1,1
P0623,2,35,2,4,4,1,9.7,3,0
P0624,2,35,1,5,4,1,4.4,2,0
P0625,2,35,2,5,5,1,5.9,4,0
P0626,2,75,2,2,1,3,0.5,4,0
P0627,2,55,1,5,6,2,2.0,2,0
P0628,2,42,1,5,4,1,1.4,3,0
P0629,2,38,1,5,4,1,11.4,4,0
P0630,2,38,1,4,4,2,0.6,1,0
P0631,2,50,2,3,3,3,3.7,2,1
P0632,2,38,1,6,5,1,5.4,3,0
P0633,2,53,1,3,2,3,1.1,2,1
P0634,2,44,2,5,6,1,2.0,2,0
P0635,2,75,1,4,3,1,1.2,4,0
P0636,2,37,2,4,5,2,0.6,2,1
P0637,2,57,1,3,1,2,1.3,1,1
P0638,2,28,1,5,4,2,0.9,1,0
P0639,2,32,1,4,3,2,4.9,1,0
P0640,2,75,1,1,1,3,1.6,2,0
P0641,2,52,1,3,1,3,1.6,2,0
P0642,2,46,2,1,2,2,1.0,3,0
P0643,2,75,2,6,5,1,14.7,2,0
P0644,2,38,1,6,5,1,11.2,2,1
P0645,2,57,2,3,2,3,6.0,3,1
P0646,2,58,2,5,3,1,13.9,5,0
P0647,2,68,2,3,2,3,7.2,3,0
P0648,2,27,1,5,4,2,1.4,1,0
P0649,2,38,1,5,5,1,4.7,1,0
P0650,2,43,1,6,5,1,1.0,3,0
P0651,2,68,2,3,4,1,4.4,3,0
P0652,2,45,2,5,5,3,0.5,3,0
P0653,2,58,1,3,4,1,10.3,2,1
P0654,2,26,1,6,5,1,4.6,1,0
P0655,2,35,2,2,1,2,6.5,2,0
P0656,2,62,2,4,4,1,11.6,2,1
P0657,2,37,3,5,4,1,6.7,1,1
P0658,2,39,2,5,4,1,8.8,1,0
P0659,2,67,1,2,2,2,0.5,1,0
P0660,2,30,2,6,5,2,0.5,1,1
P0661,2,32,2,4,4,1,1.0,3,0
P0662,2,26,1,5,4,2,0.5,1,0
P0663,2,68,2,2,2,3,3.9,2,0
P0664,2,55,2,3,4,1,11.6,1,1
P0665,2,54,1,4,4,1,5.7,5,0
P0666,2,35,2,4,5,1,7.9,4,0
P0667,2,25,2,3,3,1,5.3,1,0
P0668,2,24,2,3,3,2,1.9,1,1
P0669,2,63,1,3,1,1,6.0,1,0
P0670,2,47,1,5,5,2,0.7,2,0
P0671,2,50,2,5,5,1,2.3,1,1
P0672,2,43,1,3,3,1,5.4,3,0
P0673,2,30,2,4,4,2,2.6,2,1
P0674,2,35,2,3,2,1,1.0,4,1
P0675,2,28,1,2,1,3,3.3,2,1
P0676,2,27,1,5,5,1,9.0,3,0
P0677,2,53,1,4,4,2,0.6,3,0
P0678,2,24,1,3,1,1,6.0,1,1
P0679,2,28,2,4,2,2,0.5,1,1
P0680,2,36,2,2,1,1,5.0,1,0
P0681,2,40,2,5,5,2,2.4,1,1
P0682,2,26,2,6,5,1,1.1,1,0
P0683,2,24,1,3,3,2,0.9,2,0
P0684,2,45,2,3,2,1,1.0,2,0
P0685,2,42,2,5,6,3,0.5,5,0
P0686,2,62,2,6,6,1,1.2,1,0
P0687,2,40,2,4,3,1,8.2,5,0
P0688,2,47,1,2,2,2,5.8,1,1
P0689,2,31,2,3,1,1,3.2,4,0
P0690,2,31,1,5,5,1,3.5,2,0
P0691,2,26,1,4,3,3,2.1,1,0
P0692,2,31,1,2,3,3,0.7,4,0
P0693,2,35,2,5,3,1,17.0,2,1
P0694,2,60,2,1,2,3,2.6,4,1
P0695,2,30,2,5,5,2,3.3,2,0
P0696,2,75,2,3,2,1,9.1,2,1
P0697,2,48,2,2,1,3,4.5,3,0
P0698,2,45,2,5,6,1,11.4,3,0
P0699,2,39,1,4,4,3,7.9,1,0
P0700,2,37,1,6,5,1,8.2,3,0
P0701,2,32,1,5,4,2,2.7,3,0
P0702,2,25,2,4,4,1,1.0,1,0
P0703,2,30,2,5,3,1,6.2,1,0
P0704,2,68,1,3,1,1,1.6,3,0
P0705,2,47,1,6,6,3,4.3,3,0
P0706,2,68,2,3,2,3,3.9,3,0
P0707,2,32,1,5,4,2,1.0,1,1
P0708,2,28,2,3,2,1,10.0,2,0
P0709,2,39,2,4,4,1,6.7,1,0
P0710,2,30,1,5,3,1,2.5,2,1
P0711,2,42,1,5,5,1,5.2,3,1
P0712,2,24,2,3,1,1,6.0,2,0
P0713,2,22,2,3,1,2,4.0,2,0
P0714,2,44,2,5,3,1,6.3,5,0
P0715,2,69,2,6,6,1,9.6,3,0
P0716,2,45,1,3,1,1,1.6,4,0
P0717,2,47,1,4,3,1,4.0,2,0
P0718,2,40,2,4,4,1,7.9,3,0
P0719,2,41,2,6,5,3,3.4,1,1
P0720,2,25,1,3,2,2,0.8,1,0
P0721,2,31,2,4,2,2,0.5,1,0
P0722,2,59,2,5,5,1,2.2,2,1
P0723,2,28,1,3,3,1,3.2,4,0
P0724,2,35,1,4,3,1,3.9,2,1
P0725,2,59,2,3,2,3,4.8,4,1
P0726,2,41,1,4,2,2,7.1,2,0
P0727,2,41,1,4,3,1,1.0,3,0
P0728,2,35,1,5,3,1,5.8,2,0
P0729,2,49,2,3,3,1,10.5,3,0
P0730,2,54,2,4,5,1,19.1,2,0
P0731,2,30,2,5,6,3,2.0,1,0
P0732,2,26,1,5,6,2,4.6,5,0
P0733,2,23,2,3,3,1,5.0,1,0
P0734,2,46,2,3,2,1,22.2,1,0
P0735,2,44,2,3,3,1,4.0,4,0
P0736,2,75,2,3,2,1,3.9,2,1
P0737,2,40,1,4,4,1,5.5,3,0
P0738,2,38,2,5,5,2,0.5,1,0
P0739,2,43,1,2,1,3,0.5,3,1
P0740,2,43,2,2,1,1,1.0,2,0
P0741,2,37,1,4,5,2,0.6,1,0
P0742,2,30,1,5,3,1,3.1,2,1
P0743,2,39,1,3,2,1,5.6,3,0
P0744,2,39,2,5,6,1,17.1,2,1
P0745,2,39,1,3,3,1,2.7,4,0
P0746,2,51,2,5,5,1,5.6,1,0
P0747,2,39,1,6,5,1,7.6,2,1
P0748,2,26,1,4,3,2,2.5,2,0
P0749,2,32,2,4,5,3,3.9,5,0
P0750,2,36,1,4,4,1,8.4,1,1
P0751,2,40,1,3,2,1,3.7,3,1
P0752,2,47,2,5,3,1,5.4,4,1
P0753,2,40,1,5,3,2,1.4,1,0
P0754,2,22,1,4,5,1,1.4,4,0
P0755,2,27,1,5,5,2,2.4,1,0
P0756,2,48,2,4,4,1,2.4,3,0
P0757,2,36,2,3,4,1,11.1,4,1
P0758,2,41,2,5,5,2,4.3,2,0
P0759,2,35,2,4,2,1,2.8,2,0
P0760,2,32,1,5,5,1,14.0,1,0
P0761,2,35,1,4,4,1,7.7,4,0
P0762,2,41,2,3,2,2,0.5,2,1
P0763,2,39,1,6,6,1,20.5,1,0
P0764,2,54,1,2,2,1,7.7,3,0
P0765,2,25,1,6,6,3,5.1,3,1
P0766,2,25,1,6,4,1,2.4,1,0
P0767,2,36,3,5,4,2,3.6,1,0
P0768,2,47,1,5,6,2,0.5,1,0
P0769,2,50,1,4,4,1,10.6,3,0
P0770,2,32,1,6,6,1,7.6,3,0
P0771,2,20,2,3,2,1,1.1,2,1
P0772,2,32,1,5,4,2,1.1,3,0
P0773,2,44,1,5,5,2,2.3,3,1
P0774,2,39,2,4,4,2,0.8,2,1
P0775,2,47,2,4,3,3,1.1,1,1
P0776,2,59,1,3,3,1,1.4,3,0
P0777,2,37,1,5,3,1,12.2,2,0
P0778,2,34,1,6,5,1,13.7,2,0
P0779,2,29,1,4,4,2,3.7,2,1
P0780,2,25,1,6,6,1,6.3,2,0
P0781,2,24,1,4,2,1,1.5,4,0
P0782,2,31,1,5,4,2,0.5,1,0
P0783,2,56,1,4,4,1,2.9,3,0
P0784,2,49,2,5,5,3,0.9,1,0
P0785,2,33,2,2,2,3,8.9,5,0
P0786,2,75,2,5,3,1,6.1,1,0
P0787,2,32,1,3,1,3,9.3,1,0
P0788,2,61,1,5,4,1,4.8,2,0
P0789,2,66,2,6,6,1,6.7,2,1
P0790,2,45,1,4,4,1,6.0,1,0
P0791,2,31,1,4,5,1,8.2,3,0
P0792,2,34,2,5,4,2,1.5,1,0
P0793,2,41,2,3,3,1,4.5,1,0
P0794,2,26,2,6,3,2,0.5,1,1
P0795,2,28,1,3,3,1,8.3,4,0
P0796,2,28,1,3,4,2,2.2,2,0
P0797,2,47,2,6,5,2,0.5,2,1
P0798,2,58,1,4,5,1,5.9,3,1
P0799,2,50,2,5,4,1,7.2,2,0
P0800,2,55,2,3,3,1,2.7,1,0
P0801,2,30,2,5,5,1,1.7,1,1
P0802,2,35,1,5,6,2,0.7,3,0
P0803,2,36,1,5,4,2,2.2,4,0
P0804,2,45,2,5,5,1,6.5,2,1
P0805,2,31,2,5,5,1,2.6,1,1
P0806,2,53,2,3,1,1,6.6,1,0
P0807,2,66,1,3,2,3,4.8,3,0
P0808,2,46,1,5,4,1,7.5,3,0
P0809,2,34,2,4,3,3,0.8,1,1
P0810,2,30,2,5,6,2,1.9,4,0
P0811,2,28,2,4,3,1,3.8,2,0
P0812,2,22,1,4,5,2,1.0,4,0
P0813,2,36,2,5,5,3,4.4,4,0
P0814,2,35,2,3,2,2,2.2,3,0
P0815,2,52,2,1,3,1,1.2,3,1
P0816,2,32,1,3,1,1,8.9,3,0
P0817,2,37,1,5,6,2,2.5,2,1
P0818,2,43,2,5,4,2,1.4,2,0
P0819,2,46,1,2,1,3,4.3,4,0
P0820,2,50,1,5,5,2,0.6,5,0
P0821,2,41,2,4,3,2,0.8,2,0
P0822,2,26,1,5,5,3,1.4,4,1
P0823,2,44,2,6,6,1,5.1,4,0
P0824,2,31,1,4,3,2,1.2,1,0
P0825,2,59,2,3,1,3,0.5,1,0
P0826,2,39,2,1,1,3,7.4,3,1
P0827,2,42,1,3,2,2,0.5,2,0
P0828,2,75,1,3,1,1,5.1,4,0
P0829,2,50,1,1,1,3,2.4,3,0
P0830,2,44,1,5,4,2,0.8,2,0
P0831,2,37,2,4,2,1,12.1,3,0
P0832,2,27,2,5,4,2,1.1,1,1
P0833,2,36,1,3,1,1,18.0,3,0
P0834,2,30,1,4,4,1,2.6,4,0
P0835,2,69,1,4,4,1,2.3,1,0
P0836,2,44,2,6,5,1,8.4,3,0
P0837,2,59,1,1,2,2,0.5,2,0
P0838,2,32,2,6,5,2,0.5,1,1
P0839,2,30,2,5,5,2,0.5,1,1
P0840,2,48,2,5,3,2,0.5,5,1
P0841,2,29,1,5,5,1,6.9,2,1
P0842,2,34,2,3,1,1,5.4,1,0
P0843,2,70,1,2,1,3,9.9,2,0
P0844,2,34,1,5,6,1,1.1,3,0
P0845,2,25,2,4,3,3,2.9,4,0
P0846,2,23,2,5,4,2,0.9,2,0
P0847,2,24,1,4,4,2,1.0,1,0
P0848,2,60,1,2,2,3,1.9,5,0
P0849,2,32,1,5,6,1,3.7,2,1
P0850,2,75,1,3,2,1,15.0,2,1
P0851,2,66,1,4,4,1,8.3,2,1
P0852,2,75,1,4,3,1,1.0,2,0
P0853,2,55,1,6,6,3,1.9,4,0
P0854,2,48,2,5,5,1,6.4,4,0
P0855,2,30,2,5,3,2,1.2,1,0
P0856,2,39,2,5,6,2,1.9,3,0
P0857,2,49,1,6,5,1,4.0,3,0
P0858,2,54,2,3,1,1,9.7,4,0
P0859,2,27,2,2,2,1,3.9,2,0
P0860,2,36,2,4,3,2,0.5,2,0
P0861,2,38,2,3,4,1,12.0,1,0
P0862,2,37,2,5,4,2,3.6,3,0
P0863,2,28,2,5,5,2,1.4,1,0
P0864,2,73,1,4,2,3,0.5,4,0
P0865,2,36,2,1,3,3,0.5,2,0
P0866,2,29,2,5,5,1,4.5,2,0
P0867,2,74,2,3,2,3,4.2,4,0
P0868,2,66,2,4,5,2,3.1,3,0
P0869,2,41,1,5,4,1,4.8,3,0
P0870,2,23,1,3,1,3,1.8,4,0
P0871,2,33,2,3,2,1,1.0,2,0
P0872,2,24,2,3,3,1,3.9,2,0
P0873,2,46,2,5,5,1,3.7,2,0
P0874,2,33,1,6,5,3,0.5,1,0
P0875,2,38,1,5,4,1,10.1,2,0
P0876,2,71,2,2,1,3,1.5,4,0
P0877,2,32,2,5,6,2,0.9,2,0
P0878,2,46,2,5,4,1,5.3,3,0
P0879,2,50,1,5,6,1,9.8,3,1
P0880,2,59,2,2,1,3,1.7,1,0
P0881,2,38,1,1,1,1,3.6,1,0
P0882,2,36,2,5,6,2,1.2,2,1
P0883,2,36,1,4,4,1,5.5,1,1
P0884,2,44,1,3,3,1,3.3,1,0
P0885,2,65,2,1,3,3,1.3,3,0
P0886,2,35,2,5,3,1,7.5,3,0
P0887,2,20,1,5,3,2,0.5,1,0
P0888,2,53,2,6,6,1,12.8,3,1
P0889,2,40,1,5,4,1,5.1,3,1
P0890,2,46,1,4,3,1,7.0,2,0
P0891,2,24,1,3,1,2,0.6,3,0
P0892,2,33,1,5,3,1,8.7,3,0
P0893,2,51,1,3,3,1,1.3,3,0
P0894,2,26,1,5,4,2,3.3,2,1
P0895,2,46,1,4,4,1,6.7,1,1
P0896,2,38,2,3,2,1,3.4,3,0
P0897,2,31,1,3,1,3,7.4,3,0
P0898,2,30,2,4,4,2,1.1,4,0
P0899,2,28,1,3,1,2,1.5,3,0
P0900,2,40,2,3,3,2,0.5,2,1
P0901,2,41,1,6,6,1,11.8,1,0
P0902,2,34,1,5,5,2,0.6,1,0
P0903,2,28,1,5,5,2,2.3,1,0
P0904,2,45,1,6,5,1,15.4,2,1
P0905,2,53,1,6,6,1,1.9,2,0
P0906,2,48,2,5,6,1,8.0,2,1
P0907,2,75,2,5,4,1,3.5,1,1
P0908,2,37,2,4,4,3,0.6,5,1
P0909,2,62,2,3,4,1,7.4,1,0
P0910,2,31,1,5,6,2,0.8,4,0
P0911,2,30,1,5,5,1,7.9,4,0
P0912,2,40,1,5,5,1,5.1,2,0
P0913,2,68,1,3,2,3,1.6,4,0
P0914,2,35,1,3,4,1,1.9,2,0
P0915,2,24,2,4,2,2,0.9,2,0
P0916,2,53,1,2,2,1,8.6,2,1
P0917,2,38,1,5,4,2,1.0,1,0
P0918,2,43,2,5,4,1,6.1,2,0
P0919,2,30,2,5,5,1,12.0,2,1
P0920,2,40,1,5,6,1,8.6,2,1
P0921,2,25,2,6,4,1,3.0,1,1
P0922,2,74,2,4,2,1,5.6,2,1
P0923,2,56,1,5,4,1,9.8,1,1
P0924,2,40,1,5,5,2,0.5,1,0
P0925,2,52,1,2,2,3,7.4,2,0
P0926,2,31,2,2,1,2,0.8,1,0
P0927,2,55,2,3,2,1,7.2,1,0
P0928,2,35,1,4,2,1,17.0,4,0
P0929,2,34,1,5,4,3,1.1,1,0
P0930,2,29,2,5,5,2,0.5,2,0
P0931,2,45,1,3,2,3,1.9,2,0
P0932,2,39,1,3,3,1,2.6,4,0
P0933,2,63,2,6,6,1,1.6,2,1
P0934,2,28,2,3,3,1,5.2,2,0
P0935,2,45,2,4,5,1,9.5,2,1
P0936,2,58,2,4,2,3,0.8,3,0
P0937,2,75,2,4,3,3,4.1,3,1
P0938,2,41,1,3,4,1,10.1,1,1
P0939,2,35,2,2,2,2,1.2,5,0
P0940,2,41,1,3,1,3,5.3,3,0
P0941,2,61,2,4,3,1,4.1,2,0
P0942,2,61,1,4,3,1,13.1,3,1
P0943,2,37,2,3,3,1,1.7,2,1
P0944,2,61,1,4,4,1,8.1,4,1
P0945,2,39,1,5,6,1,3.8,2,0
P0946,2,52,1,1,1,2,1.2,2,0
P0947,2,47,1,4,4,1,3.1,1,1
P0948,2,34,2,5,5,1,6.3,4,0
P0949,2,29,2,4,3,1,3.2,3,0
P0950,2,59,1,3,1,2,5.1,1,0
P0951,2,66,1,4,4,2,1.7,1,1
P0952,2,45,1,6,5,1,11.9,2,0
P0953,2,39,1,5,5,1,2.8,5,0
P0954,2,27,1,5,4,3,0.5,2,0
P0955,2,58,2,5,5,3,6.4,3,1
P0956,2,43,1,4,5,1,18.1,1,1
P0957,2,36,1,5,5,1,2.5,2,0
P0958,2,52,1,3,2,3,5.2,4,0
P0959,2,26,1,4,4,2,1.3,4,0
P0960,2,28,1,5,4,3,3.4,3,1
P0961,2,31,2,5,5,2,1.2,3,0
P0962,2,46,1,4,4,1,5.0,2,0
P0963,2,41,1,6,5,1,9.8,1,1
P0964,2,48,1,2,2,1,1.3,2,0
P0965,2,57,1,3,3,1,3.4,3,0
P0966,2,49,1,2,1,2,0.5,4,0
P0967,2,75,2,5,5,1,12.6,4,0
P0968,2,57,2,5,4,1,5.4,1,1
P0969,2,37,2,4,4,2,0.6,1,0
P0970,2,33,1,5,4,1,5.7,1,0
P0971,2,38,1,4,2,2,0.6,4,0
P0972,2,50,2,5,5,1,4.1,4,0
P0973,2,34,2,5,5,2,0.9,2,0
P0974,2,50,2,3,2,3,12.6,3,0
P0975,2,48,1,6,6,1,2.2,2,0
P0976,2,29,1,4,3,3,0.5,3,0
P0977,2,56,1,2,1,1,4.6,2,0
P0978,2,44,2,5,5,1,9.8,2,1
P0979,2,73,2,6,6,1,7.8,1,0
P0980,2,39,2,4,4,1,4.6,1,1
P0981,2,35,1,2,1,3,3.5,4,1
P0982,2,28,2,4,2,2,0.6,3,0
P0983,2,28,1,5,5,2,5.9,1,0
P0984,2,54,1,2,3,1,1.0,2,0
P0985,2,70,1,4,3,2,6.7,1,1
P0986,2,37,2,6,6,1,4.9,3,0
P0987,2,37,1,4,5,2,1.2,3,0
P0988,2,40,1,4,3,1,3.8,3,0
P0989,2,58,2,3,2,1,1.0,3,0
P0990,2,29,1,3,3,1,1.2,1,1
P0991,2,42,1,6,5,3,6.3,2,0
P0992,2,54,1,3,2,1,7.8,2,0
P0993,2,46,1,4,4,1,1.3,2,0
P0994,2,19,2,4,4,2,1.0,2,0
P0995,2,49,1,4,4,1,2.4,2,0
P0996,2,46,1,5,3,1,3.5,1,0
P0997,2,62,2,1,1,2,2.3,1,0
P0998,2,68,2,5,4,1,6.7,5,0
P0999,2,61,2,6,5,3,0.5,2,1
P1000,2,40,1,5,5,2,4.3,2,0
