Participant_ID,Data_Collection_Date,Country,Country_Name,Age,Gender,Gender_Label,Education,Education_Label,Income_Level,Income_Label,Income_Band_NGN,Income_Band_GHS,Bank_Type,Bank_Type_Label,Years_with_Account,Frequency_of_Use,Frequency_Label,Past_Victim,Past_Victim_Label
P0125,2025-01-15 12:24:00,1,Nigeria,56,1,Male,6,Postgraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,1.3,1,Daily,0,No
P0126,2025-01-15 12:30:00,1,Nigeria,56,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,1.0,2,Several times a week,0,No
P0127,2025-01-15 12:36:00,1,Nigeria,46,1,Male,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,3.5,3,Weekly,0,No
P0128,2025-01-15 12:42:00,1,Nigeria,46,2,Female,3,Secondary,1,Very Low,"< ₦50,000/month",< GH₵500/month,1,Traditional Commercial Bank,6.8,2,Several times a week,1,Yes
P0129,2025-01-15 12:48:00,1,Nigeria,46,2,Female,5,Undergraduate,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",1,Traditional Commercial Bank,15.8,2,Several times a week,1,Yes
P0130,2025-01-15 12:54:00,1,Nigeria,54,1,Male,1,No formal education,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",1,Traditional Commercial Bank,7.2,3,Weekly,0,No
P0131,2025-01-15 13:00:00,1,Nigeria,49,1,Male,3,Secondary,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",1,Traditional Commercial Bank,6.3,4,Monthly,0,No
P0132,2025-01-15 13:06:00,1,Nigeria,30,1,Male,6,Postgraduate,6,High,"> ₦800,000/month","> GH₵8,000/month",1,Traditional Commercial Bank,12.0,1,Daily,1,Yes
P0133,2025-01-15 13:12:00,1,Nigeria,36,1,Male,4,Vocational/Diploma,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",1,Traditional Commercial Bank,5.7,1,Daily,0,No
P0134,2025-01-15 13:18:00,1,Nigeria,75,2,Female,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",3,Microfinance Bank,2.1,4,Monthly,0,No
P0135,2025-01-15 13:24:00,1,Nigeria,23,2,Female,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,2.8,1,Daily,1,Yes
P0136,2025-01-15 13:30:00,1,Nigeria,33,1,Male,6,Postgraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,3.2,2,Several times a week,1,Yes
P0137,2025-01-15 13:36:00,1,Nigeria,56,1,Male,6,Postgraduate,6,High,"> ₦800,000/month","> GH₵8,000/month",2,Digital-Only Bank,1.4,1,Daily,0,No
P0138,2025-01-15 13:42:00,1,Nigeria,31,3,Other/Prefer not to say,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,9.0,1,Daily,1,Yes
P0139,2025-01-15 13:48:00,1,Nigeria,49,1,Male,2,Primary,1,Very Low,"< ₦50,000/month",< GH₵500/month,3,Microfinance Bank,1.1,4,Monthly,0,No
P0140,2025-01-15 13:54:00,1,Nigeria,39,2,Female,4,Vocational/Diploma,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,9.2,2,Several times a week,1,Yes
P0141,2025-01-15 14:00:00,1,Nigeria,31,1,Male,3,Secondary,1,Very Low,"< ₦50,000/month",< GH₵500/month,2,Digital-Only Bank,2.3,1,Daily,0,No
P0142,2025-01-15 14:06:00,1,Nigeria,22,1,Male,2,Primary,1,Very Low,"< ₦50,000/month",< GH₵500/month,1,Traditional Commercial Bank,4.0,2,Several times a week,0,No
P0143,2025-01-15 14:12:00,1,Nigeria,41,1,Male,4,Vocational/Diploma,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",3,Microfinance Bank,0.5,4,Monthly,1,Yes
P0144,2025-01-15 14:18:00,1,Nigeria,30,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,3.6,3,Weekly,0,No
P0145,2025-01-15 14:24:00,1,Nigeria,37,2,Female,5,Undergraduate,6,High,"> ₦800,000/month","> GH₵8,000/month",1,Traditional Commercial Bank,8.9,1,Daily,1,Yes
P0146,2025-01-15 14:30:00,1,Nigeria,46,1,Male,4,Vocational/Diploma,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",3,Microfinance Bank,1.9,3,Weekly,0,No
P0147,2025-01-15 14:36:00,1,Nigeria,52,1,Male,4,Vocational/Diploma,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,2.5,3,Weekly,0,No
P0148,2025-01-15 14:42:00,1,Nigeria,33,1,Male,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,0.7,3,Weekly,0,No
P0149,2025-01-15 14:48:00,1,Nigeria,31,1,Male,2,Primary,1,Very Low,"< ₦50,000/month",< GH₵500/month,3,Microfinance Bank,3.0,4,Monthly,0,No
P0150,2025-01-15 14:54:00,1,Nigeria,26,1,Male,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,1.2,1,Daily,0,No
P0151,2025-01-15 15:00:00,1,Nigeria,53,1,Male,4,Vocational/Diploma,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",3,Microfinance Bank,1.5,4,Monthly,0,No
P0152,2025-01-15 15:06:00,1,Nigeria,75,2,Female,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",3,Microfinance Bank,4.8,4,Monthly,0,No
P0153,2025-01-15 15:12:00,1,Nigeria,55,1,Male,1,No formal education,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",1,Traditional Commercial Bank,1.8,1,Daily,1,Yes
P0154,2025-01-15 15:18:00,1,Nigeria,60,1,Male,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,2.8,1,Daily,0,No
P0155,2025-01-15 15:24:00,1,Nigeria,31,2,Female,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,0.8,1,Daily,0,No
P0156,2025-01-15 15:30:00,1,Nigeria,45,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,2.9,3,Weekly,1,Yes
P0157,2025-01-15 15:36:00,1,Nigeria,51,2,Female,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,7.0,1,Daily,0,No
P0158,2025-01-15 15:42:00,1,Nigeria,18,1,Male,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,0.0,2,Several times a week,0,No
P0159,2025-01-15 15:48:00,1,Nigeria,28,2,Female,5,Undergraduate,6,High,"> ₦800,000/month","> GH₵8,000/month",3,Microfinance Bank,1.0,5,Less than monthly,0,No
P0160,2025-01-15 15:54:00,1,Nigeria,68,2,Female,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",3,Microfinance Bank,0.5,4,Monthly,0,No
P0161,2025-01-15 16:00:00,1,Nigeria,25,2,Female,6,Postgraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,0.5,4,Monthly,0,No
P0162,2025-01-15 16:06:00,1,Nigeria,64,3,Other/Prefer not to say,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,6.5,5,Less than monthly,0,No
P0163,2025-01-15 16:12:00,1,Nigeria,25,1,Male,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,7.0,1,Daily,0,No
P0164,2025-01-15 16:18:00,1,Nigeria,28,2,Female,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,1.5,2,Several times a week,0,No
P0165,2025-01-15 16:24:00,1,Nigeria,45,1,Male,4,Vocational/Diploma,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",2,Digital-Only Bank,2.1,1,Daily,1,Yes
P0166,2025-01-15 16:30:00,1,Nigeria,40,1,Male,3,Secondary,1,Very Low,"< ₦50,000/month",< GH₵500/month,1,Traditional Commercial Bank,7.3,4,Monthly,0,No
P0167,2025-01-15 16:36:00,1,Nigeria,34,1,Male,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,3.7,1,Daily,0,No
P0168,2025-01-15 16:42:00,1,Nigeria,67,2,Female,6,Postgraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,7.8,5,Less than monthly,0,No
P0169,2025-01-15 16:48:00,1,Nigeria,26,1,Male,6,Postgraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,3.1,2,Several times a week,1,Yes
P0170,2025-01-15 16:54:00,1,Nigeria,37,2,Female,4,Vocational/Diploma,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",3,Microfinance Bank,0.9,4,Monthly,0,No
P0171,2025-01-15 17:00:00,1,Nigeria,47,2,Female,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,1.0,1,Daily,0,No
P0172,2025-01-15 17:06:00,1,Nigeria,43,2,Female,3,Secondary,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",1,Traditional Commercial Bank,6.2,1,Daily,0,No
P0173,2025-01-15 17:12:00,1,Nigeria,32,2,Female,6,Postgraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,2.2,2,Several times a week,0,No
P0174,2025-01-15 17:18:00,1,Nigeria,32,1,Male,6,Postgraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,12.3,1,Daily,1,Yes
P0175,2025-01-15 17:24:00,1,Nigeria,52,1,Male,4,Vocational/Diploma,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",3,Microfinance Bank,5.8,4,Monthly,1,Yes
P0176,2025-01-15 17:30:00,1,Nigeria,53,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,7.7,1,Daily,0,No
P0177,2025-01-15 17:36:00,1,Nigeria,43,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,1.0,3,Weekly,0,No
P0178,2025-01-15 17:42:00,1,Nigeria,30,1,Male,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,3.7,2,Several times a week,0,No
P0179,2025-01-15 17:48:00,1,Nigeria,32,1,Male,3,Secondary,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",2,Digital-Only Bank,5.3,2,Several times a week,0,No
P0180,2025-01-15 17:54:00,1,Nigeria,39,1,Male,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,1.6,2,Several times a week,0,No
P0181,2025-01-15 18:00:00,1,Nigeria,40,2,Female,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,2.2,1,Daily,0,No
P0182,2025-01-15 18:06:00,1,Nigeria,47,2,Female,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,4.2,1,Daily,0,No
P0183,2025-01-15 18:12:00,1,Nigeria,36,1,Male,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,3.9,1,Daily,0,No
P0184,2025-01-15 18:18:00,1,Nigeria,52,2,Female,6,Postgraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,4.1,3,Weekly,0,No
P0185,2025-01-15 18:24:00,1,Nigeria,51,1,Male,2,Primary,1,Very Low,"< ₦50,000/month",< GH₵500/month,3,Microfinance Bank,2.0,3,Weekly,0,No
P0186,2025-01-15 18:30:00,1,Nigeria,61,1,Male,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,10.5,3,Weekly,0,No
P0187,2025-01-15 18:36:00,1,Nigeria,39,2,Female,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,0.7,1,Daily,0,No
P0188,2025-01-15 18:42:00,1,Nigeria,43,1,Male,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,3.0,1,Daily,0,No
P0189,2025-01-15 18:48:00,1,Nigeria,37,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,0.5,1,Daily,0,No
P0190,2025-01-15 18:54:00,1,Nigeria,30,3,Other/Prefer not to say,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,3.5,1,Daily,0,No
P0191,2025-01-15 19:00:00,1,Nigeria,75,2,Female,2,Primary,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",2,Digital-Only Bank,1.1,1,Daily,0,No
P0192,2025-01-15 19:06:00,1,Nigeria,58,2,Female,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,2.5,5,Less than monthly,1,Yes
P0193,2025-01-15 19:12:00,1,Nigeria,51,2,Female,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,5.8,4,Monthly,0,No
P0194,2025-01-15 19:18:00,1,Nigeria,39,2,Female,3,Secondary,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",2,Digital-Only Bank,6.5,1,Daily,0,No
P0195,2025-01-15 19:24:00,1,Nigeria,29,1,Male,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,4.3,3,Weekly,1,Yes
P0196,2025-01-15 19:30:00,1,Nigeria,54,1,Male,3,Secondary,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",2,Digital-Only Bank,5.4,3,Weekly,0,No
P0197,2025-01-15 19:36:00,1,Nigeria,37,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,0.8,1,Daily,0,No
P0198,2025-01-15 19:42:00,1,Nigeria,45,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,0.5,1,Daily,1,Yes
P0199,2025-01-15 19:48:00,1,Nigeria,32,2,Female,3,Secondary,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",1,Traditional Commercial Bank,12.4,1,Daily,0,No
P0200,2025-01-15 19:54:00,1,Nigeria,42,1,Male,1,No formal education,1,Very Low,"< ₦50,000/month",< GH₵500/month,2,Digital-Only Bank,5.8,2,Several times a week,0,No
P0201,2025-01-15 20:00:00,1,Nigeria,33,2,Female,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,5.7,5,Less than monthly,0,No
P0202,2025-01-15 20:06:00,1,Nigeria,33,2,Female,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,2.1,3,Weekly,0,No
P0203,2025-01-15 20:12:00,1,Nigeria,42,2,Female,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",3,Microfinance Bank,18.3,1,Daily,0,No
P0204,2025-01-15 20:18:00,1,Nigeria,25,2,Female,5,Undergraduate,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",2,Digital-Only Bank,2.3,1,Daily,0,No
P0205,2025-01-15 20:24:00,1,Nigeria,25,2,Female,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,0.5,2,Several times a week,1,Yes
P0206,2025-01-15 20:30:00,1,Nigeria,31,1,Male,6,Postgraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,7.1,4,Monthly,1,Yes
P0207,2025-01-15 20:36:00,1,Nigeria,36,2,Female,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,0.5,2,Several times a week,1,Yes
P0208,2025-01-15 20:42:00,1,Nigeria,52,1,Male,4,Vocational/Diploma,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",2,Digital-Only Bank,0.5,2,Several times a week,1,Yes
P0209,2025-01-15 20:48:00,1,Nigeria,37,2,Female,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,1.0,1,Daily,1,Yes
P0210,2025-01-15 20:54:00,1,Nigeria,39,1,Male,3,Secondary,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",2,Digital-Only Bank,3.6,3,Weekly,0,No
P0211,2025-01-15 21:00:00,1,Nigeria,35,2,Female,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,2.0,3,Weekly,0,No
P0212,2025-01-15 21:06:00,1,Nigeria,43,2,Female,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,0.5,1,Daily,0,No
P0213,2025-01-15 21:12:00,1,Nigeria,30,1,Male,6,Postgraduate,6,High,"> ₦800,000/month","> GH₵8,000/month",2,Digital-Only Bank,0.7,2,Several times a week,1,Yes
P0214,2025-01-15 21:18:00,1,Nigeria,37,1,Male,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,2.1,1,Daily,0,No
P0215,2025-01-15 21:24:00,1,Nigeria,45,3,Other/Prefer not to say,5,Undergraduate,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",1,Traditional Commercial Bank,6.9,1,Daily,1,Yes
P0216,2025-01-15 21:30:00,1,Nigeria,42,1,Male,4,Vocational/Diploma,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,3.9,1,Daily,0,No
P0217,2025-01-15 21:36:00,1,Nigeria,39,2,Female,2,Primary,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",1,Traditional Commercial Bank,6.4,1,Daily,0,No
P0218,2025-01-15 21:42:00,1,Nigeria,39,2,Female,2,Primary,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",3,Microfinance Bank,2.0,2,Several times a week,1,Yes
P0219,2025-01-15 21:48:00,1,Nigeria,46,1,Male,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,0.7,1,Daily,0,No
P0220,2025-01-15 21:54:00,1,Nigeria,75,1,Male,2,Primary,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",1,Traditional Commercial Bank,9.4,2,Several times a week,0,No
P0221,2025-01-15 22:00:00,1,Nigeria,30,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,6.1,2,Several times a week,0,No
P0222,2025-01-15 22:06:00,1,Nigeria,75,2,Female,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,4.9,2,Several times a week,0,No
P0223,2025-01-15 22:12:00,1,Nigeria,30,1,Male,6,Postgraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,1.3,1,Daily,0,No
P0224,2025-01-15 22:18:00,1,Nigeria,21,1,Male,4,Vocational/Diploma,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",1,Traditional Commercial Bank,1.0,3,Weekly,0,No
P0225,2025-01-15 22:24:00,1,Nigeria,33,1,Male,4,Vocational/Diploma,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",1,Traditional Commercial Bank,5.1,2,Several times a week,0,No
P0226,2025-01-15 22:30:00,1,Nigeria,44,2,Female,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,5.6,1,Daily,0,No
P0227,2025-01-15 22:36:00,1,Nigeria,74,2,Female,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,6.8,4,Monthly,1,Yes
P0228,2025-01-15 22:42:00,1,Nigeria,29,3,Other/Prefer not to say,4,Vocational/Diploma,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",1,Traditional Commercial Bank,6.5,3,Weekly,0,No
P0229,2025-01-15 22:48:00,1,Nigeria,46,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,0.7,3,Weekly,0,No
P0230,2025-01-15 22:54:00,1,Nigeria,26,2,Female,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,1.0,1,Daily,1,Yes
P0231,2025-01-15 23:00:00,1,Nigeria,73,2,Female,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,3.8,1,Daily,0,No
P0232,2025-01-15 23:06:00,1,Nigeria,58,2,Female,6,Postgraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,6.5,2,Several times a week,1,Yes
P0233,2025-01-15 23:12:00,1,Nigeria,33,2,Female,3,Secondary,1,Very Low,"< ₦50,000/month",< GH₵500/month,2,Digital-Only Bank,0.8,1,Daily,0,No
P0234,2025-01-15 23:18:00,1,Nigeria,62,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,1.0,2,Several times a week,0,No
P0235,2025-01-15 23:24:00,1,Nigeria,37,1,Male,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,2.8,1,Daily,0,No
P0236,2025-01-15 23:30:00,1,Nigeria,59,2,Female,6,Postgraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,5.2,4,Monthly,1,Yes
P0237,2025-01-15 23:36:00,1,Nigeria,39,1,Male,4,Vocational/Diploma,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",1,Traditional Commercial Bank,1.5,1,Daily,1,Yes
P0238,2025-01-15 23:42:00,1,Nigeria,39,2,Female,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,1.1,3,Weekly,0,No
P0239,2025-01-15 23:48:00,1,Nigeria,33,2,Female,3,Secondary,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",2,Digital-Only Bank,0.8,3,Weekly,0,No
P0240,2025-01-15 23:54:00,1,Nigeria,48,1,Male,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",3,Microfinance Bank,1.3,3,Weekly,1,Yes
P0241,2025-01-16 00:00:00,1,Nigeria,40,2,Female,2,Primary,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",3,Microfinance Bank,5.2,4,Monthly,0,No
P0242,2025-01-16 00:06:00,1,Nigeria,46,1,Male,6,Postgraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,4.6,3,Weekly,0,No
P0243,2025-01-16 00:12:00,1,Nigeria,24,1,Male,5,Undergraduate,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",1,Traditional Commercial Bank,6.0,4,Monthly,0,No
P0244,2025-01-16 00:18:00,1,Nigeria,60,2,Female,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,5.4,1,Daily,1,Yes
P0245,2025-01-16 00:24:00,1,Nigeria,66,2,Female,6,Postgraduate,6,High,"> ₦800,000/month","> GH₵8,000/month",1,Traditional Commercial Bank,6.9,3,Weekly,0,No
P0246,2025-01-16 00:30:00,1,Nigeria,40,1,Male,3,Secondary,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,1.5,1,Daily,0,No
P0247,2025-01-16 00:36:00,1,Nigeria,75,1,Male,3,Secondary,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,7.4,4,Monthly,0,No
P0248,2025-01-16 00:42:00,1,Nigeria,71,2,Female,1,No formal education,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",3,Microfinance Bank,11.8,3,Weekly,1,Yes
