participant_id,Intention_T1,SRB1,SRB2,SRB3,SRB4,SRB5,SRB_Mean,Objective_Q1_Choice,Objective_Q1_Score,Objective_Q2_Choice,Objective_Q2_Score,Objective_Q3_Choice,Objective_Q3_Score,Objective_Q4_Choice,Objective_Q4_Score,Objective_Q5_Choice,Objective_Q5_Score,Objective_Score_Total,Objective_Score_Percent,Intention_Behavior_Gap
905,3.6,4,5,5,4,5,4.6,b,2,b,2,a,0,c,1,b,2,7,70.0,0.7556
906,2.12,2,1,2,2,2,1.8,a,0,a,0,a,0,a,0,b,2,2,20.0,-1.4653
907,5.66,1,3,4,3,3,2.8,a,0,a,0,a,0,c,1,a,0,1,10.0,-1.8454
908,5.09,5,5,5,5,6,5.2,c,1,b,2,b,2,a,0,c,1,6,60.0,0.7761
909,6.41,6,6,6,5,6,5.8,b,2,c,1,b,2,b,2,b,2,9,90.0,0.8597
910,4.3,4,3,4,4,4,3.8,c,1,a,0,c,1,b,2,c,1,5,50.0,-0.3145
911,4.6,5,4,6,5,4,4.8,b,2,a,0,c,1,b,2,b,2,7,70.0,0.5672
912,4.27,4,5,5,4,4,4.4,b,2,b,2,b,2,a,0,a,0,6,60.0,0.2959
913,4.75,5,4,4,4,6,4.6,b,2,c,1,c,1,c,1,b,2,7,70.0,0.308
914,1.98,3,4,4,4,4,3.8,b,2,a,0,a,0,b,2,a,0,4,40.0,0.5879
915,5.13,5,5,6,4,6,5.2,b,2,c,1,b,2,b,2,a,0,7,70.0,0.76
916,5.77,2,4,2,3,4,3.0,b,2,b,2,b,2,b,2,b,2,10,100.0,-1.6894
917,6.19,3,4,3,4,4,3.6,a,0,c,1,b,2,b,2,a,0,5,50.0,-1.2537
918,2.63,3,3,4,4,4,3.6,b,2,c,1,b,2,b,2,c,1,8,80.0,0.1345
919,3.24,6,5,6,7,6,6.0,a,0,b,2,a,0,a,0,b,2,4,40.0,2.297
920,2.76,2,2,1,3,2,2.0,a,0,b,2,a,0,c,1,a,0,3,30.0,-1.5153
921,3.72,4,4,5,3,4,4.0,a,0,c,1,b,2,b,2,c,1,6,60.0,0.109
922,2.27,4,3,3,2,5,3.4,a,0,a,0,a,0,a,0,c,1,1,10.0,0.0751
923,3.61,5,5,6,5,5,5.2,a,0,b,2,b,2,b,2,b,2,8,80.0,1.3523
924,3.19,1,1,2,2,2,1.6,b,2,b,2,a,0,b,2,a,0,6,60.0,-2.0844
925,4.65,3,4,3,4,5,3.8,b,2,a,0,b,2,b,2,b,2,8,80.0,-0.4538
926,3.05,6,4,4,6,6,5.2,b,2,b,2,c,1,b,2,c,1,8,80.0,1.5738
927,4.11,2,2,2,3,3,2.4,a,0,a,0,a,0,b,2,a,0,2,20.0,-1.641
928,3.7,3,4,5,5,4,4.2,a,0,c,1,a,0,b,2,a,0,3,30.0,0.3183
929,3.84,4,4,4,5,4,4.2,a,0,a,0,a,0,a,0,a,0,0,0.0,0.2644
930,2.26,2,2,3,2,2,2.2,c,1,c,1,a,0,c,1,c,1,4,40.0,-1.1187
931,3.09,4,3,2,3,3,3.0,c,1,b,2,c,1,c,1,b,2,7,70.0,-0.6432
932,4.56,2,3,2,3,4,2.8,c,1,a,0,c,1,b,2,a,0,4,40.0,-1.4173
933,2.03,4,4,4,4,4,4.0,a,0,b,2,c,1,b,2,a,0,5,50.0,0.771
934,2.94,2,2,4,2,3,2.6,a,0,c,1,a,0,a,0,a,0,1,10.0,-0.9855
935,3.83,5,7,6,6,7,6.2,c,1,a,0,c,1,a,0,c,1,3,30.0,2.2663
936,2.0,6,6,6,5,5,5.6,b,2,a,0,a,0,c,1,c,1,4,40.0,2.3819
937,3.51,2,3,3,3,4,3.0,a,0,b,2,b,2,a,0,a,0,4,40.0,-0.8086
938,4.62,3,4,3,4,4,3.6,b,2,c,1,a,0,b,2,b,2,7,70.0,-0.6414
939,3.16,2,2,2,3,3,2.4,b,2,b,2,a,0,b,2,c,1,7,70.0,-1.2711
940,4.57,4,3,3,4,5,3.8,b,2,b,2,b,2,b,2,b,2,10,100.0,-0.4197
941,3.28,5,4,4,6,4,4.6,a,0,b,2,b,2,b,2,c,1,7,70.0,0.8822
942,6.03,4,4,5,4,4,4.2,c,1,c,1,a,0,c,1,b,2,5,50.0,-0.5932
943,2.7,2,1,3,3,2,2.2,a,0,a,0,b,2,c,1,c,1,4,40.0,-1.2909
944,2.92,4,5,4,5,5,4.6,b,2,b,2,c,1,b,2,b,2,9,90.0,1.0213
945,3.64,5,4,3,4,4,4.0,a,0,a,0,b,2,a,0,a,0,2,20.0,0.1409
946,4.14,4,6,6,6,6,5.6,c,1,c,1,b,2,a,0,a,0,4,40.0,1.5458
947,4.59,2,2,1,2,2,1.8,a,0,b,2,b,2,c,1,c,1,6,60.0,-2.4276
948,3.64,3,3,4,4,3,3.4,b,2,b,2,b,2,b,2,b,2,10,100.0,-0.4562
949,4.54,4,3,3,3,4,3.4,b,2,b,2,c,1,b,2,b,2,9,90.0,-0.8079
950,2.35,3,2,3,3,3,2.8,b,2,a,0,a,0,b,2,c,1,5,50.0,-0.554
951,5.14,5,4,5,5,5,4.8,b,2,a,0,a,0,b,2,b,2,6,60.0,0.3547
952,4.9,6,5,7,7,5,6.0,b,2,b,2,b,2,c,1,b,2,9,90.0,1.6499
953,5.33,2,3,3,3,4,3.0,b,2,c,1,b,2,b,2,b,2,9,90.0,-1.5199
954,4.91,4,4,6,5,6,5.0,b,2,c,1,a,0,b,2,b,2,7,70.0,0.6475
955,3.51,5,5,5,5,6,5.2,b,2,b,2,b,2,b,2,c,1,9,90.0,1.3934
956,2.96,2,1,3,1,2,1.8,b,2,b,2,a,0,b,2,a,0,6,60.0,-1.7944
957,4.95,4,4,3,3,2,3.2,c,1,a,0,c,1,a,0,b,2,4,40.0,-1.1691
958,3.33,3,4,2,3,3,3.0,a,0,a,0,b,2,a,0,a,0,2,20.0,-0.7381
959,2.59,4,4,5,4,6,4.6,b,2,b,2,b,2,b,2,c,1,9,90.0,1.1525
960,5.46,4,5,5,6,4,4.8,b,2,b,2,b,2,b,2,b,2,10,100.0,0.2303
961,3.93,4,3,5,4,4,4.0,a,0,c,1,c,1,a,0,a,0,2,20.0,0.0289
962,5.99,4,4,5,4,5,4.4,b,2,c,1,b,2,b,2,a,0,7,70.0,-0.375
963,3.65,4,2,4,2,4,3.2,c,1,c,1,a,0,c,1,b,2,5,50.0,-0.6638
964,2.88,3,3,4,2,3,3.0,a,0,a,0,a,0,b,2,a,0,2,20.0,-0.5598
965,2.95,4,4,3,3,5,3.8,b,2,a,0,c,1,a,0,b,2,5,50.0,0.2117
966,2.58,2,4,3,3,3,3.0,c,1,c,1,c,1,b,2,c,1,6,60.0,-0.4433
967,5.21,4,3,4,4,4,3.8,b,2,b,2,a,0,a,0,c,1,5,50.0,-0.6715
968,3.3,2,2,3,2,2,2.2,b,2,a,0,a,0,a,0,c,1,3,30.0,-1.5235
969,4.1,5,5,5,5,7,5.4,b,2,c,1,a,0,a,0,c,1,4,40.0,1.3615
970,3.3,5,5,5,5,6,5.2,b,2,b,2,b,2,b,2,c,1,9,90.0,1.4748
971,4.76,5,6,6,5,7,5.8,a,0,c,1,b,2,a,0,b,2,5,50.0,1.5026
972,5.0,3,5,4,2,3,3.4,b,2,a,0,b,2,a,0,b,2,6,60.0,-0.9904
973,2.42,4,4,4,4,4,4.0,a,0,b,2,b,2,b,2,a,0,6,60.0,0.6199
974,3.79,4,4,4,5,5,4.4,a,0,a,0,a,0,a,0,a,0,0,0.0,0.4839
975,3.23,3,5,3,4,3,3.6,a,0,b,2,a,0,b,2,b,2,6,60.0,-0.0985
976,3.4,2,2,2,2,3,2.2,c,1,b,2,b,2,c,1,c,1,7,70.0,-1.5656
977,5.37,2,3,4,3,4,3.2,c,1,b,2,c,1,a,0,b,2,6,60.0,-1.3335
978,3.12,2,2,4,4,3,3.0,b,2,c,1,b,2,b,2,b,2,9,90.0,-0.6537
979,4.67,4,2,4,3,4,3.4,c,1,a,0,a,0,b,2,a,0,3,30.0,-0.8619
980,2.59,3,4,3,3,5,3.6,a,0,b,2,b,2,b,2,b,2,8,80.0,0.1501
981,4.01,4,5,3,3,4,3.8,b,2,b,2,b,2,b,2,c,1,9,90.0,-0.2033
982,4.72,3,2,4,3,3,3.0,a,0,b,2,a,0,b,2,a,0,4,40.0,-1.2785
983,5.22,4,2,2,3,2,2.6,b,2,c,1,a,0,a,0,b,2,5,50.0,-1.8746
984,3.17,2,2,2,3,2,2.2,a,0,a,0,a,0,b,2,b,2,4,40.0,-1.4764
985,5.87,5,6,4,6,7,5.6,b,2,b,2,b,2,b,2,c,1,9,90.0,0.8694
986,5.57,6,5,6,7,6,6.0,c,1,c,1,b,2,b,2,b,2,8,80.0,1.3892
987,5.73,3,3,4,5,5,4.0,b,2,b,2,a,0,b,2,b,2,8,80.0,-0.6729
988,2.72,2,3,3,3,4,3.0,a,0,b,2,a,0,b,2,c,1,5,50.0,-0.4972
989,4.78,4,3,5,2,4,3.6,b,2,b,2,c,1,b,2,c,1,8,80.0,-0.7038
990,4.08,6,5,6,7,6,6.0,b,2,b,2,b,2,c,1,b,2,9,90.0,1.9711
991,1.0,3,3,3,3,3,3.0,a,0,a,0,a,0,c,1,b,2,3,30.0,0.1725
992,2.81,2,2,2,3,4,2.6,b,2,b,2,b,2,b,2,b,2,10,100.0,-0.9347
993,5.56,4,4,3,4,4,3.8,b,2,c,1,c,1,b,2,a,0,6,60.0,-0.807
994,3.96,6,4,4,5,6,5.0,b,2,c,1,c,1,a,0,b,2,6,60.0,1.0173
995,2.69,3,5,4,4,4,4.0,c,1,a,0,b,2,a,0,a,0,3,30.0,0.5144
996,4.72,4,6,5,5,5,5.0,c,1,b,2,b,2,b,2,b,2,9,90.0,0.7213
997,4.46,3,3,4,3,4,3.4,a,0,c,1,b,2,a,0,a,0,3,30.0,-0.7779
998,5.23,4,5,5,5,5,4.8,c,1,b,2,b,2,c,1,c,1,7,70.0,0.3229
999,3.58,4,6,4,5,5,4.8,b,2,b,2,a,0,b,2,c,1,7,70.0,0.9637
1000,3.92,3,3,2,3,3,2.8,a,0,c,1,b,2,c,1,c,1,5,50.0,-1.1675
1001,2.95,3,4,5,4,3,3.8,a,0,b,2,b,2,c,1,a,0,5,50.0,0.2112
1002,3.66,5,5,5,5,5,5.0,a,0,b,2,a,0,a,0,a,0,2,20.0,1.1346
1003,4.06,5,4,4,3,4,4.0,b,2,b,2,b,2,b,2,b,2,10,100.0,-0.0224
1004,6.28,4,5,5,6,6,5.2,a,0,c,1,b,2,b,2,b,2,7,70.0,0.3105
1005,4.53,4,3,4,6,5,4.4,b,2,a,0,b,2,b,2,b,2,8,80.0,0.1949
1006,4.24,4,4,6,3,4,4.2,c,1,a,0,a,0,c,1,a,0,2,20.0,0.1076
1007,4.85,6,6,5,5,6,5.6,a,0,b,2,c,1,b,2,c,1,6,60.0,1.2694
1008,5.21,4,6,5,5,5,5.0,b,2,c,1,c,1,b,2,c,1,7,70.0,0.5287
1009,4.9,3,6,4,4,6,4.6,c,1,b,2,c,1,b,2,b,2,8,80.0,0.2504
1010,5.0,3,5,5,4,4,4.2,b,2,b,2,c,1,b,2,c,1,8,80.0,-0.1889
1011,4.86,3,3,3,4,4,3.4,b,2,b,2,b,2,c,1,b,2,9,90.0,-0.9337
1012,4.52,2,2,2,2,4,2.4,b,2,b,2,b,2,c,1,b,2,9,90.0,-1.8024
1013,3.2,4,3,4,4,4,3.8,a,0,a,0,b,2,c,1,b,2,5,50.0,0.114
1014,3.42,3,2,4,2,4,3.0,a,0,c,1,a,0,b,2,a,0,3,30.0,-0.7723
1015,3.66,3,3,3,4,5,3.6,b,2,c,1,b,2,c,1,a,0,6,60.0,-0.2679
1016,3.58,3,4,5,5,5,4.4,b,2,b,2,c,1,b,2,a,0,7,70.0,0.5671
1017,5.28,3,4,5,5,5,4.4,c,1,a,0,c,1,b,2,a,0,4,40.0,-0.0967
1018,2.92,4,4,4,5,4,4.2,c,1,b,2,b,2,b,2,b,2,9,90.0,0.6223
1019,3.65,2,1,2,2,2,1.8,c,1,a,0,c,1,b,2,c,1,5,50.0,-2.0622
1020,4.06,3,4,4,4,5,4.0,c,1,b,2,b,2,a,0,b,2,7,70.0,-0.0238
1021,4.41,4,4,6,5,5,4.8,b,2,b,2,b,2,c,1,b,2,9,90.0,0.6418
1022,4.25,5,5,4,4,4,4.4,b,2,c,1,a,0,b,2,b,2,7,70.0,0.3038
1023,4.03,2,3,2,3,3,2.6,a,0,b,2,a,0,b,2,b,2,6,60.0,-1.4086
1024,2.86,5,4,4,4,3,4.0,b,2,b,2,a,0,a,0,a,0,4,40.0,0.4446
1025,4.5,4,5,4,4,4,4.2,b,2,a,0,b,2,a,0,a,0,4,40.0,0.0079
1026,3.47,4,5,4,3,4,4.0,a,0,a,0,a,0,a,0,a,0,0,0.0,0.2068
1027,4.64,5,4,6,4,5,4.8,c,1,b,2,a,0,c,1,b,2,6,60.0,0.5505
1028,4.22,5,6,6,6,6,5.8,b,2,a,0,b,2,a,0,a,0,4,40.0,1.7145
1029,3.66,4,4,4,3,3,3.6,b,2,a,0,b,2,a,0,a,0,4,40.0,-0.2677
1030,4.04,5,5,5,5,5,5.0,b,2,b,2,b,2,a,0,a,0,6,60.0,0.9852
1031,7.0,4,4,3,4,5,4.0,b,2,c,1,b,2,c,1,b,2,8,80.0,-1.1699
1032,4.7,3,4,4,3,4,3.6,b,2,c,1,a,0,a,0,a,0,3,30.0,-0.6736
1033,3.56,2,2,4,3,3,2.8,a,0,b,2,a,0,a,0,b,2,4,40.0,-1.0267
1034,3.72,2,2,4,3,4,3.0,b,2,a,0,a,0,a,0,b,2,4,40.0,-0.8905
1035,4.3,4,4,3,4,4,3.8,a,0,b,2,b,2,c,1,a,0,5,50.0,-0.317
1036,3.61,3,3,4,3,4,3.4,a,0,c,1,a,0,b,2,a,0,3,30.0,-0.4469
1037,4.7,5,4,4,4,5,4.4,b,2,a,0,a,0,b,2,b,2,6,60.0,0.1261
1038,3.4,4,4,4,4,3,3.8,a,0,a,0,c,1,a,0,a,0,1,10.0,0.0346
1039,4.99,6,6,5,5,6,5.6,b,2,b,2,c,1,c,1,b,2,8,80.0,1.2164
1040,4.12,4,4,6,5,4,4.6,b,2,b,2,b,2,b,2,c,1,9,90.0,0.553
1041,4.64,2,4,3,3,4,3.2,b,2,c,1,c,1,a,0,a,0,4,40.0,-1.0477
1042,3.93,5,6,5,5,7,5.6,a,0,b,2,b,2,b,2,a,0,6,60.0,1.6288
1043,3.2,4,4,4,4,4,4.0,a,0,a,0,a,0,a,0,b,2,2,20.0,0.3128
1044,2.77,4,5,5,3,4,4.2,b,2,a,0,b,2,a,0,a,0,4,40.0,0.6803
1045,4.4,4,4,3,4,3,3.6,b,2,c,1,b,2,c,1,b,2,8,80.0,-0.553
1046,4.08,4,3,4,4,4,3.8,b,2,b,2,b,2,a,0,c,1,7,70.0,-0.231
1047,3.57,3,5,4,5,4,4.2,b,2,a,0,a,0,b,2,c,1,5,50.0,0.3682
1048,3.38,4,4,5,5,5,4.6,b,2,b,2,c,1,b,2,b,2,9,90.0,0.8424
1049,5.39,5,5,6,6,5,5.4,c,1,b,2,a,0,c,1,b,2,6,60.0,0.8576
1050,3.16,2,3,3,3,3,2.8,c,1,c,1,b,2,b,2,b,2,8,80.0,-0.8704
1051,3.04,2,3,2,3,2,2.4,c,1,c,1,a,0,a,0,b,2,4,40.0,-1.2259
1052,3.79,2,2,4,4,3,3.0,a,0,b,2,c,1,b,2,b,2,7,70.0,-0.9163
1053,6.08,4,5,5,4,5,4.6,a,0,a,0,c,1,b,2,b,2,5,50.0,-0.2108
1054,5.55,6,7,5,5,7,6.0,b,2,a,0,b,2,b,2,c,1,7,70.0,1.3973
1055,5.24,2,3,4,4,4,3.4,a,0,b,2,a,0,a,0,c,1,3,30.0,-1.0836
1056,3.12,5,4,3,3,6,4.2,b,2,a,0,b,2,b,2,c,1,7,70.0,0.5456
1057,4.08,5,5,3,4,4,4.2,c,1,c,1,b,2,b,2,b,2,8,80.0,0.1716
1058,3.75,4,5,5,5,5,4.8,a,0,a,0,b,2,a,0,a,0,2,20.0,0.9007
1059,3.44,3,3,4,4,4,3.6,b,2,b,2,b,2,b,2,b,2,10,100.0,-0.1789
1060,3.87,3,4,4,3,3,3.4,b,2,c,1,b,2,c,1,a,0,6,60.0,-0.5485
1061,3.34,4,5,5,5,4,4.6,c,1,b,2,b,2,c,1,a,0,6,60.0,0.8574
1062,4.89,6,6,6,6,7,6.2,b,2,b,2,c,1,a,0,b,2,7,70.0,1.8549
1063,5.88,3,3,3,4,3,3.2,c,1,b,2,a,0,b,2,c,1,6,60.0,-1.5316
1064,5.29,4,5,3,5,5,4.4,b,2,b,2,c,1,a,0,a,0,5,50.0,-0.1036
1065,4.49,5,4,4,5,5,4.6,a,0,b,2,c,1,b,2,a,0,5,50.0,0.4108
1066,2.7,4,3,2,3,3,3.0,b,2,c,1,c,1,c,1,b,2,7,70.0,-0.4904
1067,3.9,4,4,4,3,4,3.8,b,2,c,1,b,2,b,2,b,2,9,90.0,-0.1609
1068,5.52,4,5,4,5,5,4.6,b,2,a,0,b,2,b,2,b,2,8,80.0,0.0087
1069,4.37,3,3,3,4,4,3.4,b,2,b,2,a,0,b,2,b,2,8,80.0,-0.7426
1070,4.14,4,3,3,5,3,3.6,a,0,b,2,a,0,b,2,c,1,5,50.0,-0.4524
1071,3.39,5,4,4,3,4,4.0,a,0,c,1,b,2,b,2,b,2,7,70.0,0.2392
1072,2.3,4,5,4,3,4,4.0,a,0,a,0,b,2,c,1,b,2,5,50.0,0.6652
1073,4.13,3,3,6,3,5,4.0,a,0,b,2,a,0,b,2,b,2,6,60.0,-0.0479
1074,1.85,3,3,4,3,4,3.4,c,1,a,0,b,2,a,0,a,0,3,30.0,0.24
1075,3.99,3,3,4,3,4,3.4,a,0,b,2,b,2,b,2,c,1,7,70.0,-0.5937
1076,2.71,2,4,5,5,4,4.0,a,0,a,0,b,2,c,1,c,1,4,40.0,0.5067
1077,3.16,3,3,3,2,3,2.8,c,1,b,2,c,1,b,2,b,2,8,80.0,-0.8702
1078,5.39,5,6,6,5,5,5.4,b,2,c,1,b,2,b,2,c,1,8,80.0,0.8576
1079,4.5,5,4,4,4,4,4.2,b,2,b,2,b,2,b,2,b,2,10,100.0,0.0045
1080,3.32,5,5,5,6,4,5.0,b,2,b,2,a,0,b,2,c,1,7,70.0,1.2656
1081,4.06,3,4,3,3,3,3.2,b,2,a,0,b,2,b,2,c,1,7,70.0,-0.8225
1082,3.72,2,3,2,3,3,2.6,b,2,b,2,b,2,c,1,c,1,8,80.0,-1.2892
1083,3.64,4,4,3,4,3,3.6,b,2,b,2,b,2,b,2,b,2,10,100.0,-0.258
1084,4.1,4,5,5,4,6,4.8,a,0,a,0,b,2,c,1,a,0,3,30.0,0.762
1085,3.78,3,4,4,4,4,3.8,a,0,c,1,c,1,b,2,b,2,6,60.0,-0.1143
1086,3.42,4,4,5,4,5,4.4,b,2,b,2,c,1,a,0,b,2,7,70.0,0.6285
1087,3.04,2,4,3,2,4,3.0,b,2,c,1,a,0,b,2,b,2,7,70.0,-0.6237
1088,3.56,4,4,4,4,5,4.2,b,2,b,2,c,1,c,1,a,0,6,60.0,0.3716
1089,5.17,5,4,5,4,5,4.6,a,0,b,2,a,0,c,1,b,2,5,50.0,0.1427
1090,5.93,5,5,7,6,5,5.6,b,2,b,2,b,2,b,2,b,2,10,100.0,0.8462
1091,4.64,3,5,5,4,5,4.4,b,2,c,1,b,2,c,1,c,1,7,70.0,0.1522
1092,3.05,6,7,6,6,5,6.0,b,2,c,1,b,2,b,2,b,2,9,90.0,2.3711
1093,3.62,3,3,3,4,2,3.0,a,0,a,0,a,0,a,0,b,2,2,20.0,-0.8496
1094,4.32,5,5,6,5,6,5.4,c,1,c,1,a,0,b,2,c,1,5,50.0,1.2765
1095,1.54,3,3,3,4,3,3.2,b,2,c,1,c,1,a,0,a,0,4,40.0,0.1622
1096,4.96,3,4,4,3,3,3.4,b,2,c,1,b,2,b,2,b,2,9,90.0,-0.972
1097,2.94,4,5,4,4,6,4.6,b,2,b,2,a,0,b,2,a,0,6,60.0,1.0168
1098,4.15,4,5,5,5,5,4.8,b,2,b,2,c,1,b,2,c,1,8,80.0,0.7431
1099,4.49,6,7,5,6,6,6.0,b,2,b,2,b,2,b,2,b,2,10,100.0,1.8091
1100,4.7,3,4,4,4,4,3.8,b,2,a,0,b,2,b,2,c,1,7,70.0,-0.4723
1101,4.91,5,6,5,6,5,5.4,b,2,b,2,c,1,c,1,b,2,8,80.0,1.0477
1102,1.74,3,2,3,3,3,2.8,a,0,b,2,b,2,c,1,a,0,5,50.0,-0.3148
1103,3.55,5,4,4,4,6,4.6,b,2,b,2,c,1,b,2,a,0,7,70.0,0.776
1104,2.03,4,2,3,3,4,3.2,c,1,a,0,a,0,a,0,a,0,1,10.0,-0.0301
1105,3.71,3,1,3,4,4,3.0,c,1,b,2,b,2,c,1,b,2,8,80.0,-0.8871
1106,2.89,3,4,4,5,4,4.0,c,1,a,0,c,1,b,2,b,2,6,60.0,0.4341
1107,5.51,5,4,4,5,5,4.6,b,2,b,2,c,1,a,0,c,1,6,60.0,0.0132
1108,4.77,4,4,3,5,5,4.2,b,2,a,0,a,0,b,2,a,0,4,40.0,-0.0992
1109,6.81,5,5,4,5,5,4.8,b,2,a,0,b,2,b,2,b,2,8,80.0,-0.2965
1110,3.63,3,3,5,5,4,4.0,a,0,a,0,a,0,c,1,a,0,1,10.0,0.1438
1111,3.69,5,5,4,4,4,4.4,b,2,a,0,b,2,b,2,c,1,7,70.0,0.5234
1112,5.67,5,5,5,5,6,5.2,a,0,b,2,b,2,b,2,b,2,8,80.0,0.5478
1113,3.73,4,4,6,5,5,4.8,b,2,c,1,b,2,b,2,b,2,9,90.0,0.9076
1114,4.77,4,4,5,5,5,4.6,b,2,a,0,c,1,c,1,a,0,4,40.0,0.2996
1115,4.2,4,5,4,5,5,4.6,a,0,b,2,c,1,b,2,b,2,7,70.0,0.5249
1116,3.74,3,4,4,3,3,3.4,b,2,a,0,b,2,c,1,c,1,6,60.0,-0.4968
1117,4.76,3,3,5,4,6,4.2,b,2,b,2,b,2,b,2,b,2,10,100.0,-0.0968
1118,7.0,5,3,5,4,4,4.2,b,2,c,1,c,1,b,2,b,2,8,80.0,-0.9699
1119,2.71,4,3,4,4,4,3.8,b,2,a,0,c,1,a,0,a,0,3,30.0,0.3041
1120,3.38,4,3,5,5,5,4.4,c,1,a,0,c,1,a,0,b,2,4,40.0,0.6448
1121,4.3,6,5,7,7,6,6.2,b,2,a,0,c,1,b,2,a,0,5,50.0,2.0842
1122,3.85,4,5,5,5,5,4.8,b,2,c,1,b,2,c,1,c,1,7,70.0,0.8601
1123,2.04,2,2,4,3,3,2.8,c,1,b,2,a,0,a,0,b,2,5,50.0,-0.4316
1124,1.69,2,4,3,3,3,3.0,a,0,a,0,a,0,a,0,c,1,1,10.0,-0.0964
1125,5.24,5,6,4,4,5,4.8,c,1,b,2,b,2,b,2,b,2,9,90.0,0.3157
1126,3.38,3,3,4,4,4,3.6,b,2,a,0,a,0,a,0,c,1,3,30.0,-0.1571
1127,1.49,3,2,2,4,2,2.6,a,0,a,0,a,0,a,0,a,0,0,0.0,-0.4197
1128,2.3,3,4,3,4,4,3.6,a,0,b,2,b,2,b,2,a,0,6,60.0,0.2651
1129,4.73,5,4,4,4,5,4.4,a,0,a,0,b,2,c,1,a,0,3,30.0,0.1148
1130,3.63,2,5,3,3,4,3.4,b,2,a,0,b,2,c,1,c,1,6,60.0,-0.4549
1131,3.11,4,5,3,5,4,4.2,b,2,b,2,b,2,b,2,a,0,8,80.0,0.5496
1132,5.54,5,5,5,4,5,4.8,b,2,b,2,b,2,c,1,b,2,9,90.0,0.1996
1133,4.67,4,4,4,4,3,3.8,a,0,a,0,a,0,a,0,c,1,1,10.0,-0.459
1134,3.15,3,3,3,2,4,3.0,a,0,a,0,b,2,a,0,a,0,2,20.0,-0.6687
1135,5.77,2,3,3,4,3,3.0,b,2,a,0,b,2,c,1,b,2,7,70.0,-1.6901
1136,4.53,4,4,4,5,4,4.2,b,2,c,1,a,0,c,1,c,1,5,50.0,-0.0046
1137,4.54,3,3,4,3,4,3.4,a,0,a,0,c,1,b,2,c,1,4,40.0,-0.8101
1138,4.97,4,4,4,5,5,4.4,c,1,b,2,b,2,b,2,b,2,9,90.0,0.0221
1139,2.23,3,2,2,2,3,2.4,a,0,a,0,a,0,b,2,a,0,2,20.0,-0.9084
1140,5.06,5,5,4,5,5,4.8,a,0,c,1,a,0,c,1,c,1,3,30.0,0.3877
1141,3.49,2,4,3,4,4,3.4,b,2,b,2,b,2,c,1,c,1,8,80.0,-0.3979
1142,4.58,6,5,6,6,6,5.8,a,0,b,2,c,1,a,0,a,0,3,30.0,1.5734
1143,4.85,6,7,6,6,6,6.2,c,1,b,2,b,2,c,1,b,2,8,80.0,1.8679
1144,2.75,3,3,3,3,3,3.0,c,1,a,0,b,2,a,0,b,2,5,50.0,-0.512
1145,4.42,4,3,3,4,5,3.8,a,0,c,1,b,2,a,0,b,2,5,50.0,-0.3644
1146,4.22,3,4,2,5,4,3.6,b,2,c,1,c,1,b,2,b,2,8,80.0,-0.4832
1147,3.1,3,3,3,3,4,3.2,a,0,c,1,a,0,a,0,a,0,1,10.0,-0.4459
1148,2.66,2,2,3,1,4,2.4,b,2,a,0,b,2,c,1,b,2,7,70.0,-1.0745
1149,4.13,5,5,5,5,6,5.2,b,2,b,2,c,1,b,2,b,2,9,90.0,1.149
1150,4.49,6,6,6,5,6,5.8,b,2,b,2,a,0,c,1,a,0,5,50.0,1.6101
1151,4.72,3,3,4,4,4,3.6,a,0,c,1,a,0,c,1,a,0,2,20.0,-0.6786
1152,4.42,6,6,4,6,5,5.4,a,0,b,2,b,2,c,1,c,1,6,60.0,1.2367
1153,4.49,5,4,4,5,5,4.6,b,2,b,2,b,2,b,2,b,2,10,100.0,0.4103
1154,3.33,2,1,2,2,2,1.8,b,2,b,2,a,0,b,2,c,1,7,70.0,-1.9367
1155,3.16,3,1,2,2,3,2.2,b,2,b,2,c,1,b,2,c,1,8,80.0,-1.4695
1156,3.61,5,5,5,5,7,5.4,c,1,b,2,c,1,c,1,b,2,7,70.0,1.5546
1157,3.7,3,5,4,3,5,4.0,c,1,a,0,c,1,b,2,b,2,6,60.0,0.1171
1158,2.34,2,4,3,3,4,3.2,c,1,c,1,a,0,b,2,a,0,4,40.0,-0.1517
1159,2.9,3,5,3,5,4,4.0,b,2,c,1,b,2,b,2,a,0,7,70.0,0.4305
1160,2.67,2,2,1,3,1,1.8,c,1,c,1,c,1,a,0,b,2,5,50.0,-1.681
1161,2.71,4,4,3,5,6,4.4,c,1,b,2,a,0,b,2,b,2,7,70.0,0.9031
1162,3.48,5,5,4,5,5,4.8,c,1,c,1,c,1,c,1,b,2,6,60.0,1.0052
1163,3.24,4,5,5,5,7,5.2,c,1,b,2,a,0,b,2,a,0,5,50.0,1.4998
1164,3.16,4,4,3,5,5,4.2,a,0,b,2,b,2,b,2,c,1,7,70.0,0.5277
1165,4.32,4,5,4,4,6,4.6,b,2,a,0,a,0,a,0,b,2,4,40.0,0.4757
1166,2.67,5,4,5,5,5,4.8,a,0,b,2,a,0,b,2,a,0,4,40.0,1.3214
1167,1.95,3,4,3,5,4,3.8,b,2,c,1,a,0,b,2,b,2,7,70.0,0.6009
1168,4.77,6,5,6,5,6,5.6,a,0,c,1,b,2,b,2,b,2,7,70.0,1.3013
1169,4.36,4,4,4,4,4,4.0,a,0,c,1,b,2,c,1,b,2,6,60.0,-0.1388
