respondent_id,role,state,awareness_sofc,acceptance_sofc,perceived_cost_barrier,perceived_reliability_benefit,environmental_concern,policy_support_expectation,willingness_to_pilot,year,source
R0273,Policymaker,Yobe,3,2,2,4,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0274,Community Leader,Ekiti,1,3,3,3,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0275,Industrial Manager,Adamawa,4,3,3,2,5,4,3,2024,Synthetic survey; use for scenario analysis only
R0276,Policymaker,Anambra,3,3,5,4,2,5,3,2024,Synthetic survey; use for scenario analysis only
R0277,Community Leader,Kogi,3,3,3,5,4,4,3,2024,Synthetic survey; use for scenario analysis only
R0278,Policymaker,Yobe,4,2,4,3,4,2,1,2024,Synthetic survey; use for scenario analysis only
R0279,Community Leader,Taraba,4,1,4,3,2,3,4,2024,Synthetic survey; use for scenario analysis only
R0280,Policymaker,Jigawa,2,3,4,4,5,3,2,2024,Synthetic survey; use for scenario analysis only
R0281,Policymaker,Sokoto,2,4,4,4,3,4,1,2024,Synthetic survey; use for scenario analysis only
R0282,Investor,Anambra,3,3,1,1,2,2,4,2024,Synthetic survey; use for scenario analysis only
R0283,Community Leader,Edo,3,4,4,3,2,3,2,2024,Synthetic survey; use for scenario analysis only
R0284,Community Leader,Zamfara,4,4,3,4,1,3,3,2024,Synthetic survey; use for scenario analysis only
R0285,Industrial Manager,Bayelsa,4,4,5,4,2,4,3,2024,Synthetic survey; use for scenario analysis only
R0286,Community Leader,Katsina,2,3,4,3,3,4,4,2024,Synthetic survey; use for scenario analysis only
R0287,DisCo Official,Bauchi,1,4,3,4,3,4,4,2024,Synthetic survey; use for scenario analysis only
R0288,Investor,Plateau,5,3,3,5,3,5,2,2024,Synthetic survey; use for scenario analysis only
R0289,Community Leader,Edo,2,4,3,4,5,3,1,2024,Synthetic survey; use for scenario analysis only
R0290,Academic/Researcher,Akwa Ibom,2,3,4,4,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0291,Policymaker,Delta,3,3,3,4,2,2,3,2024,Synthetic survey; use for scenario analysis only
R0292,Investor,Kebbi,2,3,4,3,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0293,Industrial Manager,Anambra,2,4,5,3,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0294,Policymaker,Zamfara,3,2,2,4,3,4,2,2024,Synthetic survey; use for scenario analysis only
R0295,DisCo Official,Imo,3,3,4,4,3,2,3,2024,Synthetic survey; use for scenario analysis only
R0296,Academic/Researcher,Oyo,3,3,3,3,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0297,DisCo Official,Enugu,4,3,2,3,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0298,Policymaker,Zamfara,3,2,3,3,3,5,4,2024,Synthetic survey; use for scenario analysis only
R0299,Investor,Oyo,3,3,4,4,5,4,3,2024,Synthetic survey; use for scenario analysis only
R0300,Policymaker,Imo,4,4,4,4,5,3,3,2024,Synthetic survey; use for scenario analysis only
R0301,DisCo Official,Ondo,2,3,4,4,3,2,4,2024,Synthetic survey; use for scenario analysis only
R0302,Academic/Researcher,Niger,3,4,3,2,3,4,2,2024,Synthetic survey; use for scenario analysis only
R0303,Academic/Researcher,Oyo,2,3,3,4,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0304,Academic/Researcher,Delta,3,4,5,5,5,5,3,2024,Synthetic survey; use for scenario analysis only
R0305,Community Leader,Akwa Ibom,1,4,1,5,2,2,3,2024,Synthetic survey; use for scenario analysis only
R0306,Industrial Manager,Bayelsa,5,3,4,3,4,2,3,2024,Synthetic survey; use for scenario analysis only
R0307,Investor,Sokoto,3,3,4,4,1,2,3,2024,Synthetic survey; use for scenario analysis only
R0308,Industrial Manager,Kaduna,3,4,2,4,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0309,Policymaker,Akwa Ibom,3,4,3,2,2,4,4,2024,Synthetic survey; use for scenario analysis only
R0310,Industrial Manager,Oyo,2,5,3,5,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0311,Policymaker,Benue,4,3,3,5,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0312,Industrial Manager,Ekiti,2,1,4,3,4,2,3,2024,Synthetic survey; use for scenario analysis only
R0313,Industrial Manager,Rivers,3,3,3,3,3,2,2,2024,Synthetic survey; use for scenario analysis only
R0314,Community Leader,Anambra,3,3,5,5,2,3,5,2024,Synthetic survey; use for scenario analysis only
R0315,Academic/Researcher,Nasarawa,3,2,4,4,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0316,DisCo Official,Kogi,2,4,5,3,2,3,4,2024,Synthetic survey; use for scenario analysis only
R0317,Community Leader,Zamfara,3,2,4,4,3,5,1,2024,Synthetic survey; use for scenario analysis only
R0318,Investor,Abia,3,3,4,4,5,4,4,2024,Synthetic survey; use for scenario analysis only
R0319,DisCo Official,Jigawa,2,3,3,4,2,4,3,2024,Synthetic survey; use for scenario analysis only
R0320,Industrial Manager,Abia,2,2,4,4,2,3,2,2024,Synthetic survey; use for scenario analysis only
R0321,DisCo Official,Benue,2,3,3,4,3,5,4,2024,Synthetic survey; use for scenario analysis only
R0322,Community Leader,Delta,3,2,4,5,4,4,2,2024,Synthetic survey; use for scenario analysis only
R0323,DisCo Official,Cross River,3,2,4,3,2,4,4,2024,Synthetic survey; use for scenario analysis only
R0324,Academic/Researcher,Ekiti,3,2,5,3,2,1,3,2024,Synthetic survey; use for scenario analysis only
R0325,DisCo Official,Rivers,3,3,3,2,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0326,Academic/Researcher,Edo,2,5,3,3,3,4,5,2024,Synthetic survey; use for scenario analysis only
R0327,Policymaker,Kebbi,2,4,3,4,4,4,2,2024,Synthetic survey; use for scenario analysis only
R0328,Policymaker,Ekiti,2,1,4,3,4,5,3,2024,Synthetic survey; use for scenario analysis only
R0329,Community Leader,Ekiti,2,5,5,2,4,5,3,2024,Synthetic survey; use for scenario analysis only
R0330,DisCo Official,Edo,3,3,4,3,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0331,Community Leader,Plateau,3,1,4,4,2,4,3,2024,Synthetic survey; use for scenario analysis only
R0332,Academic/Researcher,Ekiti,3,3,1,5,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0333,Industrial Manager,Gombe,3,5,3,4,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0334,DisCo Official,Osun,3,3,2,2,5,4,3,2024,Synthetic survey; use for scenario analysis only
R0335,Policymaker,Kogi,3,2,5,2,4,3,3,2024,Synthetic survey; use for scenario analysis only
R0336,Industrial Manager,Rivers,3,4,4,3,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0337,Academic/Researcher,Anambra,3,3,5,4,4,3,3,2024,Synthetic survey; use for scenario analysis only
R0338,DisCo Official,Oyo,3,3,3,3,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0339,Academic/Researcher,Jigawa,2,2,2,4,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0340,Policymaker,Ekiti,5,2,3,5,1,3,3,2024,Synthetic survey; use for scenario analysis only
R0341,Community Leader,Akwa Ibom,1,2,3,2,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0342,Academic/Researcher,Plateau,3,3,4,2,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0343,Community Leader,Osun,4,3,3,3,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0344,DisCo Official,Ogun,5,3,3,3,3,4,2,2024,Synthetic survey; use for scenario analysis only
R0345,Community Leader,Kebbi,2,4,2,2,4,4,3,2024,Synthetic survey; use for scenario analysis only
R0346,Policymaker,Jigawa,4,4,2,2,3,4,2,2024,Synthetic survey; use for scenario analysis only
R0347,Community Leader,Anambra,5,3,5,5,2,3,2,2024,Synthetic survey; use for scenario analysis only
R0348,DisCo Official,Adamawa,3,4,2,3,1,2,3,2024,Synthetic survey; use for scenario analysis only
R0349,Policymaker,Ondo,4,3,3,5,2,2,2,2024,Synthetic survey; use for scenario analysis only
R0350,Investor,Kebbi,2,2,3,3,2,3,2,2024,Synthetic survey; use for scenario analysis only
R0351,Investor,Lagos,4,5,5,3,5,3,2,2024,Synthetic survey; use for scenario analysis only
R0352,Policymaker,Ebonyi,3,4,4,4,5,4,3,2024,Synthetic survey; use for scenario analysis only
R0353,Investor,Lagos,2,4,2,4,1,4,3,2024,Synthetic survey; use for scenario analysis only
R0354,Policymaker,Adamawa,3,4,4,3,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0355,Academic/Researcher,Kano,4,2,3,3,2,5,4,2024,Synthetic survey; use for scenario analysis only
R0356,DisCo Official,Yobe,1,3,2,3,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0357,Investor,FCT,4,3,3,2,2,3,5,2024,Synthetic survey; use for scenario analysis only
R0358,Policymaker,Cross River,4,3,2,3,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0359,Policymaker,Enugu,1,3,4,3,1,4,3,2024,Synthetic survey; use for scenario analysis only
R0360,Policymaker,Osun,2,2,2,4,4,3,3,2024,Synthetic survey; use for scenario analysis only
R0361,Policymaker,Oyo,4,2,5,3,4,5,4,2024,Synthetic survey; use for scenario analysis only
R0362,Academic/Researcher,Katsina,4,2,4,5,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0363,DisCo Official,Kaduna,3,3,2,4,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0364,Investor,Yobe,1,3,3,3,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0365,Investor,Edo,2,3,3,4,2,4,2,2024,Synthetic survey; use for scenario analysis only
R0366,Policymaker,Taraba,2,2,5,4,2,4,3,2024,Synthetic survey; use for scenario analysis only
R0367,Investor,Anambra,3,5,4,4,3,5,3,2024,Synthetic survey; use for scenario analysis only
R0368,Academic/Researcher,Akwa Ibom,2,2,4,2,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0369,Investor,Yobe,2,4,4,2,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0370,Investor,Katsina,4,3,4,3,2,5,2,2024,Synthetic survey; use for scenario analysis only
R0371,Policymaker,FCT,4,2,3,2,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0372,DisCo Official,Ondo,1,3,5,4,4,2,3,2024,Synthetic survey; use for scenario analysis only
R0373,Policymaker,Jigawa,3,3,3,3,2,5,3,2024,Synthetic survey; use for scenario analysis only
R0374,DisCo Official,Anambra,3,3,2,4,2,4,2,2024,Synthetic survey; use for scenario analysis only
R0375,Industrial Manager,Katsina,1,3,2,3,4,4,2,2024,Synthetic survey; use for scenario analysis only
R0376,Community Leader,Kebbi,3,2,4,5,3,2,3,2024,Synthetic survey; use for scenario analysis only
R0377,Investor,Abia,4,4,4,5,4,3,5,2024,Synthetic survey; use for scenario analysis only
R0378,Policymaker,Borno,3,2,4,3,5,4,2,2024,Synthetic survey; use for scenario analysis only
R0379,Academic/Researcher,Ondo,2,3,3,3,3,3,5,2024,Synthetic survey; use for scenario analysis only
R0380,Academic/Researcher,Abia,3,2,3,3,3,3,1,2024,Synthetic survey; use for scenario analysis only
R0381,Community Leader,Taraba,4,1,4,2,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0382,Investor,Kebbi,3,4,4,4,4,5,4,2024,Synthetic survey; use for scenario analysis only
R0383,DisCo Official,Niger,2,4,3,3,3,2,2,2024,Synthetic survey; use for scenario analysis only
R0384,Investor,Akwa Ibom,2,3,3,4,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0385,Industrial Manager,Kaduna,3,2,3,4,2,3,4,2024,Synthetic survey; use for scenario analysis only
R0386,Academic/Researcher,Kaduna,4,3,3,3,1,4,2,2024,Synthetic survey; use for scenario analysis only
R0387,DisCo Official,Abia,2,2,4,3,2,3,4,2024,Synthetic survey; use for scenario analysis only
R0388,Investor,Kogi,3,4,5,4,3,4,4,2024,Synthetic survey; use for scenario analysis only
R0389,DisCo Official,Ekiti,4,4,3,3,3,1,2,2024,Synthetic survey; use for scenario analysis only
R0390,Industrial Manager,Kaduna,3,3,3,4,4,4,3,2024,Synthetic survey; use for scenario analysis only
R0391,Investor,Gombe,4,4,4,3,2,4,3,2024,Synthetic survey; use for scenario analysis only
R0392,Academic/Researcher,Zamfara,4,2,4,3,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0393,Investor,Ogun,3,4,3,3,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0394,Industrial Manager,Edo,2,3,3,3,5,4,3,2024,Synthetic survey; use for scenario analysis only
R0395,Investor,Bauchi,3,1,4,2,4,2,3,2024,Synthetic survey; use for scenario analysis only
R0396,Industrial Manager,Yobe,2,3,5,2,3,4,4,2024,Synthetic survey; use for scenario analysis only
R0397,Academic/Researcher,Kaduna,4,4,4,4,4,3,5,2024,Synthetic survey; use for scenario analysis only
R0398,Investor,Ebonyi,2,3,3,4,4,2,2,2024,Synthetic survey; use for scenario analysis only
R0399,Community Leader,Oyo,3,3,4,3,3,4,2,2024,Synthetic survey; use for scenario analysis only
R0400,DisCo Official,Lagos,2,2,4,5,4,3,4,2024,Synthetic survey; use for scenario analysis only
R0401,Academic/Researcher,Jigawa,3,2,3,3,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0402,Academic/Researcher,Imo,2,1,5,3,3,4,2,2024,Synthetic survey; use for scenario analysis only
R0403,Policymaker,Abia,3,3,4,4,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0404,Investor,Borno,4,3,3,3,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0405,Academic/Researcher,Ebonyi,2,2,4,4,3,3,1,2024,Synthetic survey; use for scenario analysis only
R0406,Community Leader,Anambra,3,4,5,2,3,5,3,2024,Synthetic survey; use for scenario analysis only
R0407,Investor,Kaduna,4,3,3,3,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0408,Academic/Researcher,Edo,3,2,3,4,4,4,2,2024,Synthetic survey; use for scenario analysis only
R0409,Industrial Manager,FCT,3,4,5,4,4,3,4,2024,Synthetic survey; use for scenario analysis only
R0410,Community Leader,Oyo,2,4,3,4,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0411,Investor,Cross River,4,3,5,3,3,2,1,2024,Synthetic survey; use for scenario analysis only
R0412,Investor,Sokoto,4,1,5,2,3,2,4,2024,Synthetic survey; use for scenario analysis only
R0413,Investor,Zamfara,3,3,3,3,4,3,4,2024,Synthetic survey; use for scenario analysis only
R0414,Community Leader,Abia,2,2,2,3,3,5,3,2024,Synthetic survey; use for scenario analysis only
R0415,Investor,Katsina,3,3,3,4,3,4,2,2024,Synthetic survey; use for scenario analysis only
R0416,Investor,Nasarawa,3,3,3,4,2,3,4,2024,Synthetic survey; use for scenario analysis only
R0417,DisCo Official,Kano,2,2,3,4,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0418,Community Leader,Benue,5,3,4,3,4,3,2,2024,Synthetic survey; use for scenario analysis only
R0419,Community Leader,Lagos,3,3,4,4,4,3,4,2024,Synthetic survey; use for scenario analysis only
R0420,Industrial Manager,Akwa Ibom,3,3,2,2,4,3,5,2024,Synthetic survey; use for scenario analysis only
R0421,Industrial Manager,Edo,2,2,4,5,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0422,Academic/Researcher,FCT,3,2,3,3,4,4,3,2024,Synthetic survey; use for scenario analysis only
R0423,DisCo Official,Nasarawa,2,4,3,3,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0424,Academic/Researcher,Kogi,3,2,5,4,5,2,3,2024,Synthetic survey; use for scenario analysis only
R0425,Industrial Manager,Imo,3,4,3,3,3,4,2,2024,Synthetic survey; use for scenario analysis only
R0426,Academic/Researcher,Zamfara,3,3,5,3,4,3,4,2024,Synthetic survey; use for scenario analysis only
R0427,Policymaker,Osun,4,2,3,3,2,4,3,2024,Synthetic survey; use for scenario analysis only
R0428,DisCo Official,Niger,4,4,3,5,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0429,Investor,Kebbi,5,4,3,4,4,3,4,2024,Synthetic survey; use for scenario analysis only
R0430,Community Leader,Plateau,3,3,3,3,4,4,5,2024,Synthetic survey; use for scenario analysis only
R0431,Academic/Researcher,Kogi,3,3,5,3,2,2,3,2024,Synthetic survey; use for scenario analysis only
R0432,Industrial Manager,Oyo,2,3,4,5,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0433,Community Leader,Rivers,3,3,3,3,3,2,2,2024,Synthetic survey; use for scenario analysis only
R0434,Policymaker,Edo,3,2,4,3,3,5,3,2024,Synthetic survey; use for scenario analysis only
R0435,Policymaker,Benue,2,4,4,5,3,4,2,2024,Synthetic survey; use for scenario analysis only
R0436,Policymaker,Ogun,2,3,5,2,4,3,3,2024,Synthetic survey; use for scenario analysis only
R0437,Community Leader,Zamfara,2,1,3,2,1,3,4,2024,Synthetic survey; use for scenario analysis only
R0438,Investor,Delta,5,3,4,3,3,4,2,2024,Synthetic survey; use for scenario analysis only
R0439,Academic/Researcher,Katsina,3,2,3,3,2,4,5,2024,Synthetic survey; use for scenario analysis only
R0440,Policymaker,Benue,4,2,4,3,4,4,2,2024,Synthetic survey; use for scenario analysis only
R0441,Industrial Manager,Niger,4,4,4,3,2,3,4,2024,Synthetic survey; use for scenario analysis only
R0442,DisCo Official,Katsina,4,2,3,3,1,3,4,2024,Synthetic survey; use for scenario analysis only
R0443,Investor,Delta,4,2,4,3,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0444,DisCo Official,FCT,3,2,5,3,2,2,4,2024,Synthetic survey; use for scenario analysis only
R0445,DisCo Official,Sokoto,4,3,4,4,3,2,4,2024,Synthetic survey; use for scenario analysis only
R0446,Industrial Manager,Enugu,2,3,4,5,4,3,3,2024,Synthetic survey; use for scenario analysis only
R0447,Policymaker,Sokoto,3,2,4,4,2,2,2,2024,Synthetic survey; use for scenario analysis only
R0448,DisCo Official,Ondo,4,2,3,4,3,2,1,2024,Synthetic survey; use for scenario analysis only
R0449,DisCo Official,Oyo,1,3,5,3,5,5,2,2024,Synthetic survey; use for scenario analysis only
R0450,Policymaker,Zamfara,3,2,4,1,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0451,Industrial Manager,Ondo,3,4,4,4,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0452,Academic/Researcher,Abia,4,2,3,3,2,3,1,2024,Synthetic survey; use for scenario analysis only
R0453,Academic/Researcher,FCT,3,2,4,5,2,4,3,2024,Synthetic survey; use for scenario analysis only
R0454,Policymaker,FCT,2,3,5,4,5,5,2,2024,Synthetic survey; use for scenario analysis only
R0455,Investor,Jigawa,3,5,4,3,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0456,Academic/Researcher,Ondo,4,3,5,3,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0457,Community Leader,Benue,3,3,3,3,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0458,Policymaker,Kwara,4,1,4,3,5,4,3,2024,Synthetic survey; use for scenario analysis only
R0459,Policymaker,Bauchi,2,3,4,3,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0460,Policymaker,Ondo,3,3,5,4,4,4,3,2024,Synthetic survey; use for scenario analysis only
R0461,Community Leader,Oyo,1,4,4,3,3,2,3,2024,Synthetic survey; use for scenario analysis only
R0462,Policymaker,Kano,3,3,5,4,3,4,4,2024,Synthetic survey; use for scenario analysis only
R0463,DisCo Official,Abia,3,3,5,4,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0464,Academic/Researcher,Delta,2,3,4,4,3,2,2,2024,Synthetic survey; use for scenario analysis only
R0465,Investor,Anambra,4,4,3,2,4,4,5,2024,Synthetic survey; use for scenario analysis only
R0466,DisCo Official,Ondo,3,3,3,2,4,3,3,2024,Synthetic survey; use for scenario analysis only
R0467,Investor,Ondo,2,3,2,3,2,3,1,2024,Synthetic survey; use for scenario analysis only
R0468,Academic/Researcher,Yobe,3,3,5,2,4,2,3,2024,Synthetic survey; use for scenario analysis only
R0469,Investor,Rivers,3,4,5,4,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0470,Academic/Researcher,Lagos,2,3,5,3,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0471,DisCo Official,Borno,4,4,5,4,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0472,Industrial Manager,Zamfara,3,3,3,2,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0473,Community Leader,Bauchi,5,3,2,2,4,2,2,2024,Synthetic survey; use for scenario analysis only
R0474,Investor,Niger,2,4,2,5,4,2,3,2024,Synthetic survey; use for scenario analysis only
R0475,DisCo Official,Bauchi,5,2,5,4,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0476,Investor,Edo,3,2,3,3,2,2,2,2024,Synthetic survey; use for scenario analysis only
R0477,Investor,Ogun,3,3,4,4,3,4,4,2024,Synthetic survey; use for scenario analysis only
R0478,DisCo Official,Katsina,3,1,3,4,2,2,2,2024,Synthetic survey; use for scenario analysis only
R0479,DisCo Official,Gombe,2,3,4,1,3,5,2,2024,Synthetic survey; use for scenario analysis only
R0480,Investor,Akwa Ibom,3,4,3,1,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0481,Community Leader,Enugu,3,3,4,2,3,4,1,2024,Synthetic survey; use for scenario analysis only
R0482,Community Leader,Benue,2,4,4,4,4,3,3,2024,Synthetic survey; use for scenario analysis only
R0483,DisCo Official,Bayelsa,2,2,4,4,3,4,1,2024,Synthetic survey; use for scenario analysis only
R0484,Investor,Zamfara,3,3,3,3,3,4,2,2024,Synthetic survey; use for scenario analysis only
R0485,Industrial Manager,Kebbi,2,5,2,4,4,3,2,2024,Synthetic survey; use for scenario analysis only
R0486,Industrial Manager,Lagos,2,4,4,3,4,3,4,2024,Synthetic survey; use for scenario analysis only
R0487,Community Leader,Anambra,2,1,5,3,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0488,Community Leader,Cross River,4,2,4,3,2,3,4,2024,Synthetic survey; use for scenario analysis only
R0489,Policymaker,Cross River,3,2,4,4,2,3,4,2024,Synthetic survey; use for scenario analysis only
R0490,Community Leader,Bauchi,3,3,5,3,2,4,4,2024,Synthetic survey; use for scenario analysis only
R0491,DisCo Official,Kogi,3,4,3,2,4,4,4,2024,Synthetic survey; use for scenario analysis only
R0492,Academic/Researcher,Delta,2,1,4,4,4,4,4,2024,Synthetic survey; use for scenario analysis only
R0493,Industrial Manager,Borno,3,3,3,3,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0494,DisCo Official,Ondo,4,2,4,3,2,2,3,2024,Synthetic survey; use for scenario analysis only
R0495,Academic/Researcher,Oyo,1,1,3,2,2,5,2,2024,Synthetic survey; use for scenario analysis only
R0496,Industrial Manager,Kaduna,3,4,5,3,4,4,3,2024,Synthetic survey; use for scenario analysis only
R0497,Investor,Jigawa,2,2,3,4,3,5,1,2024,Synthetic survey; use for scenario analysis only
R0498,Academic/Researcher,Benue,5,4,3,3,3,4,5,2024,Synthetic survey; use for scenario analysis only
R0499,Academic/Researcher,Adamawa,5,3,3,4,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0500,DisCo Official,Gombe,2,5,4,3,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0501,Industrial Manager,Yobe,4,3,3,4,4,4,2,2024,Synthetic survey; use for scenario analysis only
R0502,Investor,FCT,3,2,4,3,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0503,Community Leader,Enugu,2,2,3,3,4,4,5,2024,Synthetic survey; use for scenario analysis only
R0504,Policymaker,Delta,2,2,3,4,3,2,2,2024,Synthetic survey; use for scenario analysis only
R0505,Community Leader,Katsina,3,2,4,4,5,3,3,2024,Synthetic survey; use for scenario analysis only
R0506,Investor,Jigawa,4,4,4,4,3,5,3,2024,Synthetic survey; use for scenario analysis only
R0507,Academic/Researcher,Zamfara,2,2,4,4,4,4,4,2024,Synthetic survey; use for scenario analysis only
R0508,Policymaker,Kwara,4,3,4,3,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0509,Industrial Manager,Jigawa,4,3,3,3,3,4,4,2024,Synthetic survey; use for scenario analysis only
R0510,Academic/Researcher,Plateau,3,2,2,4,2,4,2,2024,Synthetic survey; use for scenario analysis only
R0511,Policymaker,Katsina,1,4,3,3,2,2,3,2024,Synthetic survey; use for scenario analysis only
R0512,Policymaker,Akwa Ibom,3,3,3,1,2,4,3,2024,Synthetic survey; use for scenario analysis only
R0513,Investor,Anambra,3,4,5,2,3,4,2,2024,Synthetic survey; use for scenario analysis only
R0514,Investor,Sokoto,5,4,3,3,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0515,Academic/Researcher,Taraba,4,3,3,4,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0516,DisCo Official,Katsina,4,2,2,4,2,4,3,2024,Synthetic survey; use for scenario analysis only
R0517,Policymaker,Kwara,4,4,3,1,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0518,Community Leader,Kebbi,3,2,3,4,5,4,4,2024,Synthetic survey; use for scenario analysis only
R0519,Policymaker,Kano,2,4,2,4,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0520,DisCo Official,Abia,4,1,4,3,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0521,Academic/Researcher,Oyo,2,3,4,3,4,3,2,2024,Synthetic survey; use for scenario analysis only
R0522,Community Leader,Anambra,2,3,4,3,4,4,3,2024,Synthetic survey; use for scenario analysis only
R0523,Academic/Researcher,Kano,3,3,5,5,3,4,2,2024,Synthetic survey; use for scenario analysis only
R0524,Academic/Researcher,Yobe,2,3,4,2,2,4,3,2024,Synthetic survey; use for scenario analysis only
R0525,DisCo Official,Lagos,4,1,4,3,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0526,Policymaker,Sokoto,2,3,4,4,4,4,3,2024,Synthetic survey; use for scenario analysis only
R0527,Industrial Manager,Oyo,3,2,4,2,2,4,3,2024,Synthetic survey; use for scenario analysis only
R0528,Academic/Researcher,Kogi,4,4,3,2,3,2,3,2024,Synthetic survey; use for scenario analysis only
R0529,Academic/Researcher,FCT,2,1,4,3,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0530,Policymaker,Niger,2,4,4,4,3,2,2,2024,Synthetic survey; use for scenario analysis only
R0531,DisCo Official,Bauchi,3,4,4,3,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0532,Industrial Manager,Edo,2,4,5,4,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0533,Community Leader,Oyo,4,4,5,2,1,4,3,2024,Synthetic survey; use for scenario analysis only
R0534,Academic/Researcher,Kano,3,2,3,3,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0535,DisCo Official,Bauchi,4,3,5,4,2,2,2,2024,Synthetic survey; use for scenario analysis only
R0536,Academic/Researcher,Borno,3,4,2,3,2,4,3,2024,Synthetic survey; use for scenario analysis only
R0537,Policymaker,Gombe,2,4,3,4,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0538,Industrial Manager,Ondo,3,2,4,4,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0539,Academic/Researcher,Kano,3,2,5,2,4,3,4,2024,Synthetic survey; use for scenario analysis only
R0540,Policymaker,Lagos,4,3,3,5,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0541,Industrial Manager,Kebbi,3,3,2,3,3,4,2,2024,Synthetic survey; use for scenario analysis only
R0542,DisCo Official,Ekiti,5,3,4,3,4,4,3,2024,Synthetic survey; use for scenario analysis only
R0543,DisCo Official,Borno,4,3,3,3,3,4,4,2024,Synthetic survey; use for scenario analysis only
R0544,DisCo Official,Zamfara,4,3,4,3,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0545,Policymaker,Anambra,3,3,3,4,2,3,3,2024,Synthetic survey; use for scenario analysis only
