sample_id,anode_material,cathode_material,tab_thickness_um,surface_coating,welding_technique,tab_width_mm,overlap_length_mm,preheat_celsius,usw_power_w,usw_amplitude_um,usw_force_n,usw_time_ms,laser_power_w,laser_speed_mm_s,laser_pulse_frequency_hz,laser_energy_per_pulse_j,laser_spot_diameter_mm,rsw_current_ka,rsw_voltage_v,rsw_weld_time_ms,rsw_squeeze_time_ms,rsw_hold_time_ms,rsw_force_n
863,Aluminum,Titanium,73.206,brushed,Laser,5.825,7.022,21.662,,,,,462.724046,25.156121,0.0,0.0,0.160091,,,,,,
864,Copper,Copper,89.395,tin_plated,USW,5.504,3.532,67.475,1966.286873,25.864814,796.039104,327.260212,,,,,,,,,,,
865,Aluminum,Aluminum,139.2,brushed,RSW,6.876,3.94,59.276,,,,,,,,,,14.300287,5.053088,168.940152,94.315214,77.081482,2307.356259
866,Copper,Aluminum,155.272,graphite_coated,USW,6.184,6.421,45.696,2428.447174,27.479185,363.353999,276.57616,,,,,,,,,,,
867,Aluminum,Aluminum,79.333,nickel_plated,USW,5.964,4.287,31.594,1549.479583,22.628216,687.322135,121.791925,,,,,,,,,,,
868,Copper,Copper,114.834,brushed,Laser,10.571,7.962,49.471,,,,,158.439001,16.446058,0.0,0.0,0.160482,,,,,,
869,Copper,Nickel,68.977,nickel_plated,Laser,10.165,8.006,27.954,,,,,736.839506,23.532367,180.760885,0.441482,0.242897,,,,,,
870,Aluminum,Nickel,129.851,tin_plated,RSW,5.378,6.578,20.0,,,,,,,,,,14.84125,2.617486,219.912559,94.783695,100.736296,2504.12098
871,Copper,Nickel,180.688,bare,USW,8.238,6.846,20.0,1825.418742,36.968111,1140.744679,148.494082,,,,,,,,,,,
872,Copper,Copper,143.258,gold_plated,RSW,4.779,5.836,30.868,,,,,,,,,,10.831143,4.870506,244.965579,117.648724,94.414308,2001.580146
873,Aluminum,Nickel,78.157,bare,Laser,3.649,7.237,29.412,,,,,624.074082,40.761594,0.0,0.0,0.222245,,,,,,
874,Copper,Aluminum,113.782,tin_plated,Laser,7.456,8.565,39.966,,,,,712.701905,46.227125,0.0,0.0,0.123801,,,,,,
875,Copper,Nickel,138.019,silver_plated,RSW,6.216,7.406,20.0,,,,,,,,,,7.655065,1.0,69.312432,129.878669,96.406154,3555.218409
876,Copper,Aluminum,64.01,bare,Laser,2.368,5.656,20.0,,,,,305.644783,22.804996,0.0,0.0,0.218948,,,,,,
877,Copper,StainlessSteel,112.731,oxide_heavy,USW,8.239,8.397,20.0,1149.969396,29.989583,739.654327,308.735152,,,,,,,,,,,
878,Copper,Copper,65.905,brushed,USW,8.541,6.239,39.02,1612.6601,40.978272,1027.811799,281.009446,,,,,,,,,,,
879,Copper,Aluminum,138.59,bare,Laser,6.769,5.913,28.367,,,,,495.437698,5.0,291.010604,0.435602,0.193764,,,,,,
880,Copper,StainlessSteel,92.054,bare,USW,4.298,4.364,20.0,1491.615639,14.374126,1041.834255,315.584269,,,,,,,,,,,
881,Copper,Nickel,128.324,brushed,Laser,5.839,7.351,37.982,,,,,332.494309,47.075077,271.80344,0.533969,0.228772,,,,,,
882,Copper,Aluminum,157.89,bare,USW,4.036,2.902,24.346,1162.061803,29.913798,901.56747,238.37274,,,,,,,,,,,
883,Copper,Aluminum,20.0,bare,USW,3.959,8.077,20.0,1404.169406,35.556891,423.510665,405.784385,,,,,,,,,,,
884,Aluminum,Aluminum,143.07,brushed,USW,3.404,11.757,30.771,1766.38733,33.960565,340.847536,308.735097,,,,,,,,,,,
885,Copper,Aluminum,85.827,graphite_coated,Laser,5.041,5.022,40.711,,,,,664.293105,56.086628,0.0,0.0,0.05,,,,,,
886,Copper,Nickel,165.708,brushed,Laser,7.554,7.692,20.0,,,,,607.396007,50.799268,159.027607,0.702463,0.275623,,,,,,
887,Aluminum,StainlessSteel,91.268,bare,Laser,4.36,4.003,43.577,,,,,563.370998,18.312536,89.443171,0.89623,0.159701,,,,,,
888,Copper,Nickel,133.819,bare,USW,4.869,6.777,74.359,1483.289796,21.799139,573.236524,260.30166,,,,,,,,,,,
889,Aluminum,StainlessSteel,139.14,nickel_plated,RSW,4.426,5.528,57.238,,,,,,,,,,10.679152,1.0,245.881411,98.857977,104.508797,2225.036042
890,Copper,StainlessSteel,74.731,nickel_plated,RSW,7.975,2.88,20.807,,,,,,,,,,8.845707,4.31855,148.115331,65.956132,145.170171,2565.6668
891,Copper,Aluminum,115.669,brushed,USW,7.159,8.041,50.672,1642.742804,25.086919,1016.722714,489.673578,,,,,,,,,,,
892,Copper,Aluminum,60.106,nickel_plated,USW,6.819,7.272,33.783,1087.330308,25.731434,1359.897921,252.376636,,,,,,,,,,,
893,Copper,Copper,180.166,bare,USW,7.067,7.666,53.735,1587.830043,39.699741,210.974891,154.769321,,,,,,,,,,,
894,Copper,Aluminum,120.316,silver_plated,RSW,6.897,5.87,30.336,,,,,,,,,,8.912278,3.199843,144.807215,89.568479,50.0,2147.718501
895,Copper,Copper,109.975,tin_plated,Laser,7.838,9.658,51.964,,,,,803.319972,37.920412,0.0,0.0,0.246773,,,,,,
896,Copper,Aluminum,70.79,graphite_coated,USW,5.863,7.384,37.522,1780.117052,35.905637,812.834479,352.169672,,,,,,,,,,,
897,Aluminum,Aluminum,205.612,brushed,Laser,5.713,5.625,32.956,,,,,552.454472,34.446714,278.405977,0.492751,0.228922,,,,,,
898,Copper,Copper,59.876,tin_plated,USW,5.199,5.465,21.123,1584.666976,23.007122,441.333208,332.835271,,,,,,,,,,,
899,Copper,Nickel,178.705,brushed,USW,6.519,7.383,41.862,1640.037478,33.763285,563.190056,404.313751,,,,,,,,,,,
900,Copper,Aluminum,149.774,tin_plated,RSW,5.276,5.142,39.199,,,,,,,,,,9.012271,4.893815,200.550398,95.602232,67.316823,1016.319404
901,Aluminum,Aluminum,57.41,brushed,Laser,7.5,7.421,27.334,,,,,1100.72712,28.468824,0.0,0.0,0.112962,,,,,,
902,Aluminum,Aluminum,160.118,tin_plated,RSW,5.496,4.001,20.0,,,,,,,,,,19.67966,1.734506,172.116516,75.198578,91.859994,1940.800486
903,Aluminum,Aluminum,130.661,oxide_heavy,Laser,4.1,3.858,21.847,,,,,658.234319,53.517125,221.458438,0.71187,0.180646,,,,,,
904,Copper,Nickel,88.146,brushed,USW,6.412,6.27,63.166,2106.078745,20.829672,954.906594,440.538869,,,,,,,,,,,
905,Copper,Aluminum,106.846,graphite_coated,USW,5.244,6.549,42.08,1745.619757,24.319238,988.311107,408.096045,,,,,,,,,,,
906,Copper,Nickel,133.228,tin_plated,Laser,6.0,6.011,44.258,,,,,286.980474,40.578727,0.0,0.0,0.297381,,,,,,
907,Copper,Copper,108.661,tin_plated,USW,7.636,3.333,29.404,1577.545549,39.791803,226.555937,517.340204,,,,,,,,,,,
908,Copper,Copper,140.593,bare,Laser,6.743,4.5,46.778,,,,,347.403084,51.391606,196.143453,1.104132,0.146754,,,,,,
909,Copper,StainlessSteel,133.685,graphite_coated,USW,4.76,9.416,45.423,1558.389545,13.827615,880.484576,387.439595,,,,,,,,,,,
910,Copper,Nickel,161.897,bare,USW,5.237,8.357,37.17,859.13021,24.435218,758.22247,313.568666,,,,,,,,,,,
911,Aluminum,StainlessSteel,131.447,oxide_heavy,Laser,4.678,4.282,20.0,,,,,576.257796,51.813999,0.0,0.0,0.171813,,,,,,
912,Copper,StainlessSteel,132.93,nickel_plated,Laser,3.087,3.134,41.454,,,,,838.522559,50.487087,0.0,0.0,0.270948,,,,,,
913,Aluminum,StainlessSteel,114.974,silver_plated,USW,5.358,9.338,20.0,1778.36653,23.456776,704.708772,273.558486,,,,,,,,,,,
914,Copper,Aluminum,87.989,nickel_plated,RSW,2.71,3.034,64.198,,,,,,,,,,7.363083,2.052669,188.482337,110.859968,69.636541,1661.06974
915,Copper,Copper,154.036,nickel_plated,USW,4.475,6.149,71.498,1526.892327,26.965522,1020.589234,250.894096,,,,,,,,,,,
916,Aluminum,Nickel,99.829,tin_plated,USW,10.495,3.811,37.965,1620.410094,20.336961,928.923355,235.445987,,,,,,,,,,,
917,Copper,Titanium,94.016,nickel_plated,USW,8.747,5.067,26.088,705.390693,19.561345,842.251854,262.473709,,,,,,,,,,,
918,Aluminum,Aluminum,126.858,oxide_heavy,Laser,7.528,6.853,30.493,,,,,737.935256,26.217392,116.977342,0.932162,0.285324,,,,,,
919,Aluminum,Aluminum,165.571,nickel_plated,RSW,6.115,5.319,20.0,,,,,,,,,,9.386869,1.00022,252.591146,73.196364,98.035549,1789.612706
920,Copper,Nickel,121.786,bare,USW,5.041,10.911,63.779,1733.944865,11.391306,706.396756,392.956623,,,,,,,,,,,
921,Copper,Nickel,197.222,bare,Laser,5.119,5.417,32.906,,,,,211.334136,30.334283,0.0,0.0,0.240971,,,,,,
922,Copper,Copper,110.494,silver_plated,Laser,6.038,6.255,39.018,,,,,967.709245,56.442996,0.0,0.0,0.194128,,,,,,
923,Copper,Titanium,122.402,graphite_coated,USW,5.472,5.136,25.544,1487.183406,18.981464,683.471933,415.587537,,,,,,,,,,,
924,Copper,StainlessSteel,151.291,bare,RSW,3.051,6.726,20.0,,,,,,,,,,13.182474,3.075438,240.577699,125.734416,138.810327,1922.294339
925,Aluminum,Aluminum,135.561,bare,USW,3.392,7.529,43.759,1857.864343,28.959955,617.256173,315.911937,,,,,,,,,,,
926,Aluminum,Nickel,113.371,nickel_plated,USW,2.071,2.0,25.724,1430.696801,33.627192,503.24211,385.602,,,,,,,,,,,
927,Copper,Nickel,109.841,tin_plated,USW,8.714,4.177,27.755,1478.158276,32.760109,203.807191,430.912985,,,,,,,,,,,
928,Copper,Aluminum,124.867,bare,Laser,7.337,6.311,20.0,,,,,513.682169,48.07024,179.955166,0.93926,0.110792,,,,,,
929,Copper,StainlessSteel,67.767,bare,USW,6.104,8.589,65.879,2032.54763,39.267979,564.277151,376.775087,,,,,,,,,,,
930,Aluminum,Aluminum,144.779,silver_plated,USW,2.0,4.761,75.407,1107.791348,41.134338,284.795272,217.327303,,,,,,,,,,,
931,Copper,Copper,175.384,nickel_plated,USW,5.602,7.444,30.963,1055.368555,34.256265,284.281114,403.601951,,,,,,,,,,,
932,Copper,Nickel,57.812,brushed,USW,7.871,4.913,38.079,1079.117364,30.664898,930.642644,189.361876,,,,,,,,,,,
933,Copper,Nickel,123.887,nickel_plated,USW,4.445,8.439,20.0,853.874086,42.63506,874.220249,237.070256,,,,,,,,,,,
934,Copper,StainlessSteel,149.844,nickel_plated,Laser,4.829,4.771,22.259,,,,,806.882848,44.768882,236.843682,1.008721,0.214002,,,,,,
935,Copper,Aluminum,87.611,brushed,USW,4.598,3.691,31.127,1345.993295,34.033931,606.239324,163.042075,,,,,,,,,,,
936,Aluminum,Nickel,139.162,tin_plated,RSW,8.289,6.509,37.444,,,,,,,,,,13.406558,1.53766,170.038231,82.491888,94.476257,1132.724053
937,Aluminum,StainlessSteel,134.018,bare,USW,4.202,5.465,94.679,1644.425676,29.339832,933.681665,285.655114,,,,,,,,,,,
938,Copper,Aluminum,197.654,graphite_coated,Laser,2.0,5.935,44.456,,,,,272.746956,44.34834,0.0,0.0,0.208805,,,,,,
939,Aluminum,Nickel,100.155,nickel_plated,USW,5.961,5.526,20.0,1509.820037,23.119974,620.132546,366.150395,,,,,,,,,,,
940,Copper,Copper,120.348,silver_plated,Laser,4.529,2.104,47.999,,,,,640.987953,56.335229,0.0,0.0,0.179985,,,,,,
941,Copper,Nickel,148.977,tin_plated,Laser,8.583,5.962,26.78,,,,,1015.350266,45.827391,242.561459,0.743263,0.215448,,,,,,
942,Copper,StainlessSteel,124.763,brushed,USW,3.256,7.315,43.705,1712.499717,32.734572,247.438223,542.992139,,,,,,,,,,,
943,Copper,Aluminum,90.781,silver_plated,Laser,9.745,5.474,28.928,,,,,530.565859,45.144113,0.0,0.0,0.224721,,,,,,
944,Copper,Aluminum,96.156,oxide_heavy,USW,6.893,2.0,74.461,1654.373018,42.958394,305.520779,279.617735,,,,,,,,,,,
945,Copper,Copper,161.559,bare,Laser,6.162,7.397,44.901,,,,,590.585759,13.925891,453.69748,0.415973,0.13025,,,,,,
946,Copper,Copper,63.023,nickel_plated,USW,8.382,10.946,36.393,1364.312782,33.899411,919.432886,55.562288,,,,,,,,,,,
947,Copper,Copper,188.461,brushed,RSW,4.942,8.059,76.494,,,,,,,,,,12.777891,3.375455,243.099471,92.02265,101.404513,1679.886825
948,Copper,Copper,181.59,graphite_coated,Laser,7.78,9.191,30.66,,,,,845.210765,18.551858,0.0,0.0,0.211754,,,,,,
949,Aluminum,StainlessSteel,172.927,nickel_plated,RSW,3.973,6.371,28.942,,,,,,,,,,14.441289,2.28718,154.441731,99.947934,104.532046,1647.382828
950,Copper,StainlessSteel,127.062,silver_plated,USW,6.652,9.153,20.025,834.864728,50.233656,790.67709,276.494527,,,,,,,,,,,
951,Copper,Aluminum,66.44,nickel_plated,USW,7.579,2.0,66.126,1547.875559,35.63339,603.497858,226.661194,,,,,,,,,,,
952,Copper,StainlessSteel,218.725,brushed,USW,7.521,7.218,20.0,1231.252876,20.427076,590.722472,153.95519,,,,,,,,,,,
953,Copper,Nickel,109.715,gold_plated,Laser,6.344,6.95,20.0,,,,,701.425832,95.910345,0.0,0.0,0.25725,,,,,,
954,Copper,Titanium,161.412,tin_plated,USW,3.328,4.926,54.966,1352.681551,20.042662,1011.24538,267.863821,,,,,,,,,,,
955,Copper,Copper,174.533,silver_plated,Laser,5.022,5.603,51.208,,,,,427.833257,50.964572,270.406155,0.573202,0.218279,,,,,,
956,Copper,Nickel,101.287,nickel_plated,Laser,7.373,4.728,22.26,,,,,763.250348,56.50459,153.554487,1.49913,0.11298,,,,,,
957,Aluminum,Aluminum,126.627,silver_plated,USW,7.826,7.527,32.751,1748.346427,20.776646,104.771329,323.417351,,,,,,,,,,,
958,Copper,Aluminum,68.394,nickel_plated,USW,2.662,9.731,57.745,1700.620936,28.377603,894.02575,327.674975,,,,,,,,,,,
959,Copper,Copper,163.483,graphite_coated,Laser,5.926,5.288,77.672,,,,,780.030835,28.600771,0.0,0.0,0.21356,,,,,,
960,Aluminum,Aluminum,146.745,nickel_plated,Laser,7.36,7.114,55.951,,,,,770.250054,48.23144,308.818868,0.99163,0.132182,,,,,,
961,Copper,Nickel,117.859,nickel_plated,USW,4.974,7.863,20.0,1544.798824,35.421127,645.810044,299.093121,,,,,,,,,,,
962,Copper,Nickel,76.574,bare,Laser,2.0,8.309,57.845,,,,,368.350027,15.470767,0.0,0.0,0.217941,,,,,,
963,Copper,Aluminum,87.686,oxide_heavy,RSW,8.714,6.846,37.533,,,,,,,,,,16.161811,3.611084,212.220764,115.339232,98.158166,1903.53992
964,Copper,Titanium,122.89,nickel_plated,USW,9.507,5.479,48.376,1285.625524,32.838256,763.829092,276.488041,,,,,,,,,,,
965,Copper,StainlessSteel,121.783,tin_plated,Laser,5.855,2.0,20.0,,,,,547.320754,45.205714,94.052615,0.679988,0.24069,,,,,,
966,Copper,Nickel,72.651,bare,USW,2.216,4.007,46.406,1833.959022,27.529016,688.225823,152.516866,,,,,,,,,,,
967,Copper,Aluminum,124.482,bare,USW,8.958,8.365,51.901,2064.401702,23.560681,1344.7098,251.557418,,,,,,,,,,,
968,Copper,Nickel,142.388,bare,USW,3.167,2.93,50.415,1258.173662,28.352658,494.062634,50.689707,,,,,,,,,,,
969,Aluminum,Aluminum,136.131,silver_plated,Laser,9.61,5.635,43.681,,,,,417.062875,61.430099,48.522299,1.293575,0.233883,,,,,,
970,Copper,Nickel,159.216,graphite_coated,USW,6.804,6.703,36.565,1866.304383,25.045275,1043.346688,301.682622,,,,,,,,,,,
971,Copper,Nickel,165.981,silver_plated,RSW,8.08,4.285,59.419,,,,,,,,,,16.731966,2.859458,179.699122,117.594112,125.826724,1511.188632
972,Copper,Copper,159.149,tin_plated,USW,8.996,4.495,20.0,727.335012,40.022143,785.822182,296.750874,,,,,,,,,,,
973,Aluminum,Aluminum,183.642,silver_plated,USW,2.0,7.054,44.754,1349.171025,32.389617,910.366792,182.090226,,,,,,,,,,,
974,Copper,Aluminum,96.618,silver_plated,Laser,5.271,7.169,70.513,,,,,473.736972,24.598483,0.0,0.0,0.304377,,,,,,
975,Copper,StainlessSteel,154.893,bare,USW,6.59,4.444,22.131,1564.015087,20.778651,816.944469,644.470227,,,,,,,,,,,
976,Aluminum,Aluminum,148.265,tin_plated,RSW,7.443,4.968,20.0,,,,,,,,,,11.547928,1.436593,123.667445,77.168443,132.365307,1656.406267
977,Aluminum,StainlessSteel,136.533,tin_plated,USW,4.233,3.209,20.0,635.03643,19.119024,289.867508,383.165529,,,,,,,,,,,
978,Aluminum,Aluminum,104.024,brushed,Laser,7.031,9.84,86.078,,,,,408.918564,36.240401,123.020387,0.603649,0.210467,,,,,,
979,Aluminum,Aluminum,84.39,graphite_coated,USW,5.655,9.718,34.238,1857.548293,22.246413,699.154283,465.767553,,,,,,,,,,,
980,Copper,Copper,94.809,bare,Laser,5.354,9.342,34.331,,,,,222.26244,14.795419,0.0,0.0,0.269581,,,,,,
981,Copper,Nickel,69.955,brushed,Laser,5.109,3.93,56.81,,,,,643.057485,20.060782,119.151129,0.190684,0.192516,,,,,,
982,Copper,Aluminum,91.034,tin_plated,USW,5.623,6.631,71.419,1015.074095,19.501685,856.703641,362.069368,,,,,,,,,,,
983,Copper,Nickel,26.809,bare,Laser,6.011,9.443,45.409,,,,,706.75528,78.310841,277.631699,0.361388,0.201453,,,,,,
984,Aluminum,Nickel,75.429,graphite_coated,RSW,4.166,7.904,38.491,,,,,,,,,,10.432433,3.654725,207.947829,107.286471,100.996034,2952.770945
985,Aluminum,StainlessSteel,139.237,silver_plated,Laser,6.122,6.47,41.732,,,,,773.678477,45.590545,0.0,0.0,0.211145,,,,,,
986,Copper,Copper,129.445,nickel_plated,Laser,6.085,3.344,20.0,,,,,324.356883,44.699695,0.0,0.0,0.207229,,,,,,
987,Copper,Copper,144.178,graphite_coated,Laser,5.187,6.391,48.543,,,,,849.091944,45.199986,270.737997,0.705106,0.191651,,,,,,
988,Aluminum,StainlessSteel,70.103,brushed,USW,6.805,7.892,55.074,1961.861176,26.088606,984.707902,226.849571,,,,,,,,,,,
989,Copper,Nickel,152.368,nickel_plated,USW,5.209,5.497,20.0,1880.281543,29.499679,941.401212,289.082459,,,,,,,,,,,
990,Copper,Aluminum,92.743,bare,Laser,5.104,4.738,45.697,,,,,635.831044,21.067327,0.0,0.0,0.296344,,,,,,
991,Copper,Copper,84.715,bare,USW,8.57,5.118,41.088,790.312366,34.34659,400.46122,264.909307,,,,,,,,,,,
992,Copper,StainlessSteel,97.807,nickel_plated,Laser,5.597,4.7,57.403,,,,,776.097992,72.719197,0.0,0.0,0.244391,,,,,,
993,Copper,Copper,115.005,bare,USW,3.306,4.342,23.499,1760.36052,19.001937,990.848034,188.118001,,,,,,,,,,,
994,Copper,Titanium,123.52,nickel_plated,RSW,7.196,8.525,20.0,,,,,,,,,,2.0,2.252509,201.576775,149.154159,85.703667,2814.035341
995,Aluminum,Aluminum,172.54,bare,RSW,4.143,6.802,65.379,,,,,,,,,,16.602359,2.105994,163.765332,65.149432,65.122348,2205.154448
996,Copper,Aluminum,125.622,graphite_coated,RSW,7.463,7.677,20.0,,,,,,,,,,15.093049,1.437862,190.951274,123.204514,64.392884,2104.037098
997,Copper,Aluminum,71.355,gold_plated,Laser,5.117,8.446,31.183,,,,,835.560461,49.925814,211.453201,1.129364,0.123684,,,,,,
998,Aluminum,StainlessSteel,34.317,nickel_plated,Laser,7.425,7.033,94.015,,,,,311.873285,36.797274,0.0,0.0,0.258183,,,,,,
999,Copper,StainlessSteel,82.549,silver_plated,Laser,9.16,4.32,47.671,,,,,639.272645,16.866068,355.752414,0.828665,0.117898,,,,,,
1000,Copper,Aluminum,71.247,bare,Laser,8.599,6.362,20.0,,,,,480.521368,67.95069,171.191806,0.859453,0.203405,,,,,,
1001,Copper,Aluminum,124.59,nickel_plated,USW,7.557,6.189,69.323,2132.597478,21.198817,655.988245,298.707754,,,,,,,,,,,
1002,Aluminum,Titanium,216.481,graphite_coated,USW,8.369,5.988,40.672,2011.849752,29.204972,615.355019,171.26915,,,,,,,,,,,
1003,Aluminum,Nickel,103.63,brushed,RSW,4.823,6.857,25.215,,,,,,,,,,11.631443,4.191324,232.008991,128.231056,187.019608,2119.762588
1004,Copper,Titanium,146.48,silver_plated,Laser,3.094,5.547,55.778,,,,,387.304964,11.933619,0.0,0.0,0.201512,,,,,,
1005,Copper,Nickel,121.144,tin_plated,Laser,7.903,5.091,38.911,,,,,629.986727,40.937365,0.0,0.0,0.119018,,,,,,
1006,Copper,Nickel,122.851,silver_plated,Laser,5.695,2.0,64.134,,,,,649.847011,45.341441,118.572432,0.903667,0.198441,,,,,,
1007,Copper,Copper,76.996,bare,RSW,4.98,6.992,66.234,,,,,,,,,,7.195991,1.066543,206.034589,111.659187,104.890468,2219.887915
1008,Copper,Aluminum,78.152,brushed,Laser,6.093,8.479,58.685,,,,,276.671596,70.33813,0.0,0.0,0.220996,,,,,,
1009,Aluminum,Nickel,135.358,brushed,RSW,2.583,8.4,30.773,,,,,,,,,,12.38457,4.56599,120.41164,51.001218,77.344139,1064.30414
1010,Copper,Copper,182.489,bare,USW,2.0,7.195,55.427,1290.878674,28.364516,667.927369,487.381221,,,,,,,,,,,
1011,Copper,Titanium,90.173,nickel_plated,RSW,2.0,5.408,31.613,,,,,,,,,,10.771745,3.52562,125.287476,128.569184,85.234706,1554.041405
1012,Aluminum,Nickel,132.52,tin_plated,USW,5.292,8.814,60.446,917.785346,10.0,611.976053,213.765197,,,,,,,,,,,
1013,Aluminum,Aluminum,145.849,bare,USW,4.541,6.26,46.922,1206.711712,35.678069,106.729707,469.047859,,,,,,,,,,,
1014,Copper,Titanium,156.58,bare,Laser,8.0,6.253,38.504,,,,,263.780436,33.170067,146.532728,1.406727,0.266943,,,,,,
1015,Copper,Copper,89.829,tin_plated,RSW,8.358,6.535,21.341,,,,,,,,,,13.785899,3.529784,189.192391,106.123907,134.082443,2052.248399
1016,Aluminum,StainlessSteel,20.0,bare,USW,2.0,7.997,66.587,2066.36713,37.50893,955.674178,209.238927,,,,,,,,,,,
1017,Aluminum,Titanium,75.209,graphite_coated,Laser,7.678,7.743,42.481,,,,,815.655753,39.223399,0.0,0.0,0.306462,,,,,,
1018,Copper,StainlessSteel,120.272,nickel_plated,Laser,6.998,10.547,72.327,,,,,432.183332,45.52061,0.0,0.0,0.298049,,,,,,
1019,Copper,Aluminum,82.532,bare,USW,6.314,7.886,26.736,1477.347965,38.410143,508.156636,286.933504,,,,,,,,,,,
1020,Copper,Copper,95.065,nickel_plated,RSW,4.657,5.732,70.07,,,,,,,,,,3.536621,4.1617,133.616315,99.040109,112.354693,1732.332487
1021,Copper,StainlessSteel,135.376,bare,USW,4.618,6.014,46.353,2000.701413,31.404711,962.805242,305.564086,,,,,,,,,,,
1022,Copper,Nickel,159.77,tin_plated,RSW,6.032,6.93,43.152,,,,,,,,,,8.283347,1.553303,139.339974,83.7275,120.504197,2032.732797
1023,Copper,Copper,162.966,graphite_coated,RSW,2.947,6.194,78.266,,,,,,,,,,5.729977,1.504361,122.468606,50.040598,73.708094,1500.032603
1024,Copper,Copper,106.084,oxide_heavy,RSW,4.249,5.168,51.688,,,,,,,,,,9.177134,1.600078,217.750689,127.645621,129.120754,1398.659448
1025,Aluminum,Titanium,177.429,brushed,USW,7.853,6.048,55.655,1064.349445,25.026838,1135.227514,359.024791,,,,,,,,,,,
1026,Copper,Nickel,182.387,silver_plated,USW,7.547,4.352,20.125,2262.959939,19.785731,349.454338,332.230075,,,,,,,,,,,
1027,Copper,Titanium,115.765,brushed,USW,3.437,5.66,49.019,1302.370937,20.963655,876.430065,361.569389,,,,,,,,,,,
1028,Aluminum,Nickel,173.106,graphite_coated,Laser,7.026,5.369,41.13,,,,,879.553804,12.984809,214.434076,0.771261,0.247664,,,,,,
1029,Aluminum,StainlessSteel,103.827,silver_plated,Laser,3.776,6.041,62.284,,,,,220.87021,35.960411,0.0,0.0,0.185342,,,,,,
1030,Copper,Nickel,170.111,tin_plated,USW,7.279,4.985,55.823,1184.279093,35.654656,1098.528378,202.909218,,,,,,,,,,,
1031,Copper,Copper,115.943,tin_plated,Laser,5.048,2.927,74.631,,,,,445.697272,57.099948,49.230797,1.109469,0.068301,,,,,,
1032,Copper,Copper,101.097,tin_plated,Laser,7.912,4.689,30.409,,,,,394.595727,35.162571,0.0,0.0,0.205788,,,,,,
1033,Copper,Aluminum,94.032,bare,USW,7.303,5.245,23.739,1757.561898,21.854752,727.732117,482.180142,,,,,,,,,,,
1034,Copper,Nickel,110.423,brushed,USW,4.07,4.334,59.674,1936.433077,41.805869,774.430233,476.835661,,,,,,,,,,,
1035,Copper,Copper,137.781,graphite_coated,Laser,5.911,3.631,20.0,,,,,524.313718,6.772184,0.0,0.0,0.162346,,,,,,
1036,Copper,StainlessSteel,114.356,brushed,USW,5.603,5.758,55.746,1676.375863,34.305324,734.081202,222.688054,,,,,,,,,,,
1037,Copper,Nickel,173.184,graphite_coated,Laser,5.929,3.66,20.396,,,,,794.758103,23.491126,0.0,0.0,0.259373,,,,,,
1038,Copper,Nickel,125.967,nickel_plated,USW,7.625,10.036,25.924,2443.61083,29.339839,306.871551,342.327654,,,,,,,,,,,
1039,Aluminum,Titanium,58.067,brushed,RSW,4.444,5.239,74.651,,,,,,,,,,12.304016,2.74515,58.592825,142.691226,78.757761,1290.206377
1040,Copper,Copper,135.694,brushed,Laser,5.182,4.72,27.384,,,,,844.64327,31.887951,0.0,0.0,0.154241,,,,,,
1041,Aluminum,StainlessSteel,156.012,nickel_plated,RSW,3.313,8.625,26.581,,,,,,,,,,17.471723,4.013103,179.651774,200.0,123.892162,2687.47883
1042,Aluminum,Titanium,86.221,gold_plated,Laser,6.007,11.977,53.704,,,,,624.149364,63.871421,305.172049,1.231569,0.238862,,,,,,
1043,Aluminum,Aluminum,70.661,silver_plated,Laser,7.761,9.026,65.186,,,,,350.707526,16.066923,0.0,0.0,0.275194,,,,,,
1044,Copper,StainlessSteel,154.858,nickel_plated,Laser,6.195,5.688,25.407,,,,,780.149091,18.144802,0.0,0.0,0.22178,,,,,,
1045,Copper,StainlessSteel,68.496,brushed,USW,8.327,6.711,40.984,1763.917058,37.88171,775.241905,325.69304,,,,,,,,,,,
1046,Copper,Copper,96.107,nickel_plated,USW,8.013,9.14,61.184,1845.951969,31.274584,830.802606,354.275404,,,,,,,,,,,
1047,Aluminum,StainlessSteel,48.86,nickel_plated,Laser,5.762,3.154,20.0,,,,,509.745629,46.117956,165.659568,1.246316,0.171687,,,,,,
1048,Copper,Copper,72.134,oxide_heavy,Laser,3.519,9.818,28.152,,,,,569.586023,50.967513,208.366219,1.415645,0.178757,,,,,,
1049,Copper,Aluminum,58.825,brushed,USW,10.726,3.866,40.873,1465.24806,42.841024,582.726851,391.731608,,,,,,,,,,,
1050,Copper,Aluminum,100.242,nickel_plated,USW,8.132,8.234,20.0,1593.838667,33.993982,420.67995,292.509725,,,,,,,,,,,
1051,Aluminum,Nickel,57.085,silver_plated,USW,6.831,12.0,27.784,1411.48254,27.583461,378.271261,403.277418,,,,,,,,,,,
1052,Copper,StainlessSteel,99.663,nickel_plated,Laser,6.946,3.356,56.184,,,,,538.6591,49.379995,255.194369,0.981863,0.152954,,,,,,
1053,Aluminum,Aluminum,133.549,nickel_plated,Laser,4.75,7.713,30.083,,,,,698.485502,52.34817,72.315158,0.28387,0.261698,,,,,,
1054,Aluminum,StainlessSteel,122.038,brushed,Laser,12.0,7.425,43.154,,,,,465.720375,32.244847,0.0,0.0,0.206176,,,,,,
