resistance_growth_pct_1000cyc,strength_retention_pct_1000cyc,cycles_to_failure,crack_growth_mm,delamination_probability,reliability_class
13.2,97.82,8983,0.257,0.3768,A
10.67,87.52,9513,0.246,0.361,B
14.0,91.57,9005,0.316,0.4357,A
9.83,94.27,9505,0.281,0.3747,A
22.91,86.15,7144,0.322,0.5621,B
12.58,92.3,7247,0.259,0.4824,A
11.96,94.56,9744,0.268,0.3709,A
13.71,79.78,6918,0.325,0.5504,B
17.66,79.62,7703,0.293,0.6989,B
14.23,92.97,7997,0.202,0.3834,A
13.38,92.2,9316,0.267,0.4243,A
11.83,92.63,8254,0.196,0.4196,A
12.31,97.6,8934,0.27,0.3473,A
5.07,97.1,9020,0.163,0.3241,A
4.62,99.39,10904,0.119,0.2964,A
6.56,100.0,10190,0.133,0.3983,A
16.39,88.34,9002,0.341,0.5622,B
11.03,96.76,8169,0.174,0.3728,A
6.75,95.54,9362,0.179,0.3698,A
12.11,94.47,8479,0.253,0.3616,A
11.05,96.92,9079,0.151,0.3342,A
10.09,81.06,7832,0.229,0.4902,B
12.48,91.7,8778,0.208,0.3307,A
23.54,84.38,7465,0.436,0.6851,B
16.86,92.13,7207,0.276,0.4566,B
13.68,94.32,9538,0.296,0.3173,A
15.8,84.3,7616,0.167,0.4648,B
10.58,98.77,8917,0.198,0.3046,A
18.77,82.61,8508,0.362,0.5316,B
16.71,83.03,6480,0.309,0.5151,B
10.75,100.0,8678,0.206,0.3219,A
13.09,89.73,7141,0.28,0.4511,B
14.63,89.57,8334,0.308,0.4354,B
11.27,84.87,7100,0.175,0.4198,B
12.45,90.42,8835,0.164,0.4588,A
13.51,89.91,8314,0.245,0.4051,B
14.96,87.68,7357,0.239,0.4544,B
22.16,84.24,5561,0.293,0.4695,B
14.65,91.8,7864,0.264,0.4655,A
11.67,92.07,7456,0.219,0.3525,A
12.5,91.75,8597,0.204,0.3932,A
13.85,81.83,7320,0.296,0.6071,B
10.61,98.81,9123,0.218,0.3342,A
14.98,95.88,8325,0.211,0.4521,A
10.44,86.39,7984,0.317,0.4033,B
8.8,94.41,8704,0.174,0.3389,A
12.86,83.0,7298,0.232,0.4656,B
4.16,100.0,10432,0.123,0.2845,A
7.29,97.85,9700,0.177,0.3355,A
10.33,96.43,8126,0.148,0.3552,A
7.5,100.0,10057,0.211,0.3316,A
9.9,98.37,9328,0.282,0.3724,A
11.85,92.57,9343,0.187,0.3661,A
10.38,97.44,8256,0.266,0.3662,A
14.17,96.16,7802,0.24,0.4473,A
14.74,93.75,7567,0.221,0.4307,A
12.66,90.84,6949,0.225,0.3941,A
14.88,87.83,6942,0.213,0.4348,B
12.84,91.58,8392,0.228,0.3852,A
5.53,94.46,8241,0.189,0.4453,A
17.9,82.33,7851,0.239,0.5,B
12.95,93.12,7143,0.256,0.3839,A
11.34,96.24,9413,0.197,0.2517,A
11.9,87.41,9020,0.154,0.3671,B
11.75,96.52,9589,0.156,0.3375,A
11.25,99.87,9864,0.224,0.3442,A
13.55,87.71,7310,0.26,0.5108,B
10.71,100.0,8678,0.24,0.2979,A
13.5,90.78,9643,0.221,0.4637,A
6.18,89.68,8164,0.233,0.3371,B
13.16,87.25,7348,0.227,0.3696,B
13.86,95.51,8154,0.291,0.4839,A
14.47,91.86,8486,0.27,0.4269,A
14.95,89.03,7416,0.251,0.4943,B
13.02,91.1,8369,0.267,0.5,A
13.6,88.52,8937,0.269,0.4384,B
11.95,96.35,9725,0.296,0.4123,A
8.44,92.49,8158,0.104,0.3053,A
6.94,97.03,8264,0.198,0.3493,A
12.94,88.43,8131,0.246,0.3707,B
15.69,99.19,7734,0.264,0.3637,B
10.87,82.49,7944,0.175,0.4518,B
22.4,88.58,6332,0.377,0.5813,B
9.71,93.84,9732,0.153,0.2707,A
11.15,94.94,8811,0.104,0.3467,A
6.44,100.0,11314,0.12,0.2563,A
14.72,92.06,6672,0.23,0.3794,A
10.87,89.63,10086,0.303,0.388,B
9.89,97.36,8375,0.224,0.4126,A
20.96,82.9,5443,0.381,0.6175,B
6.86,95.7,8590,0.188,0.394,A
16.18,88.39,7075,0.181,0.416,B
7.49,92.3,8799,0.197,0.3359,A
20.13,82.9,7322,0.269,0.4962,B
11.2,97.54,9236,0.292,0.405,A
7.16,97.25,9535,0.172,0.2818,A
14.82,89.76,9300,0.267,0.4208,B
5.91,95.85,9722,0.204,0.3663,A
9.55,97.12,9325,0.223,0.3563,A
8.75,99.86,10467,0.131,0.303,A
15.28,83.76,9307,0.204,0.4515,B
11.37,99.99,8404,0.242,0.3612,A
14.08,85.73,7506,0.285,0.6004,B
11.55,84.55,7457,0.315,0.5678,B
10.38,89.1,8328,0.177,0.4283,B
9.82,100.0,10258,0.239,0.3551,A
12.49,89.3,7662,0.314,0.4463,B
10.79,97.45,8733,0.235,0.4194,A
18.8,92.44,6782,0.247,0.4287,B
10.64,90.73,10099,0.217,0.3831,A
16.34,95.7,8859,0.252,0.4101,B
10.66,93.61,8675,0.192,0.3517,A
10.12,88.48,8655,0.224,0.3534,B
12.09,84.22,7752,0.205,0.523,B
9.61,89.84,8591,0.239,0.4113,B
11.03,89.35,8005,0.231,0.3086,B
13.69,90.91,8916,0.312,0.3836,A
9.12,100.0,8798,0.189,0.3882,A
9.91,98.93,9885,0.149,0.2527,A
9.3,90.72,9957,0.199,0.3335,A
19.39,83.24,6781,0.247,0.5061,B
7.44,98.36,9278,0.134,0.2983,A
12.23,90.77,7739,0.173,0.3766,A
13.0,87.98,9337,0.247,0.4055,B
11.49,87.29,8585,0.249,0.4142,B
13.65,95.42,8606,0.217,0.3463,A
11.77,98.34,8107,0.258,0.3996,A
9.99,92.07,8396,0.155,0.3994,A
8.1,99.83,9755,0.2,0.298,A
15.72,86.88,8759,0.217,0.4484,B
14.38,85.73,6893,0.255,0.4506,B
9.38,95.21,8650,0.201,0.3201,A
13.47,86.6,6851,0.272,0.4449,B
17.13,84.07,6859,0.22,0.4954,B
7.21,90.37,7967,0.206,0.3403,A
9.36,100.0,9891,0.145,0.2873,A
12.3,94.01,9098,0.249,0.3631,A
18.49,90.32,6771,0.369,0.5126,B
14.85,90.57,8174,0.214,0.387,A
10.67,94.36,8212,0.295,0.3844,A
11.01,100.0,10268,0.206,0.3447,A
15.22,80.07,7666,0.188,0.4789,B
9.52,97.31,7822,0.169,0.4055,A
14.61,95.53,7496,0.192,0.3837,A
13.26,100.0,10974,0.252,0.3003,A
14.05,95.77,8563,0.181,0.2941,A
19.52,80.26,6002,0.327,0.5589,B
7.05,83.73,10453,0.18,0.4742,B
11.52,92.11,8195,0.257,0.3527,A
15.6,92.46,7937,0.305,0.4807,B
12.24,97.14,8787,0.158,0.3259,A
18.48,80.56,7886,0.297,0.5776,B
15.81,91.75,8399,0.26,0.3354,B
13.81,93.02,9051,0.231,0.4103,A
9.28,84.95,8114,0.191,0.4205,B
7.26,100.0,9614,0.142,0.2483,A
9.67,100.0,8287,0.268,0.3705,A
12.46,97.57,9658,0.119,0.3405,A
9.73,100.0,9966,0.176,0.2786,A
26.45,85.14,8465,0.369,0.608,B
6.76,98.81,10200,0.164,0.3174,A
17.23,85.81,7712,0.271,0.6424,B
9.75,89.9,8733,0.259,0.3995,B
14.37,93.74,8473,0.199,0.3557,A
17.9,88.69,7448,0.288,0.4195,B
13.59,89.2,7604,0.235,0.4649,B
6.54,98.25,8561,0.087,0.4334,A
11.69,89.65,8067,0.248,0.3529,B
10.55,94.62,8060,0.185,0.326,A
13.14,94.39,9002,0.287,0.405,A
6.93,90.65,9846,0.134,0.2464,A
12.64,91.23,7498,0.346,0.4893,A
8.58,96.9,7954,0.16,0.3193,A
22.51,87.3,7179,0.448,0.673,B
11.36,100.0,11063,0.158,0.2857,A
11.7,92.98,9566,0.216,0.3509,A
8.67,94.18,8390,0.23,0.359,A
14.81,89.96,8047,0.245,0.4804,B
12.27,88.95,8116,0.23,0.5185,B
12.78,91.2,7640,0.223,0.3929,A
17.47,91.99,7173,0.284,0.4634,B
11.55,95.35,9199,0.158,0.334,A
7.92,95.83,10129,0.25,0.4102,A
12.71,86.15,9425,0.157,0.4588,B
9.13,97.57,10211,0.15,0.3277,A
13.4,95.12,8456,0.286,0.4044,A
11.99,100.0,8915,0.213,0.4567,A
16.68,94.15,7963,0.289,0.5067,B
8.59,90.69,8968,0.208,0.3732,A
18.12,78.17,7733,0.241,0.7259,B
15.41,83.64,7487,0.288,0.5612,B
9.34,97.29,8687,0.277,0.3984,A
13.48,95.06,8543,0.274,0.424,A
3.84,98.2,10684,0.073,0.2365,A
11.8,85.85,8245,0.232,0.4641,B
10.2,85.87,8265,0.257,0.5429,B
12.49,93.29,8057,0.207,0.3933,A
7.17,93.54,8931,0.176,0.3989,A
14.89,84.71,7607,0.286,0.5357,B
12.09,99.69,8602,0.198,0.3794,A
14.14,86.79,7551,0.247,0.5979,B
9.36,87.65,8181,0.269,0.4417,B
8.2,88.38,7304,0.187,0.3936,B
13.36,91.18,8813,0.133,0.3035,A
13.7,92.16,7756,0.237,0.4135,A
11.04,93.28,8277,0.181,0.3272,A
21.37,87.91,7671,0.399,0.5852,B
15.7,90.4,8466,0.29,0.4309,B
14.88,96.78,7578,0.238,0.3824,A
13.54,89.1,6745,0.331,0.3743,B
10.28,95.15,9819,0.198,0.3393,A
11.5,88.09,9464,0.225,0.3986,B
11.7,100.0,9611,0.18,0.3338,A
6.26,96.99,7765,0.173,0.3419,A
11.21,99.12,10366,0.287,0.3926,A
18.61,88.07,7735,0.335,0.4867,B
8.96,97.29,9580,0.178,0.2947,A
19.41,90.76,7449,0.335,0.4644,B
10.98,96.68,8137,0.302,0.3902,A
16.58,96.73,6349,0.275,0.4237,B
15.52,94.68,8222,0.259,0.4307,B
10.17,100.0,11196,0.239,0.3173,A
11.79,85.12,6458,0.345,0.5802,B
23.39,76.63,7286,0.296,0.5932,B
9.77,92.8,7799,0.173,0.3682,A
8.6,94.69,8933,0.166,0.3007,A
10.13,91.3,8085,0.265,0.4864,A
7.88,94.32,8553,0.221,0.4868,A
16.9,94.43,7061,0.198,0.4455,B
9.78,95.59,8967,0.275,0.3742,A
9.86,100.0,9974,0.194,0.3397,A
11.24,94.76,8155,0.205,0.3555,A
11.09,94.83,8703,0.181,0.4372,A
7.74,100.0,10089,0.171,0.3526,A
5.03,100.0,10207,0.119,0.2697,A
8.66,98.45,9487,0.166,0.2749,A
7.17,92.76,8300,0.251,0.4466,A
17.08,93.56,7609,0.284,0.4095,B
15.0,95.13,8799,0.258,0.392,B
16.47,84.91,6711,0.338,0.51,B
14.56,90.18,6775,0.177,0.4593,A
11.9,89.24,8055,0.325,0.4368,B
16.58,81.65,6625,0.225,0.4636,B
10.0,96.46,8062,0.208,0.2843,A
10.95,98.78,10110,0.3,0.4599,A
13.63,91.21,7042,0.316,0.4362,A
8.29,88.26,8724,0.23,0.3642,B
11.43,98.29,8944,0.171,0.3171,A
8.27,100.0,11699,0.104,0.2785,A
18.09,92.28,7856,0.318,0.4231,B
9.36,96.96,8992,0.207,0.3527,A
9.25,99.51,8834,0.122,0.2535,A
9.41,85.31,8593,0.198,0.4131,B
10.27,100.0,9663,0.196,0.3763,A
8.51,99.54,11891,0.084,0.2261,A
8.8,98.56,9696,0.238,0.3005,A
12.72,95.04,7825,0.289,0.4456,A
7.39,85.59,8428,0.146,0.3794,B
8.55,97.02,8810,0.241,0.346,A
17.26,78.57,7653,0.28,0.6911,B
11.42,90.99,9016,0.168,0.4008,A
11.99,89.99,8313,0.258,0.4077,B
12.19,91.85,9696,0.239,0.4101,A
14.19,88.67,7967,0.267,0.4806,B
8.21,91.02,8175,0.16,0.346,A
9.6,94.17,7760,0.094,0.266,A
18.46,91.2,7834,0.33,0.5295,B
10.83,96.03,8190,0.185,0.3842,A
11.31,94.14,7774,0.292,0.4327,A
17.67,90.3,7899,0.296,0.4302,B
16.67,88.11,8221,0.207,0.4183,B
12.49,84.49,6934,0.324,0.4516,B
10.28,88.33,8404,0.156,0.3738,B
15.18,83.0,6617,0.258,0.456,B
8.74,93.75,7878,0.159,0.329,A
14.88,82.34,5566,0.238,0.4863,B
13.33,91.5,7979,0.276,0.4448,A
11.67,100.0,9434,0.187,0.3705,A
10.05,100.0,11056,0.18,0.2423,A
13.21,90.2,6689,0.226,0.4194,A
11.93,81.99,7577,0.256,0.4355,B
6.79,97.31,10801,0.109,0.3525,A
13.29,93.87,9377,0.267,0.4776,A
11.65,88.62,8184,0.184,0.4021,B
11.57,92.36,8020,0.307,0.4625,A
9.14,90.58,8445,0.206,0.3204,A
11.95,97.19,9814,0.232,0.4479,A
16.16,89.05,7340,0.247,0.3496,B
12.28,88.48,7440,0.224,0.4798,B
10.32,86.6,7424,0.283,0.4246,B
7.05,96.29,9222,0.126,0.3228,A
11.16,98.36,9186,0.194,0.3354,A
22.07,77.78,7804,0.338,0.7002,B
12.16,95.61,8749,0.196,0.2776,A
19.35,83.59,5361,0.353,0.5796,B
5.37,98.0,9932,0.139,0.3029,A
13.9,87.11,7588,0.198,0.493,B
8.53,100.0,10199,0.206,0.3192,A
13.27,86.71,8010,0.232,0.5456,B
14.06,90.51,8915,0.18,0.3512,A
10.78,92.26,7496,0.192,0.4053,A
9.87,91.7,8235,0.173,0.335,A
14.85,86.86,7025,0.208,0.4196,B
15.32,89.01,7666,0.366,0.4991,B
8.93,80.07,7072,0.285,0.539,B
14.44,87.83,9231,0.25,0.445,B
15.44,82.64,7384,0.342,0.4985,B
17.05,92.3,8170,0.253,0.4691,B
8.78,99.64,10584,0.126,0.3059,A
14.67,89.25,7629,0.196,0.3414,B
8.95,87.39,7590,0.22,0.4015,B
12.51,82.1,5837,0.254,0.5198,B
10.01,98.97,10391,0.2,0.4016,A
14.83,88.72,7149,0.287,0.4397,B
5.37,100.0,10357,0.106,0.2236,A
13.9,95.2,9101,0.123,0.3655,A
12.05,88.38,6835,0.286,0.5451,B
22.45,81.62,6658,0.224,0.5981,B
16.67,93.04,8947,0.24,0.3389,B
10.8,94.33,8335,0.172,0.4219,A
10.14,89.42,7498,0.233,0.3882,B
19.45,86.74,6148,0.353,0.5677,B
9.13,91.93,8517,0.176,0.4559,A
18.32,95.97,7641,0.274,0.4036,B
15.95,94.91,7662,0.185,0.4431,B
11.69,98.78,9620,0.182,0.321,A
18.61,91.1,7606,0.382,0.5708,B
6.49,100.0,11598,0.138,0.2514,A
10.64,91.25,8399,0.229,0.4364,A
11.84,89.95,9656,0.238,0.371,B
7.56,98.33,10395,0.254,0.3147,A
14.22,87.99,7833,0.288,0.5704,B
11.93,92.94,7370,0.21,0.3861,A
14.32,89.57,8465,0.201,0.5106,B
7.59,94.33,8899,0.168,0.4066,A
17.06,89.77,8340,0.35,0.3944,B
8.82,100.0,9689,0.17,0.2581,A
11.67,94.82,9101,0.288,0.3764,A
6.61,92.71,9545,0.15,0.3518,A
11.07,100.0,9138,0.122,0.3106,A
10.32,90.48,8102,0.158,0.43,A
7.77,97.94,8474,0.179,0.2887,A
17.26,90.28,6261,0.274,0.4716,B
9.72,98.7,10087,0.179,0.3266,A
12.72,84.91,6794,0.265,0.4695,B
9.0,96.31,10526,0.175,0.349,A
13.65,90.46,7838,0.224,0.4347,A
11.4,89.26,7843,0.209,0.3914,B
18.89,88.74,6391,0.244,0.4736,B
11.54,94.11,8607,0.252,0.4584,A
13.57,86.35,7873,0.245,0.5486,B
10.06,86.0,7699,0.225,0.4609,B
9.39,98.22,9639,0.124,0.2693,A
19.06,95.77,9183,0.32,0.4478,B
11.31,92.77,6371,0.24,0.3555,A
9.27,93.61,7854,0.146,0.3377,A
12.0,87.85,8302,0.181,0.4961,B
14.18,80.76,8150,0.174,0.4622,B
9.18,97.7,9769,0.186,0.3144,A
10.75,93.87,8174,0.248,0.3515,A
11.72,91.73,7330,0.212,0.4624,A
9.66,94.32,8528,0.22,0.3593,A
10.03,100.0,10482,0.227,0.3512,A
11.82,95.28,8577,0.201,0.403,A
11.88,91.45,10128,0.13,0.395,A
8.44,100.0,10658,0.12,0.2609,A
10.67,84.32,7353,0.212,0.4351,B
10.65,94.07,8171,0.146,0.3641,A
20.11,85.0,6466,0.31,0.526,B
16.18,92.28,7993,0.277,0.4218,B
16.61,96.27,8237,0.308,0.386,B
13.45,89.11,7855,0.304,0.4806,B
17.6,95.58,8533,0.297,0.4669,B
11.66,94.67,8708,0.246,0.4301,A
16.17,94.81,7631,0.24,0.4448,B
15.98,88.34,8938,0.22,0.3334,B
18.99,83.77,7665,0.221,0.659,B
11.36,89.85,7991,0.222,0.3916,B
15.21,84.38,6451,0.298,0.5332,B
9.63,100.0,10788,0.139,0.2919,A
10.08,85.01,6556,0.269,0.4677,B
3.09,100.0,12000,0.081,0.2586,A
6.95,99.64,9471,0.234,0.403,A
12.75,84.25,6998,0.286,0.4397,B
13.94,88.79,7330,0.209,0.4894,B
11.19,97.4,9615,0.122,0.3172,A
9.97,93.42,10073,0.158,0.2952,A
11.08,87.8,6659,0.209,0.4516,B
8.95,97.42,9090,0.12,0.2546,A
9.95,96.59,7772,0.223,0.3635,A
8.51,100.0,9128,0.142,0.2289,A
8.49,93.49,9697,0.229,0.3183,A
11.24,85.54,8976,0.276,0.5219,B
13.0,96.93,8962,0.244,0.3393,A
8.21,94.86,8189,0.206,0.3332,A
15.96,88.23,8640,0.347,0.5016,B
5.69,100.0,10646,0.173,0.3163,A
17.88,81.68,6792,0.288,0.6054,B
10.14,85.22,7063,0.323,0.4971,B
11.82,95.97,7674,0.19,0.2839,A
14.27,92.47,8280,0.275,0.3293,A
9.06,94.91,9402,0.241,0.3336,A
10.14,92.78,9338,0.128,0.3667,A
7.34,94.45,8753,0.114,0.2991,A
12.25,90.26,9212,0.278,0.4287,A
10.94,97.19,9658,0.195,0.3117,A
6.9,86.63,8056,0.235,0.3557,B
16.93,85.68,7815,0.194,0.4956,B
20.92,88.17,7102,0.425,0.6745,B
15.8,87.92,6977,0.222,0.4557,B
10.53,94.82,10171,0.26,0.3183,A
11.77,91.82,7241,0.204,0.4036,A
14.8,82.56,5881,0.268,0.503,B
10.38,100.0,10277,0.167,0.2288,A
16.4,89.53,8756,0.279,0.5373,B
11.26,100.0,9898,0.147,0.2621,A
9.2,99.97,10271,0.155,0.2679,A
12.37,80.85,8591,0.321,0.6492,B
15.09,92.89,8072,0.304,0.4917,B
13.42,78.29,8556,0.177,0.4853,B
17.35,77.31,7780,0.287,0.6028,B
11.41,97.42,8483,0.196,0.4403,A
10.47,91.26,9363,0.187,0.2833,A
10.61,95.44,8195,0.281,0.4308,A
12.13,87.34,7726,0.181,0.4717,B
13.68,85.88,8111,0.128,0.4765,B
7.43,89.67,8502,0.299,0.4548,B
9.65,96.08,9178,0.15,0.3767,A
14.25,97.14,8675,0.269,0.3823,A
13.34,78.67,5652,0.313,0.5803,B
11.94,85.74,8691,0.212,0.5056,B
6.5,100.0,10550,0.117,0.3182,A
10.14,92.89,9632,0.233,0.3975,A
17.83,90.57,6733,0.325,0.518,B
15.92,92.5,7300,0.235,0.4803,B
14.76,84.35,7708,0.269,0.5153,B
11.6,96.41,7916,0.318,0.4246,A
9.16,85.49,8691,0.227,0.454,B
16.43,80.75,6586,0.28,0.5285,B
11.58,88.86,7561,0.219,0.4806,B
13.1,94.16,7800,0.217,0.3615,A
4.44,100.0,10242,0.162,0.2349,A
17.47,78.0,8403,0.346,0.8585,B
13.34,93.35,7364,0.322,0.4341,A
16.91,94.07,6915,0.346,0.5352,B
20.21,85.32,7636,0.362,0.5844,B
8.34,88.71,8815,0.248,0.4027,B
18.28,91.42,8956,0.216,0.458,B
12.66,100.0,10682,0.195,0.3006,A
11.92,96.7,8027,0.226,0.3444,A
10.24,95.81,8377,0.208,0.4087,A
14.26,88.97,8325,0.194,0.3621,B
10.01,86.72,8896,0.218,0.4987,B
11.72,96.29,8883,0.279,0.3978,A
8.38,89.09,8849,0.213,0.3386,B
14.36,99.14,8540,0.217,0.3461,A
11.8,90.43,7900,0.223,0.3728,A
8.45,100.0,10861,0.087,0.2965,A
21.5,97.77,8422,0.294,0.494,B
21.49,80.27,5303,0.356,0.6438,B
10.74,91.05,8519,0.176,0.3077,A
9.23,100.0,8776,0.21,0.328,A
10.7,98.16,9452,0.153,0.3534,A
8.58,92.08,7611,0.244,0.47,A
11.81,98.39,9785,0.176,0.3286,A
12.53,90.66,8640,0.269,0.3833,A
15.01,88.3,7218,0.212,0.3303,B
15.42,81.95,6750,0.344,0.5608,B
12.25,91.78,7601,0.232,0.4123,A
14.31,80.04,7143,0.309,0.5718,B
10.82,86.13,7426,0.196,0.3763,B
9.33,90.9,9815,0.149,0.3628,A
13.64,83.92,6667,0.248,0.5284,B
17.77,93.08,7159,0.307,0.4054,B
15.01,88.9,7991,0.251,0.4336,B
11.96,91.22,7847,0.33,0.4299,A
10.93,96.61,9319,0.184,0.2545,A
14.04,92.49,8143,0.102,0.3255,A
5.55,100.0,11352,0.135,0.3118,A
20.14,82.44,6398,0.375,0.5892,B
10.64,94.73,9657,0.261,0.4751,A
13.05,85.26,8354,0.286,0.607,B
16.32,91.81,6931,0.194,0.415,B
12.0,95.22,9902,0.206,0.3471,A
11.29,92.13,8872,0.174,0.3817,A
6.95,98.98,8847,0.178,0.4202,A
12.33,86.41,7054,0.258,0.4912,B
17.53,92.67,6762,0.305,0.4596,B
11.95,91.18,9279,0.174,0.3498,A
14.76,92.57,8555,0.254,0.3087,A
9.26,90.21,9198,0.276,0.3611,A
15.88,88.25,7932,0.335,0.5331,B
9.6,92.93,8139,0.297,0.3767,A
17.08,92.44,6512,0.262,0.4264,B
10.19,91.23,9245,0.242,0.3896,A
8.48,98.19,8597,0.178,0.3038,A
14.53,97.69,8226,0.207,0.4253,A
13.11,93.95,9007,0.206,0.3764,A
11.39,96.7,8430,0.148,0.3357,A
7.83,100.0,10728,0.153,0.2355,A
10.38,91.76,8451,0.159,0.3848,A
18.53,84.08,7649,0.353,0.6549,B
7.92,99.56,9708,0.145,0.3366,A
14.26,89.27,8956,0.131,0.3551,B
12.81,83.58,6148,0.277,0.4813,B
8.13,94.23,8013,0.185,0.4086,A
13.76,89.26,7354,0.294,0.4241,B
13.72,91.63,8467,0.135,0.3049,A
8.77,91.92,9358,0.192,0.2649,A
9.06,86.92,8538,0.338,0.4635,B
9.89,94.12,8453,0.184,0.4228,A
11.47,95.59,8733,0.171,0.3666,A
17.98,83.59,8710,0.354,0.5552,B
9.61,84.58,7342,0.201,0.4908,B
11.69,93.92,8489,0.19,0.4275,A
7.83,93.23,9072,0.165,0.3141,A
11.21,91.91,7967,0.283,0.4514,A
11.48,96.7,9623,0.15,0.3033,A
11.99,89.17,8004,0.18,0.4177,B
25.25,86.98,7439,0.408,0.6416,B
12.64,92.27,7216,0.293,0.4467,A
8.39,97.97,9308,0.121,0.3208,A
9.8,86.6,7705,0.282,0.4531,B
11.73,96.91,9008,0.18,0.3503,A
9.32,90.63,8640,0.171,0.401,A
5.59,97.6,10849,0.222,0.3161,A
10.68,92.91,8811,0.202,0.3512,A
15.96,92.27,7887,0.32,0.547,B
23.77,80.75,7300,0.423,0.6649,B
16.81,86.38,7438,0.175,0.5506,B
7.64,96.6,9241,0.202,0.3446,A
6.65,100.0,11082,0.118,0.283,A
11.91,98.11,9944,0.121,0.199,A
22.37,87.66,5801,0.287,0.5611,B
10.77,100.0,8787,0.121,0.3189,A
13.47,94.59,8487,0.242,0.4129,A
12.67,100.0,9997,0.213,0.3619,A
13.19,90.56,8438,0.159,0.4305,A
18.0,90.98,6649,0.247,0.3977,B
15.84,93.96,8003,0.234,0.4814,B
24.54,90.84,6363,0.345,0.5559,B
10.07,94.33,9011,0.222,0.3083,A
8.36,91.31,6928,0.25,0.3798,A
18.37,93.57,8321,0.217,0.376,B
9.61,96.93,9166,0.18,0.3345,A
15.22,94.65,7297,0.253,0.4854,B
4.66,100.0,10385,0.089,0.3036,A
7.76,95.08,9252,0.234,0.3469,A
15.53,85.78,8457,0.268,0.6262,B
15.96,87.25,6499,0.273,0.4577,B
12.19,92.12,7879,0.27,0.3659,A
12.26,92.48,8113,0.28,0.444,A
12.76,83.16,7310,0.223,0.4068,B
10.53,94.6,8473,0.209,0.3358,A
13.44,90.87,8329,0.203,0.4171,A
4.77,100.0,9339,0.153,0.2781,A
18.37,87.48,7015,0.311,0.4926,B
9.0,100.0,11273,0.181,0.2977,A
12.16,83.99,8621,0.23,0.5615,B
10.98,96.25,8637,0.271,0.4928,A
11.99,91.99,8481,0.16,0.3549,A
4.22,100.0,11426,0.145,0.3241,A
9.58,100.0,9610,0.208,0.2636,A
8.77,94.36,9636,0.142,0.3196,A
8.64,96.8,9334,0.165,0.3013,A
9.06,100.0,10597,0.208,0.3264,A
13.01,94.86,8699,0.162,0.3539,A
9.46,98.74,9866,0.131,0.252,A
5.48,97.09,9005,0.171,0.2958,A
12.82,85.76,6114,0.262,0.5301,B
16.15,77.27,8105,0.247,0.6867,B
10.34,97.81,10705,0.248,0.2942,A
13.6,94.25,8839,0.273,0.3749,A
12.58,90.23,8047,0.144,0.3205,A
10.27,95.65,9374,0.216,0.3448,A
9.66,92.62,9085,0.233,0.4179,A
11.51,84.72,8859,0.179,0.586,B
8.74,95.95,10028,0.229,0.3574,A
25.19,84.67,5830,0.27,0.5384,B
13.73,92.18,7710,0.333,0.4439,A
10.87,94.6,9972,0.252,0.3495,A
22.34,86.48,7460,0.269,0.5759,B
10.97,93.7,7570,0.258,0.4075,A
11.65,89.06,9620,0.252,0.3742,B
8.65,98.63,8754,0.272,0.3852,A
10.62,93.34,8421,0.282,0.3511,A
8.05,89.91,9496,0.262,0.4309,B
13.47,93.26,8200,0.287,0.4012,A
12.47,79.97,7233,0.296,0.5215,B
18.82,87.02,7617,0.301,0.7579,B
12.8,97.34,9887,0.237,0.3512,A
14.77,90.19,6941,0.24,0.4781,A
11.06,97.99,10758,0.253,0.3608,A
14.83,81.25,8370,0.275,0.5657,B
6.4,94.44,9975,0.166,0.3628,A
5.0,100.0,10697,0.176,0.3431,A
9.25,87.93,9475,0.216,0.4616,B
14.68,85.97,7132,0.274,0.4634,B
7.39,86.78,7125,0.177,0.4558,B
17.69,99.16,8397,0.241,0.4751,B
6.65,93.54,9130,0.199,0.4835,A
13.35,95.53,7947,0.178,0.3046,A
8.74,98.6,9911,0.135,0.2865,A
13.82,89.7,8138,0.24,0.423,B
20.27,83.24,5790,0.344,0.5707,B
7.11,100.0,10035,0.174,0.3156,A
14.5,91.45,7039,0.361,0.5099,A
10.69,91.45,10215,0.272,0.2894,A
11.08,96.1,8195,0.301,0.4097,A
13.8,93.65,9113,0.257,0.3678,A
16.63,86.8,8132,0.354,0.5211,B
5.35,97.69,10552,0.168,0.3413,A
10.17,85.8,10023,0.227,0.3378,B
22.06,75.58,7282,0.37,0.6539,B
11.04,96.05,9470,0.237,0.3454,A
12.31,96.96,8659,0.238,0.3327,A
13.49,98.21,8907,0.197,0.3587,A
7.96,98.45,10507,0.194,0.2703,A
9.98,98.13,10288,0.152,0.3059,A
14.54,89.5,7828,0.284,0.417,B
15.94,91.71,6196,0.22,0.4724,B
7.7,96.58,8618,0.155,0.3029,A
11.45,90.1,8435,0.244,0.3816,A
8.45,95.69,10645,0.15,0.3035,A
13.4,90.22,8093,0.252,0.3969,A
13.42,83.41,6683,0.285,0.566,B
11.57,89.83,8531,0.187,0.3614,B
13.66,82.58,7556,0.258,0.5117,B
12.6,93.71,9124,0.256,0.4225,A
14.56,82.79,7578,0.276,0.4972,B
15.1,77.02,6955,0.321,0.5335,B
13.25,88.82,8409,0.224,0.383,B
10.74,89.28,8069,0.255,0.4223,B
13.63,92.79,7096,0.307,0.4071,A
15.36,92.21,7917,0.199,0.3982,B
11.91,87.26,7760,0.221,0.4225,B
