respondent_id,stakeholder_type,state,lga,industry_type,awareness_score_1_5,acceptance_score_1_5,perceived_benefits,perceived_risks,capex_concern_1_5,opex_concern_1_5,reliability_concern_1_5,regulatory_barrier_score_1_5,familiar_with_gas_price_volatility,prefer_grid_integration,prefer_isolated_minigrid,purchase_intent_0_1,comment,source,is_fabricated
R00497,Engineer,Adamawa,Adamawa LGA 17,FMCG,3,3,Lower Emissions,Regulatory Risk,2,3,3,4,False,True,False,0,,Primary (synthetic),True
R00498,Academic,Oyo,Oyo LGA 12,Cement,3,2,Lower Emissions,Capex,3,3,4,3,True,True,False,0,,Primary (synthetic),True
R00499,Engineer,Niger,Niger LGA 18,Retail,4,2,Long Life,Maintenance,3,2,3,2,True,True,False,0,,Primary (synthetic),True
R00500,Community Leader,Sokoto,Sokoto LGA 16,FMCG,4,4,Long Life,Maintenance,3,3,2,2,True,True,False,1,,Primary (synthetic),True
R00501,Community Leader,Ekiti,Ekiti LGA 1,Retail,3,1,Lower Emissions,Capex,2,3,3,3,True,True,False,0,,Primary (synthetic),True
R00502,DisCo Official,Gombe,Gombe LGA 8,Automotive,2,3,Reliability,Technical Complexity,3,3,5,4,False,False,True,0,,Primary (synthetic),True
R00503,Policymaker,Anambra,Anambra LGA 12,Retail,5,2,Lower OPEX,Capex,4,3,4,2,True,True,False,0,,Primary (synthetic),True
R00504,Community Leader,Katsina,Katsina LGA 33,FMCG,3,3,Scalable,Maintenance,3,2,4,3,True,True,False,1,,Primary (synthetic),True
R00505,Engineer,Oyo,Oyo LGA 23,Hospitality,3,3,Scalable,Gas Price Volatility,3,3,2,3,False,True,False,1,,Primary (synthetic),True
R00506,Industrial Manager,FCT,Kuje,Textile,4,3,Reliability,Technical Complexity,3,2,3,2,True,True,False,1,,Primary (synthetic),True
R00507,Industrial Manager,Niger,Niger LGA 8,FMCG,2,4,Reliability,Capex,4,4,2,4,True,True,False,0,,Primary (synthetic),True
R00508,Industrial Manager,Enugu,Enugu LGA 1,Textile,3,2,Long Life,Gas Price Volatility,3,3,1,3,True,True,False,0,,Primary (synthetic),True
R00509,Academic,Kogi,Kogi LGA 20,Hospitality,5,1,Lower Emissions,Maintenance,3,4,4,2,True,False,False,0,,Primary (synthetic),True
R00510,Investor,Taraba,Taraba LGA 9,Food Processing,3,3,Long Life,Gas Price Volatility,2,3,2,3,False,True,False,1,,Primary (synthetic),True
R00511,Investor,Jigawa,Jigawa LGA 4,Textile,1,2,Lower OPEX,Regulatory Risk,4,5,3,3,True,True,False,0,,Primary (synthetic),True
R00512,Engineer,Niger,Niger LGA 14,Hospitality,3,3,Lower OPEX,Capex,2,1,2,2,True,True,False,1,,Primary (synthetic),True
R00513,Industrial Manager,Ogun,Ogun LGA 16,Hospitality,4,3,Scalable,Technical Complexity,3,4,1,3,True,False,True,1,,Primary (synthetic),True
R00514,Community Leader,Ebonyi,Ebonyi LGA 6,Hospitality,2,2,Long Life,Capex,3,3,3,3,False,False,False,0,,Primary (synthetic),True
R00515,Industrial Manager,Delta,Delta LGA 2,Automotive,3,3,Lower Emissions,Regulatory Risk,4,3,2,2,True,True,False,0,,Primary (synthetic),True
R00516,Industrial Manager,Katsina,Katsina LGA 22,FMCG,3,3,Long Life,Capex,3,3,5,2,True,False,False,1,,Primary (synthetic),True
R00517,Investor,Taraba,Taraba LGA 3,Oil & Gas Services,3,3,Long Life,Regulatory Risk,3,2,3,2,True,True,False,1,,Primary (synthetic),True
R00518,Academic,Niger,Niger LGA 11,Textile,2,1,Long Life,Capex,3,4,3,4,False,True,False,0,,Primary (synthetic),True
R00519,Community Leader,Katsina,Katsina LGA 21,Food Processing,2,3,Long Life,Technical Complexity,3,3,3,3,True,True,False,1,,Primary (synthetic),True
R00520,Engineer,Kogi,Kogi LGA 11,Food Processing,3,2,Scalable,Maintenance,4,4,4,3,False,True,False,0,,Primary (synthetic),True
R00521,DisCo Official,Plateau,Plateau LGA 2,Textile,2,3,Long Life,Capex,5,3,3,2,False,True,False,0,,Primary (synthetic),True
R00522,Community Leader,Kebbi,Kebbi LGA 15,Hospitality,3,1,Reliability,Gas Price Volatility,2,1,3,1,False,True,False,0,,Primary (synthetic),True
R00523,Industrial Manager,Jigawa,Jigawa LGA 14,Automotive,3,2,Lower Emissions,Technical Complexity,4,3,2,3,False,True,False,0,,Primary (synthetic),True
R00524,Academic,Abia,Abia LGA 12,Hospitality,4,2,Reliability,Technical Complexity,4,3,4,2,True,False,False,0,,Primary (synthetic),True
R00525,Engineer,Sokoto,Sokoto LGA 9,Retail,5,1,Lower OPEX,Capex,2,2,1,4,False,False,True,0,,Primary (synthetic),True
R00526,DisCo Official,Oyo,Oyo LGA 3,Hospitality,4,3,Long Life,Regulatory Risk,3,3,4,2,True,False,False,1,,Primary (synthetic),True
R00527,DisCo Official,Gombe,Gombe LGA 8,Oil & Gas Services,4,1,Lower OPEX,Regulatory Risk,4,2,2,3,True,True,False,0,,Primary (synthetic),True
R00528,Policymaker,Osun,Osun LGA 8,FMCG,1,4,Long Life,Gas Price Volatility,3,2,4,2,True,False,False,1,,Primary (synthetic),True
R00529,Policymaker,Katsina,Katsina LGA 4,Food Processing,2,2,Lower Emissions,Technical Complexity,3,1,4,3,True,True,False,0,,Primary (synthetic),True
R00530,DisCo Official,Ondo,Ondo LGA 3,Food Processing,3,2,Lower Emissions,Capex,4,4,3,4,True,True,False,0,,Primary (synthetic),True
R00531,Industrial Manager,Ebonyi,Ebonyi LGA 6,Oil & Gas Services,3,4,Lower OPEX,Technical Complexity,3,3,5,3,True,False,False,1,,Primary (synthetic),True
R00532,Industrial Manager,Kaduna,Kaduna LGA 6,Automotive,3,4,Scalable,Maintenance,4,2,2,3,False,True,False,0,,Primary (synthetic),True
R00533,Community Leader,Bayelsa,Bayelsa LGA 6,Retail,4,2,Lower OPEX,Gas Price Volatility,3,3,4,2,True,True,False,0,,Primary (synthetic),True
R00534,Policymaker,Taraba,Taraba LGA 7,Hospitality,5,3,Long Life,Technical Complexity,3,2,4,2,True,False,True,1,,Primary (synthetic),True
R00535,Investor,Bauchi,Bauchi LGA 8,Automotive,2,2,Reliability,Gas Price Volatility,3,3,3,3,True,True,False,0,,Primary (synthetic),True
R00536,Policymaker,Lagos,Ikeja,FMCG,5,3,Lower OPEX,Regulatory Risk,5,4,2,2,True,True,False,0,,Primary (synthetic),True
R00537,Investor,Zamfara,Zamfara LGA 12,Hospitality,4,3,Long Life,Maintenance,3,2,3,4,True,True,False,0,,Primary (synthetic),True
R00538,Academic,Katsina,Katsina LGA 9,Oil & Gas Services,4,1,Lower Emissions,Gas Price Volatility,3,4,5,3,True,False,True,0,,Primary (synthetic),True
R00539,DisCo Official,Adamawa,Adamawa LGA 10,Textile,3,1,Lower OPEX,Maintenance,4,2,4,2,False,True,False,0,,Primary (synthetic),True
R00540,Engineer,Borno,Borno LGA 6,Food Processing,3,2,Lower OPEX,Regulatory Risk,4,3,3,2,False,False,True,0,,Primary (synthetic),True
R00541,DisCo Official,Zamfara,Zamfara LGA 11,Cement,4,1,Lower Emissions,Gas Price Volatility,5,3,2,4,True,True,False,0,,Primary (synthetic),True
R00542,Policymaker,Abia,Abia LGA 4,FMCG,2,3,Reliability,Gas Price Volatility,3,3,2,2,True,True,False,1,,Primary (synthetic),True
R00543,Investor,FCT,Kwali,Cement,3,3,Scalable,Technical Complexity,3,4,4,5,False,True,False,0,,Primary (synthetic),True
R00544,Engineer,Taraba,Taraba LGA 9,Food Processing,2,2,Lower Emissions,Maintenance,2,3,2,4,True,False,True,0,,Primary (synthetic),True
R00545,Community Leader,Kano,Kano LGA 18,Cement,3,2,Lower Emissions,Technical Complexity,3,3,4,4,True,False,True,0,,Primary (synthetic),True
R00546,Academic,Imo,Imo LGA 5,FMCG,3,3,Lower Emissions,Gas Price Volatility,3,3,1,4,True,False,False,0,,Primary (synthetic),True
R00547,Industrial Manager,Abia,Abia LGA 14,Hospitality,3,3,Long Life,Capex,3,1,4,2,False,False,True,1,,Primary (synthetic),True
R00548,Community Leader,Ekiti,Ekiti LGA 5,Retail,2,4,Long Life,Gas Price Volatility,4,2,1,3,True,True,False,0,,Primary (synthetic),True
R00549,Investor,Ebonyi,Ebonyi LGA 1,FMCG,3,2,Reliability,Capex,3,3,3,4,False,True,False,0,,Primary (synthetic),True
R00550,Engineer,Taraba,Taraba LGA 3,Automotive,2,3,Long Life,Maintenance,2,3,3,4,True,True,False,0,,Primary (synthetic),True
R00551,Investor,Cross River,Cross River LGA 1,Food Processing,3,2,Lower Emissions,Maintenance,4,3,3,3,True,False,True,0,,Primary (synthetic),True
R00552,Academic,Taraba,Taraba LGA 10,Retail,4,3,Scalable,Regulatory Risk,4,2,3,4,True,False,False,0,,Primary (synthetic),True
R00553,Industrial Manager,Rivers,Rivers LGA 17,Textile,4,3,Reliability,Technical Complexity,3,2,3,3,True,True,False,1,,Primary (synthetic),True
R00554,Academic,Ondo,Ondo LGA 9,Oil & Gas Services,2,2,Long Life,Capex,2,1,2,3,False,False,True,0,,Primary (synthetic),True
R00555,Policymaker,Kogi,Kogi LGA 12,Food Processing,2,3,Reliability,Technical Complexity,2,3,3,3,True,True,False,1,,Primary (synthetic),True
R00556,Engineer,Oyo,Oyo LGA 27,Cement,5,4,Lower Emissions,Gas Price Volatility,2,2,3,4,True,True,False,0,,Primary (synthetic),True
R00557,DisCo Official,Ogun,Ogun LGA 4,Automotive,3,3,Scalable,Regulatory Risk,4,2,4,3,False,False,True,0,,Primary (synthetic),True
R00558,Engineer,Plateau,Plateau LGA 9,Textile,2,1,Long Life,Maintenance,5,3,3,2,True,True,False,0,,Primary (synthetic),True
R00559,DisCo Official,Gombe,Gombe LGA 10,FMCG,2,3,Lower OPEX,Regulatory Risk,3,3,3,3,True,True,False,1,,Primary (synthetic),True
R00560,Community Leader,Edo,Edo LGA 6,FMCG,3,2,Reliability,Regulatory Risk,3,3,2,3,True,True,False,0,,Primary (synthetic),True
R00561,Academic,Enugu,Enugu LGA 12,Oil & Gas Services,3,2,Reliability,Maintenance,3,1,4,4,True,True,False,0,,Primary (synthetic),True
R00562,Industrial Manager,Ogun,Ogun LGA 4,Textile,3,3,Scalable,Regulatory Risk,4,3,3,2,False,True,False,0,,Primary (synthetic),True
R00563,Community Leader,Kogi,Kogi LGA 15,Food Processing,4,3,Reliability,Gas Price Volatility,2,2,3,4,True,True,False,0,,Primary (synthetic),True
R00564,Industrial Manager,Yobe,Yobe LGA 15,Cement,3,2,Scalable,Capex,4,3,1,3,True,False,False,0,,Primary (synthetic),True
R00565,Engineer,Cross River,Cross River LGA 2,Textile,2,3,Lower OPEX,Technical Complexity,4,4,2,3,True,True,False,0,,Primary (synthetic),True
R00566,DisCo Official,Taraba,Taraba LGA 3,Oil & Gas Services,3,3,Reliability,Gas Price Volatility,4,4,3,3,True,False,True,0,,Primary (synthetic),True
R00567,Academic,Yobe,Yobe LGA 3,Hospitality,2,3,Lower OPEX,Gas Price Volatility,4,3,3,3,False,False,True,0,,Primary (synthetic),True
R00568,Academic,Ebonyi,Ebonyi LGA 13,Cement,4,3,Lower Emissions,Gas Price Volatility,4,3,3,2,False,False,False,0,,Primary (synthetic),True
R00569,DisCo Official,Delta,Delta LGA 12,Retail,2,1,Scalable,Technical Complexity,3,3,3,3,False,False,True,0,,Primary (synthetic),True
R00570,Investor,Rivers,Rivers LGA 17,Cement,4,4,Lower OPEX,Regulatory Risk,3,4,4,3,True,True,False,1,,Primary (synthetic),True
R00571,Academic,Anambra,Anambra LGA 1,Oil & Gas Services,4,2,Reliability,Capex,3,3,3,2,True,True,False,0,,Primary (synthetic),True
R00572,Investor,Ogun,Ogun LGA 5,Oil & Gas Services,1,3,Scalable,Capex,3,3,3,3,False,False,True,1,,Primary (synthetic),True
R00573,Policymaker,Plateau,Plateau LGA 2,Food Processing,3,4,Scalable,Regulatory Risk,3,2,1,5,True,True,False,0,,Primary (synthetic),True
R00574,Industrial Manager,Kaduna,Kaduna LGA 2,Retail,3,4,Lower Emissions,Technical Complexity,5,2,3,2,True,True,False,0,,Primary (synthetic),True
R00575,Community Leader,Imo,Imo LGA 17,Retail,3,2,Reliability,Capex,3,2,3,4,False,True,False,0,,Primary (synthetic),True
R00576,Engineer,Ebonyi,Ebonyi LGA 9,Oil & Gas Services,3,3,Scalable,Capex,3,4,3,2,True,True,False,1,,Primary (synthetic),True
R00577,Policymaker,Jigawa,Jigawa LGA 3,FMCG,3,2,Lower Emissions,Gas Price Volatility,4,3,2,4,True,False,False,0,,Primary (synthetic),True
R00578,Engineer,Lagos,Ikeja,Textile,3,5,Long Life,Maintenance,3,3,4,3,False,True,False,1,,Primary (synthetic),True
R00579,Investor,Taraba,Taraba LGA 1,Food Processing,3,2,Lower Emissions,Technical Complexity,2,2,4,5,True,False,True,0,,Primary (synthetic),True
R00580,DisCo Official,Kogi,Kogi LGA 2,FMCG,4,3,Reliability,Regulatory Risk,3,3,5,3,True,True,False,1,,Primary (synthetic),True
R00581,Academic,Borno,Borno LGA 13,Food Processing,3,1,Lower OPEX,Regulatory Risk,4,3,2,3,True,False,True,0,,Primary (synthetic),True
R00582,Policymaker,Bayelsa,Bayelsa LGA 4,Food Processing,4,4,Lower OPEX,Gas Price Volatility,3,3,3,3,False,False,True,1,,Primary (synthetic),True
R00583,Industrial Manager,Kebbi,Kebbi LGA 13,Automotive,5,2,Reliability,Technical Complexity,3,2,3,3,False,False,True,0,,Primary (synthetic),True
R00584,Investor,Benue,Benue LGA 11,Retail,3,3,Long Life,Capex,2,2,3,4,True,True,False,0,,Primary (synthetic),True
R00585,Policymaker,Borno,Borno LGA 24,FMCG,4,2,Lower OPEX,Maintenance,2,3,2,4,False,False,False,0,,Primary (synthetic),True
R00586,Industrial Manager,FCT,Bwari,Oil & Gas Services,4,4,Long Life,Technical Complexity,2,3,2,2,True,False,False,1,,Primary (synthetic),True
R00587,Industrial Manager,Sokoto,Sokoto LGA 5,Food Processing,2,3,Lower Emissions,Technical Complexity,3,3,4,3,True,True,False,1,,Primary (synthetic),True
R00588,DisCo Official,Akwa Ibom,Akwa Ibom LGA 27,FMCG,3,2,Lower OPEX,Regulatory Risk,2,3,2,4,False,True,False,0,,Primary (synthetic),True
R00589,Investor,Cross River,Cross River LGA 14,FMCG,5,2,Long Life,Regulatory Risk,3,3,4,2,True,False,True,0,,Primary (synthetic),True
R00590,Policymaker,Delta,Delta LGA 22,Cement,3,4,Lower Emissions,Gas Price Volatility,4,3,3,5,False,True,False,0,,Primary (synthetic),True
R00591,Engineer,Edo,Edo LGA 14,Cement,2,3,Scalable,Maintenance,2,3,4,2,True,False,True,1,,Primary (synthetic),True
R00592,Investor,Katsina,Katsina LGA 1,Automotive,3,2,Scalable,Technical Complexity,3,4,4,2,True,True,False,0,,Primary (synthetic),True
R00593,Academic,Lagos,Surulere,Cement,5,4,Lower Emissions,Regulatory Risk,2,3,3,3,True,True,False,1,,Primary (synthetic),True
R00594,Engineer,Kano,Kano LGA 19,Textile,4,2,Scalable,Regulatory Risk,3,3,3,2,False,False,False,0,,Primary (synthetic),True
R00595,Investor,FCT,Gwagwalada,Oil & Gas Services,4,2,Long Life,Gas Price Volatility,3,1,2,2,False,True,False,0,,Primary (synthetic),True
R00596,Engineer,Yobe,Yobe LGA 12,Retail,2,2,Lower Emissions,Regulatory Risk,4,4,3,4,False,False,True,0,,Primary (synthetic),True
R00597,Industrial Manager,Edo,Edo LGA 7,Textile,4,1,Scalable,Regulatory Risk,3,4,3,2,False,True,False,0,,Primary (synthetic),True
R00598,Policymaker,Adamawa,Adamawa LGA 18,Textile,3,3,Reliability,Maintenance,3,1,4,3,True,False,True,1,,Primary (synthetic),True
R00599,Academic,Gombe,Gombe LGA 6,Hospitality,2,1,Lower Emissions,Gas Price Volatility,2,3,3,3,False,False,False,0,,Primary (synthetic),True
R00600,Academic,Borno,Borno LGA 5,Retail,2,3,Reliability,Capex,3,2,2,3,False,True,False,1,,Primary (synthetic),True
R00601,Engineer,Zamfara,Zamfara LGA 7,Retail,2,3,Lower OPEX,Technical Complexity,4,3,2,2,False,False,True,0,,Primary (synthetic),True
R00602,DisCo Official,Kogi,Kogi LGA 4,Food Processing,3,2,Lower Emissions,Gas Price Volatility,4,4,3,1,False,False,True,0,,Primary (synthetic),True
R00603,Industrial Manager,Gombe,Gombe LGA 1,Retail,1,1,Long Life,Regulatory Risk,1,5,5,4,True,True,False,0,,Primary (synthetic),True
R00604,Investor,Ekiti,Ekiti LGA 11,FMCG,3,3,Scalable,Gas Price Volatility,2,3,3,4,False,True,False,0,,Primary (synthetic),True
R00605,Investor,Oyo,Oyo LGA 27,Textile,4,2,Lower OPEX,Maintenance,5,1,2,2,True,True,False,0,,Primary (synthetic),True
R00606,Policymaker,Adamawa,Adamawa LGA 16,Automotive,2,2,Long Life,Technical Complexity,5,3,4,2,True,True,False,0,,Primary (synthetic),True
R00607,Industrial Manager,Zamfara,Zamfara LGA 13,Automotive,2,1,Scalable,Gas Price Volatility,5,2,4,3,False,True,False,0,,Primary (synthetic),True
R00608,Academic,Niger,Niger LGA 17,Oil & Gas Services,3,3,Lower Emissions,Maintenance,3,3,5,2,False,True,False,1,,Primary (synthetic),True
R00609,Industrial Manager,Kwara,Kwara LGA 13,Automotive,2,2,Lower OPEX,Gas Price Volatility,5,3,4,3,False,True,False,0,,Primary (synthetic),True
R00610,Investor,Borno,Borno LGA 8,Retail,3,4,Lower Emissions,Capex,3,2,2,3,True,True,False,1,,Primary (synthetic),True
R00611,DisCo Official,Bauchi,Bauchi LGA 18,Oil & Gas Services,3,3,Long Life,Maintenance,5,2,3,3,True,False,True,0,,Primary (synthetic),True
R00612,Industrial Manager,Kaduna,Kaduna LGA 10,Food Processing,2,3,Long Life,Capex,4,2,1,3,False,True,False,0,,Primary (synthetic),True
R00613,Industrial Manager,Edo,Edo LGA 3,Textile,2,1,Reliability,Maintenance,4,2,3,3,True,False,True,0,,Primary (synthetic),True
R00614,Academic,Yobe,Yobe LGA 11,Automotive,4,2,Scalable,Technical Complexity,2,3,4,3,False,False,True,0,,Primary (synthetic),True
R00615,Industrial Manager,Kebbi,Kebbi LGA 14,Hospitality,3,4,Long Life,Capex,3,3,3,2,False,False,True,1,,Primary (synthetic),True
R00616,Investor,Anambra,Anambra LGA 13,Automotive,3,4,Lower OPEX,Capex,3,2,3,2,True,True,False,1,,Primary (synthetic),True
R00617,Community Leader,Ebonyi,Ebonyi LGA 3,Hospitality,3,3,Lower Emissions,Regulatory Risk,4,3,3,3,False,False,False,0,,Primary (synthetic),True
R00618,Community Leader,Niger,Niger LGA 19,Cement,1,2,Long Life,Regulatory Risk,4,5,4,4,False,False,True,0,,Primary (synthetic),True
R00619,Policymaker,Kaduna,Kaduna LGA 8,Oil & Gas Services,3,1,Lower OPEX,Regulatory Risk,4,3,5,2,False,True,False,0,,Primary (synthetic),True
R00620,Academic,Yobe,Yobe LGA 14,Oil & Gas Services,3,3,Scalable,Regulatory Risk,4,4,2,4,False,False,True,0,,Primary (synthetic),True
R00621,Engineer,Osun,Osun LGA 21,Automotive,5,2,Reliability,Regulatory Risk,4,3,5,4,True,True,False,0,,Primary (synthetic),True
R00622,Industrial Manager,Ekiti,Ekiti LGA 6,Automotive,3,4,Long Life,Regulatory Risk,3,3,1,1,True,True,False,1,,Primary (synthetic),True
R00623,Engineer,Delta,Delta LGA 20,Retail,2,3,Long Life,Gas Price Volatility,4,4,3,4,False,True,False,0,,Primary (synthetic),True
R00624,Policymaker,Taraba,Taraba LGA 1,Textile,2,1,Lower Emissions,Capex,2,4,4,2,True,False,False,0,,Primary (synthetic),True
R00625,Industrial Manager,FCT,Abaji,Cement,5,5,Reliability,Regulatory Risk,4,4,4,2,True,False,True,0,,Primary (synthetic),True
R00626,Community Leader,Kwara,Kwara LGA 10,Food Processing,3,2,Reliability,Technical Complexity,2,3,3,4,True,False,True,0,,Primary (synthetic),True
R00627,Policymaker,Benue,Benue LGA 11,Textile,3,4,Long Life,Technical Complexity,4,3,3,2,False,True,False,0,,Primary (synthetic),True
R00628,Community Leader,Ebonyi,Ebonyi LGA 10,Retail,4,3,Lower OPEX,Technical Complexity,3,2,2,2,False,False,True,1,,Primary (synthetic),True
R00629,DisCo Official,Niger,Niger LGA 12,FMCG,4,2,Scalable,Maintenance,3,4,4,2,False,False,True,0,,Primary (synthetic),True
R00630,Industrial Manager,Jigawa,Jigawa LGA 8,Food Processing,2,4,Lower OPEX,Capex,4,2,3,3,True,True,False,0,,Primary (synthetic),True
R00631,Engineer,Ekiti,Ekiti LGA 11,Food Processing,3,3,Long Life,Gas Price Volatility,3,2,3,4,True,True,False,0,,Primary (synthetic),True
R00632,Academic,Benue,Benue LGA 7,Textile,2,4,Reliability,Capex,4,2,4,2,True,True,False,0,,Primary (synthetic),True
R00633,DisCo Official,Adamawa,Adamawa LGA 20,Textile,3,2,Lower Emissions,Technical Complexity,5,4,3,3,True,False,False,0,,Primary (synthetic),True
R00634,Engineer,Borno,Borno LGA 23,Automotive,2,2,Reliability,Regulatory Risk,4,2,4,3,True,False,True,0,,Primary (synthetic),True
R00635,DisCo Official,Ebonyi,Ebonyi LGA 3,Retail,1,4,Scalable,Capex,4,2,2,4,True,False,True,0,,Primary (synthetic),True
R00636,DisCo Official,Kogi,Kogi LGA 17,Oil & Gas Services,2,3,Scalable,Maintenance,1,2,3,2,True,True,False,1,,Primary (synthetic),True
R00637,Investor,Borno,Borno LGA 3,Retail,3,2,Lower Emissions,Maintenance,3,3,4,3,False,False,False,0,,Primary (synthetic),True
R00638,Community Leader,Bauchi,Bauchi LGA 8,Cement,4,1,Reliability,Capex,3,3,3,3,True,True,False,0,,Primary (synthetic),True
R00639,DisCo Official,Benue,Benue LGA 10,Oil & Gas Services,4,2,Long Life,Technical Complexity,2,4,4,3,True,False,False,0,,Primary (synthetic),True
R00640,Policymaker,Kano,Kano LGA 42,Textile,3,2,Lower Emissions,Technical Complexity,5,1,3,1,False,True,False,0,,Primary (synthetic),True
R00641,Academic,Enugu,Enugu LGA 6,Cement,3,2,Lower OPEX,Maintenance,4,3,4,4,False,True,False,0,,Primary (synthetic),True
R00642,Engineer,Abia,Abia LGA 3,Food Processing,2,3,Long Life,Capex,3,4,2,4,True,True,False,0,,Primary (synthetic),True
R00643,Investor,Oyo,Oyo LGA 12,Textile,4,2,Long Life,Technical Complexity,3,4,2,4,True,False,False,0,,Primary (synthetic),True
R00644,Engineer,Kebbi,Kebbi LGA 5,Cement,2,3,Lower OPEX,Capex,3,2,4,2,True,False,False,1,,Primary (synthetic),True
R00645,Policymaker,Borno,Borno LGA 21,Textile,4,3,Scalable,Technical Complexity,4,4,3,1,False,False,True,0,,Primary (synthetic),True
R00646,Engineer,Edo,Edo LGA 5,Food Processing,3,1,Scalable,Gas Price Volatility,4,2,4,2,False,True,False,0,,Primary (synthetic),True
R00647,Community Leader,Zamfara,Zamfara LGA 3,Textile,2,3,Lower Emissions,Regulatory Risk,5,2,4,2,False,True,False,0,,Primary (synthetic),True
R00648,Academic,Borno,Borno LGA 16,Automotive,3,1,Scalable,Maintenance,3,4,3,5,True,True,False,0,,Primary (synthetic),True
R00649,Academic,Rivers,Rivers LGA 20,Cement,4,4,Reliability,Capex,4,1,3,3,True,True,False,0,,Primary (synthetic),True
R00650,Engineer,Imo,Imo LGA 22,Automotive,3,1,Reliability,Regulatory Risk,3,2,3,2,False,False,True,0,,Primary (synthetic),True
R00651,Industrial Manager,Cross River,Cross River LGA 5,Cement,4,3,Lower OPEX,Gas Price Volatility,3,2,4,3,True,False,False,1,,Primary (synthetic),True
R00652,Engineer,Oyo,Oyo LGA 33,Automotive,3,3,Reliability,Technical Complexity,3,2,2,4,False,True,False,0,,Primary (synthetic),True
R00653,Community Leader,Anambra,Anambra LGA 2,FMCG,3,4,Scalable,Maintenance,4,2,4,2,True,True,False,0,,Primary (synthetic),True
R00654,Investor,Ebonyi,Ebonyi LGA 4,Cement,4,3,Lower Emissions,Gas Price Volatility,2,2,3,2,True,True,False,1,,Primary (synthetic),True
R00655,Investor,Kaduna,Kaduna LGA 21,Food Processing,5,3,Scalable,Capex,4,2,3,3,True,False,True,0,,Primary (synthetic),True
R00656,Community Leader,Anambra,Anambra LGA 21,Textile,4,3,Reliability,Gas Price Volatility,4,1,4,3,True,False,False,0,,Primary (synthetic),True
R00657,Policymaker,Borno,Borno LGA 4,Retail,4,4,Lower Emissions,Regulatory Risk,4,3,4,3,False,False,True,0,,Primary (synthetic),True
R00658,DisCo Official,Enugu,Enugu LGA 2,Food Processing,2,3,Lower Emissions,Regulatory Risk,2,3,1,3,True,False,True,1,,Primary (synthetic),True
R00659,DisCo Official,Benue,Benue LGA 3,FMCG,3,1,Lower Emissions,Technical Complexity,3,2,3,3,True,True,False,0,,Primary (synthetic),True
R00660,Investor,Cross River,Cross River LGA 1,Food Processing,3,2,Lower OPEX,Technical Complexity,4,3,3,3,False,False,True,0,,Primary (synthetic),True
R00661,Investor,Rivers,Rivers LGA 1,Cement,3,4,Scalable,Maintenance,4,3,4,3,True,False,True,0,,Primary (synthetic),True
R00662,Industrial Manager,Adamawa,Adamawa LGA 9,Textile,5,3,Reliability,Regulatory Risk,4,2,3,3,True,True,False,0,,Primary (synthetic),True
R00663,Academic,Anambra,Anambra LGA 15,Cement,2,4,Lower OPEX,Maintenance,4,3,4,3,True,False,True,0,,Primary (synthetic),True
R00664,Academic,Abia,Abia LGA 8,Oil & Gas Services,4,3,Scalable,Capex,4,3,5,2,True,False,True,0,,Primary (synthetic),True
R00665,Policymaker,Bauchi,Bauchi LGA 12,Hospitality,2,3,Lower Emissions,Capex,3,3,3,3,True,True,False,1,,Primary (synthetic),True
R00666,Investor,Zamfara,Zamfara LGA 1,Cement,3,1,Scalable,Technical Complexity,3,3,4,2,True,True,False,0,,Primary (synthetic),True
R00667,Community Leader,Bayelsa,Bayelsa LGA 8,Retail,2,3,Reliability,Regulatory Risk,2,3,3,2,True,False,False,1,,Primary (synthetic),True
R00668,Industrial Manager,Anambra,Anambra LGA 15,Food Processing,2,3,Lower OPEX,Maintenance,3,3,3,2,True,True,False,1,,Primary (synthetic),True
R00669,DisCo Official,Kaduna,Kaduna LGA 16,Food Processing,3,2,Scalable,Regulatory Risk,3,3,3,3,False,True,False,0,,Primary (synthetic),True
R00670,Policymaker,Ondo,Ondo LGA 9,FMCG,3,4,Scalable,Capex,2,5,4,2,True,False,False,1,,Primary (synthetic),True
R00671,Policymaker,Jigawa,Jigawa LGA 27,Retail,2,3,Long Life,Gas Price Volatility,3,3,3,3,True,False,True,1,,Primary (synthetic),True
R00672,DisCo Official,Ondo,Ondo LGA 4,Hospitality,3,2,Long Life,Gas Price Volatility,4,3,2,3,False,True,False,0,,Primary (synthetic),True
R00673,Community Leader,Jigawa,Jigawa LGA 19,Cement,3,1,Lower Emissions,Technical Complexity,3,2,3,2,False,False,True,0,,Primary (synthetic),True
R00674,DisCo Official,Edo,Edo LGA 2,FMCG,4,2,Scalable,Regulatory Risk,4,1,4,3,False,False,False,0,,Primary (synthetic),True
R00675,Engineer,Ekiti,Ekiti LGA 15,Automotive,2,1,Long Life,Gas Price Volatility,2,3,3,4,True,True,False,0,,Primary (synthetic),True
R00676,Policymaker,Anambra,Anambra LGA 16,Oil & Gas Services,3,5,Scalable,Regulatory Risk,3,2,3,4,True,False,False,0,,Primary (synthetic),True
R00677,Industrial Manager,Osun,Osun LGA 26,Cement,3,1,Lower OPEX,Technical Complexity,4,4,4,3,True,True,False,0,,Primary (synthetic),True
R00678,Industrial Manager,Yobe,Yobe LGA 6,Cement,2,4,Lower Emissions,Gas Price Volatility,3,2,2,2,False,False,True,1,,Primary (synthetic),True
