# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
X_mm,Y_mm,Z_mm,Temperature_C
73.68,42.11,0.000,772.00
73.68,42.11,0.500,759.32
73.68,42.11,1.000,771.08
73.68,47.37,0.000,785.99
73.68,47.37,0.500,777.11
73.68,47.37,1.000,773.09
73.68,52.63,0.000,779.19
73.68,52.63,0.500,773.29
73.68,52.63,1.000,771.95
73.68,57.89,0.000,771.78
73.68,57.89,0.500,771.42
73.68,57.89,1.000,771.44
73.68,63.16,0.000,779.37
73.68,63.16,0.500,769.46
73.68,63.16,1.000,776.31
73.68,68.42,0.000,784.12
73.68,68.42,0.500,789.36
73.68,68.42,1.000,786.63
73.68,73.68,0.000,786.58
73.68,73.68,0.500,774.45
73.68,73.68,1.000,791.18
73.68,78.95,0.000,778.14
73.68,78.95,0.500,792.66
73.68,78.95,1.000,786.46
73.68,84.21,0.000,788.71
73.68,84.21,0.500,792.51
73.68,84.21,1.000,788.16
73.68,89.47,0.000,792.19
73.68,89.47,0.500,790.82
73.68,89.47,1.000,794.27
73.68,94.74,0.000,799.96
73.68,94.74,0.500,799.93
73.68,94.74,1.000,800.66
73.68,100.00,0.000,808.01
73.68,100.00,0.500,797.46
73.68,100.00,1.000,796.83
78.95,0.00,0.000,749.34
78.95,0.00,0.500,745.17
78.95,0.00,1.000,740.95
78.95,5.26,0.000,767.02
78.95,5.26,0.500,756.61
78.95,5.26,1.000,753.12
78.95,10.53,0.000,757.30
78.95,10.53,0.500,752.69
78.95,10.53,1.000,754.92
78.95,15.79,0.000,760.66
78.95,15.79,0.500,755.27
78.95,15.79,1.000,753.50
78.95,21.05,0.000,752.03
78.95,21.05,0.500,763.66
78.95,21.05,1.000,759.87
78.95,26.32,0.000,761.24
78.95,26.32,0.500,763.54
78.95,26.32,1.000,759.10
78.95,31.58,0.000,761.54
78.95,31.58,0.500,765.97
78.95,31.58,1.000,761.11
78.95,36.84,0.000,772.96
78.95,36.84,0.500,763.36
78.95,36.84,1.000,772.89
78.95,42.11,0.000,774.74
78.95,42.11,0.500,768.04
78.95,42.11,1.000,782.29
78.95,47.37,0.000,774.94
78.95,47.37,0.500,776.67
78.95,47.37,1.000,774.28
78.95,52.63,0.000,767.52
78.95,52.63,0.500,777.43
78.95,52.63,1.000,775.50
78.95,57.89,0.000,784.83
78.95,57.89,0.500,775.80
78.95,57.89,1.000,787.27
78.95,63.16,0.000,784.19
78.95,63.16,0.500,779.15
78.95,63.16,1.000,781.00
78.95,68.42,0.000,781.16
78.95,68.42,0.500,782.64
78.95,68.42,1.000,781.38
78.95,73.68,0.000,794.88
78.95,73.68,0.500,789.10
78.95,73.68,1.000,789.11
78.95,78.95,0.000,792.06
78.95,78.95,0.500,782.52
78.95,78.95,1.000,785.24
78.95,84.21,0.000,784.42
78.95,84.21,0.500,791.08
78.95,84.21,1.000,789.32
78.95,89.47,0.000,800.19
78.95,89.47,0.500,796.33
78.95,89.47,1.000,799.56
78.95,94.74,0.000,797.59
78.95,94.74,0.500,790.04
78.95,94.74,1.000,802.29
78.95,100.00,0.000,804.87
78.95,100.00,0.500,802.86
78.95,100.00,1.000,805.89
84.21,0.00,0.000,743.42
84.21,0.00,0.500,744.64
84.21,0.00,1.000,742.93
84.21,5.26,0.000,753.46
84.21,5.26,0.500,760.08
84.21,5.26,1.000,746.27
84.21,10.53,0.000,759.02
84.21,10.53,0.500,755.20
84.21,10.53,1.000,749.17
84.21,15.79,0.000,759.71
84.21,15.79,0.500,755.07
84.21,15.79,1.000,758.73
84.21,21.05,0.000,764.71
84.21,21.05,0.500,764.00
84.21,21.05,1.000,758.91
84.21,26.32,0.000,761.27
84.21,26.32,0.500,762.56
84.21,26.32,1.000,761.26
84.21,31.58,0.000,767.95
84.21,31.58,0.500,760.73
84.21,31.58,1.000,762.99
84.21,36.84,0.000,760.85
84.21,36.84,0.500,772.48
84.21,36.84,1.000,764.36
84.21,42.11,0.000,763.90
84.21,42.11,0.500,769.80
84.21,42.11,1.000,774.94
84.21,47.37,0.000,782.58
84.21,47.37,0.500,775.03
84.21,47.37,1.000,774.25
84.21,52.63,0.000,784.00
84.21,52.63,0.500,776.30
84.21,52.63,1.000,770.76
84.21,57.89,0.000,767.56
84.21,57.89,0.500,783.29
84.21,57.89,1.000,776.51
84.21,63.16,0.000,780.51
84.21,63.16,0.500,773.96
84.21,63.16,1.000,778.57
84.21,68.42,0.000,792.30
84.21,68.42,0.500,792.23
84.21,68.42,1.000,789.04
84.21,73.68,0.000,792.10
84.21,73.68,0.500,786.35
84.21,73.68,1.000,786.96
84.21,78.95,0.000,790.66
84.21,78.95,0.500,782.59
84.21,78.95,1.000,776.72
84.21,84.21,0.000,789.34
84.21,84.21,0.500,787.48
84.21,84.21,1.000,783.93
84.21,89.47,0.000,787.15
84.21,89.47,0.500,787.03
84.21,89.47,1.000,797.06
84.21,94.74,0.000,801.97
84.21,94.74,0.500,799.22
84.21,94.74,1.000,800.50
84.21,100.00,0.000,804.63
84.21,100.00,0.500,804.84
84.21,100.00,1.000,809.18
89.47,0.00,0.000,741.42
89.47,0.00,0.500,750.56
89.47,0.00,1.000,748.88
89.47,5.26,0.000,759.19
89.47,5.26,0.500,754.86
89.47,5.26,1.000,764.46
89.47,10.53,0.000,751.54
89.47,10.53,0.500,756.85
89.47,10.53,1.000,754.18
89.47,15.79,0.000,755.71
89.47,15.79,0.500,761.84
89.47,15.79,1.000,758.72
89.47,21.05,0.000,764.29
89.47,21.05,0.500,763.68
89.47,21.05,1.000,756.37
89.47,26.32,0.000,765.92
89.47,26.32,0.500,761.70
89.47,26.32,1.000,765.28
89.47,31.58,0.000,768.45
89.47,31.58,0.500,770.71
89.47,31.58,1.000,771.30
89.47,36.84,0.000,774.63
89.47,36.84,0.500,774.25
89.47,36.84,1.000,763.04
89.47,42.11,0.000,771.00
89.47,42.11,0.500,755.36
89.47,42.11,1.000,773.63
89.47,47.37,0.000,764.84
89.47,47.37,0.500,779.28
89.47,47.37,1.000,773.74
89.47,52.63,0.000,777.33
89.47,52.63,0.500,778.36
89.47,52.63,1.000,783.56
89.47,57.89,0.000,777.25
89.47,57.89,0.500,780.46
89.47,57.89,1.000,777.01
89.47,63.16,0.000,774.27
89.47,63.16,0.500,778.28
89.47,63.16,1.000,777.21
89.47,68.42,0.000,799.08
89.47,68.42,0.500,779.65
89.47,68.42,1.000,778.75
89.47,73.68,0.000,788.43
89.47,73.68,0.500,777.85
89.47,73.68,1.000,783.31
89.47,78.95,0.000,789.68
89.47,78.95,0.500,791.63
89.47,78.95,1.000,792.37
89.47,84.21,0.000,787.12
89.47,84.21,0.500,790.05
89.47,84.21,1.000,790.21
89.47,89.47,0.000,804.22
89.47,89.47,0.500,800.51
89.47,89.47,1.000,800.20
89.47,94.74,0.000,796.18
89.47,94.74,0.500,788.42
89.47,94.74,1.000,796.96
89.47,100.00,0.000,802.73
89.47,100.00,0.500,800.95
89.47,100.00,1.000,802.42
94.74,0.00,0.000,748.86
94.74,0.00,0.500,748.21
94.74,0.00,1.000,750.72
94.74,5.26,0.000,758.45
94.74,5.26,0.500,746.92
94.74,5.26,1.000,748.89
94.74,10.53,0.000,756.81
94.74,10.53,0.500,749.96
94.74,10.53,1.000,762.26
94.74,15.79,0.000,756.22
94.74,15.79,0.500,766.68
94.74,15.79,1.000,747.46
94.74,21.05,0.000,755.84
94.74,21.05,0.500,767.37
94.74,21.05,1.000,763.46
94.74,26.32,0.000,757.43
94.74,26.32,0.500,767.21
94.74,26.32,1.000,759.92
94.74,31.58,0.000,761.34
94.74,31.58,0.500,771.97
94.74,31.58,1.000,768.75
94.74,36.84,0.000,767.36
94.74,36.84,0.500,771.23
94.74,36.84,1.000,775.97
94.74,42.11,0.000,773.13
94.74,42.11,0.500,772.71
94.74,42.11,1.000,768.54
94.74,47.37,0.000,765.83
94.74,47.37,0.500,772.05
94.74,47.37,1.000,768.43
94.74,52.63,0.000,778.24
94.74,52.63,0.500,780.56
94.74,52.63,1.000,783.25
94.74,57.89,0.000,778.86
94.74,57.89,0.500,789.44
94.74,57.89,1.000,769.71
94.74,63.16,0.000,793.04
94.74,63.16,0.500,780.09
94.74,63.16,1.000,770.89
94.74,68.42,0.000,786.04
94.74,68.42,0.500,777.52
94.74,68.42,1.000,789.06
94.74,73.68,0.000,786.60
94.74,73.68,0.500,788.16
94.74,73.68,1.000,784.85
94.74,78.95,0.000,799.72
94.74,78.95,0.500,791.65
94.74,78.95,1.000,786.27
94.74,84.21,0.000,797.63
94.74,84.21,0.500,785.91
94.74,84.21,1.000,800.83
94.74,89.47,0.000,799.48
94.74,89.47,0.500,794.99
94.74,89.47,1.000,791.26
94.74,94.74,0.000,797.41
94.74,94.74,0.500,800.30
94.74,94.74,1.000,796.60
94.74,100.00,0.000,803.82
94.74,100.00,0.500,802.85
94.74,100.00,1.000,793.82
100.00,0.00,0.000,747.65
100.00,0.00,0.500,751.58
100.00,0.00,1.000,753.36
100.00,5.26,0.000,755.59
100.00,5.26,0.500,754.24
100.00,5.26,1.000,752.02
100.00,10.53,0.000,743.39
100.00,10.53,0.500,754.45
100.00,10.53,1.000,754.12
100.00,15.79,0.000,766.86
100.00,15.79,0.500,762.96
100.00,15.79,1.000,757.88
100.00,21.05,0.000,772.69
100.00,21.05,0.500,747.44
100.00,21.05,1.000,757.70
100.00,26.32,0.000,757.83
100.00,26.32,0.500,766.26
100.00,26.32,1.000,764.37
100.00,31.58,0.000,776.23
100.00,31.58,0.500,768.23
100.00,31.58,1.000,770.48
100.00,36.84,0.000,770.66
100.00,36.84,0.500,765.40
100.00,36.84,1.000,764.99
100.00,42.11,0.000,774.07
100.00,42.11,0.500,771.65
100.00,42.11,1.000,775.33
100.00,47.37,0.000,778.27
100.00,47.37,0.500,771.29
100.00,47.37,1.000,771.72
100.00,52.63,0.000,782.27
100.00,52.63,0.500,783.17
100.00,52.63,1.000,774.82
100.00,57.89,0.000,779.81
100.00,57.89,0.500,785.52
100.00,57.89,1.000,777.07
100.00,63.16,0.000,785.86
100.00,63.16,0.500,789.52
100.00,63.16,1.000,776.12
100.00,68.42,0.000,786.88
100.00,68.42,0.500,789.78
100.00,68.42,1.000,787.39
100.00,73.68,0.000,792.33
100.00,73.68,0.500,778.67
100.00,73.68,1.000,783.71
100.00,78.95,0.000,783.92
100.00,78.95,0.500,780.23
100.00,78.95,1.000,786.17
100.00,84.21,0.000,792.27
100.00,84.21,0.500,785.83
100.00,84.21,1.000,789.74
100.00,89.47,0.000,792.85
100.00,89.47,0.500,798.25
100.00,89.47,1.000,789.41
100.00,94.74,0.000,798.59
100.00,94.74,0.500,796.11
100.00,94.74,1.000,798.34
100.00,100.00,0.000,800.78
100.00,100.00,0.500,800.97
100.00,100.00,1.000,795.88
