# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
X_mm,Y_mm,Z_mm,U_x_um,U_y_um,U_z_um,Total_Displacement_um
64.29,21.43,0.500,0.0286,-0.0571,0.0250,0.0686
64.29,21.43,1.000,0.0286,-0.0571,0.0500,0.0811
64.29,28.57,0.000,0.0286,-0.0429,0.0000,0.0515
64.29,28.57,0.500,0.0286,-0.0429,0.0250,0.0573
64.29,28.57,1.000,0.0286,-0.0429,0.0500,0.0718
64.29,35.71,0.000,0.0286,-0.0286,0.0000,0.0404
64.29,35.71,0.500,0.0286,-0.0286,0.0250,0.0475
64.29,35.71,1.000,0.0286,-0.0286,0.0500,0.0643
64.29,42.86,0.000,0.0286,-0.0143,0.0000,0.0319
64.29,42.86,0.500,0.0286,-0.0143,0.0250,0.0406
64.29,42.86,1.000,0.0286,-0.0143,0.0500,0.0593
64.29,50.00,0.000,0.0286,0.0000,0.0000,0.0286
64.29,50.00,0.500,0.0286,0.0000,0.0250,0.0380
64.29,50.00,1.000,0.0286,0.0000,0.0500,0.0576
64.29,57.14,0.000,0.0286,0.0143,0.0000,0.0319
64.29,57.14,0.500,0.0286,0.0143,0.0250,0.0406
64.29,57.14,1.000,0.0286,0.0143,0.0500,0.0593
64.29,64.29,0.000,0.0286,0.0286,0.0000,0.0404
64.29,64.29,0.500,0.0286,0.0286,0.0250,0.0475
64.29,64.29,1.000,0.0286,0.0286,0.0500,0.0643
64.29,71.43,0.000,0.0286,0.0429,0.0000,0.0515
64.29,71.43,0.500,0.0286,0.0429,0.0250,0.0573
64.29,71.43,1.000,0.0286,0.0429,0.0500,0.0718
64.29,78.57,0.000,0.0286,0.0571,0.0000,0.0639
64.29,78.57,0.500,0.0286,0.0571,0.0250,0.0686
64.29,78.57,1.000,0.0286,0.0571,0.0500,0.0811
64.29,85.71,0.000,0.0286,0.0714,0.0000,0.0769
64.29,85.71,0.500,0.0286,0.0714,0.0250,0.0809
64.29,85.71,1.000,0.0286,0.0714,0.0500,0.0918
64.29,92.86,0.000,0.0286,0.0857,0.0000,0.0904
64.29,92.86,0.500,0.0286,0.0857,0.0250,0.0937
64.29,92.86,1.000,0.0286,0.0857,0.0500,0.1033
64.29,100.00,0.000,0.0286,0.1000,0.0000,0.1040
64.29,100.00,0.500,0.0286,0.1000,0.0250,0.1070
64.29,100.00,1.000,0.0286,0.1000,0.0500,0.1154
71.43,0.00,0.000,0.0429,-0.1000,0.0000,0.1088
71.43,0.00,0.500,0.0429,-0.1000,0.0250,0.1116
71.43,0.00,1.000,0.0429,-0.1000,0.0500,0.1197
71.43,7.14,0.000,0.0429,-0.0857,0.0000,0.0958
71.43,7.14,0.500,0.0429,-0.0857,0.0250,0.0990
71.43,7.14,1.000,0.0429,-0.0857,0.0500,0.1081
71.43,14.29,0.000,0.0429,-0.0714,0.0000,0.0833
71.43,14.29,0.500,0.0429,-0.0714,0.0250,0.0870
71.43,14.29,1.000,0.0429,-0.0714,0.0500,0.0972
71.43,21.43,0.000,0.0429,-0.0571,0.0000,0.0714
71.43,21.43,0.500,0.0429,-0.0571,0.0250,0.0757
71.43,21.43,1.000,0.0429,-0.0571,0.0500,0.0872
71.43,28.57,0.000,0.0429,-0.0429,0.0000,0.0606
71.43,28.57,0.500,0.0429,-0.0429,0.0250,0.0656
71.43,28.57,1.000,0.0429,-0.0429,0.0500,0.0786
71.43,35.71,0.000,0.0429,-0.0286,0.0000,0.0515
71.43,35.71,0.500,0.0429,-0.0286,0.0250,0.0573
71.43,35.71,1.000,0.0429,-0.0286,0.0500,0.0718
71.43,42.86,0.000,0.0429,-0.0143,0.0000,0.0452
71.43,42.86,0.500,0.0429,-0.0143,0.0250,0.0516
71.43,42.86,1.000,0.0429,-0.0143,0.0500,0.0674
71.43,50.00,0.000,0.0429,0.0000,0.0000,0.0429
71.43,50.00,0.500,0.0429,0.0000,0.0250,0.0496
71.43,50.00,1.000,0.0429,0.0000,0.0500,0.0659
71.43,57.14,0.000,0.0429,0.0143,0.0000,0.0452
71.43,57.14,0.500,0.0429,0.0143,0.0250,0.0516
71.43,57.14,1.000,0.0429,0.0143,0.0500,0.0674
71.43,64.29,0.000,0.0429,0.0286,0.0000,0.0515
71.43,64.29,0.500,0.0429,0.0286,0.0250,0.0573
71.43,64.29,1.000,0.0429,0.0286,0.0500,0.0718
71.43,71.43,0.000,0.0429,0.0429,0.0000,0.0606
71.43,71.43,0.500,0.0429,0.0429,0.0250,0.0656
71.43,71.43,1.000,0.0429,0.0429,0.0500,0.0786
71.43,78.57,0.000,0.0429,0.0571,0.0000,0.0714
71.43,78.57,0.500,0.0429,0.0571,0.0250,0.0757
71.43,78.57,1.000,0.0429,0.0571,0.0500,0.0872
71.43,85.71,0.000,0.0429,0.0714,0.0000,0.0833
71.43,85.71,0.500,0.0429,0.0714,0.0250,0.0870
71.43,85.71,1.000,0.0429,0.0714,0.0500,0.0972
71.43,92.86,0.000,0.0429,0.0857,0.0000,0.0958
71.43,92.86,0.500,0.0429,0.0857,0.0250,0.0990
71.43,92.86,1.000,0.0429,0.0857,0.0500,0.1081
71.43,100.00,0.000,0.0429,0.1000,0.0000,0.1088
71.43,100.00,0.500,0.0429,0.1000,0.0250,0.1116
71.43,100.00,1.000,0.0429,0.1000,0.0500,0.1197
78.57,0.00,0.000,0.0571,-0.1000,0.0000,0.1152
78.57,0.00,0.500,0.0571,-0.1000,0.0250,0.1179
78.57,0.00,1.000,0.0571,-0.1000,0.0500,0.1256
78.57,7.14,0.000,0.0571,-0.0857,0.0000,0.1030
78.57,7.14,0.500,0.0571,-0.0857,0.0250,0.1060
78.57,7.14,1.000,0.0571,-0.0857,0.0500,0.1145
78.57,14.29,0.000,0.0571,-0.0714,0.0000,0.0915
78.57,14.29,0.500,0.0571,-0.0714,0.0250,0.0948
78.57,14.29,1.000,0.0571,-0.0714,0.0500,0.1042
78.57,21.43,0.000,0.0571,-0.0571,0.0000,0.0808
78.57,21.43,0.500,0.0571,-0.0571,0.0250,0.0846
78.57,21.43,1.000,0.0571,-0.0571,0.0500,0.0950
78.57,28.57,0.000,0.0571,-0.0429,0.0000,0.0714
78.57,28.57,0.500,0.0571,-0.0429,0.0250,0.0757
78.57,28.57,1.000,0.0571,-0.0429,0.0500,0.0872
78.57,35.71,0.000,0.0571,-0.0286,0.0000,0.0639
78.57,35.71,0.500,0.0571,-0.0286,0.0250,0.0686
78.57,35.71,1.000,0.0571,-0.0286,0.0500,0.0811
78.57,42.86,0.000,0.0571,-0.0143,0.0000,0.0589
78.57,42.86,0.500,0.0571,-0.0143,0.0250,0.0640
78.57,42.86,1.000,0.0571,-0.0143,0.0500,0.0773
78.57,50.00,0.000,0.0571,0.0000,0.0000,0.0571
78.57,50.00,0.500,0.0571,0.0000,0.0250,0.0624
78.57,50.00,1.000,0.0571,0.0000,0.0500,0.0759
78.57,57.14,0.000,0.0571,0.0143,0.0000,0.0589
78.57,57.14,0.500,0.0571,0.0143,0.0250,0.0640
78.57,57.14,1.000,0.0571,0.0143,0.0500,0.0773
78.57,64.29,0.000,0.0571,0.0286,0.0000,0.0639
78.57,64.29,0.500,0.0571,0.0286,0.0250,0.0686
78.57,64.29,1.000,0.0571,0.0286,0.0500,0.0811
78.57,71.43,0.000,0.0571,0.0429,0.0000,0.0714
78.57,71.43,0.500,0.0571,0.0429,0.0250,0.0757
78.57,71.43,1.000,0.0571,0.0429,0.0500,0.0872
78.57,78.57,0.000,0.0571,0.0571,0.0000,0.0808
78.57,78.57,0.500,0.0571,0.0571,0.0250,0.0846
78.57,78.57,1.000,0.0571,0.0571,0.0500,0.0950
78.57,85.71,0.000,0.0571,0.0714,0.0000,0.0915
78.57,85.71,0.500,0.0571,0.0714,0.0250,0.0948
78.57,85.71,1.000,0.0571,0.0714,0.0500,0.1042
78.57,92.86,0.000,0.0571,0.0857,0.0000,0.1030
78.57,92.86,0.500,0.0571,0.0857,0.0250,0.1060
78.57,92.86,1.000,0.0571,0.0857,0.0500,0.1145
78.57,100.00,0.000,0.0571,0.1000,0.0000,0.1152
78.57,100.00,0.500,0.0571,0.1000,0.0250,0.1179
78.57,100.00,1.000,0.0571,0.1000,0.0500,0.1256
85.71,0.00,0.000,0.0714,-0.1000,0.0000,0.1229
85.71,0.00,0.500,0.0714,-0.1000,0.0250,0.1254
85.71,0.00,1.000,0.0714,-0.1000,0.0500,0.1327
85.71,7.14,0.000,0.0714,-0.0857,0.0000,0.1116
85.71,7.14,0.500,0.0714,-0.0857,0.0250,0.1143
85.71,7.14,1.000,0.0714,-0.0857,0.0500,0.1223
85.71,14.29,0.000,0.0714,-0.0714,0.0000,0.1010
85.71,14.29,0.500,0.0714,-0.0714,0.0250,0.1041
85.71,14.29,1.000,0.0714,-0.0714,0.0500,0.1127
85.71,21.43,0.000,0.0714,-0.0571,0.0000,0.0915
85.71,21.43,0.500,0.0714,-0.0571,0.0250,0.0948
85.71,21.43,1.000,0.0714,-0.0571,0.0500,0.1042
85.71,28.57,0.000,0.0714,-0.0429,0.0000,0.0833
85.71,28.57,0.500,0.0714,-0.0429,0.0250,0.0870
85.71,28.57,1.000,0.0714,-0.0429,0.0500,0.0972
85.71,35.71,0.000,0.0714,-0.0286,0.0000,0.0769
85.71,35.71,0.500,0.0714,-0.0286,0.0250,0.0809
85.71,35.71,1.000,0.0714,-0.0286,0.0500,0.0918
85.71,42.86,0.000,0.0714,-0.0143,0.0000,0.0728
85.71,42.86,0.500,0.0714,-0.0143,0.0250,0.0770
85.71,42.86,1.000,0.0714,-0.0143,0.0500,0.0884
85.71,50.00,0.000,0.0714,0.0000,0.0000,0.0714
85.71,50.00,0.500,0.0714,0.0000,0.0250,0.0757
85.71,50.00,1.000,0.0714,0.0000,0.0500,0.0872
85.71,57.14,0.000,0.0714,0.0143,0.0000,0.0728
85.71,57.14,0.500,0.0714,0.0143,0.0250,0.0770
85.71,57.14,1.000,0.0714,0.0143,0.0500,0.0884
85.71,64.29,0.000,0.0714,0.0286,0.0000,0.0769
85.71,64.29,0.500,0.0714,0.0286,0.0250,0.0809
85.71,64.29,1.000,0.0714,0.0286,0.0500,0.0918
85.71,71.43,0.000,0.0714,0.0429,0.0000,0.0833
85.71,71.43,0.500,0.0714,0.0429,0.0250,0.0870
85.71,71.43,1.000,0.0714,0.0429,0.0500,0.0972
85.71,78.57,0.000,0.0714,0.0571,0.0000,0.0915
85.71,78.57,0.500,0.0714,0.0571,0.0250,0.0948
85.71,78.57,1.000,0.0714,0.0571,0.0500,0.1042
85.71,85.71,0.000,0.0714,0.0714,0.0000,0.1010
85.71,85.71,0.500,0.0714,0.0714,0.0250,0.1041
85.71,85.71,1.000,0.0714,0.0714,0.0500,0.1127
85.71,92.86,0.000,0.0714,0.0857,0.0000,0.1116
85.71,92.86,0.500,0.0714,0.0857,0.0250,0.1143
85.71,92.86,1.000,0.0714,0.0857,0.0500,0.1223
85.71,100.00,0.000,0.0714,0.1000,0.0000,0.1229
85.71,100.00,0.500,0.0714,0.1000,0.0250,0.1254
85.71,100.00,1.000,0.0714,0.1000,0.0500,0.1327
92.86,0.00,0.000,0.0857,-0.1000,0.0000,0.1317
92.86,0.00,0.500,0.0857,-0.1000,0.0250,0.1341
92.86,0.00,1.000,0.0857,-0.1000,0.0500,0.1409
92.86,7.14,0.000,0.0857,-0.0857,0.0000,0.1212
92.86,7.14,0.500,0.0857,-0.0857,0.0250,0.1238
92.86,7.14,1.000,0.0857,-0.0857,0.0500,0.1311
92.86,14.29,0.000,0.0857,-0.0714,0.0000,0.1116
92.86,14.29,0.500,0.0857,-0.0714,0.0250,0.1143
92.86,14.29,1.000,0.0857,-0.0714,0.0500,0.1223
92.86,21.43,0.000,0.0857,-0.0571,0.0000,0.1030
92.86,21.43,0.500,0.0857,-0.0571,0.0250,0.1060
92.86,21.43,1.000,0.0857,-0.0571,0.0500,0.1145
92.86,28.57,0.000,0.0857,-0.0429,0.0000,0.0958
92.86,28.57,0.500,0.0857,-0.0429,0.0250,0.0990
92.86,28.57,1.000,0.0857,-0.0429,0.0500,0.1081
92.86,35.71,0.000,0.0857,-0.0286,0.0000,0.0904
92.86,35.71,0.500,0.0857,-0.0286,0.0250,0.0937
92.86,35.71,1.000,0.0857,-0.0286,0.0500,0.1033
92.86,42.86,0.000,0.0857,-0.0143,0.0000,0.0869
92.86,42.86,0.500,0.0857,-0.0143,0.0250,0.0904
92.86,42.86,1.000,0.0857,-0.0143,0.0500,0.1003
92.86,50.00,0.000,0.0857,0.0000,0.0000,0.0857
92.86,50.00,0.500,0.0857,0.0000,0.0250,0.0893
92.86,50.00,1.000,0.0857,0.0000,0.0500,0.0992
92.86,57.14,0.000,0.0857,0.0143,0.0000,0.0869
92.86,57.14,0.500,0.0857,0.0143,0.0250,0.0904
92.86,57.14,1.000,0.0857,0.0143,0.0500,0.1003
92.86,64.29,0.000,0.0857,0.0286,0.0000,0.0904
92.86,64.29,0.500,0.0857,0.0286,0.0250,0.0937
92.86,64.29,1.000,0.0857,0.0286,0.0500,0.1033
92.86,71.43,0.000,0.0857,0.0429,0.0000,0.0958
92.86,71.43,0.500,0.0857,0.0429,0.0250,0.0990
92.86,71.43,1.000,0.0857,0.0429,0.0500,0.1081
92.86,78.57,0.000,0.0857,0.0571,0.0000,0.1030
92.86,78.57,0.500,0.0857,0.0571,0.0250,0.1060
92.86,78.57,1.000,0.0857,0.0571,0.0500,0.1145
92.86,85.71,0.000,0.0857,0.0714,0.0000,0.1116
92.86,85.71,0.500,0.0857,0.0714,0.0250,0.1143
92.86,85.71,1.000,0.0857,0.0714,0.0500,0.1223
92.86,92.86,0.000,0.0857,0.0857,0.0000,0.1212
92.86,92.86,0.500,0.0857,0.0857,0.0250,0.1238
92.86,92.86,1.000,0.0857,0.0857,0.0500,0.1311
92.86,100.00,0.000,0.0857,0.1000,0.0000,0.1317
92.86,100.00,0.500,0.0857,0.1000,0.0250,0.1341
92.86,100.00,1.000,0.0857,0.1000,0.0500,0.1409
100.00,0.00,0.000,0.1000,-0.1000,0.0000,0.1414
100.00,0.00,0.500,0.1000,-0.1000,0.0250,0.1436
100.00,0.00,1.000,0.1000,-0.1000,0.0500,0.1500
100.00,7.14,0.000,0.1000,-0.0857,0.0000,0.1317
100.00,7.14,0.500,0.1000,-0.0857,0.0250,0.1341
100.00,7.14,1.000,0.1000,-0.0857,0.0500,0.1409
100.00,14.29,0.000,0.1000,-0.0714,0.0000,0.1229
100.00,14.29,0.500,0.1000,-0.0714,0.0250,0.1254
100.00,14.29,1.000,0.1000,-0.0714,0.0500,0.1327
100.00,21.43,0.000,0.1000,-0.0571,0.0000,0.1152
100.00,21.43,0.500,0.1000,-0.0571,0.0250,0.1179
100.00,21.43,1.000,0.1000,-0.0571,0.0500,0.1256
100.00,28.57,0.000,0.1000,-0.0429,0.0000,0.1088
100.00,28.57,0.500,0.1000,-0.0429,0.0250,0.1116
100.00,28.57,1.000,0.1000,-0.0429,0.0500,0.1197
100.00,35.71,0.000,0.1000,-0.0286,0.0000,0.1040
100.00,35.71,0.500,0.1000,-0.0286,0.0250,0.1070
100.00,35.71,1.000,0.1000,-0.0286,0.0500,0.1154
100.00,42.86,0.000,0.1000,-0.0143,0.0000,0.1010
100.00,42.86,0.500,0.1000,-0.0143,0.0250,0.1041
100.00,42.86,1.000,0.1000,-0.0143,0.0500,0.1127
100.00,50.00,0.000,0.1000,0.0000,0.0000,0.1000
100.00,50.00,0.500,0.1000,0.0000,0.0250,0.1031
100.00,50.00,1.000,0.1000,0.0000,0.0500,0.1118
100.00,57.14,0.000,0.1000,0.0143,0.0000,0.1010
100.00,57.14,0.500,0.1000,0.0143,0.0250,0.1041
100.00,57.14,1.000,0.1000,0.0143,0.0500,0.1127
100.00,64.29,0.000,0.1000,0.0286,0.0000,0.1040
100.00,64.29,0.500,0.1000,0.0286,0.0250,0.1070
100.00,64.29,1.000,0.1000,0.0286,0.0500,0.1154
100.00,71.43,0.000,0.1000,0.0429,0.0000,0.1088
100.00,71.43,0.500,0.1000,0.0429,0.0250,0.1116
100.00,71.43,1.000,0.1000,0.0429,0.0500,0.1197
100.00,78.57,0.000,0.1000,0.0571,0.0000,0.1152
100.00,78.57,0.500,0.1000,0.0571,0.0250,0.1179
100.00,78.57,1.000,0.1000,0.0571,0.0500,0.1256
100.00,85.71,0.000,0.1000,0.0714,0.0000,0.1229
100.00,85.71,0.500,0.1000,0.0714,0.0250,0.1254
100.00,85.71,1.000,0.1000,0.0714,0.0500,0.1327
100.00,92.86,0.000,0.1000,0.0857,0.0000,0.1317
100.00,92.86,0.500,0.1000,0.0857,0.0250,0.1341
100.00,92.86,1.000,0.1000,0.0857,0.0500,0.1409
100.00,100.00,0.000,0.1000,0.1000,0.0000,0.1414
100.00,100.00,0.500,0.1000,0.1000,0.0250,0.1436
100.00,100.00,1.000,0.1000,0.1000,0.0500,0.1500
