# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
X_mm,Y_mm,Z_mm,Sigma_xx_MPa,Sigma_yy_MPa,Sigma_zz_MPa,Von_Mises_MPa,Component
92.86,28.57,0.500,235.71,85.71,50.00,170.68,electrolyte
92.86,35.71,0.500,235.71,97.14,50.00,167.20,electrolyte
92.86,42.86,0.500,235.71,108.57,50.00,164.45,electrolyte
92.86,50.00,0.500,235.71,120.00,50.00,162.45,electrolyte
92.86,57.14,0.500,235.71,131.43,50.00,161.24,electrolyte
92.86,64.29,0.500,235.71,142.86,50.00,160.83,electrolyte
92.86,71.43,0.500,235.71,154.29,50.00,161.24,electrolyte
92.86,78.57,0.500,235.71,165.71,50.00,162.45,electrolyte
92.86,85.71,0.500,235.71,177.14,50.00,164.45,electrolyte
92.86,92.86,0.500,235.71,188.57,50.00,167.20,electrolyte
92.86,100.00,0.500,235.71,200.00,50.00,170.68,electrolyte
100.00,0.00,0.500,250.00,40.00,50.00,205.18,electrolyte
100.00,7.14,0.500,250.00,51.43,50.00,199.29,electrolyte
100.00,14.29,0.500,250.00,62.86,50.00,193.89,electrolyte
100.00,21.43,0.500,250.00,74.29,50.00,189.03,electrolyte
100.00,28.57,0.500,250.00,85.71,50.00,184.75,electrolyte
100.00,35.71,0.500,250.00,97.14,50.00,181.09,electrolyte
100.00,42.86,0.500,250.00,108.57,50.00,178.09,electrolyte
100.00,50.00,0.500,250.00,120.00,50.00,175.78,electrolyte
100.00,57.14,0.500,250.00,131.43,50.00,174.20,electrolyte
100.00,64.29,0.500,250.00,142.86,50.00,173.35,electrolyte
100.00,71.43,0.500,250.00,154.29,50.00,173.26,electrolyte
100.00,78.57,0.500,250.00,165.71,50.00,173.92,electrolyte
100.00,85.71,0.500,250.00,177.14,50.00,175.32,electrolyte
100.00,92.86,0.500,250.00,188.57,50.00,177.45,electrolyte
100.00,100.00,0.500,250.00,200.00,50.00,180.28,electrolyte
0.00,0.00,1.000,50.00,40.00,80.00,36.06,cathode
0.00,7.14,1.000,50.00,57.14,80.00,27.14,cathode
0.00,14.29,1.000,50.00,74.29,80.00,27.59,cathode
0.00,21.43,1.000,50.00,91.43,80.00,37.06,cathode
0.00,28.57,1.000,50.00,108.57,80.00,50.73,cathode
0.00,35.71,1.000,50.00,125.71,80.00,66.04,cathode
0.00,42.86,1.000,50.00,142.86,80.00,82.08,cathode
0.00,50.00,1.000,50.00,160.00,80.00,98.49,cathode
0.00,57.14,1.000,50.00,177.14,80.00,115.11,cathode
0.00,64.29,1.000,50.00,194.29,80.00,131.87,cathode
0.00,71.43,1.000,50.00,211.43,80.00,148.72,cathode
0.00,78.57,1.000,50.00,228.57,80.00,165.62,cathode
0.00,85.71,1.000,50.00,245.71,80.00,182.57,cathode
0.00,92.86,1.000,50.00,262.86,80.00,199.56,cathode
0.00,100.00,1.000,50.00,280.00,80.00,216.56,cathode
7.14,0.00,1.000,71.43,40.00,80.00,36.48,cathode
7.14,7.14,1.000,71.43,57.14,80.00,20.00,cathode
7.14,14.29,1.000,71.43,74.29,80.00,7.56,cathode
7.14,21.43,1.000,71.43,91.43,80.00,17.38,cathode
7.14,28.57,1.000,71.43,108.57,80.00,33.69,cathode
7.14,35.71,1.000,71.43,125.71,80.00,50.55,cathode
7.14,42.86,1.000,71.43,142.86,80.00,67.55,cathode
7.14,50.00,1.000,71.43,160.00,80.00,84.61,cathode
7.14,57.14,1.000,71.43,177.14,80.00,101.70,cathode
7.14,64.29,1.000,71.43,194.29,80.00,118.80,cathode
7.14,71.43,1.000,71.43,211.43,80.00,135.92,cathode
7.14,78.57,1.000,71.43,228.57,80.00,153.04,cathode
7.14,85.71,1.000,71.43,245.71,80.00,170.16,cathode
7.14,92.86,1.000,71.43,262.86,80.00,187.29,cathode
7.14,100.00,1.000,71.43,280.00,80.00,204.42,cathode
14.29,0.00,1.000,92.86,40.00,80.00,47.75,cathode
14.29,7.14,1.000,92.86,57.14,80.00,31.33,cathode
14.29,14.29,1.000,92.86,74.29,80.00,16.48,cathode
14.29,21.43,1.000,92.86,91.43,80.00,12.21,cathode
14.29,28.57,1.000,92.86,108.57,80.00,24.78,cathode
14.29,35.71,1.000,92.86,125.71,80.00,40.83,cathode
14.29,42.86,1.000,92.86,142.86,80.00,57.52,cathode
14.29,50.00,1.000,92.86,160.00,80.00,74.41,cathode
14.29,57.14,1.000,92.86,177.14,80.00,91.40,cathode
14.29,64.29,1.000,92.86,194.29,80.00,108.43,cathode
14.29,71.43,1.000,92.86,211.43,80.00,125.49,cathode
14.29,78.57,1.000,92.86,228.57,80.00,142.58,cathode
14.29,85.71,1.000,92.86,245.71,80.00,159.67,cathode
14.29,92.86,1.000,92.86,262.86,80.00,176.78,cathode
14.29,100.00,1.000,92.86,280.00,80.00,193.89,cathode
21.43,0.00,1.000,114.29,40.00,80.00,64.40,cathode
21.43,7.14,1.000,114.29,57.14,80.00,49.82,cathode
21.43,14.29,1.000,114.29,74.29,80.00,37.47,cathode
21.43,21.43,1.000,114.29,91.43,80.00,30.24,cathode
21.43,28.57,1.000,114.29,108.57,80.00,31.82,cathode
21.43,35.71,1.000,114.29,125.71,80.00,41.21,cathode
21.43,42.86,1.000,114.29,142.86,80.00,54.51,cathode
21.43,50.00,1.000,114.29,160.00,80.00,69.52,cathode
21.43,57.14,1.000,114.29,177.14,80.00,85.33,cathode
21.43,64.29,1.000,114.29,194.29,80.00,101.58,cathode
21.43,71.43,1.000,114.29,211.43,80.00,118.08,cathode
21.43,78.57,1.000,114.29,228.57,80.00,134.74,cathode
21.43,85.71,1.000,114.29,245.71,80.00,151.51,cathode
21.43,92.86,1.000,114.29,262.86,80.00,168.35,cathode
21.43,100.00,1.000,114.29,280.00,80.00,185.25,cathode
28.57,0.00,1.000,135.71,40.00,80.00,83.26,cathode
28.57,7.14,1.000,135.71,57.14,80.00,70.00,cathode
28.57,14.29,1.000,135.71,74.29,80.00,58.78,cathode
28.57,21.43,1.000,135.71,91.43,80.00,50.97,cathode
28.57,28.57,1.000,135.71,108.57,80.00,48.26,cathode
28.57,35.71,1.000,135.71,125.71,80.00,51.45,cathode
28.57,42.86,1.000,135.71,142.86,80.00,59.61,cathode
28.57,50.00,1.000,135.71,160.00,80.00,71.04,cathode
28.57,57.14,1.000,135.71,177.14,80.00,84.43,cathode
28.57,64.29,1.000,135.71,194.29,80.00,98.98,cathode
28.57,71.43,1.000,135.71,211.43,80.00,114.26,cathode
28.57,78.57,1.000,135.71,228.57,80.00,130.00,cathode
28.57,85.71,1.000,135.71,245.71,80.00,146.06,cathode
28.57,92.86,1.000,135.71,262.86,80.00,162.34,cathode
28.57,100.00,1.000,135.71,280.00,80.00,178.78,cathode
35.71,0.00,1.000,157.14,40.00,80.00,103.13,cathode
35.71,7.14,1.000,157.14,57.14,80.00,90.76,cathode
35.71,14.29,1.000,157.14,74.29,80.00,80.15,cathode
35.71,21.43,1.000,157.14,91.43,80.00,72.11,cathode
35.71,28.57,1.000,157.14,108.57,80.00,67.55,cathode
35.71,35.71,1.000,157.14,125.71,80.00,67.19,cathode
35.71,42.86,1.000,157.14,142.86,80.00,71.08,cathode
35.71,50.00,1.000,157.14,160.00,80.00,78.61,cathode
35.71,57.14,1.000,157.14,177.14,80.00,88.85,cathode
35.71,64.29,1.000,157.14,194.29,80.00,100.97,cathode
35.71,71.43,1.000,157.14,211.43,80.00,114.39,cathode
35.71,78.57,1.000,157.14,228.57,80.00,128.70,cathode
35.71,85.71,1.000,157.14,245.71,80.00,143.63,cathode
35.71,92.86,1.000,157.14,262.86,80.00,159.00,cathode
35.71,100.00,1.000,157.14,280.00,80.00,174.71,cathode
42.86,0.00,1.000,178.57,40.00,80.00,123.53,cathode
42.86,7.14,1.000,178.57,57.14,80.00,111.77,cathode
42.86,14.29,1.000,178.57,74.29,80.00,101.55,cathode
42.86,21.43,1.000,178.57,91.43,80.00,93.38,cathode
42.86,28.57,1.000,178.57,108.57,80.00,87.84,cathode
42.86,35.71,1.000,178.57,125.71,80.00,85.44,cathode
42.86,42.86,1.000,178.57,142.86,80.00,86.44,cathode
42.86,50.00,1.000,178.57,160.00,80.00,90.72,cathode
42.86,57.14,1.000,178.57,177.14,80.00,97.86,cathode
42.86,64.29,1.000,178.57,194.29,80.00,107.30,cathode
42.86,71.43,1.000,178.57,211.43,80.00,118.47,cathode
42.86,78.57,1.000,178.57,228.57,80.00,130.94,cathode
42.86,85.71,1.000,178.57,245.71,80.00,144.37,cathode
42.86,92.86,1.000,178.57,262.86,80.00,158.52,cathode
42.86,100.00,1.000,178.57,280.00,80.00,173.21,cathode
50.00,0.00,1.000,200.00,40.00,80.00,144.22,cathode
50.00,7.14,1.000,200.00,57.14,80.00,132.91,cathode
50.00,14.29,1.000,200.00,74.29,80.00,122.96,cathode
50.00,21.43,1.000,200.00,91.43,80.00,114.71,cathode
50.00,28.57,1.000,200.00,108.57,80.00,108.57,cathode
50.00,35.71,1.000,200.00,125.71,80.00,104.90,cathode
50.00,42.86,1.000,200.00,142.86,80.00,103.96,cathode
50.00,50.00,1.000,200.00,160.00,80.00,105.83,cathode
50.00,57.14,1.000,200.00,177.14,80.00,110.36,cathode
50.00,64.29,1.000,200.00,194.29,80.00,117.25,cathode
50.00,71.43,1.000,200.00,211.43,80.00,126.10,cathode
50.00,78.57,1.000,200.00,228.57,80.00,136.55,cathode
50.00,85.71,1.000,200.00,245.71,80.00,148.24,cathode
50.00,92.86,1.000,200.00,262.86,80.00,160.92,cathode
50.00,100.00,1.000,200.00,280.00,80.00,174.36,cathode
57.14,0.00,1.000,221.43,40.00,80.00,165.10,cathode
57.14,7.14,1.000,221.43,57.14,80.00,154.13,cathode
57.14,14.29,1.000,221.43,74.29,80.00,144.37,cathode
57.14,21.43,1.000,221.43,91.43,80.00,136.07,cathode
57.14,28.57,1.000,221.43,108.57,80.00,129.53,cathode
57.14,35.71,1.000,221.43,125.71,80.00,125.01,cathode
57.14,42.86,1.000,221.43,142.86,80.00,122.73,cathode
57.14,50.00,1.000,221.43,160.00,80.00,122.83,cathode
57.14,57.14,1.000,221.43,177.14,80.00,125.30,cathode
57.14,64.29,1.000,221.43,194.29,80.00,130.00,cathode
57.14,71.43,1.000,221.43,211.43,80.00,136.70,cathode
57.14,78.57,1.000,221.43,228.57,80.00,145.13,cathode
57.14,85.71,1.000,221.43,245.71,80.00,155.00,cathode
57.14,92.86,1.000,221.43,262.86,80.00,166.06,cathode
57.14,100.00,1.000,221.43,280.00,80.00,178.09,cathode
64.29,0.00,1.000,242.86,40.00,80.00,186.11,cathode
64.29,7.14,1.000,242.86,57.14,80.00,175.41,cathode
64.29,14.29,1.000,242.86,74.29,80.00,165.79,cathode
64.29,21.43,1.000,242.86,91.43,80.00,157.45,cathode
64.29,28.57,1.000,242.86,108.57,80.00,150.62,cathode
64.29,35.71,1.000,242.86,125.71,80.00,145.49,cathode
64.29,42.86,1.000,242.86,142.86,80.00,142.26,cathode
64.29,50.00,1.000,242.86,160.00,80.00,141.05,cathode
64.29,57.14,1.000,242.86,177.14,80.00,141.91,cathode
64.29,64.29,1.000,242.86,194.29,80.00,144.82,cathode
64.29,71.43,1.000,242.86,211.43,80.00,149.64,cathode
64.29,78.57,1.000,242.86,228.57,80.00,156.20,cathode
64.29,85.71,1.000,242.86,245.71,80.00,164.30,cathode
64.29,92.86,1.000,242.86,262.86,80.00,173.72,cathode
64.29,100.00,1.000,242.86,280.00,80.00,184.26,cathode
71.43,0.00,1.000,264.29,40.00,80.00,207.20,cathode
71.43,7.14,1.000,264.29,57.14,80.00,196.71,cathode
71.43,14.29,1.000,264.29,74.29,80.00,187.21,cathode
71.43,21.43,1.000,264.29,91.43,80.00,178.85,cathode
71.43,28.57,1.000,264.29,108.57,80.00,171.79,cathode
71.43,35.71,1.000,264.29,125.71,80.00,166.21,cathode
71.43,42.86,1.000,264.29,142.86,80.00,162.26,cathode
71.43,50.00,1.000,264.29,160.00,80.00,160.06,cathode
71.43,57.14,1.000,264.29,177.14,80.00,159.67,cathode
71.43,64.29,1.000,264.29,194.29,80.00,161.12,cathode
71.43,71.43,1.000,264.29,211.43,80.00,164.36,cathode
71.43,78.57,1.000,264.29,228.57,80.00,169.28,cathode
71.43,85.71,1.000,264.29,245.71,80.00,175.74,cathode
71.43,92.86,1.000,264.29,262.86,80.00,183.58,cathode
71.43,100.00,1.000,264.29,280.00,80.00,192.62,cathode
78.57,0.00,1.000,285.71,40.00,80.00,228.36,cathode
78.57,7.14,1.000,285.71,57.14,80.00,218.04,cathode
78.57,14.29,1.000,285.71,74.29,80.00,208.63,cathode
78.57,21.43,1.000,285.71,91.43,80.00,200.24,cathode
78.57,28.57,1.000,285.71,108.57,80.00,193.02,cathode
78.57,35.71,1.000,285.71,125.71,80.00,187.09,cathode
78.57,42.86,1.000,285.71,142.86,80.00,182.59,cathode
78.57,50.00,1.000,285.71,160.00,80.00,179.61,cathode
78.57,57.14,1.000,285.71,177.14,80.00,178.25,cathode
78.57,64.29,1.000,285.71,194.29,80.00,178.52,cathode
78.57,71.43,1.000,285.71,211.43,80.00,180.43,cathode
78.57,78.57,1.000,285.71,228.57,80.00,183.93,cathode
78.57,85.71,1.000,285.71,245.71,80.00,188.92,cathode
78.57,92.86,1.000,285.71,262.86,80.00,195.29,cathode
78.57,100.00,1.000,285.71,280.00,80.00,202.92,cathode
85.71,0.00,1.000,307.14,40.00,80.00,249.56,cathode
85.71,7.14,1.000,307.14,57.14,80.00,239.39,cathode
85.71,14.29,1.000,307.14,74.29,80.00,230.05,cathode
85.71,21.43,1.000,307.14,91.43,80.00,221.65,cathode
85.71,28.57,1.000,307.14,108.57,80.00,214.29,cathode
85.71,35.71,1.000,307.14,125.71,80.00,208.09,cathode
85.71,42.86,1.000,307.14,142.86,80.00,203.14,cathode
85.71,50.00,1.000,307.14,160.00,80.00,199.56,cathode
85.71,57.14,1.000,307.14,177.14,80.00,197.40,cathode
85.71,64.29,1.000,307.14,194.29,80.00,196.71,cathode
85.71,71.43,1.000,307.14,211.43,80.00,197.52,cathode
85.71,78.57,1.000,307.14,228.57,80.00,199.80,cathode
85.71,85.71,1.000,307.14,245.71,80.00,203.51,cathode
85.71,92.86,1.000,307.14,262.86,80.00,208.56,cathode
85.71,100.00,1.000,307.14,280.00,80.00,214.86,cathode
92.86,0.00,1.000,328.57,40.00,80.00,270.80,cathode
92.86,7.14,1.000,328.57,57.14,80.00,260.75,cathode
92.86,14.29,1.000,328.57,74.29,80.00,251.48,cathode
92.86,21.43,1.000,328.57,91.43,80.00,243.06,cathode
92.86,28.57,1.000,328.57,108.57,80.00,235.59,cathode
92.86,35.71,1.000,328.57,125.71,80.00,229.16,cathode
92.86,42.86,1.000,328.57,142.86,80.00,223.86,cathode
92.86,50.00,1.000,328.57,160.00,80.00,219.78,cathode
92.86,57.14,1.000,328.57,177.14,80.00,216.97,cathode
92.86,64.29,1.000,328.57,194.29,80.00,215.50,cathode
92.86,71.43,1.000,328.57,211.43,80.00,215.39,cathode
92.86,78.57,1.000,328.57,228.57,80.00,216.63,cathode
92.86,85.71,1.000,328.57,245.71,80.00,219.22,cathode
92.86,92.86,1.000,328.57,262.86,80.00,223.10,cathode
92.86,100.00,1.000,328.57,280.00,80.00,228.20,cathode
100.00,0.00,1.000,350.00,40.00,80.00,292.06,cathode
100.00,7.14,1.000,350.00,57.14,80.00,282.12,cathode
100.00,14.29,1.000,350.00,74.29,80.00,272.90,cathode
100.00,21.43,1.000,350.00,91.43,80.00,264.47,cathode
100.00,28.57,1.000,350.00,108.57,80.00,256.91,cathode
100.00,35.71,1.000,350.00,125.71,80.00,250.29,cathode
100.00,42.86,1.000,350.00,142.86,80.00,244.70,cathode
100.00,50.00,1.000,350.00,160.00,80.00,240.21,cathode
100.00,57.14,1.000,350.00,177.14,80.00,236.87,cathode
100.00,64.29,1.000,350.00,194.29,80.00,234.74,cathode
100.00,71.43,1.000,350.00,211.43,80.00,233.85,cathode
100.00,78.57,1.000,350.00,228.57,80.00,234.22,cathode
100.00,85.71,1.000,350.00,245.71,80.00,235.84,cathode
100.00,92.86,1.000,350.00,262.86,80.00,238.67,cathode
100.00,100.00,1.000,350.00,280.00,80.00,242.69,cathode
