sample_id,weld_width_mm,weld_depth_mm,nugget_diameter_mm,tensile_strength_MPa,shear_strength_MPa,peel_strength_N_mm,contact_resistance_mohm,electrical_conductivity_MS_m,grain_size_um,porosity_percent,intermetallic_thickness_um,thermal_conductivity_W_mK,heat_affected_zone_mm,weld_quality_score,surface_roughness_post_weld_um,hardness_HV,crack_density_per_mm2,void_fraction_percent,oxidation_level,weld_penetration_percent,fusion_zone_area_mm2
WLD_001264,0.809,0.261,1.196,50.0,39.6,12.5,2.8964,33.27,11.4,1.32,2.17,23.8,0.718,0.6,5.58,155.9,0.011,1.183,Medium,80.9,0.166
WLD_001265,0.58,0.132,2.017,50.0,32.9,12.7,4.6137,46.34,6.8,1.25,1.39,33.9,0.39,0.58,5.62,107.1,0.308,1.123,Low,95.8,0.06
WLD_001266,0.731,0.215,1.551,50.0,38.6,27.0,8.5538,30.05,10.2,1.66,1.72,25.2,0.701,0.45,4.07,197.9,0.049,1.681,Low,86.2,0.124
WLD_001267,1.829,0.201,2.092,372.2,238.5,88.9,0.1999,28.17,43.2,0.1,12.26,36.2,1.823,0.74,5.31,163.3,0.112,0.203,Low,75.5,0.288
WLD_001268,0.824,0.093,3.745,50.0,30.8,-5.4,4.7627,30.0,14.8,1.92,0.5,26.8,0.817,0.56,3.66,258.2,0.232,1.701,Low,93.5,0.06
WLD_001269,1.577,0.414,1.906,83.8,63.8,177.9,3.6394,32.7,25.0,0.0,0.36,25.6,1.396,0.72,2.91,118.1,0.047,0.124,Low,85.6,0.513
WLD_001270,1.323,0.117,1.359,442.1,245.8,21.3,2.3449,32.17,27.4,0.43,6.89,28.9,1.173,0.75,1.24,176.0,0.136,0.183,Low,64.9,0.121
WLD_001271,1.662,0.395,3.247,101.4,51.9,11.7,27.1295,35.77,39.3,2.09,0.1,31.3,1.651,0.48,2.2,285.4,0.266,2.472,Medium,82.9,0.516
WLD_001272,0.782,0.239,1.465,98.1,98.6,14.5,16.9965,36.79,19.8,1.84,5.69,32.7,0.743,0.35,1.87,193.6,0.189,1.645,Medium,95.2,0.147
WLD_001273,0.832,0.269,2.926,107.1,69.0,80.0,1.1633,29.08,16.9,0.06,3.49,28.3,0.538,0.72,1.9,156.1,0.0,0.041,Medium,86.0,0.175
WLD_001274,0.694,0.388,1.198,123.6,101.3,11.3,31.1291,31.82,18.2,3.03,4.32,17.9,0.935,0.34,4.96,255.4,0.185,3.138,Low,69.4,0.211
WLD_001275,1.474,0.085,2.347,149.8,105.7,31.2,8.393,44.03,33.0,1.23,9.04,37.8,1.422,0.38,2.51,249.0,0.005,1.067,Low,73.8,0.099
WLD_001276,1.569,0.474,3.954,205.6,140.4,211.3,2.3175,33.52,15.5,0.26,3.88,28.4,1.259,0.75,4.49,156.3,0.148,0.393,Low,97.9,0.584
WLD_001277,1.125,0.058,3.725,94.8,67.5,35.5,2.9921,36.48,29.6,0.69,0.02,29.0,0.943,0.72,7.28,92.3,0.0,0.56,Medium,95.9,0.051
WLD_001278,1.072,0.248,1.836,238.2,209.3,15.5,14.7834,33.08,23.5,1.93,6.33,30.8,0.905,0.44,2.54,83.2,0.179,1.872,Low,89.5,0.209
WLD_001279,1.056,0.077,2.916,177.7,115.5,-1.7,4.0126,21.1,17.7,0.99,3.66,21.2,0.775,0.66,6.76,167.9,0.0,0.902,Medium,85.3,0.064
WLD_001280,1.588,0.488,1.53,155.1,119.4,150.8,2.2481,27.29,36.9,0.48,11.47,23.6,1.645,0.55,2.4,251.9,0.0,0.649,Medium,61.6,0.608
WLD_001281,0.641,0.284,2.014,50.0,34.8,22.5,1.134,43.13,14.5,1.03,1.89,50.1,0.55,0.66,2.48,253.0,0.089,0.703,Low,88.9,0.143
WLD_001282,0.643,0.128,1.809,50.0,34.3,-4.8,16.278,33.87,9.6,6.94,0.98,31.8,0.393,0.27,4.71,247.5,0.937,6.741,Medium,77.6,0.064
WLD_001283,2.1,0.447,4.609,50.0,36.9,237.4,0.1406,43.98,20.7,0.0,3.85,41.0,1.793,0.69,5.25,283.8,0.025,-0.012,Low,61.2,0.736
WLD_001284,0.802,0.251,2.981,256.9,174.4,74.1,1.5179,18.74,22.2,0.65,6.18,16.3,1.185,0.74,3.71,193.9,0.075,0.059,Medium,86.4,0.158
WLD_001285,1.631,0.129,3.337,145.0,103.1,18.3,2.0201,44.26,35.0,1.71,9.19,31.8,1.48,0.5,7.67,172.4,0.0,1.696,High,84.7,0.165
WLD_001286,0.731,0.16,2.605,50.0,35.7,2.7,3.5777,34.73,11.9,3.94,0.4,26.0,0.689,0.5,7.98,279.7,0.415,3.609,Low,93.3,0.092
WLD_001287,1.581,0.299,2.256,50.0,38.8,149.1,2.2466,46.3,19.3,0.11,3.33,39.5,1.349,0.65,7.14,248.1,0.0,0.107,Medium,84.8,0.371
WLD_001288,0.789,0.266,3.927,50.0,34.3,9.9,7.2341,30.38,13.5,2.11,2.29,24.5,0.718,0.45,1.02,89.0,0.212,1.873,Low,84.6,0.164
WLD_001289,0.815,0.165,3.213,173.5,138.0,71.2,5.1113,34.61,15.1,0.16,3.36,27.5,0.622,0.67,4.06,112.6,0.0,-0.063,Low,96.2,0.106
WLD_001290,0.721,0.49,2.389,50.0,36.5,44.6,12.0066,34.03,13.9,1.84,1.41,21.8,0.584,0.41,2.67,246.0,0.182,1.869,Low,62.6,0.277
WLD_001291,2.416,0.246,6.271,50.0,38.8,289.5,0.2299,35.31,24.0,0.15,0.34,32.1,2.178,0.77,1.14,294.8,0.02,0.13,Low,96.7,0.467
WLD_001292,0.601,0.352,2.807,122.9,83.2,39.7,10.7738,33.94,20.2,1.26,5.5,16.3,0.552,0.4,5.32,165.7,0.087,1.543,Medium,62.6,0.166
WLD_001293,2.923,0.111,6.544,192.0,138.4,116.7,0.5937,33.01,29.8,0.52,6.5,36.8,2.65,0.71,0.73,103.6,0.233,0.399,Low,64.0,0.254
WLD_001294,0.797,0.055,3.067,50.0,38.8,-0.0,15.3921,28.88,36.0,0.96,10.41,36.9,0.743,0.24,3.24,186.6,0.0,1.065,Low,83.0,0.034
WLD_001295,0.714,0.219,1.836,289.8,180.2,18.7,24.1478,21.64,23.7,2.46,6.06,9.2,0.969,0.47,1.9,182.0,0.166,2.428,Medium,91.7,0.123
WLD_001296,0.724,0.412,2.441,282.9,181.7,175.3,0.4497,36.63,21.5,0.14,4.73,27.2,1.164,0.85,2.75,159.2,0.119,0.52,Low,93.0,0.234
WLD_001297,1.055,0.459,1.564,257.7,196.7,332.6,2.1952,29.02,31.9,0.15,9.25,23.4,1.035,0.67,4.56,294.2,0.118,0.272,Low,97.8,0.38
WLD_001298,0.58,0.394,2.931,50.0,33.5,31.3,13.831,21.79,10.8,1.71,1.42,16.3,0.352,0.42,6.94,264.3,0.198,2.042,Low,92.5,0.179
WLD_001299,1.233,0.388,4.488,130.7,86.6,352.0,0.5647,18.99,18.8,0.19,3.32,11.9,1.042,0.75,2.42,193.0,0.001,0.26,Low,72.6,0.376
WLD_001300,0.714,0.192,3.432,107.8,81.9,28.2,6.8752,27.58,15.8,0.99,3.36,19.8,0.51,0.53,5.22,170.3,0.044,0.838,Low,95.3,0.108
WLD_001301,1.051,0.333,3.293,130.8,93.6,205.5,0.2881,33.69,27.8,0.3,7.41,23.7,1.009,0.65,4.46,211.6,0.0,0.067,Low,71.4,0.275
WLD_001302,0.803,0.168,1.687,50.0,37.8,8.8,8.6325,28.87,12.9,1.48,1.38,19.1,0.899,0.47,1.22,135.4,0.22,1.65,Low,95.0,0.106
WLD_001303,0.748,0.232,2.628,50.0,32.1,108.0,1.2575,49.34,19.7,0.0,6.04,30.0,0.597,0.61,6.98,112.9,0.023,-0.151,Medium,97.1,0.136
WLD_001304,0.884,0.257,3.008,285.0,191.7,121.0,4.2709,20.61,25.4,0.47,4.82,19.5,1.076,0.74,0.57,121.9,0.079,0.493,Low,86.8,0.179
WLD_001305,1.502,0.28,4.855,125.4,104.2,269.3,0.7721,31.5,19.5,0.26,4.02,27.6,1.144,0.72,6.37,295.9,0.237,0.246,Medium,66.3,0.33
WLD_001306,0.675,0.35,2.179,71.7,35.3,143.2,0.5637,29.41,25.4,0.53,5.84,22.1,0.52,0.62,3.15,282.8,0.104,0.55,Low,84.3,0.185
WLD_001307,1.096,0.278,3.094,257.7,165.4,178.7,0.5471,31.99,25.8,0.32,7.32,28.5,1.001,0.75,2.66,276.5,0.083,0.079,Medium,72.2,0.239
WLD_001308,1.718,0.432,3.748,300.6,186.3,228.1,0.4031,31.21,34.7,0.26,8.95,26.0,1.534,0.75,7.62,80.5,0.0,-0.055,Low,82.9,0.583
WLD_001309,0.704,0.055,3.591,147.5,87.0,9.0,1.4344,31.98,27.2,0.17,8.18,27.0,0.854,0.62,5.6,95.7,0.048,0.306,Low,64.8,0.031
WLD_001310,0.687,0.143,1.817,50.0,34.4,6.6,17.7526,38.82,11.2,2.04,0.23,31.7,0.34,0.43,5.46,259.6,0.241,2.269,Low,93.3,0.077
WLD_001311,0.896,0.123,2.03,121.2,76.9,67.6,1.8649,48.72,24.1,0.18,5.09,34.5,0.825,0.67,4.08,244.0,0.058,0.248,Low,71.8,0.086
WLD_001312,0.818,0.08,2.247,50.0,36.1,-9.3,10.2193,50.76,12.2,1.81,2.31,42.4,0.701,0.39,4.14,265.6,0.093,2.059,Low,60.6,0.051
WLD_001313,1.481,0.245,1.941,397.2,283.5,39.3,4.0591,27.3,35.9,0.7,12.03,25.1,1.626,0.61,1.39,279.2,0.0,0.157,Medium,68.8,0.285
WLD_001314,2.627,0.45,4.767,179.7,136.7,176.6,1.251,29.44,25.5,0.44,5.81,32.8,2.348,0.7,5.23,146.0,0.075,0.368,Low,76.3,0.928
WLD_001315,0.711,0.457,2.386,60.3,42.7,251.2,1.908,18.54,15.6,0.36,2.93,13.8,0.531,0.66,5.92,138.2,0.081,0.35,Medium,84.4,0.255
WLD_001316,0.696,0.199,3.801,50.0,31.5,9.8,3.9409,33.46,9.8,2.25,2.18,31.8,0.635,0.53,5.23,178.4,0.032,2.623,Low,73.4,0.109
WLD_001317,1.487,0.421,5.317,78.9,54.3,502.2,0.9862,34.69,22.2,0.18,0.36,23.7,1.351,0.77,4.32,146.7,0.015,0.385,Medium,89.7,0.492
WLD_001318,0.873,0.401,3.154,50.0,33.5,188.3,3.9072,20.66,10.9,0.41,1.45,16.5,0.616,0.64,7.76,274.3,0.152,0.899,Low,93.9,0.275
WLD_001319,1.769,0.468,2.674,236.1,190.4,246.7,1.5794,30.59,38.3,0.47,11.33,34.7,1.8,0.63,3.2,288.4,0.048,-0.0,Medium,74.5,0.649
WLD_001320,1.242,0.126,2.74,237.3,178.0,7.7,4.0718,33.38,35.8,1.52,10.08,23.5,1.223,0.52,0.76,152.2,0.213,1.432,Medium,63.5,0.123
WLD_001321,1.559,0.192,1.198,173.0,135.9,107.5,1.262,43.98,37.8,0.14,11.06,32.9,1.546,0.61,3.67,140.6,0.0,-0.111,Low,86.5,0.235
WLD_001322,0.733,0.42,3.48,124.3,82.7,179.3,1.6444,31.48,15.7,0.13,4.33,26.6,0.515,0.7,2.86,227.5,0.051,-0.149,Low,79.1,0.242
WLD_001323,0.819,0.091,2.423,50.0,34.0,74.7,0.2477,34.59,32.7,0.35,0.43,29.0,0.921,0.76,5.8,210.2,0.0,0.689,Low,93.4,0.059
WLD_001324,1.693,0.146,1.329,205.6,189.1,3.0,6.8695,18.6,27.9,2.23,7.85,13.5,1.598,0.44,5.0,255.3,0.44,2.258,Low,86.7,0.194
WLD_001325,1.059,0.256,2.962,58.7,45.4,47.6,1.1428,30.1,13.7,0.45,2.38,32.6,0.842,0.69,5.93,155.0,0.0,0.476,Medium,86.3,0.212
WLD_001326,1.02,0.398,1.24,123.9,66.0,218.7,2.6905,31.81,25.9,0.51,7.59,34.2,0.988,0.57,4.62,122.9,0.128,0.767,Low,72.8,0.319
WLD_001327,0.836,0.122,2.403,50.0,30.7,18.4,3.2573,20.13,12.7,1.75,1.85,18.4,0.717,0.58,7.58,120.8,0.177,1.665,Low,85.5,0.08
WLD_001328,0.854,0.298,1.167,50.0,34.1,49.6,2.8768,34.25,18.5,0.88,0.29,31.2,0.925,0.67,2.27,254.7,0.001,0.942,Low,72.9,0.2
WLD_001329,1.424,0.398,3.619,305.4,175.2,102.0,3.4134,33.0,25.9,0.36,6.92,32.2,1.217,0.72,2.29,256.9,0.0,0.074,Low,89.7,0.444
WLD_001330,0.814,0.465,1.408,111.8,89.2,61.5,11.2464,32.36,17.4,1.02,4.56,31.4,0.643,0.43,4.14,110.6,0.144,0.994,Low,65.4,0.297
WLD_001331,0.823,0.294,1.559,50.0,32.4,13.9,11.5975,32.85,14.1,1.95,1.73,22.0,0.739,0.4,4.81,223.8,0.11,1.82,High,91.2,0.19
WLD_001332,1.006,0.112,2.083,344.9,244.8,67.6,1.4097,31.81,18.0,0.29,3.96,23.8,0.836,0.85,2.9,248.5,0.038,0.154,Low,74.6,0.089
WLD_001333,1.375,0.466,3.427,306.3,157.7,69.6,9.2537,27.11,23.9,0.65,6.94,32.3,1.289,0.56,5.74,166.3,0.058,0.655,Low,74.5,0.503
WLD_001334,0.748,0.337,1.853,50.0,32.7,28.1,2.8924,30.84,13.8,1.02,1.66,28.2,0.539,0.63,6.27,263.6,0.023,0.882,Low,90.4,0.198
WLD_001335,0.922,0.166,1.223,200.8,160.5,116.9,0.3446,28.99,33.2,0.04,9.67,20.7,1.012,0.67,7.67,186.3,0.028,0.047,High,62.1,0.12
WLD_001336,1.22,0.225,1.609,389.9,306.6,35.2,2.7861,27.29,19.2,0.87,5.17,25.5,0.935,0.76,8.0,181.8,0.1,0.496,Medium,94.6,0.216
WLD_001337,2.38,0.19,5.599,54.3,45.4,188.6,0.6797,31.27,21.6,0.13,5.42,32.8,2.125,0.64,5.05,274.0,0.01,-0.093,Low,78.3,0.355
WLD_001338,1.768,0.161,2.669,104.9,76.7,29.3,3.8192,33.15,43.5,1.13,0.49,26.6,1.843,0.67,2.81,128.4,0.141,1.135,Medium,80.5,0.223
WLD_001339,1.594,0.198,1.479,318.7,208.6,27.6,7.351,29.99,41.2,0.87,11.92,28.0,1.543,0.52,7.46,108.8,0.245,1.049,Low,64.1,0.247
WLD_001340,1.804,0.193,1.77,335.5,168.1,137.7,0.9769,29.84,32.5,0.49,8.81,21.9,1.682,0.73,4.4,226.7,0.129,0.412,Low,62.1,0.273
WLD_001341,0.673,0.486,1.858,50.0,38.2,42.3,23.7492,21.02,15.6,1.67,2.73,23.1,0.539,0.39,0.6,286.4,0.208,1.723,Medium,86.4,0.257
WLD_001342,1.623,0.48,1.698,133.8,93.3,70.0,13.2093,30.14,38.3,0.76,11.29,26.0,1.728,0.32,6.96,172.2,0.0,0.406,Low,73.3,0.612
WLD_001343,0.953,0.14,2.162,173.1,122.7,6.7,3.2051,34.33,25.8,1.46,8.13,28.8,0.873,0.54,1.29,255.8,0.02,1.43,Low,60.6,0.105
WLD_001344,1.641,0.275,4.259,149.7,82.6,147.6,0.5114,33.41,15.8,0.35,4.2,38.9,1.275,0.74,3.39,188.1,0.0,0.661,Low,63.8,0.355
WLD_001345,0.736,0.421,1.519,50.0,31.5,27.4,23.8178,20.27,16.8,1.62,1.97,18.7,0.689,0.41,6.83,146.3,0.253,1.262,Medium,68.8,0.243
WLD_001346,0.663,0.282,3.736,50.0,30.8,207.9,1.0145,36.72,32.6,0.23,0.16,26.3,0.647,0.75,7.14,297.0,0.062,0.333,Low,64.5,0.147
WLD_001347,0.911,0.194,2.979,301.0,226.5,40.5,8.5942,19.67,16.1,1.2,4.48,26.6,1.081,0.61,4.0,134.6,0.105,1.376,Low,69.3,0.139
WLD_001348,0.636,0.187,3.295,65.1,43.5,13.8,38.1422,21.14,18.5,2.25,4.75,12.0,0.438,0.32,7.8,120.8,0.338,2.295,High,82.5,0.093
WLD_001349,1.258,0.285,3.865,352.4,259.5,199.0,1.1995,30.46,42.7,0.54,11.82,19.4,1.337,0.69,2.18,171.1,0.057,0.395,Low,87.7,0.282
WLD_001350,1.464,0.358,4.452,77.0,50.3,246.5,1.7406,27.6,18.5,0.45,3.27,17.7,1.32,0.67,4.03,254.5,0.082,0.657,Low,86.6,0.411
WLD_001351,1.777,0.287,3.099,380.2,221.1,171.2,0.4201,29.35,29.1,0.28,9.36,22.0,1.633,0.74,2.96,122.4,0.0,0.244,Medium,84.9,0.4
WLD_001352,0.583,0.214,3.361,158.4,114.1,76.9,2.238,34.49,18.4,0.48,3.47,36.5,0.631,0.72,2.83,221.3,0.041,0.579,Medium,81.7,0.098
WLD_001353,0.684,0.065,2.152,50.0,32.5,20.3,4.9836,20.09,12.7,0.43,2.04,23.2,0.409,0.59,7.67,158.1,0.101,0.4,Medium,74.8,0.035
WLD_001354,0.72,0.114,1.43,50.0,32.6,72.2,0.0909,31.03,14.0,0.46,1.52,27.9,0.461,0.73,0.73,239.7,0.011,0.485,High,80.4,0.065
WLD_001355,0.879,0.065,3.14,97.0,72.0,45.8,0.2956,47.6,18.9,0.43,4.47,40.5,0.729,0.69,1.58,226.2,0.0,0.387,Low,81.3,0.045
WLD_001356,1.029,0.123,1.456,206.9,145.8,77.1,2.4937,22.12,36.3,0.02,10.7,17.9,1.177,0.61,4.67,221.0,0.0,0.438,Medium,62.2,0.099
WLD_001357,1.541,0.168,3.363,285.1,140.8,90.0,0.8102,32.5,28.6,0.65,7.66,23.7,1.343,0.74,4.29,165.2,0.059,0.38,Low,84.5,0.203
WLD_001358,0.678,0.403,1.1,50.0,31.9,292.0,0.0915,34.41,21.0,0.57,0.45,27.4,0.542,0.75,0.69,82.7,0.0,0.595,Low,79.2,0.214
WLD_001359,1.644,0.079,2.594,298.0,194.3,37.6,2.9143,30.36,33.1,0.71,9.32,18.8,1.609,0.66,7.63,155.8,0.1,0.69,Low,97.6,0.101
WLD_001360,2.784,0.355,6.215,50.0,34.1,371.6,1.4301,33.03,26.8,0.42,0.1,24.1,2.481,0.73,2.56,118.1,0.06,0.339,Medium,90.7,0.775
WLD_001361,1.589,0.09,2.753,360.8,223.2,26.3,2.1076,29.11,24.3,0.33,5.63,26.2,1.396,0.79,1.17,209.1,0.129,0.431,High,78.3,0.112
WLD_001362,1.029,0.223,3.633,154.8,127.9,2.8,61.3991,37.97,35.3,5.65,10.61,33.0,0.974,0.13,7.08,215.2,0.497,5.845,Low,86.0,0.18
WLD_001363,0.677,0.325,3.569,50.0,39.1,161.4,2.7331,31.31,20.8,0.24,5.48,23.3,0.486,0.57,2.31,217.8,0.0,0.5,Low,80.0,0.172
WLD_001364,0.589,0.204,1.313,50.0,32.7,36.6,12.2721,36.49,12.6,0.78,2.04,21.7,0.222,0.45,5.42,96.0,0.069,0.413,Medium,79.8,0.094
WLD_001365,1.018,0.256,3.433,104.4,55.3,95.1,1.0921,32.4,36.9,0.51,11.64,29.6,1.06,0.53,6.89,224.2,0.0,0.719,Low,77.2,0.204
WLD_001366,1.267,0.281,2.319,347.7,243.8,38.6,6.0756,29.5,22.3,0.46,4.77,31.0,1.205,0.71,5.69,115.7,0.07,0.525,Low,81.3,0.28
WLD_001367,0.917,0.308,1.497,165.0,95.9,78.7,0.6632,34.78,36.6,0.72,8.57,29.4,0.839,0.62,4.15,172.0,0.114,0.923,Medium,80.3,0.222
WLD_001368,0.873,0.217,3.277,258.4,205.7,82.9,1.8308,32.99,23.3,0.27,5.71,23.9,0.975,0.76,0.71,101.7,0.009,0.703,Low,72.7,0.149
WLD_001369,1.272,0.154,2.548,312.9,234.7,77.1,0.7754,30.34,36.2,0.07,10.05,35.4,1.332,0.73,2.89,252.7,0.179,-0.419,High,78.1,0.154
WLD_001370,2.085,0.5,4.87,50.0,37.0,277.4,1.604,34.14,21.3,0.4,0.22,31.1,1.885,0.73,4.36,233.9,0.115,0.658,Medium,94.9,0.818
WLD_001371,1.155,0.19,3.252,50.0,37.7,119.2,2.6982,28.71,15.4,0.63,2.13,17.7,0.889,0.64,3.4,129.5,0.081,0.568,Low,83.6,0.172
WLD_001372,1.204,0.283,1.377,451.7,171.3,77.8,2.0644,31.91,34.5,0.22,10.7,34.1,1.403,0.69,7.17,212.8,0.0,-0.104,Low,92.4,0.268
WLD_001373,0.556,0.05,1.58,50.0,38.6,-5.5,4.3016,36.59,9.4,1.68,0.23,35.4,0.243,0.59,0.5,127.8,0.011,1.932,High,93.0,0.022
WLD_001374,0.671,0.081,1.234,50.0,36.4,-1.1,45.5582,21.74,11.2,8.34,1.46,25.3,0.458,0.26,6.48,163.5,0.975,8.284,Low,73.4,0.043
WLD_001375,1.469,0.374,1.655,171.3,99.2,143.2,0.5754,30.35,18.5,0.32,3.47,26.9,1.209,0.78,2.28,85.5,0.0,0.366,Medium,61.7,0.431
WLD_001376,1.501,0.457,1.854,134.2,86.8,294.4,1.5139,30.57,34.6,0.27,7.68,30.5,1.401,0.62,6.82,258.2,0.08,0.348,Low,89.8,0.538
WLD_001377,0.815,0.278,3.866,148.1,94.8,65.1,3.3686,27.61,22.4,0.38,4.87,20.1,1.225,0.65,5.38,197.4,0.105,0.384,Medium,60.4,0.178
WLD_001378,0.663,0.18,1.725,78.8,57.5,75.7,1.5351,35.33,17.1,0.32,2.53,25.7,0.518,0.7,1.35,189.4,0.171,0.101,Medium,60.9,0.094
WLD_001379,0.883,0.344,1.275,209.9,134.8,65.0,3.0142,28.48,18.2,0.86,4.33,28.0,1.179,0.7,5.04,164.1,0.251,0.842,Medium,88.0,0.238
WLD_001380,2.043,0.289,5.75,61.6,46.5,329.3,1.647,26.67,21.1,0.13,4.36,25.3,1.792,0.64,6.17,155.1,0.07,0.088,Medium,61.4,0.463
WLD_001381,2.633,0.291,6.291,163.8,113.3,310.6,1.8517,27.55,25.8,0.41,5.8,20.9,2.362,0.67,0.87,252.8,0.0,0.262,Medium,76.0,0.601
WLD_001382,0.751,0.264,2.841,50.0,34.4,47.7,7.9485,20.85,27.6,0.94,8.21,13.3,0.604,0.34,7.22,266.7,0.0,0.857,Low,72.8,0.156
WLD_001383,0.851,0.119,3.162,201.7,110.0,-14.6,6.9837,36.35,13.3,3.29,2.81,30.5,0.801,0.51,0.76,101.7,0.3,3.515,High,65.2,0.08
WLD_001384,0.799,0.234,2.191,313.1,263.1,48.8,5.6699,29.61,19.4,0.79,4.35,20.2,0.994,0.71,7.79,152.6,0.176,1.096,Low,82.1,0.147
WLD_001385,1.285,0.226,1.373,151.4,91.6,71.2,3.5112,43.57,26.6,0.26,7.13,41.3,1.177,0.6,6.0,150.6,0.0,0.287,Medium,77.4,0.228
WLD_001386,1.466,0.272,3.819,258.8,248.6,8.8,8.3522,33.83,31.5,2.42,10.59,27.7,1.485,0.39,2.17,109.6,0.201,2.315,Low,76.6,0.313
WLD_001387,0.705,0.317,1.378,163.0,134.2,91.1,0.7238,37.33,18.9,0.36,3.31,36.8,0.801,0.77,2.75,295.3,0.0,0.588,Low,71.6,0.176
WLD_001388,1.305,0.484,2.981,290.6,207.4,92.5,8.6367,31.59,29.6,0.75,7.85,23.6,1.184,0.54,2.03,177.2,0.101,0.458,Low,76.1,0.496
WLD_001389,0.517,0.387,3.876,50.0,38.4,54.3,8.0552,26.6,12.6,1.12,1.0,20.0,0.26,0.51,2.31,184.9,0.119,1.252,Low,84.3,0.157
WLD_001390,1.278,0.141,1.412,298.2,290.9,12.2,2.9667,27.28,40.8,2.15,10.71,28.3,1.343,0.57,4.05,255.9,0.186,1.882,Low,88.3,0.141
WLD_001391,0.661,0.135,1.842,50.0,32.5,77.7,3.5686,38.94,17.0,0.37,0.45,35.8,0.422,0.67,4.42,123.1,0.105,0.492,High,91.0,0.07
WLD_001392,2.587,0.162,4.927,113.7,115.6,67.5,2.4046,26.92,26.6,0.38,5.3,29.4,2.348,0.63,7.82,272.8,0.027,0.509,Medium,97.4,0.329
WLD_001393,0.944,0.353,2.484,120.1,71.0,217.7,0.9082,21.06,32.3,0.51,8.63,21.1,0.852,0.59,5.84,133.8,0.113,0.553,Low,60.2,0.261
WLD_001394,1.245,0.399,3.777,368.7,242.0,266.9,0.937,32.65,24.5,0.26,5.76,22.1,1.159,0.82,7.47,198.3,0.079,0.48,Medium,67.9,0.389
WLD_001395,1.393,0.48,2.995,378.6,217.3,319.0,0.616,24.01,39.0,0.25,11.27,29.1,1.366,0.72,4.22,289.6,0.0,0.039,Medium,91.3,0.524
WLD_001396,0.658,0.131,2.523,50.0,32.9,18.9,11.4994,23.42,13.2,2.47,2.38,14.0,0.58,0.36,7.83,191.2,0.26,2.3,Medium,88.2,0.067
WLD_001397,1.47,0.309,2.695,269.6,139.2,177.3,0.5683,30.2,36.1,0.12,10.79,28.7,1.489,0.7,5.38,181.7,0.12,0.377,Low,83.4,0.357
WLD_001398,0.68,0.078,2.11,50.0,38.7,8.6,2.7284,29.17,15.3,2.84,1.7,18.7,0.448,0.54,2.47,271.5,0.287,2.778,Medium,66.0,0.042
WLD_001399,0.823,0.148,2.666,103.4,85.8,6.5,2.7641,34.38,35.0,2.53,10.93,33.3,0.906,0.39,2.43,107.8,0.09,2.586,Low,97.0,0.096
WLD_001400,1.425,0.409,1.007,100.6,64.3,154.3,0.4128,36.04,28.0,0.21,0.28,26.0,1.312,0.81,5.94,198.3,0.225,0.116,Low,77.6,0.457
WLD_001401,2.269,0.259,4.204,192.8,154.0,68.5,2.4072,30.12,21.6,0.56,5.36,28.5,2.064,0.69,0.97,107.8,0.226,0.624,Low,82.2,0.461
WLD_001402,1.674,0.361,1.404,293.3,226.5,19.2,16.781,30.1,34.0,1.55,10.4,30.5,1.681,0.42,1.63,168.3,0.083,1.727,Medium,62.1,0.475
WLD_001403,0.623,0.468,1.448,50.0,37.2,309.9,1.5104,33.25,20.7,0.01,0.33,24.7,0.53,0.74,5.01,271.9,0.0,-0.028,Low,91.5,0.229
WLD_001404,1.863,0.413,5.602,169.2,76.3,457.2,1.1923,44.46,24.1,0.2,4.9,39.6,1.576,0.73,2.38,121.8,0.066,0.456,Low,60.1,0.605
WLD_001405,1.899,0.427,5.367,238.0,185.5,427.0,0.1011,35.58,23.7,0.51,4.97,28.8,1.603,0.8,5.26,81.7,0.026,0.168,High,88.0,0.637
WLD_001406,0.811,0.081,1.79,50.0,31.4,23.8,6.3709,18.49,18.2,1.09,2.73,14.3,1.107,0.51,7.37,261.6,0.25,1.364,Low,64.6,0.052
WLD_001407,0.584,0.223,3.221,50.0,38.5,9.1,32.8435,30.68,11.5,9.17,1.31,18.4,0.33,0.26,4.95,141.6,0.774,9.543,Medium,90.8,0.102
WLD_001408,1.724,0.07,3.591,229.1,178.8,21.6,6.2795,20.13,36.3,0.62,11.63,14.9,1.815,0.5,2.5,169.1,0.0,0.628,Medium,66.7,0.095
WLD_001409,1.553,0.241,3.366,99.3,70.8,141.0,0.3809,32.93,22.6,0.33,0.46,32.2,1.35,0.8,1.66,127.7,0.044,0.406,Medium,74.2,0.294
WLD_001410,1.058,0.303,3.999,264.6,233.2,127.7,0.2753,30.49,20.1,0.45,3.57,31.0,0.857,0.85,4.25,160.9,0.0,0.321,Low,64.8,0.251
WLD_001411,1.706,0.18,3.457,50.0,35.3,72.0,1.2724,28.12,22.8,0.29,3.56,28.5,1.5,0.66,4.67,86.2,0.115,0.344,Low,87.8,0.242
WLD_001412,1.39,0.109,1.888,298.9,189.9,59.9,0.9656,32.0,35.8,0.07,10.26,24.3,1.41,0.72,0.93,135.2,0.0,0.147,Medium,70.0,0.119
WLD_001413,1.681,0.479,3.93,171.6,129.1,213.2,0.8335,46.1,29.5,0.0,8.78,44.1,1.509,0.65,3.8,132.2,0.0,-0.411,Medium,74.4,0.632
