sample_id,min_cycle_temperature_C,max_cycle_temperature_C,total_cycles_tested,initial_contact_resistance_mohm,final_contact_resistance_mohm,resistance_drift_percent,tensile_strength_retention_percent,shear_strength_retention_percent,fatigue_life_cycles,crack_growth_rate_mm_cycle,thermal_expansion_mismatch_ppm_K,stress_concentration_factor,primary_failure_mode,time_to_failure_hours,cycle_life_score,reliability_score,temperature_stability_index,corrosion_resistance_score,dimensional_stability_um,interface_adhesion_strength_MPa,oxidation_resistance_score,creep_resistance_score
WLD_001838,-22.4,131.6,9953,2.462,3.2035,30.12,70.5,66.9,1815,1.89e-06,3.21,2.17,Fatigue Cracking,1898.4,1.0,0.351,0.644,0.7,4.81,145.8,0.558,0.928
WLD_001839,-39.3,94.8,6244,1.0453,1.2473,19.33,92.3,87.7,14171,1.1e-06,9.89,2.35,Fatigue Cracking,5515.4,0.441,0.568,0.765,0.931,0.69,133.2,0.686,0.809
WLD_001840,-21.5,136.9,792,12.2862,13.3502,8.66,92.2,87.6,24784,1.91e-06,9.39,1.78,Interface Delamination,792.0,0.032,0.574,0.822,0.937,1.75,113.5,0.742,0.722
WLD_001841,-21.3,117.2,4830,2.2246,2.9621,33.15,85.6,81.3,24869,6.4e-07,2.7,1.58,Intermetallic Embrittlement,4830.0,0.194,0.246,0.823,0.897,2.37,187.3,0.883,0.66
WLD_001842,-31.6,103.5,4999,3.7773,4.8922,29.52,84.9,80.7,13293,1.17e-06,0.3,2.27,Intermetallic Embrittlement,4482.4,0.376,0.279,0.952,0.71,1.69,100.6,0.749,0.913
WLD_001843,-20.8,127.0,8956,0.4572,0.692,51.36,82.1,78.0,9628,1.84e-06,4.5,1.95,Fatigue Cracking,3636.8,0.93,0.21,0.793,0.787,1.98,72.6,0.812,0.664
WLD_001844,-39.6,148.9,2543,3.4041,4.0995,20.43,83.0,78.8,2965,1.69e-06,-0.42,3.4,Interface Delamination,1262.1,0.857,0.411,0.791,0.78,1.68,59.0,0.801,0.744
WLD_001845,-31.4,144.4,2529,1.8327,2.3823,29.99,80.1,76.1,1821,7.1e-07,2.23,1.89,Oxidation,1358.9,1.0,0.451,0.729,0.741,0.57,58.8,0.602,0.653
WLD_001846,-30.6,98.3,1077,2.3822,2.8911,21.36,86.1,81.8,4551,1.62e-06,9.91,1.72,Thermal Degradation,1077.0,0.237,0.467,0.649,0.948,4.72,61.6,0.597,0.853
WLD_001847,-26.5,138.9,9686,6.5718,8.6147,31.09,65.7,62.4,1883,2.46e-06,6.96,2.04,Fatigue Cracking,791.2,1.0,0.318,0.881,0.728,3.45,76.4,0.853,0.79
WLD_001848,-33.3,107.6,3075,19.8356,23.5077,18.51,88.4,84.0,4686,2.67e-06,6.03,1.76,Interface Delamination,1062.5,0.656,0.457,0.794,0.843,2.47,111.7,0.602,0.795
WLD_001849,-26.7,112.3,7409,0.1778,0.1919,7.95,87.5,83.2,21118,1.68e-06,-1.96,2.29,Fatigue Cracking,7409.0,0.351,0.658,0.637,0.879,4.9,172.0,0.857,0.691
WLD_001850,-37.7,105.5,2985,1.0613,1.3967,31.6,95.2,90.5,35992,1.36e-06,0.82,1.94,Intermetallic Embrittlement,2985.0,0.083,0.31,0.768,0.905,4.79,61.5,0.794,0.771
WLD_001851,-22.4,117.8,7824,2.1123,2.4678,16.83,86.3,82.0,31097,1.81e-06,1.42,2.46,Fatigue Cracking,7824.0,0.252,0.563,0.974,0.838,3.68,82.2,0.784,0.784
WLD_001852,-33.2,97.8,898,1.4246,1.59,11.61,96.9,92.0,32509,6.6e-07,7.19,2.49,Intermetallic Embrittlement,898.0,0.028,0.518,0.949,0.731,0.63,140.6,0.845,0.641
WLD_001853,-27.7,133.5,281,0.0686,0.0842,22.68,92.2,87.5,10191,1.68e-06,1.47,5.35,Intermetallic Embrittlement,281.0,0.028,0.384,0.965,0.902,1.47,140.3,0.547,0.927
WLD_001854,-32.7,120.0,5647,2.2567,2.9046,28.71,86.1,81.8,25090,2.5e-07,3.24,1.8,Fatigue Cracking,5647.0,0.225,0.444,0.739,0.905,2.74,163.2,0.831,0.677
WLD_001855,-22.9,88.5,6086,13.8347,16.8159,21.55,78.7,74.8,38207,2.32e-06,9.68,2.19,Fatigue Cracking,6086.0,0.159,0.478,0.814,0.867,1.37,169.1,0.605,0.684
WLD_001856,-22.0,112.4,1945,0.7108,0.8289,16.61,91.8,87.2,15004,1.01e-06,4.62,1.8,Oxidation,1945.0,0.13,0.643,0.72,0.806,0.17,197.9,0.771,0.832
WLD_001857,-21.1,130.5,1463,0.9922,1.1696,17.87,88.3,83.9,9880,1.91e-06,4.84,1.65,Interface Delamination,1463.0,0.148,0.463,0.745,0.75,3.49,151.6,0.612,0.783
WLD_001858,-37.1,104.7,4988,0.8183,0.9932,21.37,79.3,75.3,12594,1.34e-06,1.62,2.04,Intermetallic Embrittlement,4988.0,0.396,0.333,0.934,0.885,0.24,163.3,0.722,0.822
WLD_001859,-22.8,87.3,1666,20.3112,21.1938,4.35,95.1,90.4,49333,2.15e-06,13.23,2.92,Intermetallic Embrittlement,1666.0,0.034,0.582,0.827,0.855,1.63,119.9,0.58,0.623
WLD_001860,-33.9,135.3,9322,1.3363,1.4409,7.83,72.0,68.4,2398,1.36e-06,-0.3,1.83,Thermal Degradation,1183.0,1.0,0.532,0.723,0.864,3.01,125.1,0.572,0.907
WLD_001861,-30.0,137.4,4853,20.1722,21.1118,4.66,79.1,75.1,3194,2.78e-06,5.71,2.12,Interface Delamination,1031.5,1.0,0.549,0.781,0.937,2.31,93.3,0.587,0.845
WLD_001862,-34.2,111.6,4847,13.414,16.3919,22.2,85.2,80.9,3709,2.56e-06,8.99,2.01,Interface Delamination,1437.1,1.0,0.404,0.714,0.873,4.03,154.4,0.579,0.835
WLD_001863,-28.8,112.4,7344,16.4847,24.8994,51.05,68.4,65.0,2856,1.72e-06,6.17,1.87,Fatigue Cracking,2003.1,1.0,0.142,0.908,0.882,3.62,113.3,0.55,0.658
WLD_001864,-30.8,133.7,5301,2.696,3.6203,34.28,81.4,77.4,12087,1.12e-06,6.92,5.86,Fatigue Cracking,4932.7,0.439,0.364,0.8,0.809,1.91,59.5,0.731,0.885
WLD_001865,-31.4,80.9,3129,1.1348,1.35,18.96,91.4,86.8,8697,1.28e-06,1.9,1.83,Oxidation,3129.0,0.36,0.617,0.604,0.737,2.03,66.0,0.711,0.931
WLD_001866,-34.2,132.8,7378,1.832,2.603,42.08,81.0,77.0,3021,2.63e-06,2.67,1.74,Thermal Degradation,1884.9,1.0,0.234,0.868,0.741,1.58,77.2,0.878,0.891
WLD_001867,-34.6,87.4,8093,1.937,2.3621,21.95,76.7,72.9,10568,2.18e-06,3.87,2.94,Thermal Degradation,4964.3,0.766,0.414,0.903,0.941,0.41,154.8,0.663,0.895
WLD_001868,-39.6,112.2,6544,1.8314,2.0271,10.69,86.9,82.5,17878,6.3e-07,3.03,3.03,Fatigue Cracking,6544.0,0.366,0.627,0.674,0.863,4.03,134.3,0.502,0.818
WLD_001869,-30.6,83.9,6576,131.3169,167.328,27.42,79.4,75.4,3756,4.63e-06,7.02,2.8,Thermal Degradation,989.5,1.0,0.373,0.787,0.822,2.61,136.7,0.65,0.675
WLD_001870,-29.5,110.9,2604,0.3411,0.3884,13.86,92.5,87.9,13146,1.45e-06,2.77,1.62,Intermetallic Embrittlement,2604.0,0.198,0.474,0.651,0.89,2.08,129.7,0.504,0.811
WLD_001871,-36.6,128.0,2919,0.1273,0.1585,24.54,80.3,76.3,34582,1.1e-06,7.25,2.65,Intermetallic Embrittlement,2919.0,0.084,0.306,0.755,0.834,0.87,181.1,0.615,0.616
WLD_001872,-25.7,112.2,486,10.4807,13.0679,24.69,91.2,86.6,4701,4.66e-06,8.6,2.7,Interface Delamination,486.0,0.103,0.409,0.611,0.764,4.08,181.3,0.538,0.817
WLD_001873,-20.1,95.0,5531,0.8734,1.0788,23.52,89.3,84.8,61066,2.09e-06,4.09,2.16,Fatigue Cracking,5531.0,0.091,0.511,0.699,0.744,0.54,77.1,0.772,0.618
WLD_001874,-22.3,135.3,1871,25227.1825,30685.2537,21.64,86.7,82.4,1466,0.00058821,10.92,169.07,Interface Delamination,921.8,1.0,0.417,0.842,0.913,0.18,84.7,0.714,0.617
WLD_001875,-33.6,128.2,9383,1.0369,1.403,35.31,74.5,70.8,3306,1.6e-06,0.9,2.24,Fatigue Cracking,1572.4,1.0,0.319,0.869,0.755,1.13,192.6,0.731,0.83
WLD_001876,-31.7,142.3,4847,2.0313,2.6008,28.04,87.4,83.0,2338,1.07e-06,8.32,2.16,Intermetallic Embrittlement,2005.2,1.0,0.307,0.926,0.933,2.02,97.0,0.621,0.762
WLD_001877,-29.7,96.8,5248,3.3919,4.8303,42.41,85.5,81.2,7511,2.13e-06,-0.18,3.18,Fatigue Cracking,4214.2,0.699,0.304,0.691,0.899,1.46,161.5,0.66,0.79
WLD_001878,-34.2,118.0,9003,24.2377,33.8117,39.5,73.5,69.8,1698,3.3e-06,7.79,2.61,Thermal Degradation,826.7,1.0,0.222,0.722,0.909,2.52,195.9,0.559,0.772
WLD_001879,-37.4,131.5,4745,1.7844,1.9505,9.31,72.4,68.8,1039,1.42e-06,7.16,2.44,Intermetallic Embrittlement,650.6,1.0,0.419,0.886,0.843,4.38,106.5,0.705,0.862
WLD_001880,-36.1,101.7,5294,1.1355,1.4793,30.28,91.9,87.3,15925,1.56e-06,8.07,2.15,Fatigue Cracking,5294.0,0.332,0.456,0.898,0.95,0.77,92.7,0.667,0.892
WLD_001881,-32.9,144.4,493,0.6395,0.7874,23.12,96.5,91.7,2696,1.61e-06,3.42,3.12,Intermetallic Embrittlement,493.0,0.183,0.401,0.673,0.748,1.87,150.3,0.793,0.748
WLD_001882,-34.7,90.8,8469,1.3776,1.9224,39.54,81.3,77.2,6870,9.9e-07,10.17,1.84,Fatigue Cracking,2866.3,1.0,0.311,0.783,0.908,1.35,176.1,0.838,0.624
WLD_001883,-37.8,143.5,3707,4.0678,5.1493,26.59,82.0,77.9,1014,2.4e-06,4.88,1.89,Interface Delamination,590.3,1.0,0.344,0.806,0.719,1.88,126.0,0.554,0.658
WLD_001884,-22.2,86.6,6428,0.3445,0.4504,30.75,82.0,77.9,32625,1.21e-06,4.78,3.02,Fatigue Cracking,6428.0,0.197,0.403,0.719,0.751,4.98,129.5,0.863,0.635
WLD_001885,-26.2,105.9,2303,2.2046,2.6078,18.29,83.7,79.5,6877,5.8e-07,4.34,2.06,Intermetallic Embrittlement,2303.0,0.335,0.385,0.622,0.737,1.27,127.7,0.545,0.681
WLD_001886,-39.9,146.5,9599,1.3199,1.8193,37.83,73.1,69.4,1533,8.8e-07,-0.43,1.64,Fatigue Cracking,1023.2,1.0,0.287,0.661,0.8,4.7,99.5,0.68,0.836
WLD_001887,-22.1,139.4,2570,5.4467,6.392,17.36,78.9,74.9,2164,9.8e-07,6.89,2.23,Interface Delamination,933.0,1.0,0.421,0.935,0.9,1.03,54.4,0.669,0.876
WLD_001888,-24.0,126.3,6795,1.0628,1.5038,41.49,77.0,73.2,13043,1.65e-06,3.85,1.87,Fatigue Cracking,6795.0,0.521,0.27,0.873,0.725,4.97,134.8,0.573,0.804
WLD_001889,-39.6,141.5,4370,8.7828,10.6826,21.63,78.6,74.6,988,2.89e-06,0.56,2.04,Interface Delamination,244.0,1.0,0.377,0.905,0.761,0.58,56.6,0.764,0.746
WLD_001890,-31.1,128.1,2258,2.1032,2.403,14.25,100.0,95.0,33782,6.2e-07,1.61,1.82,Interface Delamination,2258.0,0.067,0.557,0.641,0.707,2.29,191.6,0.588,0.66
WLD_001891,-33.6,149.7,5990,0.8794,1.1511,30.9,78.4,74.5,3527,1.53e-06,12.21,3.95,Fatigue Cracking,1343.4,1.0,0.383,0.783,0.748,0.72,179.4,0.547,0.658
WLD_001892,-37.6,117.3,1988,1.9953,2.2288,11.7,86.4,82.1,13214,1.68e-06,4.39,3.99,Intermetallic Embrittlement,1988.0,0.15,0.465,0.838,0.803,2.76,68.6,0.546,0.827
WLD_001893,-32.5,91.7,2538,23.854,30.4893,27.82,94.8,90.1,20554,3.76e-06,5.54,2.97,Intermetallic Embrittlement,2538.0,0.123,0.346,0.647,0.73,2.29,157.4,0.831,0.862
WLD_001894,-29.4,121.8,6050,6.7314,7.5187,11.7,86.4,82.1,3306,1.49e-06,-0.35,1.91,Thermal Degradation,2182.3,1.0,0.565,0.756,0.811,1.95,76.2,0.678,0.949
WLD_001895,-33.4,144.0,2522,3.1504,3.407,8.15,91.9,87.4,2113,1.21e-06,6.64,2.37,Thermal Degradation,1207.1,1.0,0.628,0.684,0.76,3.83,176.5,0.862,0.781
WLD_001896,-40.0,135.6,292,3.3134,3.8201,15.29,94.6,89.9,2177,1.55e-06,-2.25,1.9,Mechanical Wear,292.0,0.134,0.72,0.616,0.85,4.28,84.3,0.706,0.905
WLD_001897,-39.5,132.5,4604,1.4673,1.7355,18.28,76.2,72.4,1386,1.84e-06,-0.16,1.63,Oxidation,974.5,1.0,0.548,0.644,0.891,2.49,117.2,0.742,0.93
WLD_001898,-23.8,109.0,8640,1.6236,2.388,47.08,74.0,70.3,11921,1.37e-06,1.79,1.97,Fatigue Cracking,6121.4,0.725,0.199,0.67,0.743,0.33,80.0,0.798,0.748
WLD_001899,-24.3,125.4,9130,0.2734,0.3566,30.42,76.7,72.8,4488,6.4e-07,3.34,2.54,Thermal Degradation,1520.7,1.0,0.329,0.723,0.751,3.61,74.9,0.599,0.644
WLD_001900,-24.3,136.1,1274,2.7208,3.157,16.03,89.5,85.0,3093,1.5e-06,2.75,2.36,Fatigue Cracking,543.1,0.412,0.587,0.855,0.824,0.82,72.4,0.509,0.818
WLD_001901,-30.1,94.0,5081,0.4473,0.5651,26.33,90.3,85.8,8080,1.61e-06,3.5,2.44,Fatigue Cracking,3097.7,0.629,0.488,0.862,0.907,4.55,155.1,0.752,0.746
WLD_001902,-38.1,127.6,4890,6.098,7.791,27.76,84.0,79.8,10956,1.83e-06,0.48,3.14,Interface Delamination,4890.0,0.446,0.342,0.932,0.874,0.48,187.6,0.613,0.86
WLD_001903,-29.4,119.0,1575,2.6774,3.2999,23.25,89.2,84.7,40797,1.32e-06,6.08,2.77,Intermetallic Embrittlement,1575.0,0.039,0.363,0.704,0.928,2.55,85.4,0.62,0.8
WLD_001904,-32.3,144.6,3476,1.4678,2.1271,44.92,88.2,83.8,1144,1.71e-06,3.06,1.71,Intermetallic Embrittlement,925.1,1.0,0.142,0.69,0.777,4.28,93.5,0.583,0.647
WLD_001905,-39.1,116.1,1395,1.8858,2.2983,21.87,83.0,78.9,22772,1.44e-06,3.05,1.88,Fatigue Cracking,1395.0,0.061,0.496,0.903,0.858,3.82,189.7,0.844,0.852
WLD_001906,-33.3,117.4,3493,0.5223,0.6792,30.04,86.8,82.5,33865,1.52e-06,7.89,1.76,Fatigue Cracking,3493.0,0.103,0.434,0.615,0.948,2.82,192.3,0.871,0.862
WLD_001907,-23.2,81.5,3216,2.1317,2.5296,18.67,89.3,84.8,29077,4.4e-07,9.17,1.75,Intermetallic Embrittlement,3216.0,0.111,0.41,0.711,0.739,1.32,83.3,0.827,0.923
WLD_001908,-38.9,130.2,7904,0.3222,0.436,35.31,76.9,73.0,7938,8.5e-07,4.11,1.65,Thermal Degradation,6425.2,0.996,0.281,0.973,0.839,1.05,51.2,0.827,0.823
WLD_001909,-27.9,108.0,2011,0.184,0.2185,18.75,91.0,86.5,4199,1.64e-06,1.52,1.86,Intermetallic Embrittlement,2010.5,0.479,0.418,0.755,0.753,2.61,190.3,0.565,0.627
WLD_001910,-26.9,123.3,4860,0.4935,0.6863,39.07,77.1,73.3,4377,4.8e-07,-0.51,2.39,Thermal Degradation,2487.9,1.0,0.245,0.724,0.774,2.54,181.2,0.815,0.748
WLD_001911,-22.2,147.9,2219,1.0578,1.27,20.06,92.4,87.8,3754,1.65e-06,1.11,1.74,Fatigue Cracking,2219.0,0.591,0.561,0.901,0.781,2.42,173.6,0.728,0.688
WLD_001912,-26.9,141.0,4822,1.3231,1.5681,18.52,82.2,78.1,1768,1.63e-06,7.83,1.76,Intermetallic Embrittlement,2594.6,1.0,0.376,0.807,0.876,1.33,95.5,0.762,0.748
WLD_001913,-37.9,108.9,2489,33.6578,40.605,20.64,86.2,81.9,25402,2.44e-06,10.71,1.93,Intermetallic Embrittlement,2489.0,0.098,0.375,0.638,0.816,1.28,140.6,0.62,0.813
WLD_001914,-31.8,123.0,8988,2.2329,2.6867,20.32,78.1,74.2,12693,1.66e-06,0.03,3.28,Thermal Degradation,3417.5,0.708,0.437,0.693,0.927,2.63,188.8,0.873,0.781
WLD_001915,-21.3,122.8,5315,1.3199,1.625,23.11,76.3,72.4,11391,1.85e-06,9.74,2.23,Fatigue Cracking,5315.0,0.467,0.45,0.721,0.719,3.45,55.5,0.79,0.896
WLD_001916,-36.7,140.4,8270,8.3558,11.0688,32.47,84.9,80.7,1079,1.98e-06,4.22,2.51,Fatigue Cracking,754.5,1.0,0.4,0.722,0.718,4.52,69.6,0.784,0.934
WLD_001917,-30.0,101.9,5475,9.6376,10.7815,11.87,71.1,67.6,2162,2.97e-06,-2.66,2.15,Fatigue Cracking,2151.3,1.0,0.537,0.774,0.708,1.07,196.3,0.887,0.897
WLD_001918,-23.7,93.6,8228,21.1192,29.3249,38.85,83.1,78.9,3993,3.56e-06,8.12,2.11,Thermal Degradation,2720.6,1.0,0.277,0.777,0.72,1.96,128.4,0.614,0.645
WLD_001919,-22.5,104.2,5497,0.5321,0.7095,33.34,86.6,82.3,24409,6.7e-07,7.65,1.77,Thermal Degradation,5497.0,0.225,0.35,0.911,0.914,2.43,127.2,0.519,0.712
WLD_001920,-28.4,131.2,1733,0.843,1.0234,21.4,88.2,83.8,19651,8.6e-07,1.65,2.84,Intermetallic Embrittlement,1733.0,0.088,0.377,0.604,0.876,1.2,119.7,0.693,0.832
WLD_001921,-33.5,137.1,5698,4.2371,6.1516,45.18,79.3,75.3,15727,1.02e-06,9.71,1.7,Thermal Degradation,5698.0,0.362,0.195,0.773,0.834,4.08,196.4,0.806,0.881
WLD_001922,-25.1,91.5,2123,0.8319,0.991,19.12,92.0,87.4,43128,1.95e-06,1.69,1.92,Intermetallic Embrittlement,2123.0,0.049,0.419,0.626,0.859,4.38,83.3,0.849,0.801
WLD_001923,-30.0,133.7,4132,2.0394,2.3918,17.28,76.6,72.8,9864,1.44e-06,5.49,2.07,Intermetallic Embrittlement,4132.0,0.419,0.36,0.731,0.734,1.69,85.3,0.837,0.818
WLD_001924,-33.4,148.1,3171,18.5617,22.7955,22.81,78.5,74.5,1030,2.49e-06,-0.05,1.8,Interface Delamination,768.1,1.0,0.364,0.949,0.736,2.38,110.8,0.777,0.734
WLD_001925,-36.8,129.4,9987,4.1352,5.5968,35.34,71.3,67.7,3180,2.31e-06,1.94,2.2,Thermal Degradation,1149.7,1.0,0.253,0.67,0.783,4.42,185.1,0.79,0.776
WLD_001926,-23.1,91.9,4011,2.7595,3.3663,21.99,99.3,94.4,39277,5.8e-07,5.98,2.03,Intermetallic Embrittlement,4011.0,0.102,0.427,0.7,0.738,1.74,138.8,0.731,0.64
WLD_001927,-30.1,115.9,2646,14.6068,18.2673,25.06,85.5,81.3,3243,1.87e-06,3.89,1.63,Interface Delamination,2172.5,0.816,0.377,0.83,0.941,1.12,128.4,0.603,0.909
WLD_001928,-33.5,110.2,2969,4.358,5.009,14.94,94.0,89.3,3887,2.91e-06,8.05,1.71,Intermetallic Embrittlement,1210.0,0.764,0.471,0.797,0.931,1.04,74.0,0.766,0.849
WLD_001929,-34.0,125.6,5308,0.5846,0.7006,19.84,85.0,80.7,34690,1.68e-06,6.51,1.46,Fatigue Cracking,5308.0,0.153,0.526,0.83,0.806,0.5,111.0,0.758,0.702
WLD_001930,-33.5,126.5,7848,0.1103,0.1284,16.38,83.3,79.2,18661,9.8e-07,3.58,2.27,Fatigue Cracking,7848.0,0.421,0.553,0.797,0.89,2.16,120.0,0.541,0.682
WLD_001931,-38.2,115.2,5705,1.5297,1.7631,15.26,81.2,77.1,3493,1.22e-06,8.58,2.06,Fatigue Cracking,1599.8,1.0,0.553,0.97,0.904,0.27,192.1,0.709,0.73
WLD_001932,-33.0,101.1,6278,2.6259,3.3692,28.3,83.9,79.7,24098,1.76e-06,2.68,2.22,Fatigue Cracking,6278.0,0.261,0.437,0.692,0.741,4.79,76.6,0.531,0.757
WLD_001933,-32.3,113.8,2557,4.0761,4.8952,20.09,85.0,80.7,30556,2.45e-06,1.2,2.55,Fatigue Cracking,2557.0,0.084,0.524,0.775,0.776,0.9,160.1,0.608,0.639
WLD_001934,-25.1,110.7,9533,14.9687,20.0979,34.27,78.5,74.6,3644,2.89e-06,10.41,2.52,Fatigue Cracking,1884.4,1.0,0.35,0.686,0.773,2.57,73.3,0.564,0.627
WLD_001935,-27.8,87.3,1022,2.7223,3.1716,16.51,84.7,80.5,7568,7.5e-07,4.81,1.62,Mechanical Wear,1022.0,0.135,0.659,0.883,0.731,4.72,89.5,0.773,0.675
WLD_001936,-33.1,98.0,7935,2.756,3.7553,36.26,73.5,69.9,8889,1.49e-06,10.69,2.13,Thermal Degradation,2934.5,0.893,0.255,0.641,0.81,3.46,90.5,0.781,0.891
WLD_001937,-38.0,137.3,8546,1.1855,1.6404,38.37,80.5,76.5,3615,1.34e-06,7.3,1.77,Fatigue Cracking,2409.7,1.0,0.319,0.913,0.864,3.8,168.7,0.568,0.675
WLD_001938,-36.8,125.6,1432,2.6649,3.0153,13.15,97.4,92.5,17177,1.44e-06,6.19,1.89,Intermetallic Embrittlement,1432.0,0.083,0.506,0.603,0.942,3.4,73.0,0.553,0.853
WLD_001939,-31.8,120.3,8683,0.6108,0.8369,37.01,72.6,69.0,5363,1.02e-06,7.95,2.24,Thermal Degradation,1756.0,1.0,0.243,0.743,0.842,1.98,182.0,0.851,0.634
WLD_001940,-25.5,95.8,6124,59.2518,75.6826,27.73,82.4,78.3,2027,1.133e-05,5.83,4.55,Thermal Degradation,2008.8,1.0,0.385,0.968,0.842,0.4,194.5,0.643,0.806
WLD_001941,-29.4,128.2,3379,1.9557,2.1794,11.44,87.8,83.4,2716,1.14e-06,4.37,1.86,Oxidation,1472.2,1.0,0.675,0.721,0.807,0.8,166.3,0.63,0.915
WLD_001942,-24.5,144.5,9033,6.5951,8.5779,30.06,77.8,73.9,2168,3.45e-06,3.75,2.42,Fatigue Cracking,5484.7,1.0,0.389,0.903,0.916,3.42,61.6,0.578,0.614
WLD_001943,-35.4,123.9,5393,19.0703,22.7413,19.25,78.8,74.9,1383,2.38e-06,4.79,2.18,Thermal Degradation,752.4,1.0,0.451,0.846,0.828,0.11,160.8,0.897,0.715
WLD_001944,-23.6,91.4,4687,1.8745,2.1336,13.82,86.2,81.9,18814,9e-07,4.03,2.16,Interface Delamination,4687.0,0.249,0.493,0.965,0.847,3.96,67.3,0.77,0.825
WLD_001945,-33.9,89.9,2523,2.0873,2.4767,18.66,89.4,84.9,9236,9.2e-07,-2.26,1.45,Fatigue Cracking,2523.0,0.273,0.56,0.769,0.941,2.37,77.7,0.701,0.73
WLD_001946,-22.1,142.8,8645,9.2139,13.0219,41.33,75.9,72.1,3783,8.2e-07,11.88,2.37,Fatigue Cracking,732.8,1.0,0.266,0.693,0.777,4.97,150.8,0.885,0.722
WLD_001947,-35.3,108.3,3756,2.6254,3.1741,20.9,94.3,89.6,18732,1.46e-06,2.31,2.16,Oxidation,2124.9,0.201,0.613,0.629,0.924,2.92,178.4,0.601,0.855
WLD_001948,-27.0,96.2,6565,26.7344,35.4896,32.75,83.1,78.9,4485,3.16e-06,4.44,2.7,Fatigue Cracking,2047.2,1.0,0.388,0.769,0.71,2.47,186.8,0.685,0.942
WLD_001949,-20.7,144.8,7323,24.3497,31.6546,30.0,63.5,60.4,18720,2.9e-06,15.03,2.03,Thermal Degradation,6139.3,0.391,0.268,0.819,0.794,2.64,66.5,0.84,0.679
WLD_001950,-34.5,96.5,8877,7.4199,9.4461,27.31,77.9,74.0,6699,1.09e-06,1.12,2.46,Fatigue Cracking,3460.5,1.0,0.416,0.751,0.798,1.19,59.8,0.763,0.759
WLD_001951,-20.0,139.9,7611,1.387,1.7204,24.04,86.2,81.9,25250,9.7e-07,5.17,2.47,Fatigue Cracking,7611.0,0.301,0.491,0.626,0.716,4.87,137.6,0.799,0.821
WLD_001952,-28.1,101.0,6333,2.1456,2.6491,23.47,83.4,79.3,8647,1.4e-06,5.79,1.81,Fatigue Cracking,3483.1,0.732,0.483,0.868,0.894,4.63,181.2,0.829,0.663
WLD_001953,-31.8,105.3,5168,1.1008,1.2914,17.31,80.5,76.5,10972,1.44e-06,5.6,2.43,Thermal Degradation,5168.0,0.471,0.479,0.921,0.865,4.84,109.4,0.77,0.604
WLD_001954,-29.3,84.5,7177,1.3311,1.725,29.59,71.4,67.8,8470,1.66e-06,9.15,3.17,Fatigue Cracking,7177.0,0.847,0.361,0.75,0.873,0.75,111.4,0.735,0.721
WLD_001955,-24.8,136.7,8780,0.8341,1.0977,31.61,74.6,70.8,6080,6.8e-07,2.19,1.53,Fatigue Cracking,5008.6,1.0,0.357,0.789,0.925,4.37,178.9,0.526,0.738
WLD_001956,-26.3,132.9,5714,1.017,1.1647,14.52,79.3,75.3,5934,2.34e-06,5.05,2.3,Fatigue Cracking,2795.9,0.963,0.551,0.864,0.806,3.97,171.0,0.581,0.647
WLD_001957,-24.0,128.8,5506,5.7683,7.5683,31.2,74.1,70.4,3672,1.79e-06,5.52,1.69,Fatigue Cracking,1768.6,1.0,0.358,0.954,0.879,4.8,154.2,0.777,0.93
WLD_001958,-30.7,141.8,8753,4.631,6.5186,40.76,76.1,72.3,26643,1.42e-06,7.25,2.42,Fatigue Cracking,7942.2,0.329,0.273,0.887,0.753,0.4,112.5,0.698,0.702
WLD_001959,-21.4,143.5,270,0.0971,0.1123,15.64,93.4,88.7,7067,1.55e-06,4.97,1.54,Thermal Degradation,270.0,0.038,0.56,0.964,0.769,2.33,119.2,0.752,0.912
WLD_001960,-23.3,104.3,4036,14.2079,18.0093,26.76,88.1,83.7,16393,1.61e-06,9.36,2.63,Intermetallic Embrittlement,4036.0,0.246,0.323,0.881,0.719,0.57,180.6,0.884,0.656
WLD_001961,-21.5,119.2,1349,2.3418,2.7189,16.1,89.5,85.0,17718,2.53e-06,1.3,2.01,Intermetallic Embrittlement,1349.0,0.076,0.436,0.87,0.921,1.39,98.9,0.868,0.655
WLD_001962,-21.5,92.6,6776,4.3159,5.0399,16.78,72.6,69.0,30190,1.59e-06,5.28,1.85,Fatigue Cracking,6776.0,0.224,0.495,0.979,0.791,4.56,163.3,0.784,0.787
WLD_001963,-33.0,88.4,7330,4.5493,6.166,35.54,80.6,76.5,4984,1e-06,10.47,2.95,Fatigue Cracking,1919.5,1.0,0.347,0.774,0.917,2.62,162.4,0.578,0.794
WLD_001964,-20.1,100.3,1986,4.9933,5.873,17.62,79.7,75.7,10123,2.04e-06,7.42,1.99,Intermetallic Embrittlement,1986.0,0.196,0.373,0.727,0.719,3.46,65.5,0.855,0.839
WLD_001965,-26.8,80.1,2747,4.7569,5.928,24.62,79.1,75.2,24475,5.9e-07,11.19,1.71,Intermetallic Embrittlement,2747.0,0.112,0.3,0.701,0.788,0.22,99.6,0.605,0.726
WLD_001966,-25.5,133.8,4968,14.3293,19.6092,36.85,82.2,78.1,3628,3.02e-06,2.54,1.99,Interface Delamination,1231.6,1.0,0.243,0.675,0.913,1.96,128.6,0.505,0.81
WLD_001967,-28.5,100.9,9302,1.3652,1.6759,22.76,82.4,78.3,27770,9.3e-07,11.57,2.17,Fatigue Cracking,9302.0,0.335,0.485,0.888,0.76,3.02,69.3,0.662,0.731
