sample_id,anode_material,cathode_material,tab_thickness_um,anode_surface_finish,cathode_surface_finish,welding_technique,power_W,amplitude_um,force_N,time_s,speed_mm_s,pulse_frequency_Hz,preheat_temperature_C,ambient_temperature_C,ambient_humidity_percent,electrode_material,shielding_gas,surface_roughness_um
WLD_000749,Titanium,Copper,56.3,Passivated,Silver-plated,Resistance Spot Welding,5937.0,,3053.7,0.956,,,97.7,24.0,30.7,Graphite,Argon,2.25
WLD_000750,Aluminum,Steel,224.5,Electropolished,Bare,Electron Beam Welding,3235.0,,2190.0,0.388,61.9,404.8,145.8,30.4,53.9,Copper,Helium,1.0
WLD_000751,Copper,Nickel,72.4,Bare,Passivated,Cold Welding,565.7,64.5,1637.3,3.328,,143.7,142.2,34.5,68.1,Tungsten,Argon,1.06
WLD_000752,Titanium,Copper,214.6,Nickel-plated,Anodized,Laser Welding,539.1,,254.5,0.089,141.8,395.2,68.4,21.0,52.8,Graphite,Argon,0.22
WLD_000753,Copper,Nickel,390.4,Tin-plated,Nickel-plated,Ultrasonic Welding,2641.4,29.3,1588.1,0.376,,,84.0,28.4,49.7,Copper,Nitrogen,3.79
WLD_000754,Brass,Aluminum,253.2,Tin-plated,Anodized,Friction Stir Welding,3361.2,,1570.7,1.344,99.8,142.5,117.8,22.8,31.5,Molybdenum,None,0.32
WLD_000755,Aluminum,Steel,71.5,Oxide-cleaned,Bare,Electron Beam Welding,1158.4,,1955.1,0.632,71.3,247.9,120.3,33.1,30.1,Graphite,None,3.77
WLD_000756,Copper,Steel,249.1,Anodized,Passivated,Laser Welding,1054.6,,458.5,0.071,147.3,86.0,48.6,30.2,30.4,Tungsten,None,3.95
WLD_000757,Copper,Steel,219.6,Electropolished,Tin-plated,Ultrasonic Welding,933.4,23.6,876.1,0.763,,,119.3,24.0,34.8,Tungsten,Air,4.72
WLD_000758,Titanium,Copper,346.0,Passivated,Silver-plated,Resistance Spot Welding,3606.8,,3993.8,0.636,,,103.8,20.0,67.9,Tungsten,None,3.56
WLD_000759,Aluminum,Aluminum,336.0,Passivated,Oxide-cleaned,Electron Beam Welding,966.5,,1507.4,0.323,42.9,253.2,23.3,32.5,76.2,Copper,Air,1.22
WLD_000760,Copper,Steel,76.9,Oxide-cleaned,Oxide-cleaned,Laser Welding,1062.7,,483.2,0.058,179.1,651.2,81.8,26.0,72.7,Tungsten,Argon,1.53
WLD_000761,Aluminum,Steel,93.7,Electropolished,Passivated,Laser Welding,1382.6,,489.6,0.071,103.7,857.5,33.6,22.9,52.5,Copper,Argon,3.84
WLD_000762,Nickel,Copper,416.3,Electropolished,Anodized,Laser Welding,974.6,,58.0,0.068,92.2,817.0,45.5,29.0,40.3,Graphite,Nitrogen,0.42
WLD_000763,Brass,Aluminum,499.7,Passivated,Silver-plated,Laser Welding,1829.4,,152.1,0.046,113.3,101.1,141.2,19.4,48.7,Graphite,Helium,2.62
WLD_000764,Nickel,Copper,390.2,Electropolished,Silver-plated,Ultrasonic Welding,2548.1,13.2,1725.4,0.275,,,128.5,28.4,48.0,Copper,Argon,0.42
WLD_000765,Brass,Aluminum,109.4,Passivated,Bare,Resistance Spot Welding,4600.7,,3149.4,0.811,,,105.3,25.0,60.4,Graphite,None,4.23
WLD_000766,Aluminum,Aluminum,131.0,Oxide-cleaned,Anodized,Friction Stir Welding,969.4,86.6,276.3,0.577,,137.5,113.2,23.5,59.7,Graphite,None,2.13
WLD_000767,Copper,Nickel,425.5,Nickel-plated,Bare,Cold Welding,1074.3,,144.5,1.519,129.1,28.1,96.9,26.2,72.9,Copper,Nitrogen,1.29
WLD_000768,Copper,Aluminum,190.0,Nickel-plated,Tin-plated,Ultrasonic Welding,2872.9,43.0,768.1,1.821,,,147.6,22.4,47.5,Graphite,Argon,1.02
WLD_000769,Copper,Aluminum,443.7,Silver-plated,Bare,Resistance Spot Welding,2138.6,,2334.8,0.848,,,105.9,30.7,49.7,Tungsten,Air,4.47
WLD_000770,Brass,Aluminum,128.1,Nickel-plated,Anodized,Cold Welding,2698.5,,1202.6,4.735,,370.1,78.3,30.5,76.9,Graphite,Nitrogen,1.34
WLD_000771,Aluminum,Steel,316.5,Electropolished,Silver-plated,Electron Beam Welding,1720.9,91.1,435.6,2.878,,35.2,109.6,28.1,38.7,Molybdenum,Air,3.52
WLD_000772,Aluminum,Aluminum,450.8,Tin-plated,Tin-plated,Ultrasonic Welding,844.7,33.6,698.1,0.199,,,143.3,32.9,62.1,Molybdenum,Nitrogen,1.85
WLD_000773,Nickel,Copper,158.3,Anodized,Nickel-plated,Ultrasonic Welding,1134.2,45.0,1855.7,1.374,,,141.1,34.2,49.9,Tungsten,Helium,4.54
WLD_000774,Nickel,Copper,367.8,Oxide-cleaned,Nickel-plated,Friction Stir Welding,767.7,,2501.8,0.127,,,74.0,31.6,66.4,Graphite,Helium,4.63
WLD_000775,Aluminum,Aluminum,485.8,Nickel-plated,Silver-plated,Electron Beam Welding,2907.1,,2153.4,0.249,,,41.7,20.3,31.2,Copper,None,4.03
WLD_000776,Titanium,Copper,318.0,Anodized,Silver-plated,Ultrasonic Welding,2842.9,16.7,1463.5,1.534,,,31.6,31.8,73.1,Copper,Nitrogen,1.18
WLD_000777,Copper,Steel,200.6,Anodized,Nickel-plated,Resistance Spot Welding,4864.2,,2108.2,0.969,,,145.3,31.5,52.2,Tungsten,Helium,2.78
WLD_000778,Titanium,Copper,109.1,Tin-plated,Passivated,Friction Stir Welding,792.5,,1543.8,1.935,,,120.0,31.1,35.3,Copper,None,3.73
WLD_000779,Nickel,Copper,68.0,Anodized,Passivated,Resistance Spot Welding,4756.4,,4810.9,0.63,,,21.4,34.9,33.0,Graphite,Helium,0.33
WLD_000780,Titanium,Copper,213.0,Anodized,Tin-plated,Electron Beam Welding,3199.5,32.8,1984.5,3.226,,,76.4,32.9,58.5,Graphite,Argon,2.69
WLD_000781,Brass,Aluminum,477.5,Electropolished,Silver-plated,Electron Beam Welding,978.2,,1921.0,0.14,251.5,,78.2,31.2,72.6,Graphite,Air,1.69
WLD_000782,Aluminum,Steel,473.1,Passivated,Silver-plated,Electron Beam Welding,1377.7,70.4,2958.6,3.847,68.8,10.2,107.2,23.9,53.5,Tungsten,Argon,0.21
WLD_000783,Nickel,Copper,382.8,Passivated,Nickel-plated,Resistance Spot Welding,6824.3,,1894.3,0.949,,,43.4,29.4,63.1,Graphite,Helium,0.16
WLD_000784,Copper,Nickel,198.1,Anodized,Anodized,Ultrasonic Welding,1021.9,29.4,263.4,1.702,,,113.3,29.8,77.2,Tungsten,Nitrogen,2.82
WLD_000785,Titanium,Copper,176.0,Electropolished,Oxide-cleaned,Ultrasonic Welding,577.0,39.0,1820.4,1.612,,,95.9,34.8,63.6,Molybdenum,Nitrogen,1.49
WLD_000786,Copper,Aluminum,385.0,Anodized,Silver-plated,Friction Stir Welding,2562.2,,832.3,4.184,,,142.3,24.6,41.4,Tungsten,Argon,3.8
WLD_000787,Aluminum,Steel,53.6,Anodized,Tin-plated,Ultrasonic Welding,799.7,46.5,1996.1,0.443,,,25.0,32.2,43.8,Copper,Air,0.38
WLD_000788,Brass,Aluminum,350.6,Electropolished,Anodized,Resistance Spot Welding,1459.4,,2306.5,0.788,,,139.0,25.2,50.7,Copper,Air,0.15
WLD_000789,Titanium,Copper,248.1,Nickel-plated,Tin-plated,Ultrasonic Welding,2144.0,43.4,1160.9,0.159,,,80.0,27.2,53.1,Graphite,Air,0.19
WLD_000790,Aluminum,Steel,443.4,Silver-plated,Electropolished,Resistance Spot Welding,5678.6,,1526.8,0.386,,,145.2,23.9,47.4,Tungsten,Argon,4.86
WLD_000791,Copper,Aluminum,453.7,Electropolished,Passivated,Cold Welding,2366.9,,2496.1,2.029,,273.0,64.0,28.1,42.5,Graphite,Air,1.69
WLD_000792,Copper,Steel,469.7,Anodized,Passivated,Electron Beam Welding,541.9,15.8,459.4,1.535,,408.4,119.0,22.2,43.1,Graphite,None,4.41
WLD_000793,Copper,Nickel,74.0,Silver-plated,Nickel-plated,Laser Welding,936.7,,353.6,0.059,70.4,554.3,115.0,18.2,32.1,Copper,Argon,0.75
WLD_000794,Copper,Aluminum,234.6,Nickel-plated,Silver-plated,Cold Welding,951.1,16.0,118.2,0.303,47.0,34.1,34.1,25.9,55.4,Tungsten,Air,4.73
WLD_000795,Copper,Nickel,379.0,Silver-plated,Passivated,Electron Beam Welding,2631.7,86.8,89.0,3.438,,317.8,39.3,19.2,68.3,Tungsten,Air,1.38
WLD_000796,Brass,Aluminum,449.0,Oxide-cleaned,Bare,Ultrasonic Welding,1757.2,28.5,399.5,1.222,,,116.6,32.5,75.8,Graphite,Helium,4.02
WLD_000797,Aluminum,Aluminum,478.2,Tin-plated,Silver-plated,Cold Welding,3401.4,73.8,596.5,4.823,,9.5,36.6,34.5,69.1,Graphite,Nitrogen,3.87
WLD_000798,Copper,Nickel,57.9,Tin-plated,Anodized,Resistance Spot Welding,2708.7,,3780.6,0.478,,,147.6,33.7,47.5,Tungsten,Nitrogen,4.01
WLD_000799,Copper,Nickel,110.9,Silver-plated,Bare,Cold Welding,3028.4,,722.0,1.037,,302.6,109.5,26.2,44.1,Graphite,Argon,4.11
WLD_000800,Titanium,Copper,491.4,Nickel-plated,Tin-plated,Electron Beam Welding,845.2,63.1,2374.2,1.307,208.0,,90.9,25.7,37.4,Tungsten,Argon,2.16
WLD_000801,Nickel,Copper,431.4,Nickel-plated,Oxide-cleaned,Cold Welding,3581.9,33.2,2384.9,0.542,204.3,,108.8,28.1,59.0,Graphite,None,1.41
WLD_000802,Copper,Steel,167.1,Anodized,Tin-plated,Friction Stir Welding,2840.2,,1803.9,2.967,114.1,,62.9,20.2,70.4,Copper,Argon,3.21
WLD_000803,Brass,Aluminum,273.1,Nickel-plated,Electropolished,Friction Stir Welding,3622.8,,395.5,1.532,191.8,352.7,74.3,24.7,67.9,Tungsten,None,1.41
WLD_000804,Titanium,Copper,61.2,Oxide-cleaned,Silver-plated,Cold Welding,582.6,,956.1,4.53,75.1,,101.5,29.4,46.8,Copper,None,0.75
WLD_000805,Titanium,Copper,340.3,Anodized,Electropolished,Resistance Spot Welding,1410.1,,1469.7,0.999,,,76.3,21.1,65.1,Copper,Argon,3.66
WLD_000806,Aluminum,Steel,308.8,Bare,Passivated,Friction Stir Welding,1678.7,59.8,538.3,2.044,,,118.9,34.0,54.1,Molybdenum,Argon,2.14
WLD_000807,Brass,Aluminum,111.5,Bare,Silver-plated,Cold Welding,402.7,,848.7,4.997,,338.1,64.3,32.3,57.2,Tungsten,Argon,2.49
WLD_000808,Aluminum,Aluminum,200.9,Tin-plated,Passivated,Laser Welding,1869.1,,180.7,0.04,43.1,378.8,124.5,33.9,70.0,Tungsten,Helium,3.57
WLD_000809,Brass,Aluminum,147.3,Nickel-plated,Nickel-plated,Ultrasonic Welding,1419.8,23.5,579.6,1.195,,,145.3,19.6,40.0,Tungsten,None,0.72
WLD_000810,Brass,Aluminum,151.0,Nickel-plated,Silver-plated,Friction Stir Welding,2124.2,72.3,2506.6,0.651,147.0,,75.1,34.1,55.5,Tungsten,Nitrogen,4.77
WLD_000811,Brass,Aluminum,370.4,Bare,Oxide-cleaned,Friction Stir Welding,2780.7,58.7,2589.7,4.117,,207.1,53.0,25.3,73.5,Graphite,Air,1.39
WLD_000812,Aluminum,Aluminum,317.2,Passivated,Passivated,Electron Beam Welding,3271.9,73.8,1130.7,0.232,42.7,286.0,59.7,26.5,54.8,Tungsten,None,3.23
WLD_000813,Titanium,Copper,159.9,Anodized,Passivated,Electron Beam Welding,3180.9,49.9,2704.3,1.714,,398.5,86.9,21.7,36.5,Molybdenum,None,1.99
WLD_000814,Brass,Aluminum,193.2,Tin-plated,Nickel-plated,Resistance Spot Welding,3642.8,,4049.1,0.416,,,41.7,24.6,31.7,Tungsten,Helium,1.27
WLD_000815,Copper,Steel,409.5,Electropolished,Tin-plated,Cold Welding,3186.0,,160.6,4.593,,137.1,28.5,20.0,32.5,Copper,Nitrogen,3.83
WLD_000816,Brass,Aluminum,258.8,Silver-plated,Electropolished,Laser Welding,635.0,,38.8,0.015,142.8,23.5,131.3,31.1,64.7,Tungsten,Argon,0.7
WLD_000817,Brass,Aluminum,419.5,Electropolished,Passivated,Resistance Spot Welding,7206.1,,608.8,0.445,,,88.4,22.9,63.9,Copper,Nitrogen,1.97
WLD_000818,Copper,Steel,83.3,Nickel-plated,Oxide-cleaned,Friction Stir Welding,1831.4,,547.1,2.307,117.3,445.9,138.8,18.7,40.8,Tungsten,Air,3.51
WLD_000819,Copper,Aluminum,359.7,Oxide-cleaned,Anodized,Ultrasonic Welding,2710.4,39.9,1985.3,0.854,,,74.1,20.0,38.6,Molybdenum,Nitrogen,1.88
WLD_000820,Copper,Steel,123.9,Nickel-plated,Passivated,Ultrasonic Welding,2371.5,21.3,1644.5,0.325,,,118.3,25.6,34.9,Tungsten,Argon,0.95
WLD_000821,Copper,Steel,397.5,Nickel-plated,Silver-plated,Ultrasonic Welding,612.3,16.7,323.2,0.441,,,146.1,26.0,57.6,Molybdenum,Nitrogen,1.79
WLD_000822,Titanium,Copper,199.7,Oxide-cleaned,Silver-plated,Friction Stir Welding,3987.6,,1817.1,4.289,,204.5,46.8,19.3,50.1,Tungsten,None,1.34
WLD_000823,Nickel,Copper,123.9,Nickel-plated,Oxide-cleaned,Friction Stir Welding,2075.1,59.1,1261.0,1.003,42.5,,112.3,23.2,40.4,Copper,Nitrogen,2.3
WLD_000824,Nickel,Copper,173.5,Silver-plated,Oxide-cleaned,Ultrasonic Welding,2285.1,21.7,712.4,0.932,,,60.0,31.8,79.2,Copper,None,0.13
WLD_000825,Copper,Nickel,77.3,Passivated,Electropolished,Ultrasonic Welding,1833.3,44.3,1499.8,0.51,,,71.9,31.8,55.4,Molybdenum,Nitrogen,2.6
WLD_000826,Copper,Steel,83.5,Tin-plated,Oxide-cleaned,Resistance Spot Welding,2740.8,,2442.7,0.671,,,53.4,18.2,32.6,Copper,Air,0.14
WLD_000827,Titanium,Copper,484.0,Nickel-plated,Electropolished,Resistance Spot Welding,7907.6,,1877.0,0.215,,,90.9,29.5,72.9,Tungsten,None,2.85
WLD_000828,Nickel,Copper,367.0,Silver-plated,Bare,Electron Beam Welding,3509.1,60.0,1318.1,3.226,6.7,91.5,81.1,21.8,73.6,Tungsten,Nitrogen,0.75
WLD_000829,Nickel,Copper,401.1,Silver-plated,Anodized,Cold Welding,3974.0,15.9,2191.6,0.306,,,145.5,21.3,77.0,Graphite,Helium,1.28
WLD_000830,Copper,Nickel,149.9,Bare,Oxide-cleaned,Friction Stir Welding,2367.7,,1319.0,2.954,60.6,65.4,51.5,32.9,42.2,Molybdenum,Nitrogen,3.96
WLD_000831,Aluminum,Steel,397.3,Anodized,Nickel-plated,Cold Welding,580.2,78.9,325.3,0.905,,443.4,107.2,19.1,79.1,Graphite,Air,4.85
WLD_000832,Copper,Aluminum,488.1,Passivated,Electropolished,Electron Beam Welding,3079.1,16.4,1619.3,1.816,228.6,7.5,125.2,31.4,76.9,Graphite,Air,0.5
WLD_000833,Titanium,Copper,377.0,Oxide-cleaned,Anodized,Laser Welding,1975.1,,199.0,0.034,128.6,825.8,141.8,25.3,70.2,Copper,Nitrogen,4.3
WLD_000834,Copper,Nickel,365.0,Silver-plated,Oxide-cleaned,Friction Stir Welding,200.6,15.6,769.3,1.524,122.4,27.9,36.1,23.7,55.0,Graphite,None,0.43
WLD_000835,Nickel,Copper,302.3,Passivated,Nickel-plated,Resistance Spot Welding,1455.3,,4886.9,0.713,,,74.3,30.9,65.1,Graphite,Helium,2.44
WLD_000836,Copper,Steel,95.9,Anodized,Silver-plated,Electron Beam Welding,2492.6,,2762.8,4.579,262.8,122.4,129.5,21.9,71.2,Copper,Helium,0.6
WLD_000837,Copper,Steel,441.9,Bare,Anodized,Laser Welding,1410.7,,282.8,0.009,40.9,388.7,44.1,25.1,69.6,Molybdenum,Nitrogen,2.47
WLD_000838,Aluminum,Steel,175.0,Tin-plated,Bare,Electron Beam Welding,3466.2,83.5,1035.5,1.399,217.9,65.9,26.4,32.1,64.7,Graphite,None,0.53
WLD_000839,Copper,Steel,280.0,Nickel-plated,Silver-plated,Resistance Spot Welding,2104.8,,1117.5,0.63,,,136.8,27.3,69.7,Graphite,Argon,2.27
WLD_000840,Copper,Aluminum,92.7,Nickel-plated,Passivated,Ultrasonic Welding,2056.5,16.3,1735.1,0.95,,,139.2,22.7,53.4,Copper,Helium,2.91
WLD_000841,Aluminum,Steel,226.3,Silver-plated,Passivated,Cold Welding,2950.9,,106.3,0.219,252.1,203.0,24.0,34.8,78.4,Tungsten,Argon,2.75
WLD_000842,Nickel,Copper,86.0,Oxide-cleaned,Bare,Laser Welding,1104.5,,464.0,0.043,175.3,449.5,147.3,23.6,78.0,Molybdenum,Nitrogen,4.25
WLD_000843,Copper,Aluminum,168.5,Bare,Electropolished,Resistance Spot Welding,7369.7,,4620.2,0.396,,,111.7,31.7,63.8,Graphite,Air,2.6
WLD_000844,Aluminum,Steel,387.1,Electropolished,Passivated,Resistance Spot Welding,5871.2,,1636.7,0.962,,,23.9,21.7,77.9,Tungsten,Air,1.27
WLD_000845,Aluminum,Aluminum,388.6,Passivated,Nickel-plated,Laser Welding,1320.9,,229.0,0.079,14.6,610.8,115.0,29.5,79.7,Tungsten,None,0.63
WLD_000846,Brass,Aluminum,198.4,Passivated,Anodized,Laser Welding,1480.6,,254.9,0.041,86.8,227.1,22.3,21.6,58.7,Molybdenum,Nitrogen,0.71
WLD_000847,Aluminum,Aluminum,468.8,Nickel-plated,Tin-plated,Friction Stir Welding,1725.3,65.5,2918.8,0.388,,,82.0,30.3,76.0,Tungsten,Nitrogen,2.26
WLD_000848,Copper,Steel,393.9,Nickel-plated,Bare,Ultrasonic Welding,629.3,18.4,241.2,0.649,,,101.6,28.4,58.3,Tungsten,None,1.44
WLD_000849,Aluminum,Steel,397.6,Nickel-plated,Passivated,Resistance Spot Welding,5315.4,,1339.3,0.259,,,133.5,29.2,67.1,Copper,Nitrogen,1.38
WLD_000850,Copper,Aluminum,100.8,Nickel-plated,Tin-plated,Friction Stir Welding,1299.3,46.6,2906.3,4.773,280.1,447.8,50.7,30.8,47.3,Tungsten,Air,4.4
WLD_000851,Aluminum,Aluminum,254.2,Anodized,Bare,Resistance Spot Welding,3339.4,,2830.8,0.304,,,95.3,21.5,58.9,Tungsten,Nitrogen,3.2
WLD_000852,Copper,Aluminum,173.4,Electropolished,Bare,Resistance Spot Welding,6850.2,,1533.9,0.132,,,124.6,19.7,60.8,Tungsten,Nitrogen,2.32
WLD_000853,Copper,Nickel,128.8,Bare,Tin-plated,Electron Beam Welding,793.7,79.0,2223.3,3.467,,36.6,124.4,23.5,40.8,Tungsten,Nitrogen,4.21
WLD_000854,Copper,Nickel,219.6,Bare,Passivated,Resistance Spot Welding,2725.6,,4113.9,0.651,,,69.0,25.6,30.1,Tungsten,Nitrogen,1.89
WLD_000855,Brass,Aluminum,206.4,Electropolished,Electropolished,Ultrasonic Welding,2160.9,37.2,172.2,1.251,,,83.0,22.7,35.3,Tungsten,Air,3.06
WLD_000856,Copper,Steel,82.7,Tin-plated,Bare,Electron Beam Welding,2628.8,10.6,2723.0,0.985,,,145.5,33.5,72.6,Copper,None,1.53
WLD_000857,Copper,Nickel,486.3,Electropolished,Bare,Electron Beam Welding,695.7,11.5,87.1,4.496,108.8,,100.2,34.9,55.5,Molybdenum,Argon,2.51
WLD_000858,Aluminum,Steel,271.0,Passivated,Nickel-plated,Ultrasonic Welding,1874.8,23.2,421.0,0.987,,,33.0,24.4,46.8,Graphite,Helium,0.5
WLD_000859,Copper,Aluminum,432.6,Bare,Silver-plated,Electron Beam Welding,3913.3,,675.8,2.392,232.7,166.9,149.0,18.9,35.1,Tungsten,Argon,0.75
WLD_000860,Copper,Steel,101.0,Anodized,Bare,Ultrasonic Welding,522.8,41.0,1336.1,0.504,,,68.7,29.8,30.4,Tungsten,Helium,2.71
WLD_000861,Nickel,Copper,495.6,Bare,Oxide-cleaned,Laser Welding,929.9,,370.2,0.045,23.0,169.4,122.9,27.7,62.4,Tungsten,Nitrogen,4.21
WLD_000862,Titanium,Copper,368.2,Tin-plated,Anodized,Cold Welding,3015.1,68.8,1198.0,2.465,68.1,,57.9,31.0,68.3,Copper,Air,4.45
WLD_000863,Copper,Nickel,234.7,Oxide-cleaned,Electropolished,Laser Welding,498.7,,490.9,0.07,104.3,431.5,144.1,23.3,40.3,Tungsten,Air,2.4
WLD_000864,Nickel,Copper,173.3,Silver-plated,Electropolished,Ultrasonic Welding,1557.2,36.8,132.6,1.658,,,134.4,24.4,72.9,Graphite,None,2.16
WLD_000865,Copper,Steel,257.2,Passivated,Passivated,Laser Welding,920.2,,484.7,0.015,121.6,201.8,122.7,19.9,69.2,Tungsten,None,0.34
WLD_000866,Copper,Aluminum,493.5,Nickel-plated,Anodized,Friction Stir Welding,877.3,83.9,1256.0,3.479,,175.1,130.0,32.7,77.3,Tungsten,Argon,0.86
WLD_000867,Nickel,Copper,52.5,Silver-plated,Bare,Laser Welding,1346.7,,427.5,0.026,72.2,537.6,47.5,31.2,70.6,Copper,Nitrogen,3.9
WLD_000868,Copper,Aluminum,163.4,Silver-plated,Passivated,Ultrasonic Welding,2021.7,16.1,1678.1,0.775,,,56.6,18.9,72.0,Copper,Air,1.91
WLD_000869,Copper,Aluminum,124.4,Bare,Passivated,Laser Welding,221.5,,357.3,0.053,181.2,313.6,94.6,26.3,55.0,Graphite,Argon,0.18
WLD_000870,Copper,Aluminum,253.1,Silver-plated,Electropolished,Ultrasonic Welding,2206.9,47.6,1360.6,1.755,,,127.6,28.2,48.0,Copper,None,2.72
WLD_000871,Copper,Nickel,292.2,Bare,Tin-plated,Ultrasonic Welding,1259.6,31.6,460.6,0.455,,,95.0,20.0,64.3,Graphite,Helium,2.87
WLD_000872,Nickel,Copper,146.3,Passivated,Silver-plated,Laser Welding,439.3,,0.7,0.085,145.9,690.8,91.0,33.9,65.0,Graphite,None,1.4
WLD_000873,Aluminum,Steel,424.5,Oxide-cleaned,Silver-plated,Ultrasonic Welding,1794.0,44.4,1338.4,0.459,,,28.2,18.3,51.2,Graphite,Helium,1.73
WLD_000874,Copper,Nickel,186.8,Oxide-cleaned,Nickel-plated,Friction Stir Welding,2534.8,27.0,407.4,0.08,299.5,154.3,134.0,18.3,69.1,Copper,Nitrogen,1.57
WLD_000875,Nickel,Copper,211.2,Bare,Passivated,Cold Welding,1814.5,,558.0,3.823,234.4,,51.8,20.3,40.9,Graphite,Helium,3.07
WLD_000876,Copper,Aluminum,145.5,Oxide-cleaned,Oxide-cleaned,Laser Welding,1387.7,,273.0,0.041,91.9,58.4,79.1,24.6,69.8,Tungsten,Nitrogen,0.42
WLD_000877,Brass,Aluminum,61.4,Anodized,Passivated,Laser Welding,221.9,,113.1,0.079,162.8,207.9,63.7,19.3,36.7,Tungsten,Argon,3.31
WLD_000878,Copper,Steel,419.6,Passivated,Silver-plated,Resistance Spot Welding,6647.0,,574.4,0.268,,,105.1,34.7,48.8,Molybdenum,Air,4.79
WLD_000879,Copper,Steel,86.0,Nickel-plated,Electropolished,Resistance Spot Welding,7927.0,,1209.6,0.565,,,123.1,26.0,51.6,Tungsten,None,2.18
WLD_000880,Nickel,Copper,450.8,Oxide-cleaned,Passivated,Cold Welding,2663.0,,97.7,2.979,,,100.1,21.3,39.5,Copper,None,0.36
WLD_000881,Brass,Aluminum,231.7,Silver-plated,Oxide-cleaned,Electron Beam Welding,2714.7,29.2,313.3,0.439,,108.9,53.4,28.3,35.0,Copper,None,3.25
WLD_000882,Nickel,Copper,380.1,Silver-plated,Bare,Electron Beam Welding,1299.7,63.2,1616.5,3.431,265.0,389.3,52.3,33.3,63.9,Graphite,Helium,4.51
WLD_000883,Aluminum,Steel,76.8,Passivated,Anodized,Cold Welding,2706.2,52.0,967.2,2.543,,,32.8,19.6,58.6,Molybdenum,None,0.52
WLD_000884,Titanium,Copper,390.5,Silver-plated,Anodized,Resistance Spot Welding,1503.2,,3355.5,0.716,,,89.4,22.0,63.3,Molybdenum,Nitrogen,2.02
WLD_000885,Titanium,Copper,241.6,Nickel-plated,Nickel-plated,Ultrasonic Welding,1187.9,28.9,1573.1,1.623,,,104.4,27.8,53.4,Graphite,Helium,0.72
WLD_000886,Copper,Aluminum,253.0,Bare,Bare,Ultrasonic Welding,2839.5,41.1,388.8,0.431,,,33.1,30.0,66.9,Copper,None,2.66
WLD_000887,Copper,Aluminum,110.9,Passivated,Electropolished,Ultrasonic Welding,2302.6,35.7,1173.7,1.474,,,74.6,18.7,34.8,Tungsten,Argon,3.04
WLD_000888,Copper,Steel,382.2,Electropolished,Nickel-plated,Resistance Spot Welding,4939.6,,1753.2,0.186,,,41.4,32.3,38.7,Graphite,None,3.76
WLD_000889,Copper,Nickel,489.7,Silver-plated,Electropolished,Electron Beam Welding,397.7,,2068.0,0.472,,291.5,29.0,19.0,32.4,Graphite,Nitrogen,1.24
WLD_000890,Aluminum,Aluminum,465.9,Passivated,Nickel-plated,Friction Stir Welding,1725.1,88.2,1333.5,2.7,36.7,79.7,82.9,28.3,40.9,Molybdenum,Argon,0.35
WLD_000891,Aluminum,Steel,346.9,Tin-plated,Anodized,Cold Welding,3556.0,,707.2,0.684,,126.3,68.6,28.5,72.3,Molybdenum,Helium,3.61
WLD_000892,Aluminum,Steel,380.3,Anodized,Silver-plated,Ultrasonic Welding,2239.1,14.7,576.2,0.366,,,70.7,30.5,44.2,Graphite,Air,3.79
WLD_000893,Copper,Aluminum,374.7,Nickel-plated,Tin-plated,Cold Welding,3022.6,,197.4,3.069,,,103.3,19.6,51.8,Tungsten,Argon,3.91
WLD_000894,Copper,Steel,384.7,Passivated,Electropolished,Laser Welding,1690.9,,306.5,0.018,13.9,32.5,86.0,20.1,66.7,Copper,Helium,1.7
WLD_000895,Brass,Aluminum,148.0,Tin-plated,Passivated,Laser Welding,1931.2,,465.4,0.057,149.5,950.9,30.9,18.5,30.3,Tungsten,None,3.84
WLD_000896,Copper,Aluminum,452.6,Nickel-plated,Anodized,Cold Welding,1422.0,,376.6,4.069,241.6,396.7,107.2,29.3,63.5,Tungsten,Argon,0.84
WLD_000897,Aluminum,Aluminum,184.4,Oxide-cleaned,Oxide-cleaned,Friction Stir Welding,1251.2,29.6,962.4,0.85,178.0,410.3,64.6,21.4,39.7,Tungsten,None,3.11
WLD_000898,Titanium,Copper,266.6,Nickel-plated,Anodized,Electron Beam Welding,717.5,,1651.0,4.005,,227.5,66.7,21.0,44.6,Copper,None,2.51
WLD_000899,Copper,Steel,478.6,Bare,Oxide-cleaned,Resistance Spot Welding,3672.0,,2186.7,0.32,,,76.0,30.7,53.7,Tungsten,Air,1.26
WLD_000900,Aluminum,Steel,99.0,Tin-plated,Anodized,Electron Beam Welding,1291.9,33.3,213.7,0.063,,480.7,75.5,20.5,55.6,Molybdenum,Argon,1.53
WLD_000901,Nickel,Copper,470.0,Silver-plated,Anodized,Laser Welding,382.8,,396.6,0.06,29.1,946.8,30.1,25.2,61.3,Graphite,Air,1.14
WLD_000902,Aluminum,Steel,230.3,Tin-plated,Oxide-cleaned,Friction Stir Welding,2187.2,,2681.0,4.857,165.1,77.0,82.2,26.4,56.9,Molybdenum,Helium,0.72
WLD_000903,Aluminum,Aluminum,200.4,Passivated,Anodized,Resistance Spot Welding,1820.9,,3441.6,0.866,,,141.1,31.3,78.6,Molybdenum,Helium,2.06
WLD_000904,Copper,Steel,130.4,Tin-plated,Passivated,Resistance Spot Welding,5989.0,,4468.9,0.434,,,29.8,25.4,77.9,Copper,Helium,3.36
