sample_id,anode_material,cathode_material,tab_thickness_um,anode_surface_finish,cathode_surface_finish,welding_technique,power_W,amplitude_um,force_N,time_s,speed_mm_s,pulse_frequency_Hz,preheat_temperature_C,ambient_temperature_C,ambient_humidity_percent,electrode_material,shielding_gas,surface_roughness_um,weld_width_mm,weld_depth_mm,nugget_diameter_mm,tensile_strength_MPa,shear_strength_MPa,peel_strength_N_mm,contact_resistance_mohm,electrical_conductivity_MS_m,grain_size_um,porosity_percent,intermetallic_thickness_um,thermal_conductivity_W_mK,heat_affected_zone_mm,weld_quality_score,surface_roughness_post_weld_um,hardness_HV,crack_density_per_mm2,void_fraction_percent,oxidation_level,weld_penetration_percent,fusion_zone_area_mm2,min_cycle_temperature_C,max_cycle_temperature_C,total_cycles_tested,initial_contact_resistance_mohm,final_contact_resistance_mohm,resistance_drift_percent,tensile_strength_retention_percent,shear_strength_retention_percent,fatigue_life_cycles,crack_growth_rate_mm_cycle,thermal_expansion_mismatch_ppm_K,stress_concentration_factor,primary_failure_mode,time_to_failure_hours,cycle_life_score,reliability_score,temperature_stability_index,corrosion_resistance_score,dimensional_stability_um,interface_adhesion_strength_MPa,oxidation_resistance_score,creep_resistance_score
WLD_002199,Aluminum,Steel,484.2,Passivated,Nickel-plated,Friction Stir Welding,3935.4,15.8,826.5,2.601,59.5,,29.7,33.0,55.3,Copper,Helium,1.14,1.694,0.484,1.81,193.4,161.5,95.0,3.5102,17.64,34.1,1.09,8.39,20.7,1.535,0.56,0.87,279.6,0.201,1.228,Medium,76.8,0.644,-24.1,118.7,8708,3.5102,4.6024,31.11,75.2,71.5,16045,2.04e-06,13.6,1.71,Thermal Degradation,7321.0,0.543,0.315,0.962,0.83,3.03,189.6,0.634,0.792
WLD_002200,Aluminum,Aluminum,313.7,Tin-plated,Tin-plated,Electron Beam Welding,3183.3,,1221.9,4.924,182.7,475.6,78.5,29.4,36.8,Copper,Helium,3.52,1.575,0.314,3.465,97.7,83.3,95.6,1.8928,34.57,40.2,0.39,0.07,39.1,1.644,0.76,2.31,289.5,0.113,-0.138,Medium,64.4,0.388,-31.7,94.5,7901,1.8928,2.1374,12.92,77.1,73.3,17643,2.02e-06,0.13,2.01,Fatigue Cracking,6496.9,0.448,0.556,0.695,0.917,3.62,179.1,0.7,0.821
WLD_002201,Brass,Aluminum,285.6,Anodized,Nickel-plated,Resistance Spot Welding,2182.2,,4921.9,0.544,,,21.6,26.5,77.8,Graphite,Helium,2.79,1.004,0.286,5.32,77.8,50.3,333.2,1.2395,30.08,15.6,0.14,2.71,23.2,0.843,0.71,5.47,140.4,0.0,0.148,Medium,90.1,0.225,-23.5,115.0,7800,1.2395,1.5144,22.18,81.2,77.2,12071,1.14e-06,1.7,1.98,Fatigue Cracking,5283.8,0.646,0.484,0.852,0.909,2.52,54.7,0.753,0.655
WLD_002202,Aluminum,Steel,251.3,Passivated,Passivated,Cold Welding,332.0,27.4,1211.9,1.895,153.8,,126.3,19.5,32.4,Tungsten,Argon,3.47,0.649,0.251,1.104,50.0,35.9,65.0,7.7415,21.33,19.5,0.63,4.64,13.4,0.447,0.45,3.66,140.1,0.16,0.867,Low,70.6,0.128,-38.9,129.5,3676,7.7415,9.0897,17.41,75.1,71.4,1266,1.31e-06,14.85,1.45,Interface Delamination,1333.5,1.0,0.402,0.956,0.837,4.92,88.0,0.72,0.856
WLD_002203,Copper,Aluminum,373.5,Silver-plated,Oxide-cleaned,Electron Beam Welding,1042.9,33.0,2810.3,1.29,,,26.6,26.4,31.8,Copper,None,4.39,0.829,0.373,1.516,97.2,59.9,261.2,0.6001,47.17,19.2,0.42,3.99,37.1,0.693,0.7,2.4,111.5,0.233,0.619,Low,81.6,0.243,-32.5,112.4,4306,0.6001,0.7316,21.92,89.6,85.1,11796,1.54e-06,7.31,2.35,Oxidation,4306.0,0.365,0.579,0.979,0.93,1.69,51.8,0.566,0.896
WLD_002204,Aluminum,Aluminum,264.8,Tin-plated,Oxide-cleaned,Cold Welding,3853.4,,626.1,2.627,,452.0,31.3,33.5,72.3,Molybdenum,Argon,3.85,1.712,0.265,1.532,108.2,63.5,32.2,2.7757,33.08,31.6,1.05,0.14,29.8,1.592,0.71,3.7,103.1,0.0,0.838,Low,75.6,0.356,-27.3,82.9,3637,2.7757,3.2573,17.35,91.3,86.7,14152,8.7e-07,-0.16,2.44,Thermal Degradation,3637.0,0.257,0.533,0.824,0.835,1.83,120.4,0.716,0.82
WLD_002205,Nickel,Copper,190.8,Anodized,Oxide-cleaned,Laser Welding,178.1,,206.5,0.074,94.0,758.3,86.2,21.4,45.0,Graphite,None,4.72,0.537,0.191,2.271,50.0,32.6,10.6,31.0555,36.45,11.3,2.42,0.73,34.4,0.278,0.4,6.95,284.8,0.091,2.442,Low,70.6,0.08,-34.8,92.6,2119,31.0555,38.0861,22.64,93.1,88.4,3045,2.59e-06,7.0,1.97,Interface Delamination,2119.0,0.696,0.439,0.974,0.739,0.83,75.9,0.564,0.899
WLD_002206,Titanium,Copper,80.9,Tin-plated,Nickel-plated,Ultrasonic Welding,2004.2,37.0,1046.9,1.662,,,43.8,29.7,46.7,Graphite,Air,1.59,0.813,0.081,3.574,343.2,244.9,18.1,1.27,28.38,22.4,0.41,5.58,17.2,0.964,0.81,4.73,234.6,0.014,0.745,Low,64.8,0.052,-39.3,122.9,2966,1.27,1.4521,14.34,96.7,91.9,29905,1.28e-06,7.49,2.71,Intermetallic Embrittlement,2966.0,0.099,0.49,0.741,0.924,1.42,89.1,0.866,0.736
WLD_002207,Aluminum,Steel,331.6,Bare,Tin-plated,Electron Beam Welding,2953.7,18.5,1583.2,1.301,83.8,,101.1,18.4,55.5,Copper,Argon,4.07,1.413,0.332,1.756,227.9,173.1,128.4,8.4552,20.57,19.0,0.48,4.69,15.8,1.254,0.59,7.06,187.6,0.16,0.531,High,70.5,0.368,-24.5,106.2,7830,8.4552,11.658,37.88,81.0,77.0,27225,1.4e-06,12.28,1.93,Thermal Degradation,7830.0,0.288,0.276,0.882,0.848,0.1,64.5,0.641,0.784
WLD_002208,Nickel,Copper,172.3,Silver-plated,Oxide-cleaned,Electron Beam Welding,1162.0,,2875.3,1.842,,397.4,53.1,32.7,50.4,Tungsten,Helium,2.88,0.835,0.172,2.307,175.7,110.8,129.0,0.5771,32.57,21.5,0.19,5.04,25.8,0.817,0.75,1.49,174.4,0.001,0.339,Medium,97.3,0.113,-35.7,88.5,8087,0.5771,0.7155,23.99,79.2,75.2,20993,1.57e-06,2.35,2.24,Fatigue Cracking,8087.0,0.385,0.456,0.689,0.729,3.94,185.5,0.515,0.682
WLD_002209,Nickel,Copper,433.2,Silver-plated,Passivated,Cold Welding,1998.5,,2452.4,0.61,,352.8,73.4,20.2,66.8,Molybdenum,Nitrogen,4.15,1.146,0.433,1.105,166.2,126.1,254.6,1.1996,36.42,18.4,0.42,3.25,31.2,0.836,0.76,2.29,188.5,0.018,0.706,Medium,67.9,0.39,-37.2,119.4,9980,1.1996,1.5147,26.27,80.4,76.3,11463,1.02e-06,5.17,2.03,Fatigue Cracking,4352.4,0.871,0.439,0.911,0.731,3.82,84.5,0.751,0.865
WLD_002210,Copper,Steel,147.9,Oxide-cleaned,Bare,Resistance Spot Welding,2143.5,,2055.0,0.586,,,45.5,33.3,77.6,Tungsten,Nitrogen,2.85,1.255,0.148,3.577,181.0,143.5,72.6,1.6477,28.63,20.5,0.17,3.51,24.2,0.836,0.76,2.71,225.1,0.0,0.14,Low,72.9,0.146,-32.8,98.1,2037,1.6477,1.9232,16.72,86.5,82.1,24669,1.84e-06,6.19,2.01,Thermal Degradation,2037.0,0.083,0.515,0.881,0.777,0.81,180.8,0.742,0.931
WLD_002211,Copper,Nickel,282.8,Silver-plated,Passivated,Resistance Spot Welding,3841.9,,1384.5,0.653,,,149.2,27.4,48.3,Graphite,Air,4.34,1.723,0.283,3.901,197.6,127.6,91.0,2.2246,34.94,17.0,0.48,4.17,32.2,1.395,0.73,0.6,152.9,0.117,0.481,Low,70.2,0.383,-29.4,104.1,4023,2.2246,2.9012,30.41,86.5,82.2,12757,1.38e-06,2.47,1.85,Intermetallic Embrittlement,4023.0,0.315,0.278,0.688,0.94,4.57,51.6,0.502,0.729
WLD_002212,Copper,Nickel,480.8,Anodized,Electropolished,Friction Stir Welding,562.7,41.7,1615.7,3.28,,,79.9,18.8,43.3,Molybdenum,Helium,4.03,0.764,0.481,3.62,77.3,53.9,192.9,3.8916,35.53,29.9,0.18,7.61,29.6,0.716,0.52,6.17,273.0,0.069,-0.018,Low,67.2,0.289,-26.6,135.7,3083,3.8916,4.7204,21.3,91.2,86.7,1657,8.7e-07,2.88,1.45,Intermetallic Embrittlement,1204.9,1.0,0.393,0.68,0.709,3.49,190.2,0.621,0.86
WLD_002213,Copper,Nickel,117.9,Passivated,Electropolished,Friction Stir Welding,931.0,13.7,2610.7,0.496,,,33.5,29.7,56.2,Copper,None,3.51,0.838,0.118,3.414,58.6,39.1,62.8,1.6839,36.19,14.6,0.39,2.93,22.5,0.552,0.66,5.27,188.7,0.139,0.588,Medium,77.6,0.078,-31.5,87.0,5397,1.6839,1.867,10.87,82.0,77.9,8006,1.56e-06,0.16,2.47,Fatigue Cracking,3603.9,0.674,0.601,0.929,0.828,3.28,119.4,0.647,0.791
WLD_002214,Titanium,Copper,375.2,Nickel-plated,Anodized,Ultrasonic Welding,1468.9,20.1,1086.7,0.665,,,54.0,33.1,68.9,Tungsten,Nitrogen,3.92,0.793,0.375,2.705,194.2,101.8,105.3,2.8042,30.4,18.7,0.24,3.64,25.2,0.693,0.74,3.08,121.4,0.0,0.112,Low,97.3,0.234,-24.0,106.5,3425,2.8042,3.2172,14.73,89.5,85.0,20403,1.13e-06,7.05,1.76,Interface Delamination,3425.0,0.168,0.5,0.647,0.802,4.58,91.2,0.535,0.832
WLD_002215,Aluminum,Aluminum,372.7,Oxide-cleaned,Electropolished,Resistance Spot Welding,4434.6,,1026.0,0.761,,,129.1,20.9,61.8,Molybdenum,Air,3.88,1.784,0.373,3.979,58.6,54.1,108.5,4.3589,33.9,23.6,0.89,0.43,27.3,1.655,0.63,5.54,282.9,0.0,0.777,Low,92.5,0.522,-22.7,85.8,5914,4.3589,5.6658,29.98,90.0,85.5,12693,1.52e-06,2.2,2.27,Fatigue Cracking,3350.2,0.466,0.45,0.909,0.703,3.95,134.9,0.665,0.743
WLD_002216,Copper,Steel,366.4,Anodized,Tin-plated,Resistance Spot Welding,3607.8,,2330.2,0.438,,,106.6,18.3,47.9,Copper,None,1.2,1.494,0.366,4.308,120.9,92.5,184.0,0.6648,30.08,19.9,0.43,3.3,25.4,1.239,0.73,3.6,274.7,0.089,0.438,Low,72.3,0.43,-22.9,90.7,1433,0.6648,0.7309,9.94,81.8,77.7,23350,8.8e-07,5.66,1.84,Thermal Degradation,1433.0,0.061,0.56,0.9,0.75,1.91,65.4,0.503,0.764
WLD_002217,Copper,Aluminum,312.6,Passivated,Oxide-cleaned,Friction Stir Welding,1920.4,,1830.9,4.955,195.8,187.1,41.7,24.8,44.1,Graphite,Nitrogen,0.12,1.238,0.313,1.896,145.2,99.7,129.9,0.0657,48.0,38.3,0.23,11.44,36.5,1.334,0.61,6.53,221.8,0.0,-0.086,Low,97.9,0.304,-24.2,139.0,7706,0.0657,0.0866,31.87,80.1,76.1,7737,1.36e-06,10.19,1.94,Fatigue Cracking,5631.8,0.996,0.382,0.843,0.787,3.42,168.6,0.867,0.739
WLD_002218,Titanium,Copper,139.7,Passivated,Oxide-cleaned,Electron Beam Welding,3807.9,81.9,468.5,3.546,,158.4,62.5,18.2,75.9,Tungsten,Helium,1.02,1.772,0.14,2.606,327.6,210.1,23.6,4.3879,26.07,30.9,1.16,10.04,27.4,1.654,0.58,2.23,112.4,0.046,0.987,Low,78.1,0.194,-20.8,113.3,2726,4.3879,5.0335,14.71,93.6,88.9,39878,6.5e-07,5.39,2.82,Intermetallic Embrittlement,2726.0,0.068,0.471,0.748,0.875,0.34,198.8,0.672,0.948
WLD_002219,Copper,Nickel,341.4,Nickel-plated,Silver-plated,Resistance Spot Welding,2702.6,,4806.1,0.564,,,39.0,28.3,37.4,Tungsten,Helium,1.78,1.402,0.341,5.004,158.5,76.4,400.6,0.3511,33.07,18.9,0.39,3.24,34.6,0.986,0.77,6.38,109.9,0.025,0.173,Low,84.1,0.376,-21.3,116.6,4315,0.3511,0.4283,21.98,83.3,79.1,11870,1.04e-06,0.06,1.88,Oxidation,4315.0,0.364,0.547,0.735,0.829,0.42,117.6,0.584,0.676
WLD_002220,Copper,Steel,98.8,Bare,Electropolished,Resistance Spot Welding,6454.2,,4421.7,0.451,,,86.5,27.1,77.7,Molybdenum,Air,0.35,2.497,0.099,5.91,123.9,89.1,108.1,0.1237,29.25,22.6,0.39,5.59,26.4,2.192,0.69,0.75,228.8,0.13,0.367,Medium,75.0,0.194,-22.5,140.7,8459,0.1237,0.1716,38.69,78.2,74.3,13030,1.97e-06,3.59,3.77,Fatigue Cracking,4624.9,0.649,0.304,0.938,0.941,4.33,107.8,0.764,0.861
WLD_002221,Nickel,Copper,273.7,Anodized,Oxide-cleaned,Friction Stir Welding,3867.2,,2864.7,0.748,61.6,,121.3,18.1,48.9,Copper,Argon,1.22,1.719,0.274,2.657,221.4,164.0,198.9,0.6038,30.13,22.2,0.29,4.43,35.1,1.371,0.79,5.16,142.7,0.032,0.206,Medium,95.0,0.369,-29.8,122.8,5554,0.6038,0.7996,32.43,81.1,77.1,15024,1.72e-06,0.79,2.05,Fatigue Cracking,5554.0,0.37,0.381,0.626,0.787,3.65,109.0,0.661,0.73
WLD_002222,Copper,Steel,262.5,Nickel-plated,Oxide-cleaned,Resistance Spot Welding,2869.7,,2268.6,0.368,,,103.7,26.1,35.1,Tungsten,None,2.79,1.404,0.263,3.992,116.7,85.2,124.4,0.8646,31.28,14.6,0.11,3.45,28.5,1.087,0.73,4.26,225.0,0.0,-0.04,Low,64.0,0.289,-37.5,86.8,1365,0.8646,0.9305,7.63,100.0,95.0,19822,2.01e-06,4.96,1.88,Thermal Degradation,1365.0,0.069,0.674,0.796,0.893,4.45,192.3,0.736,0.707
WLD_002223,Copper,Nickel,89.9,Bare,Electropolished,Resistance Spot Welding,1126.4,,4334.7,0.78,,,43.9,25.2,48.1,Tungsten,Helium,4.49,0.847,0.09,4.636,127.5,93.4,106.6,1.8013,36.32,15.3,0.37,3.28,35.6,0.63,0.71,7.76,291.2,0.121,0.154,High,67.9,0.06,-25.8,133.5,1039,1.8013,2.0215,12.23,96.6,91.7,11879,7.4e-07,1.83,2.23,Mechanical Wear,1039.0,0.087,0.761,0.604,0.903,4.86,89.1,0.781,0.694
WLD_002224,Brass,Aluminum,395.2,Silver-plated,Bare,Resistance Spot Welding,3683.1,,2390.7,0.374,,,32.2,23.1,35.7,Copper,None,0.76,1.653,0.395,4.306,50.0,43.4,226.5,0.2319,28.82,18.8,0.35,3.57,21.1,1.405,0.68,1.36,94.3,0.007,0.294,Low,96.2,0.513,-29.5,85.4,3450,0.2319,0.2797,20.61,85.1,80.8,5333,1.85e-06,6.1,2.05,Thermal Degradation,3450.0,0.647,0.469,0.768,0.848,3.48,149.8,0.716,0.654
WLD_002225,Aluminum,Steel,107.2,Tin-plated,Oxide-cleaned,Ultrasonic Welding,2514.9,48.2,585.0,1.729,,,120.6,24.5,63.6,Tungsten,Air,4.87,0.916,0.107,3.888,331.9,159.3,29.8,10.9708,21.17,25.1,1.08,5.85,20.3,1.145,0.55,5.64,149.5,0.175,1.266,Medium,69.4,0.077,-22.3,83.7,2180,10.9708,12.1084,10.37,93.6,88.9,54454,1.58e-06,11.29,2.41,Intermetallic Embrittlement,2180.0,0.04,0.514,0.832,0.77,4.83,172.1,0.738,0.696
WLD_002226,Nickel,Copper,419.1,Passivated,Nickel-plated,Laser Welding,823.5,,95.2,0.049,185.9,172.2,130.3,20.3,50.9,Molybdenum,Air,3.59,0.638,0.419,2.21,50.0,35.0,-2.0,59.8321,38.09,14.7,5.4,1.75,23.9,0.443,0.25,1.19,195.7,0.534,5.209,Low,94.7,0.21,-36.3,86.5,5079,59.8321,76.6571,28.12,87.6,83.2,3954,3.27e-06,0.69,2.16,Fatigue Cracking,1240.9,1.0,0.457,0.957,0.819,1.42,174.5,0.737,0.697
WLD_002227,Brass,Aluminum,225.7,Silver-plated,Nickel-plated,Cold Welding,1051.0,43.5,1024.4,4.368,284.7,,138.6,20.6,66.8,Graphite,Air,0.23,0.857,0.226,3.345,84.4,56.6,64.9,0.1897,31.35,33.9,0.64,9.95,27.5,0.996,0.53,2.11,221.5,0.102,0.781,Medium,70.3,0.152,-20.5,100.6,6784,0.1897,0.2504,31.98,86.4,82.1,10680,1.7e-06,2.56,2.04,Fatigue Cracking,3977.1,0.635,0.412,0.815,0.869,1.63,162.0,0.807,0.685
WLD_002228,Aluminum,Aluminum,334.6,Bare,Silver-plated,Friction Stir Welding,855.6,22.0,2842.6,3.391,,,106.2,30.5,53.8,Copper,Argon,3.32,0.839,0.335,1.737,50.0,31.2,255.2,1.6947,36.3,27.7,0.02,0.35,32.5,0.773,0.74,7.86,151.0,0.189,-0.37,Low,92.5,0.22,-35.5,127.1,9966,1.6947,2.3894,40.99,74.3,70.6,5378,3.5e-07,4.78,1.89,Fatigue Cracking,693.2,1.0,0.261,0.902,0.783,0.31,97.6,0.67,0.759
WLD_002229,Copper,Aluminum,364.8,Tin-plated,Tin-plated,Ultrasonic Welding,2070.6,12.0,1978.6,0.398,,,113.3,23.0,56.6,Molybdenum,Argon,0.97,0.655,0.365,3.757,62.2,38.8,177.6,0.1732,42.11,18.3,0.3,3.22,41.0,0.875,0.7,2.75,265.8,0.0,0.083,Medium,82.0,0.188,-31.2,104.9,4178,0.1732,0.2163,24.89,88.2,83.8,7701,4.7e-07,5.05,1.85,Intermetallic Embrittlement,4178.0,0.543,0.342,0.777,0.747,3.52,132.9,0.681,0.849
WLD_002230,Copper,Steel,467.5,Oxide-cleaned,Oxide-cleaned,Cold Welding,1438.1,,855.2,2.668,,,44.4,28.7,75.9,Copper,Nitrogen,1.9,1.013,0.468,2.536,200.3,159.9,104.2,5.5736,27.88,25.3,0.5,6.65,28.8,0.859,0.59,3.69,294.8,0.009,0.34,Low,72.3,0.372,-37.6,137.9,8608,5.5736,6.4189,15.17,78.8,74.9,10469,1.31e-06,3.95,1.56,Fatigue Cracking,5350.8,0.822,0.543,0.616,0.745,0.17,193.7,0.602,0.776
WLD_002231,Copper,Nickel,185.0,Silver-plated,Oxide-cleaned,Laser Welding,1872.1,,312.9,0.091,11.0,890.7,113.8,22.5,38.6,Graphite,Nitrogen,1.82,0.772,0.185,2.756,50.0,39.0,22.2,4.1331,35.63,13.2,1.35,2.55,22.6,0.709,0.56,7.21,147.1,0.136,1.444,Low,86.4,0.112,-29.0,133.6,9406,4.1331,5.723,38.47,77.7,73.8,1339,2.28e-06,2.73,1.96,Fatigue Cracking,1242.0,1.0,0.304,0.929,0.779,1.46,57.5,0.82,0.609
WLD_002232,Copper,Aluminum,406.0,Nickel-plated,Oxide-cleaned,Cold Welding,3176.2,,1572.7,3.448,,,104.8,26.4,62.8,Tungsten,Argon,3.62,1.543,0.406,3.691,147.5,107.2,148.5,1.3063,45.97,30.2,0.35,9.28,36.3,1.604,0.59,3.31,110.1,0.096,0.237,Low,63.3,0.492,-20.4,139.7,144,1.3063,1.4186,8.6,94.4,89.7,7142,1.83e-06,4.23,2.08,Intermetallic Embrittlement,144.0,0.02,0.536,0.696,0.823,3.15,71.0,0.743,0.619
WLD_002233,Nickel,Copper,381.2,Anodized,Bare,Cold Welding,206.4,33.7,277.8,4.279,,,84.3,34.7,36.5,Copper,Helium,0.35,0.657,0.381,3.857,50.0,32.3,24.0,1.5886,34.5,32.7,1.69,9.92,30.1,0.692,0.42,0.68,289.1,0.393,1.467,Low,68.8,0.197,-26.6,128.3,9516,1.5886,2.2535,41.85,67.7,64.3,1490,2.56e-06,2.22,2.03,Fatigue Cracking,1171.6,1.0,0.22,0.963,0.828,2.7,111.1,0.549,0.675
WLD_002234,Brass,Aluminum,387.0,Passivated,Oxide-cleaned,Laser Welding,691.2,,34.9,0.002,63.7,474.3,20.1,23.7,59.1,Copper,Argon,1.38,0.677,0.387,1.5,50.0,38.0,-9.6,61.0426,27.53,12.2,14.42,1.02,34.8,0.41,0.27,1.74,254.6,1.522,14.211,Low,63.6,0.206,-37.8,128.6,1509,61.0426,72.8287,19.31,90.4,85.9,1482,6.75e-06,3.32,2.9,Interface Delamination,546.2,1.0,0.459,0.876,0.908,4.87,146.1,0.847,0.947
WLD_002235,Copper,Steel,267.6,Passivated,Bare,Ultrasonic Welding,2726.6,25.6,246.2,0.538,,,60.3,18.4,68.5,Copper,None,2.1,0.881,0.268,3.107,171.7,107.2,19.6,12.0274,27.67,15.9,2.09,3.14,25.2,1.118,0.46,1.65,252.2,0.112,2.406,Medium,86.1,0.185,-23.7,122.5,944,12.0274,14.6855,22.1,80.7,76.7,9397,2.76e-06,7.81,2.04,Interface Delamination,944.0,0.1,0.383,0.757,0.855,2.71,82.3,0.556,0.619
WLD_002236,Titanium,Copper,365.8,Anodized,Oxide-cleaned,Electron Beam Welding,968.3,57.7,272.3,2.309,,,56.0,18.1,41.2,Molybdenum,Air,2.24,0.87,0.366,3.253,162.3,81.9,16.7,12.5886,30.7,27.2,1.54,6.17,31.8,0.754,0.4,5.71,187.7,0.305,1.513,Low,84.7,0.25,-24.8,141.9,408,12.5886,16.7928,33.4,95.3,90.5,1482,2.71e-06,6.85,1.69,Intermetallic Embrittlement,408.0,0.275,0.292,0.907,0.722,1.27,86.5,0.531,0.633
WLD_002237,Copper,Aluminum,125.5,Passivated,Nickel-plated,Ultrasonic Welding,2577.5,39.1,340.5,1.366,,,110.2,22.5,68.2,Molybdenum,Helium,3.13,0.932,0.126,1.875,151.3,109.7,16.8,10.9487,44.97,23.9,1.05,4.83,45.9,1.042,0.45,4.61,91.8,0.128,1.131,Low,86.3,0.092,-25.7,100.4,1968,10.9487,13.4667,23.0,90.3,85.8,17377,1.84e-06,9.01,2.06,Interface Delamination,1968.0,0.113,0.422,0.702,0.796,2.54,120.4,0.887,0.871
WLD_002238,Aluminum,Aluminum,257.6,Anodized,Electropolished,Laser Welding,1794.0,,422.8,0.041,15.8,447.2,43.5,24.7,37.1,Molybdenum,Argon,4.79,0.762,0.258,3.541,50.0,35.3,23.7,13.9352,34.37,14.6,0.99,0.04,39.2,0.763,0.49,1.52,139.2,0.0,0.661,Medium,62.5,0.154,-38.3,108.9,9867,13.9352,17.8852,28.35,76.3,72.5,5026,1.68e-06,0.22,1.53,Thermal Degradation,1071.4,1.0,0.348,0.909,0.814,3.37,152.1,0.59,0.757
WLD_002239,Brass,Aluminum,486.3,Electropolished,Passivated,Cold Welding,2817.5,,1663.1,3.877,211.1,,31.5,21.7,66.6,Graphite,None,1.77,1.335,0.486,3.445,157.8,100.5,208.8,1.7988,30.8,33.1,0.16,9.76,22.2,1.411,0.58,7.08,286.2,0.0,0.244,Medium,74.9,0.51,-25.3,89.8,9144,1.7988,2.5515,41.85,78.9,74.9,17055,1.05e-06,6.12,1.76,Fatigue Cracking,8067.0,0.536,0.276,0.651,0.935,1.83,137.0,0.898,0.768
WLD_002240,Aluminum,Steel,431.0,Electropolished,Nickel-plated,Friction Stir Welding,3787.6,,1238.9,0.351,,,100.6,26.7,69.0,Graphite,Air,0.16,1.609,0.431,2.643,75.8,60.5,135.5,0.3367,20.22,18.6,0.0,3.48,17.6,1.296,0.72,3.16,189.8,0.0,0.13,Medium,84.1,0.544,-33.2,101.4,8983,0.3367,0.4714,40.01,86.3,82.0,11902,1.49e-06,12.72,1.63,Fatigue Cracking,4685.7,0.755,0.332,0.911,0.913,1.48,142.1,0.663,0.634
WLD_002241,Copper,Aluminum,294.0,Anodized,Silver-plated,Resistance Spot Welding,4098.1,,4429.2,0.969,,,53.2,29.1,33.4,Graphite,Argon,4.34,1.743,0.294,5.555,138.0,94.9,327.4,1.4468,42.46,24.1,0.27,5.13,43.2,1.6,0.69,7.39,199.0,0.034,0.181,Low,95.4,0.402,-33.9,98.1,3669,1.4468,1.7622,21.8,83.7,79.5,16940,7.3e-07,7.22,2.18,Intermetallic Embrittlement,3669.0,0.217,0.351,0.892,0.844,1.68,172.1,0.767,0.657
WLD_002242,Copper,Steel,398.9,Anodized,Silver-plated,Cold Welding,3078.7,,2223.0,4.407,139.1,50.8,33.2,29.1,57.4,Copper,Helium,4.12,1.495,0.399,3.271,319.2,200.3,219.9,2.4584,28.22,39.2,0.08,11.43,26.7,1.58,0.68,4.61,245.8,0.224,0.193,Low,77.2,0.468,-36.5,92.2,7506,2.4584,3.2165,30.84,76.7,72.8,44528,1.99e-06,6.41,1.97,Fatigue Cracking,7506.0,0.169,0.375,0.673,0.851,2.58,129.0,0.726,0.771
WLD_002243,Titanium,Copper,320.9,Anodized,Nickel-plated,Ultrasonic Welding,1614.0,37.5,1021.7,0.771,,,101.4,28.8,68.5,Molybdenum,Argon,1.93,0.785,0.321,2.879,201.8,159.8,90.7,2.2799,27.36,20.4,0.41,2.86,24.0,0.781,0.77,1.91,82.6,0.103,0.518,Low,66.9,0.198,-39.8,142.6,1970,2.2799,2.5708,12.76,89.5,85.1,7660,1.48e-06,10.28,1.6,Intermetallic Embrittlement,1970.0,0.257,0.47,0.612,0.902,3.01,136.2,0.736,0.746
WLD_002244,Aluminum,Steel,315.6,Electropolished,Anodized,Ultrasonic Welding,2869.7,31.5,644.2,0.773,,,99.7,27.2,47.6,Tungsten,Argon,1.8,0.882,0.316,3.414,210.6,126.0,75.9,6.0447,21.73,21.4,1.42,4.06,21.6,1.154,0.6,1.8,195.6,0.027,1.357,Low,78.6,0.218,-25.4,90.2,4935,6.0447,7.2954,20.69,88.8,84.4,35980,2.11e-06,12.57,1.58,Interface Delamination,4935.0,0.137,0.437,0.843,0.779,1.76,77.5,0.799,0.651
WLD_002245,Nickel,Copper,409.7,Bare,Silver-plated,Friction Stir Welding,3898.1,,294.7,3.522,10.6,16.7,144.9,21.2,64.8,Molybdenum,Air,2.89,1.747,0.41,3.102,282.8,219.5,51.0,12.8282,33.97,35.6,1.44,9.45,34.6,1.769,0.43,7.26,208.6,0.137,1.239,Low,66.5,0.562,-35.3,148.3,1161,12.8282,14.9794,16.77,88.7,84.3,8203,1.76e-06,1.72,2.24,Intermetallic Embrittlement,1161.0,0.142,0.426,0.897,0.732,1.58,147.4,0.686,0.689
WLD_002246,Aluminum,Steel,50.2,Silver-plated,Electropolished,Resistance Spot Welding,3747.7,,4298.4,0.588,,,81.2,19.8,64.9,Molybdenum,None,4.1,1.608,0.05,5.356,163.2,131.8,41.0,0.8956,19.2,18.8,0.0,3.8,16.6,1.291,0.77,1.25,244.9,0.0,0.053,Low,94.0,0.063,-25.0,124.6,4570,0.8956,1.0523,17.49,87.8,83.4,19169,9.8e-07,12.01,4.8,Mechanical Wear,4570.0,0.238,0.664,0.895,0.935,0.5,82.0,0.763,0.898
WLD_002247,Aluminum,Steel,236.5,Tin-plated,Silver-plated,Cold Welding,1391.0,,1297.0,4.935,,268.1,120.2,28.3,55.9,Graphite,Argon,0.6,1.018,0.236,1.317,159.1,138.3,81.9,0.5454,21.37,38.9,0.1,11.22,19.3,1.125,0.61,0.75,82.0,0.0,-0.009,Low,75.0,0.189,-29.3,128.6,6499,0.5454,0.6639,21.73,84.0,79.8,6216,2.3e-06,16.94,2.16,Fatigue Cracking,6499.0,1.0,0.503,0.955,0.733,3.02,105.5,0.71,0.937
