date,total_demand_mw,available_supply_mw,load_shedding_mw,supply_factor,lagos_demand_mw,abuja_demand_mw,kano_demand_mw,rivers_demand_mw,oyo_demand_mw,kaduna_demand_mw,other_states_demand_mw
2024-09-06,4326.5,2945.03,1381.47,0.681,1081.63,648.98,519.18,432.65,346.12,302.86,995.1
2024-09-07,3520.17,2607.8,912.37,0.741,880.04,528.03,422.42,352.02,281.61,246.41,809.64
2024-09-08,3753.15,2411.75,1341.4,0.643,938.29,562.97,450.38,375.32,300.25,262.72,863.23
2024-09-09,4049.98,2747.7,1302.28,0.678,1012.5,607.5,486.0,405.0,324.0,283.5,931.5
2024-09-10,3013.67,2071.88,941.79,0.687,753.42,452.05,361.64,301.37,241.09,210.96,693.14
2024-09-11,3553.14,2497.14,1056.0,0.703,888.29,532.97,426.38,355.31,284.25,248.72,817.22
2024-09-12,3908.12,2957.4,950.73,0.757,977.03,586.22,468.97,390.81,312.65,273.57,898.87
2024-09-13,4234.78,3271.25,963.53,0.772,1058.69,635.22,508.17,423.48,338.78,296.43,974.0
2024-09-14,2821.67,2228.85,592.82,0.79,705.42,423.25,338.6,282.17,225.73,197.52,648.98
2024-09-15,2712.65,1876.69,835.97,0.692,678.16,406.9,325.52,271.27,217.01,189.89,623.91
2024-09-16,3608.7,2872.55,736.15,0.796,902.17,541.3,433.04,360.87,288.7,252.61,830.0
2024-09-17,2875.63,2089.66,785.97,0.727,718.91,431.34,345.08,287.56,230.05,201.29,661.39
2024-09-18,3589.31,2325.98,1263.33,0.648,897.33,538.4,430.72,358.93,287.15,251.25,825.54
2024-09-19,3751.0,2387.04,1363.95,0.636,937.75,562.65,450.12,375.1,300.08,262.57,862.73
2024-09-20,3275.57,2191.79,1083.77,0.669,818.89,491.33,393.07,327.56,262.05,229.29,753.38
2024-09-21,3231.0,2369.98,861.02,0.734,807.75,484.65,387.72,323.1,258.48,226.17,743.13
2024-09-22,3559.51,2258.38,1301.13,0.634,889.88,533.93,427.14,355.95,284.76,249.17,818.69
2024-09-23,3416.68,2170.97,1245.71,0.635,854.17,512.5,410.0,341.67,273.33,239.17,785.84
2024-09-24,3320.15,2050.99,1269.16,0.618,830.04,498.02,398.42,332.02,265.61,232.41,763.64
2024-09-25,3565.83,2286.65,1279.18,0.641,891.46,534.87,427.9,356.58,285.27,249.61,820.14
2024-09-26,3230.01,2173.32,1056.68,0.673,807.5,484.5,387.6,323.0,258.4,226.1,742.9
2024-09-27,4309.54,2619.61,1689.93,0.608,1077.39,646.43,517.15,430.95,344.76,301.67,991.2
2024-09-28,3252.34,2471.39,780.94,0.76,813.08,487.85,390.28,325.23,260.19,227.66,748.04
2024-09-29,3013.63,2334.71,678.92,0.775,753.41,452.04,361.64,301.36,241.09,210.95,693.14
2024-09-30,3677.11,2883.5,793.61,0.784,919.28,551.57,441.25,367.71,294.17,257.4,845.74
2024-10-01,3559.57,2709.69,849.88,0.761,889.89,533.94,427.15,355.96,284.77,249.17,818.7
2024-10-02,3520.65,2639.27,881.39,0.75,880.16,528.1,422.48,352.07,281.65,246.45,809.75
2024-10-03,3409.66,2298.43,1111.23,0.674,852.41,511.45,409.16,340.97,272.77,238.68,784.22
2024-10-04,3394.03,2365.32,1028.72,0.697,848.51,509.1,407.28,339.4,271.52,237.58,780.63
2024-10-05,2750.92,1905.03,845.89,0.693,687.73,412.64,330.11,275.09,220.07,192.56,632.71
2024-10-06,3686.62,2763.1,923.52,0.749,921.66,552.99,442.39,368.66,294.93,258.06,847.92
2024-10-07,3813.06,2678.05,1135.01,0.702,953.27,571.96,457.57,381.31,305.05,266.91,877.0
2024-10-08,3719.27,2627.38,1091.89,0.706,929.82,557.89,446.31,371.93,297.54,260.35,855.43
2024-10-09,3562.89,2517.27,1045.63,0.707,890.72,534.43,427.55,356.29,285.03,249.4,819.47
2024-10-10,3266.3,2118.18,1148.12,0.648,816.58,489.95,391.96,326.63,261.3,228.64,751.25
2024-10-11,3340.63,2017.79,1322.84,0.604,835.16,501.09,400.88,334.06,267.25,233.84,768.34
2024-10-12,2792.18,1855.17,937.01,0.664,698.04,418.83,335.06,279.22,223.37,195.45,642.2
2024-10-13,3047.29,1901.37,1145.93,0.624,761.82,457.09,365.68,304.73,243.78,213.31,700.88
2024-10-14,3231.43,2514.39,717.04,0.778,807.86,484.71,387.77,323.14,258.51,226.2,743.23
2024-10-15,4238.86,3212.35,1026.51,0.758,1059.71,635.83,508.66,423.89,339.11,296.72,974.94
2024-10-16,3950.94,2764.43,1186.51,0.7,987.74,592.64,474.11,395.09,316.08,276.57,908.72
2024-10-17,3663.11,2627.8,1035.31,0.717,915.78,549.47,439.57,366.31,293.05,256.42,842.51
2024-10-18,3325.93,2491.42,834.52,0.749,831.48,498.89,399.11,332.59,266.07,232.82,764.96
2024-10-19,2939.46,1930.51,1008.96,0.657,734.87,440.92,352.74,293.95,235.16,205.76,676.08
2024-10-20,3221.56,2166.87,1054.69,0.673,805.39,483.23,386.59,322.16,257.72,225.51,740.96
2024-10-21,3992.57,2679.89,1312.68,0.671,998.14,598.89,479.11,399.26,319.41,279.48,918.29
2024-10-22,4358.31,3474.89,883.42,0.797,1089.58,653.75,523.0,435.83,348.66,305.08,1002.41
2024-10-23,3152.61,1955.74,1196.87,0.62,788.15,472.89,378.31,315.26,252.21,220.68,725.1
2024-10-24,3877.8,2445.23,1432.57,0.631,969.45,581.67,465.34,387.78,310.22,271.45,891.89
2024-10-25,3438.03,2191.1,1246.93,0.637,859.51,515.7,412.56,343.8,275.04,240.66,790.75
2024-10-26,3153.82,2072.12,1081.7,0.657,788.46,473.07,378.46,315.38,252.31,220.77,725.38
2024-10-27,3337.41,2276.38,1061.03,0.682,834.35,500.61,400.49,333.74,266.99,233.62,767.61
2024-10-28,3390.0,2700.05,689.95,0.796,847.5,508.5,406.8,339.0,271.2,237.3,779.7
2024-10-29,3615.82,2870.58,745.24,0.794,903.96,542.37,433.9,361.58,289.27,253.11,831.64
2024-10-30,3374.84,2609.09,765.75,0.773,843.71,506.23,404.98,337.48,269.99,236.24,776.21
2024-10-31,3504.77,2222.65,1282.12,0.634,876.19,525.72,420.57,350.48,280.38,245.33,806.1
2024-11-01,4008.66,2941.27,1067.39,0.734,1002.16,601.3,481.04,400.87,320.69,280.61,921.99
2024-11-02,3395.04,2425.15,969.89,0.714,848.76,509.26,407.4,339.5,271.6,237.65,780.86
2024-11-03,3622.25,2376.18,1246.07,0.656,905.56,543.34,434.67,362.22,289.78,253.56,833.12
2024-11-04,3503.33,2328.79,1174.54,0.665,875.83,525.5,420.4,350.33,280.27,245.23,805.77
2024-11-05,3975.25,2723.4,1251.86,0.685,993.81,596.29,477.03,397.53,318.02,278.27,914.31
2024-11-06,3156.09,1966.14,1189.95,0.623,789.02,473.41,378.73,315.61,252.49,220.93,725.9
2024-11-07,3796.95,2741.87,1055.08,0.722,949.24,569.54,455.63,379.69,303.76,265.79,873.3
2024-11-08,4030.06,2542.45,1487.6,0.631,1007.51,604.51,483.61,403.01,322.4,282.1,926.91
2024-11-09,2850.06,1984.29,865.77,0.696,712.51,427.51,342.01,285.01,228.0,199.5,655.51
2024-11-10,3203.4,2137.7,1065.71,0.667,800.85,480.51,384.41,320.34,256.27,224.24,736.78
2024-11-11,3835.62,2404.48,1431.14,0.627,958.9,575.34,460.27,383.56,306.85,268.49,882.19
2024-11-12,4212.91,2742.3,1470.61,0.651,1053.23,631.94,505.55,421.29,337.03,294.9,968.97
2024-11-13,3616.71,2662.98,953.72,0.736,904.18,542.51,434.0,361.67,289.34,253.17,831.84
2024-11-14,4052.63,2813.8,1238.83,0.694,1013.16,607.89,486.32,405.26,324.21,283.68,932.1
2024-11-15,4415.88,3013.26,1402.63,0.682,1103.97,662.38,529.91,441.59,353.27,309.11,1015.65
2024-11-16,3684.46,2822.75,861.71,0.766,921.11,552.67,442.13,368.45,294.76,257.91,847.43
2024-11-17,3422.55,2714.1,708.45,0.793,855.64,513.38,410.71,342.26,273.8,239.58,787.19
2024-11-18,4037.49,3180.2,857.29,0.788,1009.37,605.62,484.5,403.75,323.0,282.62,928.62
2024-11-19,3668.7,2334.2,1334.5,0.636,917.18,550.31,440.24,366.87,293.5,256.81,843.8
2024-11-20,3950.14,2823.94,1126.21,0.715,987.54,592.52,474.02,395.01,316.01,276.51,908.53
2024-11-21,3866.96,2971.24,895.72,0.768,966.74,580.04,464.04,386.7,309.36,270.69,889.4
2024-11-22,4073.18,2608.16,1465.02,0.64,1018.29,610.98,488.78,407.32,325.85,285.12,936.83
2024-11-23,3410.62,2158.01,1252.62,0.633,852.66,511.59,409.27,341.06,272.85,238.74,784.44
2024-11-24,3709.02,2718.86,990.16,0.733,927.26,556.35,445.08,370.9,296.72,259.63,853.08
2024-11-25,3809.84,2684.46,1125.38,0.705,952.46,571.48,457.18,380.98,304.79,266.69,876.26
2024-11-26,4337.54,2942.98,1394.57,0.678,1084.39,650.63,520.51,433.75,347.0,303.63,997.64
2024-11-27,3872.31,2955.81,916.5,0.763,968.08,580.85,464.68,387.23,309.78,271.06,890.63
2024-11-28,3197.33,2214.26,983.06,0.693,799.33,479.6,383.68,319.73,255.79,223.81,735.39
2024-11-29,3622.78,2392.03,1230.75,0.66,905.69,543.42,434.73,362.28,289.82,253.59,833.24
2024-11-30,3644.68,2356.07,1288.6,0.646,911.17,546.7,437.36,364.47,291.57,255.13,838.28
2024-12-01,4261.95,3323.96,937.99,0.78,1065.49,639.29,511.43,426.19,340.96,298.34,980.25
2024-12-02,4406.64,3442.88,963.76,0.781,1101.66,661.0,528.8,440.66,352.53,308.46,1013.53
2024-12-03,3180.04,2305.05,875.0,0.725,795.01,477.01,381.6,318.0,254.4,222.6,731.41
2024-12-04,3490.88,2191.76,1299.11,0.628,872.72,523.63,418.91,349.09,279.27,244.36,802.9
2024-12-05,4580.64,3475.81,1104.83,0.759,1145.16,687.1,549.68,458.06,366.45,320.64,1053.55
2024-12-06,4385.52,3415.35,970.17,0.779,1096.38,657.83,526.26,438.55,350.84,306.99,1008.67
2024-12-07,4570.58,3463.22,1107.36,0.758,1142.65,685.59,548.47,457.06,365.65,319.94,1051.23
2024-12-08,3565.92,2316.77,1249.15,0.65,891.48,534.89,427.91,356.59,285.27,249.61,820.16
2024-12-09,3813.1,2855.21,957.89,0.749,953.27,571.96,457.57,381.31,305.05,266.92,877.01
2024-12-10,4211.62,3169.21,1042.41,0.752,1052.9,631.74,505.39,421.16,336.93,294.81,968.67
2024-12-11,3995.79,3098.15,897.64,0.775,998.95,599.37,479.5,399.58,319.66,279.71,919.03
2024-12-12,4647.75,2891.49,1756.26,0.622,1161.94,697.16,557.73,464.78,371.82,325.34,1068.98
2024-12-13,4010.06,3084.9,925.16,0.769,1002.51,601.51,481.21,401.01,320.8,280.7,922.31
2024-12-14,3713.34,2820.13,893.21,0.759,928.33,557.0,445.6,371.33,297.07,259.93,854.07
2024-12-15,3454.88,2176.51,1278.36,0.63,863.72,518.23,414.59,345.49,276.39,241.84,794.62
2024-12-16,4593.43,3417.55,1175.88,0.744,1148.36,689.01,551.21,459.34,367.47,321.54,1056.49
2024-12-17,3890.03,2832.83,1057.19,0.728,972.51,583.5,466.8,389.0,311.2,272.3,894.71
2024-12-18,4478.06,2912.35,1565.71,0.65,1119.51,671.71,537.37,447.81,358.24,313.46,1029.95
2024-12-19,5125.32,3429.55,1695.77,0.669,1281.33,768.8,615.04,512.53,410.03,358.77,1178.82
2024-12-20,3560.3,2465.16,1095.15,0.692,890.08,534.05,427.24,356.03,284.82,249.22,818.87
2024-12-21,4496.39,3549.71,946.69,0.789,1124.1,674.46,539.57,449.64,359.71,314.75,1034.17
2024-12-22,4034.9,2829.18,1205.72,0.701,1008.72,605.23,484.19,403.49,322.79,282.44,928.03
2024-12-23,3883.88,2805.29,1078.59,0.722,970.97,582.58,466.07,388.39,310.71,271.87,893.29
2024-12-24,4439.86,3282.52,1157.34,0.739,1109.96,665.98,532.78,443.99,355.19,310.79,1021.17
2024-12-25,4727.07,3708.39,1018.68,0.784,1181.77,709.06,567.25,472.71,378.17,330.89,1087.23
2024-12-26,4073.03,2913.27,1159.77,0.715,1018.26,610.96,488.76,407.3,325.84,285.11,936.8
2024-12-27,4647.32,3352.31,1295.01,0.721,1161.83,697.1,557.68,464.73,371.79,325.31,1068.88
2024-12-28,4646.77,3656.42,990.35,0.787,1161.69,697.02,557.61,464.68,371.74,325.27,1068.76
2024-12-29,3816.5,2996.39,820.11,0.785,954.13,572.48,457.98,381.65,305.32,267.16,877.8
2024-12-30,4040.72,3220.32,820.39,0.797,1010.18,606.11,484.89,404.07,323.26,282.85,929.37
